Book,ParagraphIndex,Question,AnswerA,AnswerB
AL DI LÀ ROMANZO,1,Come si chiama il narratore delle Confessioni di un italiano?,Carlo Altoviti,Altoviti
AL DI LÀ ROMANZO,1,Qual è il titolo dell'opera che il narratore afferma di aver composto?,Ugo nel sepolcro,L'opera intitolata Ugo nel sepolcro
AL DI LÀ ROMANZO,1,Dove ritorna il narratore dopo aver abbandonato la scrittura?,Sui monti,Nelle montagne
,,,,
AL DI LÀ ROMANZO,2,Come si chiama la donna a cui Carlo pensa?,Il suo nome è Elena,Si chiama Elena
AL DI LÀ ROMANZO,2,Carlo alla fine cede alla passione per la donna di cui parla con Giorgio?,"Sì, cede alla passione",Alla fine si arrende ai suoi sentimenti
AL DI LÀ ROMANZO,2,Qual è il legame tra Giorgio e Carlo?,Sono amici,Sono legati da un'amicizia
,,,,
AL DI LÀ ROMANZO,3,Come si chiama il personaggio femminile che chiede a Carlo della signora Mimy?,Si chiama Isabella.,Il suo nome è Isabella.
AL DI LÀ ROMANZO,3,Qual è la natura della fortuna che il servo annuncia a Carlo?,È un'eredità inaspettata.,Si tratta di un'improvvisa ricchezza.
AL DI LÀ ROMANZO,3,Qual è il rapporto tra il personaggio femminile che parla con Carlo e la signora Mimy?,Mimy è la sua dama di compagnia.,La signora Mimy è la sua accompagnatrice.
,,,,
AL DI LÀ ROMANZO,4,Qual è la professione di Carlo?,È un medico,Svolge la professione di dottore
AL DI LÀ ROMANZO,4,Mimy trova la felicità nel suo matrimonio con Carlo?,"No, non la trova",Il suo matrimonio non le porta felicità
AL DI LÀ ROMANZO,4,Mimy intraprende una relazione extraconiugale?,"Sì, ha un amante","Sì, tradisce il marito"
,,,,
AL DI LÀ ROMANZO,5,Chi è l'uomo che ha violentato Mimy?,È il conte Alberto,L'aggressore è il conte Alberto
AL DI LÀ ROMANZO,5,Quale destino attende Mimy dopo l'aggressione?,Si ritira in convento,Diventa monaca
AL DI LÀ ROMANZO,5,Suor Maria è complice dell'aggressione subita da Mimy?,"Sì, è complice","Sì, ha facilitato l'aggressione"
,,,,
AL DI LÀ ROMANZO,6,Come si chiama la donna che esprime idee non convenzionali sul matrimonio e la passione?,Si chiama Livia,Il suo nome è Livia
AL DI LÀ ROMANZO,6,Qual è il nome del giureconsulto marito della narratrice?,Si chiama il signor Valerio,Il suo nome è Valerio
AL DI LÀ ROMANZO,6,Chi è l'autore del poema 'Gli amori degli angeli'?,È stato scritto da Lord Byron,L'autore è Lord Byron
,,,,
AL DI LÀ ROMANZO,7,Qual è il rapporto tra la Marchesa e la cugina malata?,Sono amiche intime,La Marchesa è una cara amica della cugina
AL DI LÀ ROMANZO,7,Qual è la natura della malattia della cugina?,È affetta da una malattia nervosa,Soffre di una condizione di debolezza cronica
AL DI LÀ ROMANZO,7,Qual è il ruolo di Carlo nella casa della cugina?,È un domestico della cugina,È un suo attendente personale
,,,,
AL DI LÀ ROMANZO,8,Mimy e il narratore si uniscono in matrimonio?,"No, non si sposano.","No, la loro relazione non culmina nel matrimonio."
AL DI LÀ ROMANZO,8,Carlo è un amico del narratore?,"Sì, sono amici.","Sì, è un suo compagno."
AL DI LÀ ROMANZO,8,Il 'casino' menzionato nell'estratto è una casa di campagna?,"Sì, è una villa di campagna.","Sì, si tratta di una residenza rurale."
,,,,
AL DI LÀ ROMANZO,9,Chi è Namouna nel racconto?,Una giovane donna legata al narratore,La figura femminile centrale della narrazione
AL DI LÀ ROMANZO,9,Qual è la natura del legame tra Namouna e il narratore?,Un rapporto amoroso tormentato e passionale,Una relazione complessa e spesso conflittuale
AL DI LÀ ROMANZO,9,Qual è la condizione sociale di Namouna nel corso del libro?,È una donna di umili origini,Vive in condizioni di povertà
,,,,
AL DI LÀ ROMANZO,10,Qual è il legame di Carlo con Mimy?,Carlo è il marito di Mimy,Mimy è la moglie di Carlo
AL DI LÀ ROMANZO,10,Chi è Anselmo per Giorgio?,Anselmo è un amico di Giorgio,È un caro amico di Giorgio
AL DI LÀ ROMANZO,10,Qual è il nome completo di Mimy?,Il nome completo di Mimy è Maria Ferres,Mimy si chiama Maria Ferres
,,,,
AL DI LÀ ROMANZO,11,Che tipo di relazione sentimentale lega Mimy e la marchesa?,Sono amanti.,Il loro è un amore romantico.
AL DI LÀ ROMANZO,11,Per quale motivo la marchesa lascia Bologna?,La marchesa parte per sfuggire a uno scandalo.,Il motivo della sua partenza da Bologna è uno scandalo.
AL DI LÀ ROMANZO,11,Qual è il nome completo della marchesa?,Il suo nome è Eleonora Visconti.,Si chiama Eleonora Visconti.
,,,,
AL DI LÀ ROMANZO,12,Come si chiama la donna amata dall'avvocato?,Si chiama Elena,Il suo nome è Elena
AL DI LÀ ROMANZO,12,Qual è il nome dell'avvocato?,Si chiama Giorgio,Il suo nome è Giorgio
AL DI LÀ ROMANZO,12,Del Pino diventa l'amante della donna?,"No, non diventa il suo amante",Non lo diventa
,,,,
