Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DESIGNATO ROMANZO,1,Qual è il giudizio del signor Folengo sul signor Sergio?,È ottimo,Lo considera un gentiluomo irreprovevole
IL DESIGNATO ROMANZO,1,Cosa ha fatto il signor Folengo prima della visita di Sergio?,Ha raccolto informazioni su Sergio,Ha investigato sulla vita di Sergio
,,,,
IL DESIGNATO ROMANZO,2,Come si chiama il padre di Lidia?,Signor Folengo,Folengo
IL DESIGNATO ROMANZO,2,Chi è la moglie del signor Folengo?,Donna Teresa,Teresa
,,,,
,,,,
IL DESIGNATO ROMANZO,4,Come si chiama la donna con Sergio?,Lidia,Si chiama Lidia
IL DESIGNATO ROMANZO,4,Chi è il proprietario del piccolo albergo?,Il signor Pfaff,Pfaff
IL DESIGNATO ROMANZO,4,Qual è l'iscrizione sull'albergo del signor Pfaff?,"VENITE, DOLENTES","L'epigrafe 'VENITE, DOLENTES'"
,,,,
IL DESIGNATO ROMANZO,5,Cosa sta osservando Lidia durante il viaggio?,La cascata di Madesimo,La cascata di Madesimo presso Pianazzo
,,,,
,,,,
,,,,
IL DESIGNATO ROMANZO,8,Come si chiama la madre di Lidia?,Donna Teresa,Teresa
IL DESIGNATO ROMANZO,8,Chi organizza una festa nella propria villa a Pallanza?,Ettore Caccianimico,Caccianimico
,,,,
IL DESIGNATO ROMANZO,9,Chi è la moglie di Giorgio Uglio?,Laura,La signora Laura
IL DESIGNATO ROMANZO,9,Qual è il cognome di Pietro?,Folengo,Il cognome Folengo
,,,,
IL DESIGNATO ROMANZO,10,Chi è il marito di Laura?,Giorgio,Il signor Giorgio
,,,,
IL DESIGNATO ROMANZO,11,Quale argomento stanno discutendo Sergio e Lidia?,La loro partenza,Un possibile viaggio
IL DESIGNATO ROMANZO,11,Quale libro interessa molto a Sergio?,Il romanzo di Gian Luigi,Il libro scritto da Gian Luigi
,,,,
IL DESIGNATO ROMANZO,12,Qual era l'atteggiamento di Lidia riguardo alla maternità?,Era indifferente,Non provava né propensione né repulsione
IL DESIGNATO ROMANZO,12,Come si chiama il marito di Lidia?,Sergio,Si chiama Sergio
IL DESIGNATO ROMANZO,12,Perché gli amici frequentavano la casa di Lidia e Sergio?,Desideravano Lidia,Speravano che Lidia cedesse alle loro lusinghe
,,,,
IL DESIGNATO ROMANZO,13,Chi è Pietro Folengo per Lidia?,È suo padre,È il padre di Lidia
IL DESIGNATO ROMANZO,13,Qual è l'atteggiamento di Lidia verso gli usi e i costumi sociali?,Li disprezza,Non li segue volentieri
,,,,
,,,,
IL DESIGNATO ROMANZO,15,Da dove tornava Gian Luigi prima di Sestri?,Da Saint-Moritz,Dalla località di Saint-Moritz
IL DESIGNATO ROMANZO,15,Quali malattie affliggono Lidia?,Anemia e malaria,La colpiscono l'anemia e la malaria
,,,,
IL DESIGNATO ROMANZO,16,Cosa si dispone a leggere Lidia?,Un romanzo francese,Un libro in francese
IL DESIGNATO ROMANZO,16,Quanti anni ha Ettore Caccianimico?,Cinquant'anni,Ha cinquant'anni
,,,,
IL DESIGNATO ROMANZO,17,Chi è Caccianimico?,È Ettore,È l'uomo chiamato Ettore
IL DESIGNATO ROMANZO,17,Cosa sta per fare Ettore?,Una cattiva azione,Un'azione malvagia
,,,,
IL DESIGNATO ROMANZO,18,Chi vince la partita a carte tra Lidia e Angela Tintaro?,Lidia,Lidia vince
,,,,
IL DESIGNATO ROMANZO,19,Laura è guarita dalla sua malattia?,"No, non è guarita",Non è ancora guarita
,,,,
IL DESIGNATO ROMANZO,20,Qual era il cognome da nubile di Lidia?,Folengo,Il suo cognome era Folengo
,,,,
IL DESIGNATO ROMANZO,21,Come sta Laura Uglio?,È malata,Non sta bene
IL DESIGNATO ROMANZO,21,Cosa stava componendo Gian Luigi al piano?,Una romanza,Una composizione musicale
,,,,
,,,,
IL DESIGNATO ROMANZO,23,Quale evento importante attende Laura?,Un'operazione.,Un intervento chirurgico.
IL DESIGNATO ROMANZO,23,Dove si reca Gian Luigi?,In casa Uglio.,Alla dimora degli Uglio.
,,,,
IL DESIGNATO ROMANZO,24,Chi ha annunciato la morte di Laura Uglio?,Gian Luigi,"Il mittente del telegramma, Gian Luigi"
,,,,
,,,,
IL DESIGNATO ROMANZO,26,Con chi ha una relazione il conte Gian Luigi Sideri?,Con Laura Uglio,"Con Laura Uglio, sua amante"
,,,,
IL DESIGNATO ROMANZO,27,Chi insegna l'inglese a Lidia?,Ettore,È Ettore
,,,,
IL DESIGNATO ROMANZO,28,Chi accusa Lidia di adulterio?,Sergio,Suo marito Sergio
IL DESIGNATO ROMANZO,28,Con chi è accusata Lidia di avere una relazione?,Ettore Caccianimico,Il signor Ettore Caccianimico
IL DESIGNATO ROMANZO,28,Quale violenza fisica ha subito Lidia da Sergio?,È stata stretta al braccio,Sergio l'ha presa e stretta per il braccio
,,,,
IL DESIGNATO ROMANZO,29,Chi sono i figli di Pietro Folengo?,Lidia e Sergio,Sergio e Lidia
IL DESIGNATO ROMANZO,29,Chi è l'autore della lettera ingenua menzionata?,Il signor Caccianimico,Caccianimico
IL DESIGNATO ROMANZO,29,Dove si tiene il trattenimento con i bambini?,Nel giardino della villa Folengo,Alla villa Folengo
,,,,
,,,,
