Book,ParagraphIndex,Question,AnswerA,AnswerB
IL NUMERO 13 RACCONTO,1,Quale evento sfortunato precedette la perdita del fidanzato di Tizia?,Si rovesciò la saliera sulla tovaglia.,La saliera si versò sulla tovaglia.
IL NUMERO 13 RACCONTO,1,Cosa spaventò il professore di italiano alla scuola magistrale?,Il rovesciamento del calamaio.,L'inchiostro versato dal calamaio.
IL NUMERO 13 RACCONTO,1,Quale fu la conseguenza per il notaio Simola di essere in tredici a tavola?,Ebbe un'indigestione.,Fu colpito da indigestione.
,,,,
IL NUMERO 13 RACCONTO,2,Qual è la laurea del dottor Augusto?,In chimica,Si è laureato in chimica
,,,,
IL NUMERO 13 RACCONTO,3,Come viene chiamato il personaggio principale descritto?,Augusto,Il giovane chimico
IL NUMERO 13 RACCONTO,3,Qual è la principale preoccupazione di Augusto?,La paura degli avvisi del mondo tenebroso,Il timore di morire e degli spiriti
,,,,
IL NUMERO 13 RACCONTO,4,Chi ha ritrovato la medaglia?,Un cavaliere,Il cavaliere Annibale Codicini
IL NUMERO 13 RACCONTO,4,Dove abita il cavaliere Annibale Codicini?,In via Larga n. 15,Al numero 15 di via Larga
IL NUMERO 13 RACCONTO,4,Come si chiama il cavaliere che ha trovato la medaglia?,Annibale Codicini,Il cavaliere Annibale Codicini
,,,,
IL NUMERO 13 RACCONTO,5,Qual è il motivo della visita del dottore Augusto?,Cercare informazioni su un apprendista,Ottenere notizie su un giovane apprendista
,,,,
IL NUMERO 13 RACCONTO,6,Chi è il 'cugino carissimo' menzionato nel testo?,Il dottore Augusto,Il chimico Augusto
IL NUMERO 13 RACCONTO,6,Chi ha restituito la catenella al Babbo?,L'economo del Municipio,L'economo comunale
IL NUMERO 13 RACCONTO,6,Chi ha restituito un altro 'numero 13' alla famiglia?,Il fornaio dirimpetto,Il fornaio vicino di casa
,,,,
IL NUMERO 13 RACCONTO,7,Cosa è successo allo sposo di Tizia?,Lo ha perso in istrada.,È morto per strada.
IL NUMERO 13 RACCONTO,7,Con chi vive Tizia?,Con il suo babbo.,Solo con il padre.
,,,,
IL NUMERO 13 RACCONTO,8,Di chi è ancora innamorata Tizia?,Di Ramelli,Del birbo Ramelli
,,,,
IL NUMERO 13 RACCONTO,9,Come si chiama il visitatore della signorina?,Codicini,Il cavaliere Codicini
IL NUMERO 13 RACCONTO,9,Cosa ha restituito Codicini alla signorina?,Un amuleto,Il numero 13
,,,,
,,,,
IL NUMERO 13 RACCONTO,11,Chi è Tizia per l'uomo che parla con la signorina?,La sua compagna perduta,La sua promessa sposa
IL NUMERO 13 RACCONTO,11,Come vive ora l'uomo che parla con la signorina?,Del suo lavoro,Grazie al suo lavoro
IL NUMERO 13 RACCONTO,11,Cosa ha dovuto fare l'uomo per una necessità orrenda?,Vendere tutto ciò che possedeva,Alienare tutti i suoi beni
,,,,
,,,,
IL NUMERO 13 RACCONTO,13,Come si chiama il padre di Tizia?,Diego Corona,Si chiama Diego Corona
IL NUMERO 13 RACCONTO,13,Chi doveva essere lo sposo di Tizia?,Il cavalier Codicini,Codicini
IL NUMERO 13 RACCONTO,13,Cosa è andata a comprare Tizia con la fantesca?,Un cappone,Un buon cappone
,,,,
IL NUMERO 13 RACCONTO,14,Chi manda i candidati alla giovane donna?,Il signor Diego Corona,Diego Corona
IL NUMERO 13 RACCONTO,14,Come si chiama uno dei candidati proposti alla giovane donna?,Egidio Merula,Il signor Egidio Merula
IL NUMERO 13 RACCONTO,14,Chi ha informato la giovane donna riguardo ai candidati?,Il babbo,Suo padre
,,,,
IL NUMERO 13 RACCONTO,15,Quanti anni ha Diego Corona?,Quarantanove anni,49 anni
IL NUMERO 13 RACCONTO,15,Da quanto tempo Diego Corona è vedovo?,Da otto anni,Da 8 anni
,,,,
IL NUMERO 13 RACCONTO,16,Qual è il sentimento attuale di Tizia verso l'uomo che amava?,Indifferenza,La vera pace
IL NUMERO 13 RACCONTO,16,Cosa ha imparato a fare Tizia nei sei anni trascorsi?,A odiare l'uomo che amava,A provare odio per l'uomo
IL NUMERO 13 RACCONTO,16,Tizia è disposta a sposare l'uomo che amava per dimostrare indifferenza?,No,Non con lui
,,,,
IL NUMERO 13 RACCONTO,17,Chi è il padre di Tizia?,Diego Corona,Il signor Diego Corona
IL NUMERO 13 RACCONTO,17,Come si chiama l'uomo che ha lasciato Tizia all'altare?,Codicini,Il cavalier Codicini
IL NUMERO 13 RACCONTO,17,Che tipo di marito suggerisce Diego Corona per Tizia?,Un uomo maturo e solido,Un vedovo
,,,,
IL NUMERO 13 RACCONTO,18,Chi è Ramelli?,L'uomo che era fidanzato con Tizia,Il cavaliere che Augusto incontra
,,,,
IL NUMERO 13 RACCONTO,19,Chi è il medico che visita Tizia?,Il dottor Demetrio,Demetrio
