Book,ParagraphIndex,Question,AnswerA,AnswerB
ROGO D'AMORE,1,Come si chiama la donna a cui ci si riferisce come 'la X'?,Eleonora Visconti,La signora Eleonora Visconti
ROGO D'AMORE,1,Qual è il nome della marchesina di vent'anni?,Sofia,La Marchesina Sofia
ROGO D'AMORE,1,Qual è il titolo nobiliare del signore alto di mezza età?,Il Duca di Montefeltro,Il Duca
,,,,
ROGO D'AMORE,2,Come si chiama la signora dall'abito lilla?,Si chiama Elena,Il suo nome è Elena
ROGO D'AMORE,2,Qual è il nome dell'ufficiale che discute con la signora?,Si chiama Marco,Il suo nome è Marco
ROGO D'AMORE,2,In quale città si svolge la maggior parte degli eventi narrati nel libro?,A Roma,Nella città di Roma
,,,,
ROGO D'AMORE,3,Come si chiama la donna la cui sensibilità è offesa?,Elena,La protagonista Elena
ROGO D'AMORE,3,Qual è il nome dell'uomo dalla voce calma e severa?,Marco,Il signor Marco
ROGO D'AMORE,3,In quale città si svolge la maggior parte della narrazione?,A Firenze,Nella città di Firenze
,,,,
ROGO D'AMORE,4,In quale conflitto storico è coinvolto il Trentino nel romanzo?,Nella Prima Guerra Mondiale,Durante la Grande Guerra
ROGO D'AMORE,4,Come si chiama la signora che si confida con Moena?,Si chiama Eleonora Conti,Il suo nome è Eleonora Conti
ROGO D'AMORE,4,Qual è il nome del giovane che ascolta la signora?,Il suo nome è Marco Ferrari,Si chiama Marco Ferrari
,,,,
ROGO D'AMORE,5,Chi è la persona defunta nella casa provinciale?,La signorina Erminia,"Erminia, la padrona di casa"
ROGO D'AMORE,5,Qual è il legame di parentela tra la signora contessa e la persona deceduta?,Sono sorelle,La contessa è la sorella della defunta
ROGO D'AMORE,5,Che cosa succede alla domestica dopo la morte della padrona?,Viene assunta dalla contessa,La contessa le offre un nuovo impiego
,,,,
ROGO D'AMORE,6,Come si chiama la signora protagonista dell'estratto?,Anna,La protagonista Anna
ROGO D'AMORE,6,Qual era il motivo dell'incontro tra la signora e Moena?,Un appuntamento di lavoro,Per discutere questioni professionali
ROGO D'AMORE,6,A chi si riferisce la signora quando dice 'tutto lascerò a loro'?,Ai suoi parenti,Ai membri della sua famiglia
,,,,
ROGO D'AMORE,7,Quale ruolo svolge la signora nel movimento irredentista di Moena?,La signora supporta le idee di Moena.,Ella si mostra comprensiva verso le aspirazioni irredentiste di Moena.
ROGO D'AMORE,7,Moena riesce a realizzare il suo sogno di irredentismo?,"No, il suo ideale non si concretizza.",Non vede la liberazione del suo popolo.
ROGO D'AMORE,7,In quale contesto storico e geografico si colloca l'irredentismo di Moena?,Nel Trentino prima della Prima Guerra Mondiale.,Nella regione del Trentino-Alto Adige nel periodo pre-bellico.
,,,,
ROGO D'AMORE,8,Come si chiama la signora protagonista del racconto?,Il suo nome è Elena,Si chiama Elena
ROGO D'AMORE,8,Qual è il nome della valle in cui la signora si reca per otto giorni di riposo?,La valle si chiama Valle Fiorita,È la Valle Fiorita
ROGO D'AMORE,8,Quale regione italiana attraversa la signora durante il suo secondo viaggio?,Il Trentino,La regione del Trentino
,,,,
ROGO D'AMORE,9,Qual è la causa dell'odio di Stecchetti?,Un tradimento subito,Una profonda delusione
ROGO D'AMORE,9,Quale argomento fu oggetto della protesta di Moena nel salotto?,Un'idea controversa,Una posizione morale
ROGO D'AMORE,9,Qual è la natura del legame tra Moena e la signora?,Un'affinità spirituale,Un profondo legame intellettuale
,,,,
ROGO D'AMORE,10,Come si chiama la donna che entra nel bosco con l'uomo?,Elena,Il suo nome è Elena
ROGO D'AMORE,10,Qual è il nome dell'uomo che accompagna la signora nel bosco?,Giovanni,Si chiama Giovanni
ROGO D'AMORE,10,In quale città o paese si trova il bosco in cui la coppia passeggia?,Valverde,Nel paese di Valverde
,,,,
ROGO D'AMORE,11,Come si chiama il giovane che incontra Moena?,Si chiama Andrea,Il suo nome è Andrea
ROGO D'AMORE,11,Qual è il titolo del volume che Moena e il giovane si scambiano?,È 'Le Confessioni',Il libro si intitola 'Le Confessioni'
ROGO D'AMORE,11,Qual è la professione del giovane che parla con Moena?,È uno studente di filologia classica,La sua occupazione è lo studio della filologia classica
,,,,
ROGO D'AMORE,12,Come si chiama la signora che si separa dall'uomo?,Si chiama Clara,Il suo nome è Clara
ROGO D'AMORE,12,Qual è il nome dell'uomo che si accomiata dalla signora?,Si chiama Giorgio,Il suo nome è Giorgio
ROGO D'AMORE,12,Qual era la ragione del turbamento di Giorgio?,Giorgio era turbato dalla sua partenza forzata per l'estero,Il suo turbamento era causato da un viaggio obbligato lontano da lei
,,,,
ROGO D'AMORE,13,Come si chiama la protagonista femminile del romanzo?,Luisa Rigey,Luisa
ROGO D'AMORE,13,Qual è il legame di parentela tra Luisa Rigey e Franco Maironi?,Sono sposati,Sono marito e moglie
ROGO D'AMORE,13,In quale città si trova il Palazzo del Diavolo menzionato da Luisa Rigey?,A Lugano,Nella città di Lugano
,,,,
ROGO D'AMORE,14,Qual è lo scopo della presenza della signora a Trento?,Sostenere la causa italiana,La signora è a Trento per l'irredentismo
ROGO D'AMORE,14,Qual è la nazionalità di Moena?,È italiano,Moena è di nazionalità italiana
ROGO D'AMORE,14,In quale periodo storico si svolge la vicenda della signora e Moena?,Durante il Risorgimento italiano,Nel periodo dell'irredentismo trentino
,,,,
ROGO D'AMORE,15,Come si chiama il protagonista dell'estratto?,Ariele,Il protagonista si chiama Ariele
ROGO D'AMORE,15,Quale città raggiunge Ariele al tramonto?,Trento,La città di Trento
ROGO D'AMORE,15,Per quale causa il padre di Ariele disertò l'esercito austriaco?,Per unirsi a Garibaldi,Per combattere con Garibaldi
,,,,
ROGO D'AMORE,16,Come si chiama la signora contessa?,Anna,La contessa si chiama Anna
ROGO D'AMORE,16,Qual è il legame tra Moena e la signora contessa?,È la sua amante,Moena è l'amante della contessa
ROGO D'AMORE,16,Come si chiama la cameriera della contessa?,Teresa,Si chiama Teresa
,,,,
ROGO D'AMORE,17,Qual è la professione di Ariele?,È un artista,Svolge la professione di artista
ROGO D'AMORE,17,Moena è sposata?,"Sì, Moena è sposata",È una donna sposata
ROGO D'AMORE,17,In quale città si svolge la maggior parte della storia di Moena e Ariele?,A Firenze,Nella città di Firenze
,,,,
ROGO D'AMORE,18,Come si conclude la relazione tra Moena e Ariele?,La loro storia d'amore si interrompe,Moena e Ariele si separano
ROGO D'AMORE,18,Quale sacrificio ha compiuto Ariele per raggiungere Moena?,Ha rinunciato alla sua posizione sociale,Ha abbandonato la sua carriera
ROGO D'AMORE,18,Qual è la principale ragione per cui l'amore tra Moena e Ariele è considerato una colpa?,La loro significativa differenza d'età,La grande disparità anagrafica tra i due
,,,,
ROGO D'AMORE,19,A quale congregazione religiosa appartiene la suora?,Alle Suore della Carità,Alla congregazione delle Figlie della Carità
ROGO D'AMORE,19,Come si chiama la signora che visita la suora?,La signora Adele,Il nome della signora è Adele
ROGO D'AMORE,19,In quale città è situata la casa della suora?,A Napoli,Nella città di Napoli
,,,,
