Book,ParagraphIndex,Question,AnswerA,AnswerB
Come_londa,1,Cosa fa Paolo?,Balla,Danza
Come_londa,2,Cosa viene coperto dal velo?,Il viso,Il volto della signora
Come_londa,3,Chi è Emilia?,La persona che assomiglia a Jela.,La signora che assomiglia a Jela.
Come_londa,4,Che tipo di uomo è quello a cui si dona con lo spirito la donna che non ama il suo uomo?,È il suo assente adorato.,È l'uomo che adora ma che è assente.
Come_londa,5,In quale tipo di abitazione risiede la signora Emilia?,Nel villino,In un villino
Come_londa,7,Chi è incinta?,Teresa,La protagonista
Come_londa,8,Chi raccomanda a Teresa di stare calma?,Il dottore,Il medico
Come_londa,9,Chi sono i genitori del bambino?,Giulio e Teresa,Teresa e Giulio
Come_londa,10,Di chi è il compleanno per cui Miss Flower vuole andare a Londra?,Di sua madre,Di Miss Flower
Come_londa,11,Qual era la professione di Efisio Ronchi?,Scultore,Antiquario
Come_londa,12,Qual è lo stato civile di Renato?,È uno scapolo,È sposato
Come_londa,13,Chi prova un senso di rimorso?,Luigia,"Luigia, nei confronti di Renato"
Come_londa,14,Chi si aspetta un erede o un figlio dalla moglie?,Bozzani,Il marito
Come_londa,15,Qual è il legame tra Bozzani e la donna spiata?,È sua moglie,La moglie di Bozzani
Come_londa,16,Che lavoro fa il coniuge di Carmelina?,Un Procuratore del Re,Ricopre la carica di Procuratore del Re
Come_londa,17,Chi è il marito di Carmelina?,Il padre della bimba,Il babbo della bimba
Come_londa,18,Cosa fa Carmelina all'uomo con cui ha una relazione?,Lo rimprovera,Gli fa un rimprovero
