Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DAMO VIENNESE ROMANZO,1,Qual è la professione di Pierino Balla?,È un avvocato,Svolge la professione di avvocato
IL DAMO VIENNESE ROMANZO,1,Qual è il destino della madre di Pierino Balla?,Continua a vivere a Sorrento,Rimane nella sua casa di Sorrento
IL DAMO VIENNESE ROMANZO,1,Pierino Balla si sposa nel corso della narrazione?,"No, non si sposa","No, rimane celibe"
,,,,
IL DAMO VIENNESE ROMANZO,2,Quale occupazione trova Pierino Balla?,Diventa impiegato al Ministero della Guerra.,Trova lavoro come funzionario al Ministero della Guerra.
IL DAMO VIENNESE ROMANZO,2,Cosa succede all'eredità di Pierino Balla?,Si esaurisce completamente.,Finisce i soldi lasciatigli dal padre.
IL DAMO VIENNESE ROMANZO,2,Pierino Balla intraprende la carriera di cantante?,"No, non diventa un cantante professionista.",Non persegue la carriera musicale.
,,,,
IL DAMO VIENNESE ROMANZO,3,Qual era l'obiettivo di Pierino Balla suonando il repertorio di Franz Lehar?,Voleva stringere amicizia con il maestro.,Desiderava conoscere Franz Lehar e diventarne amico.
IL DAMO VIENNESE ROMANZO,3,Chi era il maestro che alloggiava nella stanza accanto a Pierino Balla?,Franz Lehar.,Il compositore Franz Lehar.
IL DAMO VIENNESE ROMANZO,3,Come reagì Franz Lehar alla musica di Pierino Balla?,Si lamentò della musica.,Espresse fastidio per il suono del pianoforte.
,,,,
IL DAMO VIENNESE ROMANZO,4,Come si chiama il protagonista che arriva a Vienna?,Pierino Balla,Il signor Pierino Balla
IL DAMO VIENNESE ROMANZO,4,In quale città si reca Pierino Balla?,A Vienna,"Nella capitale austriaca, Vienna"
IL DAMO VIENNESE ROMANZO,4,"Cosa cerca Pierino Balla a Vienna, secondo le sue aspettative?",I valzer e le dame viennesi,La musica dei valzer e le orchestre di dame
,,,,
IL DAMO VIENNESE ROMANZO,5,Chi aveva consegnato a Pierino Balla la lettera di presentazione per il maestro Kramer?,Franz Lehar,Il compositore Franz Lehar
IL DAMO VIENNESE ROMANZO,5,Quale tipo di relazione si instaura tra Pierino Balla ed Eva Kramer?,Una relazione sentimentale,Una relazione amorosa
IL DAMO VIENNESE ROMANZO,5,Qual era la professione del maestro Kramer?,Era un compositore,Era un musicista
,,,,
IL DAMO VIENNESE ROMANZO,6,Quale incarico riceve il maggiore Hampfel a Roma?,Attaché militare,L'incarico di attaché militare
IL DAMO VIENNESE ROMANZO,6,Da dove proviene Eva?,Da Vienna,Dalla città di Vienna
IL DAMO VIENNESE ROMANZO,6,Qual è la nazionalità di Pierino?,Italiana,È italiano
,,,,
IL DAMO VIENNESE ROMANZO,7,Qual è la professione di Pierino a Vienna?,È un musicista,Svolge l'attività di musicista
IL DAMO VIENNESE ROMANZO,7,Qual è il legame tra la signorina Eva e Pierino?,È l'interesse amoroso di Pierino,È la donna di cui Pierino si innamora
IL DAMO VIENNESE ROMANZO,7,In quale città si svolge l'incontro tra Pierino e la signorina Eva?,A Vienna,"Nella capitale austriaca, Vienna"
,,,,
