Book,ParagraphIndex,Question,AnswerA,AnswerB
Gli_uomini_rossi,1,Chi sono i due innamorati che decidono di fuggire?,Europa e Manso Liturgico,Manso Liturgico ed Europa
Gli_uomini_rossi,1,Qual è il nome della camerista che aiuta Europa nella fuga?,Divina,La camerista Divina
Gli_uomini_rossi,1,Per quale motivo Europa e Manso Liturgico non possono sposarsi legalmente?,Le loro famiglie hanno idee politiche opposte,A causa delle differenze politiche tra le loro famiglie
,,,,
Gli_uomini_rossi,2,Chi è la madre di Didino?,La Contessa Gilarda,Gilarda
Gli_uomini_rossi,2,Quante volte all'anno Fedele Barbigi visitava Didino?,Due volte,Due volte all'anno
Gli_uomini_rossi,2,Come si chiama il cugino di Didino?,Fedele Barbigi,Il cugino di Didino è Fedele Barbigi
,,,,
Gli_uomini_rossi,3,Chi è il padre di Europa?,Gian Battifiore,Il sindaco Gian Battifiore
Gli_uomini_rossi,3,Cosa significa il nomignolo di Marcôn?,Cornacchia,"Il nome di un uccello, la cornacchia"
Gli_uomini_rossi,3,Quale carica ricopre Gian Battifiore in paese?,Sindaco,La carica di sindaco
,,,,
Gli_uomini_rossi,4,Chi parte con Apulinèr?,Schignòtt,Il personaggio di nome Schignòtt
Gli_uomini_rossi,4,Come si chiama il cane che segue Schignòtt?,Plè,Il cane Plè
Gli_uomini_rossi,4,Qual è la motivazione principale di Don Vitupèri?,La vendetta,Il desiderio di vendetta
,,,,
Gli_uomini_rossi,5,Chi fu arrestato?,Gargiuvîn,Il personaggio di nome Gargiuvîn
Gli_uomini_rossi,5,Chi è Europa?,La figlia di Gian Battifiore,La figlia scomparsa di Gian Battifiore
Gli_uomini_rossi,5,Chi ha rapito Europa?,Gli anarchici,Il gruppo degli anarchici
,,,,
Gli_uomini_rossi,6,Chi è Popolini per Maraveja?,È il suo figlioccio,È il figlioccio di Maraveja
Gli_uomini_rossi,6,Che lavoro fa il Cavalier Mostardo?,È un cronista,Fa il cronista per l'Aristogitone
Gli_uomini_rossi,6,Come si chiama il giornale per cui lavorano Mostardo e Popolini?,Si chiama l'Aristogitone,È l'Aristogitone
,,,,
Gli_uomini_rossi,7,Cosa promette il Cavalier Mostardo ad Ardito?,L'esito dell'inchiesta,Di assicurare l'esito dell'inchiesta
Gli_uomini_rossi,7,Quale libro legge Don Papera nella sua casa?,La Bibbia,Il Cantico dei Cantici
Gli_uomini_rossi,7,Perché Susanna interrompe la lettura di Don Papera con una risata?,Perché fraintende i versetti biblici,Per la sua semplice interpretazione delle galanterie bibliche
,,,,
Gli_uomini_rossi,8,Chi è il gran vescovo dagli occhi volpini?,Monsignor Rutilante,Il Monsignor Rutilante
Gli_uomini_rossi,8,Che tipo di amore lega Fedele e Didino?,Un amore fraterno e platonico,"Un rapporto di amore fraterno, disinteressato e platonico"
Gli_uomini_rossi,8,Chi è coinvolto nell'amore fulmineo e sensuale con Didino?,Europa,La donna di nome Europa
,,,,
Gli_uomini_rossi,9,Chi è il capo della schiera in assenza di Gargiuvîn?,Apulinèr,Il capo è Apulinèr
Gli_uomini_rossi,9,Cosa sta incidendo Gargiuvîn sulla corniola?,Una figura di morte sorridente,La figura di una morte che sorride
Gli_uomini_rossi,9,Cosa regala Schignòtt a Don Vitupèri?,Un soldo,Tutto il suo soldo
,,,,
Gli_uomini_rossi,10,Perché Arfàt ha paura dell'acqua?,Perché non sa nuotare.,Non sa nuotare.
Gli_uomini_rossi,10,Come si chiama la città dove si riunisce il partito estremo?,La città degli uomini rossi.,Si chiama la città degli uomini rossi.
Gli_uomini_rossi,10,Dove dorme Arfàt?,Sotto al ponte del fiume.,Sotto il ponte del fiume.
,,,,
Gli_uomini_rossi,11,Chi è il principale organizzatore della solenne commemorazione?,Gian Battifiore,Il sindaco Gian Battifiore
Gli_uomini_rossi,11,Che tipo di carattere voleva dare Ardito Popolini alla commemorazione?,Politico,Un carattere politico
Gli_uomini_rossi,11,Quale gruppo fu escluso dagli inviti per la commemorazione?,I clericali,Il clero
,,,,
Gli_uomini_rossi,12,Chi elenca i nomi delle persone a Gian Battifiore?,Isidoro Quarti,Il suo amico Isidoro Quarti
Gli_uomini_rossi,12,Per quale donna si uccise Vallata?,Per Marinella Albisi,Per la contessa Marinella
