Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_quaderno_della_zia,1,Qual è il legame tra Sofia e Lidia?,Sono sorelle,Sono due sorelle
Il_quaderno_della_zia,1,Quali oggetti trovano Sofia e Lidia nel salotto?,Un libro e un astuccio,Un quaderno e un astuccio
Il_quaderno_della_zia,1,Cosa scoprono Sofia e Lidia all'interno dell'astuccio?,Un medaglione d'oro,Un medaglione con un rubino
,,,,
Il_quaderno_della_zia,2,Chi avrebbe preferito Angelo come marito per la signora Lucietta?,Antonio Renier,Il nobil uomo Antonio Renier
Il_quaderno_della_zia,2,Dove sta compiendo Carlo la sua educazione?,In Francia,Nel paese della Francia
,,,,
Il_quaderno_della_zia,3,Come si chiama la figlia di Angelo?,Maria,Si chiama Maria
,,,,
Il_quaderno_della_zia,4,Dove si trova il reggimento di Carlo?,Al settentrione della Francia,Sulle coste dell'Oceano
Il_quaderno_della_zia,4,Chi ammira Carlo in modo sconfinato?,Il genio del Buonaparte,Buonaparte
,,,,
Il_quaderno_della_zia,5,Chi è Maddalena per il vecchio?,Sua figlia,La figlia del vecchio
Il_quaderno_della_zia,5,Chi era Carlo per il vecchio?,Suo figlio,Il figlio del vecchio
Il_quaderno_della_zia,5,Quale ruolo vuole il vecchio che Maddalena assuma?,La vigile custode dell'onore del suo nome,La protettrice dell'onore della sua famiglia
,,,,
Il_quaderno_della_zia,6,Quali membri della famiglia di Maddalena sono morti di recente?,"Il fratello, il padre e lo zio","Suo fratello, suo padre e suo zio"
Il_quaderno_della_zia,6,Cosa propone Maddalena alla madre?,Di vivere sole con Clara,"Di bastare a loro stesse, solo loro tre"
,,,,
Il_quaderno_della_zia,7,Cosa fu annunciato il 29 novembre 1807?,L'imbarco delle autorità,L'imbarco delle autorità alla Piazzetta
Il_quaderno_della_zia,7,Chi pubblicò l'avviso sull'imbarco delle autorità?,Il podestà Renier,Renier
,,,,
Il_quaderno_della_zia,8,Come si chiama il gondoliere che difende l'Imperatore?,Toni,Il gondoliere Toni
Il_quaderno_della_zia,8,Dove si è recato l'Imperatore appena giunto in Piazzetta?,In chiesa,Alla chiesa
Il_quaderno_della_zia,8,Quale professione esercita il personaggio che osserva il cambiamento dei gusti politici?,Venditore di mele cotte,Commerciante di mele
,,,,
Il_quaderno_della_zia,9,Dove si recherà la bambina?,Nel luogo con il bel giardino,In un posto con un bel giardino
Il_quaderno_della_zia,9,Chi è considerato un secondo padre dalla bambina?,Il signor Venanzio,Venanzio
Il_quaderno_della_zia,9,Chi sconsigliò alla mamma di comunicare prima la risoluzione?,Il signor Venanzio,Venanzio
,,,,
,,,,
,,,,
