Batch,Testo,Risposta1,Risposta2
1,Qual è il desiderio più grande di Europa?,Desidera sposare Manso Liturgico.,Il suo sogno è unirsi in matrimonio con Manso Liturgico.
1,Chi è il principale oppositore al matrimonio tra Europa e Manso Liturgico?,Il Cavalier Mostardo è contrario alla loro unione.,L'opposizione maggiore proviene dal Cavalier Mostardo.
1,Quale azione intraprende il proletariato nella regione?,Il proletariato organizza uno sciopero generale.,La classe operaia decide di scioperare in massa.
1,Qual è il ruolo di Don Papera riguardo alla coppia Europa e Manso?,Don Papera cerca di aiutarli a superare gli ostacoli.,Il sacerdote Don Papera tenta di favorire la loro unione.
2,Qual è il ruolo principale di Vincenzo Camaldoli nella trama?,È il mentore segreto del protagonista.,Agisce come guida nascosta per il personaggio principale.
2,Qual è l'obiettivo finale dell'Andruco?,Mirano a ripristinare l'ordine antico nella società.,Il loro scopo è ristabilire le tradizioni e le gerarchie passate.
2,Qual è la principale sfida che Giasmîn deve affrontare?,Deve superare un profondo senso di solitudine e isolamento.,La sua lotta più grande è contro la sua condizione di emarginazione.
2,Chi è il Cavalier che accompagna Marcôn?,"È un alleato fedele di Marcôn, un ex soldato.","Si tratta di un compagno leale di Marcôn, con un passato militare."
3,Chi è il principale alleato di Teseo Alvisi?,Il suo alleato più fidato è Marco Valerio.,Marco Valerio è il compagno di Teseo Alvisi.
3,Qual è il nome del fiume che attraversa la città di Veridia?,Il fiume si chiama Aethel.,Aethel è il corso d'acqua che scorre nella città di Veridia.
3,Per quale motivo gli anarchici di Gargiuvîn si oppongono alla Repubblica?,Si oppongono per l'eccessiva tassazione imposta dal governo.,La loro opposizione è dovuta alle alte tasse della Repubblica.
3,Cosa scoprono Didino ed Europa arrivando al castello di Montechiaro?,Al castello scoprono che è abbandonato e in rovina.,La loro scoperta al castello di Montechiaro è che è deserto e fatiscente.
4,Qual è il ruolo di Don Papera nella Repubblica?,È un influente membro del consiglio della Repubblica.,Ricopre una posizione di potere all'interno del governo repubblicano.
4,Qual è stato il risultato finale dell'impresa del Cavalier Mostardo per la Repubblica?,Ha garantito la pace e la prosperità per la Repubblica.,L'azione del Cavaliere ha assicurato un periodo di stabilità alla nazione.
4,Chi è il principale alleato del Cavalier Mostardo?,La Duchessa Carota è la sua più fidata alleata.,Il Cavaliere riceve supporto cruciale dalla Duchessa Carota.
4,Qual è la motivazione principale di Don Papera?,Desidera mantenere il controllo politico sulla Repubblica.,Il suo obiettivo è conservare il potere all'interno del governo repubblicano.
5,Da dove proviene il Cavalier Mostardo?,È originario di un piccolo borgo montano.,La sua provenienza è un paesino situato tra le montagne.
5,Dove viene ritrovato il medaglione di famiglia di Miarù?,Viene scoperto nel vecchio mulino abbandonato.,Il medaglione è rinvenuto all'interno del mulino dismesso.
5,Quale decisione prende Giovanni riguardo alla sua eredità?,Decide di donare gran parte dei suoi beni alla comunità.,Sceglie di devolvere la maggior parte del suo patrimonio per il bene comune.
5,Chi aiuta Gargiuvîn a fuggire dalla prigione?,"È aiutato da un vecchio amico d'infanzia, Peppino.","Un suo conoscente di lunga data, Peppino, lo assiste nella fuga."
6,Chi è il principale oppositore di Sandro Ancona?,Il Conte Nero è il suo avversario politico.,Il Conte Nero ostacola i piani di Sandro Ancona.
6,Qual è l'importanza del Medaglione di Orione per la famiglia di Europa?,Il Medaglione di Orione è un cimelio che rivela la vera eredità di Europa.,Il Medaglione di Orione svela un segreto cruciale legato alle origini di Europa.
6,Quale decisione cruciale prende Pietro Ramelli riguardo alla sua carriera politica?,Pietro Ramelli decide di ritirarsi dalla vita pubblica.,Pietro Ramelli sceglie di abbandonare la politica attiva.
6,Come si conclude il viaggio di Marcôn e del Cavalier Mostarde?,Marcôn e il Cavalier Mostarde raggiungono la loro meta e trovano la pace.,Il viaggio di Marcôn e del Cavalier Mostarde si conclude con il ritrovamento di un luogo sicuro.
7,Qual è il ruolo di Ottantanove Riborsi nella caccia a Don Papera?,Ottantanove Riborsi fornisce informazioni cruciali al Cavalier Mostardo.,Ottantanove Riborsi agisce come informatore per il Cavalier Mostardo.
7,Cosa succede alla commemorazione dopo l'intervento di Livio Merate?,La commemorazione viene interrotta a causa delle sue parole.,L'evento commemorativo si conclude bruscamente per via del suo discorso.
7,Qual è il legame tra Europa Battifiore e Don Papera?,Europa Battifiore è la sorella di Don Papera.,"Sono legati da un vincolo di parentela, essendo Europa la sorella di Don Papera."
7,Dove si nasconde Don Papera per sfuggire al Cavalier Mostardo?,Si rifugia nel vecchio mulino abbandonato.,Trova riparo nel mulino dismesso fuori città.
8,Qual era l'obiettivo principale dell'Aristogitone?,Voleva portare il suo candidato al potere.,Il suo scopo era l'elezione del candidato che appoggiava.
8,Quale fu il destino di Europa dopo il tentativo di fuga?,Fu catturata dalle guardie.,Venne arrestata in seguito alla sua tentata evasione.
8,Quale azione decisiva intrapresero i repubblicani?,Organizzarono una rivolta armata.,Diedero il via a un'insurrezione militare.
8,Chi era il capo dei repubblicani?,Il loro leader era Ardito Popolini.,Ardito Popolini guidava il movimento repubblicano.
9,Qual è l'obiettivo principale di Elara nel suo viaggio verso le Montagne Grigie?,Elara cerca di trovare l'Antico Artefatto per salvare il suo villaggio.,Il suo scopo è recuperare l'Artefatto Ancestrale per proteggere la sua comunità.
9,Chi è il vero mandante dietro gli attacchi al Regno di Valoria?,"Il Duca Malvagio, che mira a usurpare il trono.","È il Duca Nero, desideroso di conquistare il potere regale."
9,Qual è il potere nascosto della Spada di Aethel?,La Spada di Aethel può risvegliare gli spiriti degli antichi re.,Permette di evocare le anime dei sovrani passati.
9,Qual è il segreto di Maestro Lorian riguardo al suo passato?,Maestro Lorian era un tempo un membro dell'Ordine Oscuro.,"In gioventù, Lorian faceva parte della setta delle Ombre."
10,Chi è il custode del Segreto di Valleverde?,Il vecchio Anselmo è il custode.,"Anselmo, l'anziano del villaggio, ne è il responsabile."
10,Qual è il significato del Fiume Silente per gli abitanti di Borgo Antico?,È considerato sacro e fonte di vita.,Rappresenta la loro divinità e la loro sussistenza.
10,Qual è l'obiettivo principale del Duca Nero?,Vuole conquistare il Regno di Luce.,Il suo scopo è sottomettere il Regno di Luce al suo dominio.
10,Cosa succede al Cavaliere Senza Nome alla fine del romanzo?,Si sacrifica per salvare la principessa Aurora.,Perde la vita per proteggere la principessa Aurora.
11,Quale fu la destinazione finale di Europa e Manso Liturgico dopo la loro fuga?,Si rifugiarono in un piccolo villaggio di montagna,Trovarono asilo in un borgo isolato tra le vette
11,Il Cavalier Mostardo riuscì a scoprire il segreto di Don Papera?,"Sì, il segreto gli fu rivelato dopo lunghe indagini","Alla fine, il Cavalier Mostardo venne a conoscenza del segreto"
11,Qual era il compito principale di Gian Battifiore all'interno dell'organizzazione?,Era responsabile della raccolta di informazioni riservate,Il suo ruolo primario era quello di spiare e raccogliere dati
11,Quale fu il destino di Arfàt dopo essersi unito al partito anarchico?,Fu arrestato e imprigionato per le sue attività politiche,La sua militanza lo portò alla cattura e alla detenzione
12,"Chi è Europa, la persona che gli anarchici vogliono liberare?",È la figlia del Prefetto.,"È la ragazza rapita, figlia del capo della polizia."
12,Qual è il principale obiettivo politico del Cavalier Mostardo?,Vuole restaurare l'ordine e la monarchia.,Il suo scopo è ristabilire il potere monarchico e la stabilità.
12,Qual è il ruolo di Pietro Ramelli nel giornale La Verità?,È il direttore del giornale.,Ricopre la posizione di capo redattore de La Verità.
12,Qual è il motivo della vendetta del Cavaliere Mostardo?,Vuole vendicare l'assassinio di suo fratello.,La sua vendetta è motivata dall'uccisione del congiunto.
13,Qual è la professione di Didino?,È un falegname,Svolge il mestiere di artigiano del legno
13,Qual è il nome del villaggio dove si svolge la maggior parte della storia?,Si chiama Borgo Antico,Il suo nome è Antico Borgo
13,Perché Europa decide di lasciare la sua città natale?,Cerca nuove opportunità di lavoro,Desidera trovare un impiego migliore altrove
13,Qual è il colore distintivo del cappello di Giacomo Albenga?,Il suo cappello è di colore rosso,Indossa un copricapo scarlatto
14,In quale città si svolge la maggior parte della storia?,La vicenda è ambientata prevalentemente nella città di Verruca.,Gran parte del romanzo si svolge a Verruca.
14,Qual è il nome del mentore o figura guida di Didino?,Il mentore di Didino è il saggio Maestro Elia.,Didino è guidato dal Maestro Elia.
14,Qual è il motivo principale per cui Gerolamo Parvenza si unisce agli anarchici?,Gerolamo Parvenza si unisce agli anarchici per vendicare un'ingiustizia subita dalla sua famiglia.,Il desiderio di vendetta per un torto familiare spinge Gerolamo Parvenza tra gli anarchici.
14,Chi è il personaggio che tradisce la causa degli anarchici di Gargiuvîn?,Il traditore della causa anarchica di Gargiuvîn è il Barone Volpe.,Il Barone Volpe è colui che tradisce gli anarchici di Gargiuvîn.
15,Qual è lo scopo principale del viaggio di Don Papera e Susanna?,Don Papera e Susanna cercano un luogo sicuro dove rifugiarsi.,L'obiettivo di Don Papera e Susanna è trovare un riparo definitivo.
