Book,ParagraphIndex,Question,AnswerA,AnswerB
IL ROMANZO DELLA MORTE,1,Fausto è ritornato per restare?,"Sì, non ripartirà più","Sì, è tornato definitivamente"
IL ROMANZO DELLA MORTE,1,Che ruolo ha Filippo Pisani nell'esercito?,È un ufficiale,È un militare con spalline da ufficiale
IL ROMANZO DELLA MORTE,1,Chi è la cugina di Argìa?,Carmela Donati,La sua cugina è Carmela Donati
,,,,
IL ROMANZO DELLA MORTE,2,Chi propone di giocare a mosca cieca?,Amelia,La giovane Amelia
IL ROMANZO DELLA MORTE,2,Chi è la sorella maggiore di Filippo e Amelia?,Argìa,"Argìa, la sorella maggiore"
IL ROMANZO DELLA MORTE,2,A quale gioco partecipano i personaggi?,Mosca cieca,Al gioco della mosca cieca
,,,,
IL ROMANZO DELLA MORTE,3,Chi ha favorito l'unione tra Argìa e Fausto?,Don Paolo,L'abate Don Paolo
IL ROMANZO DELLA MORTE,3,Quanti pretendenti ha rifiutato Argìa?,Tre,Tre uomini
IL ROMANZO DELLA MORTE,3,Chi avrebbe sposato Fausto senza l'intervento di Don Paolo?,La contessina,Una contessina
,,,,
IL ROMANZO DELLA MORTE,4,Chi ha turbato Argìa?,Don Paolo,La condizione di don Paolo
IL ROMANZO DELLA MORTE,4,Chi ha curato don Paolo?,Il professore,Il medico che ha curato don Paolo
IL ROMANZO DELLA MORTE,4,Cosa ha fatto Fausto con le mani di Argìa?,Le ha prese e strette,Ha stretto le sue mani
,,,,
IL ROMANZO DELLA MORTE,5,Chi sta vivendo una crisi di nervi?,Argìa,La donna di nome Argìa
IL ROMANZO DELLA MORTE,5,Dove si dirige Argìa per cercare aria libera?,Al frutteto,Nell'orto della villa
IL ROMANZO DELLA MORTE,5,Cosa crede Fausto riguardo ai sentimenti di Argìa?,Che lei lo ami,Che Argìa provi amore per lui
,,,,
IL ROMANZO DELLA MORTE,6,Qual è il sospetto di Argìa riguardo al giovine?,Che il giovine abbia un impegno con la contessina d'Arco,Che sia impegnato con la contessina d'Arco a Mantova
IL ROMANZO DELLA MORTE,6,Perché il giovine aveva considerato di sposare la contessina d'Arco?,Per accontentare sua madre,Per le preghiere della sua mamma
IL ROMANZO DELLA MORTE,6,Dove si diceva che il giovine avesse un impegno con la contessina d'Arco?,A Mantova,Nella città di Mantova
,,,,
IL ROMANZO DELLA MORTE,7,Come si chiama la donna protagonista?,Argìa,Si chiama Argìa
IL ROMANZO DELLA MORTE,7,Qual è la principale accusa dell'uomo verso Argìa?,L'infedeltà,Di essersi data ad un altro
IL ROMANZO DELLA MORTE,7,Dove si trovano Argìa e l'uomo alla fine del brano?,Sotto il pergolato,Sotto un pergolato nella notte
,,,,
IL ROMANZO DELLA MORTE,8,Chi è Fausto per don Paolo?,Il pronipote,Il suo pronipote
IL ROMANZO DELLA MORTE,8,Dove torna donna Evangelina dopo aver lasciato Pavia?,A Mantova,Nella città di Mantova
IL ROMANZO DELLA MORTE,8,Chi deve sposare Fausto?,Argìa,La giovane Argìa
,,,,
IL ROMANZO DELLA MORTE,9,Cosa preferisce Argìa che Fausto creda di lei?,Che sia un'amante fredda,Che sia una donna fredda
IL ROMANZO DELLA MORTE,9,Dove si incontreranno Argìa e Fausto stasera?,A casa di Fausto,Nella dimora di Fausto
IL ROMANZO DELLA MORTE,9,Come si sente Fausto dopo aver letto la lettera di Argìa?,È disperato,Si sente disperato
,,,,
IL ROMANZO DELLA MORTE,10,Qual è il conflitto interiore di Fausto?,Tra l'amore per Argìa e l'orgoglio,Tra la sua passione e i pregiudizi ereditari
IL ROMANZO DELLA MORTE,10,Chi è il padre del figlio di Argìa?,Fausto non lo sa,Il padre è ignoto a Fausto
IL ROMANZO DELLA MORTE,10,Quale soluzione finale considera Fausto per il suo dilemma con Argìa?,Morire con lei,La morte insieme ad Argìa
,,,,
IL ROMANZO DELLA MORTE,11,Chi è l'infermo che la signora Luisa assiste?,Don Paolo,Il signor Paolo
IL ROMANZO DELLA MORTE,11,Cosa legge la signora Luisa?,Romanzi,Libri di romanzi
IL ROMANZO DELLA MORTE,11,Cosa ama particolarmente Don Paolo?,La luce,La gran luce
,,,,
IL ROMANZO DELLA MORTE,12,Chi uccise Nino e Bianchetto?,Don Bortolo,Bortolo
IL ROMANZO DELLA MORTE,12,Perché Don Bortolo uccise Nino e Bianchetto?,Perché mangiavano i suoi legumi,A causa dei legumi che avevano mangiato
,,,,
IL ROMANZO DELLA MORTE,13,Perché Fausto ha deciso di morire?,Perché non può vivere senza Argìa,Perché non sopporta la vita senza Argìa
IL ROMANZO DELLA MORTE,13,Quali sentimenti prova Fausto per Argìa?,Amore e odio,Un misto di amore e odio
IL ROMANZO DELLA MORTE,13,Perché Fausto odia Argìa?,Perché è stata con un altro,Perché non è la fanciulla che lui credeva
,,,,
IL ROMANZO DELLA MORTE,14,Qual è il principale conflitto interiore del protagonista?,La disarmonia tra il suo nuovo amore e le sue idee tradizionali.,La lotta tra i suoi sentimenti attuali e le sue convinzioni ereditate.
IL ROMANZO DELLA MORTE,14,Come descrive il protagonista il suo nuovo amore?,È indistruttibile ma destinato a distruggerlo.,È un sentimento forte che lo consumerà.
IL ROMANZO DELLA MORTE,14,Quale condizione particolare affligge la fanciulla?,È affetta da una disgrazia.,Ha una condizione sfortunata o un problema.
,,,,
IL ROMANZO DELLA MORTE,15,Per chi si sacrifica Fausto?,Per la protagonista,Per la donna che ama
IL ROMANZO DELLA MORTE,15,Come viene descritta la protagonista?,Come una ragazza caduta,Come una donna che non può vivere onestamente
IL ROMANZO DELLA MORTE,15,Cosa pensa la protagonista di fare a Fausto?,Di ucciderlo,Di fargli lasciare il mondo
,,,,
IL ROMANZO DELLA MORTE,16,Dove trascorre Argìa alcuni mesi?,In villa,"In campagna, in villa"
IL ROMANZO DELLA MORTE,16,Chi accompagna Argìa in villa?,La cugina Carmela e Bice Chiari,Carmela e Bice Chiari
IL ROMANZO DELLA MORTE,16,Perché Argìa ha perso due partiti?,Perché era malinconica e fredda,A causa della sua malinconia e freddezza
,,,,
IL ROMANZO DELLA MORTE,17,Quale nome ripete Argìa sulle sue labbra arse?,Fausto,Il nome di Fausto
IL ROMANZO DELLA MORTE,17,Come si chiama il violinista che arriva con Pisani?,Adolfo Ruggeri,Il violinista Adolfo Ruggeri
IL ROMANZO DELLA MORTE,17,Dove si trova Bice Chiari quando annuncia l'arrivo degli ospiti?,A una finestra del secondo piano,Alla finestra del secondo piano
,,,,
IL ROMANZO DELLA MORTE,18,Chi ballava con Argìa?,Ruggeri,L'uomo Ruggeri
IL ROMANZO DELLA MORTE,18,Dove pernottarono Ruggeri e i suoi compagni?,A casa del Pisani,Presso il Pisani
IL ROMANZO DELLA MORTE,18,Quale camera occupò Ruggeri nella casa del Pisani?,La camera di Filippo,Quella di Filippo
,,,,
IL ROMANZO DELLA MORTE,19,Cosa ha compreso Argìa riguardo a Fausto?,Ha compreso il delitto,Ha capito che era stato commesso un crimine
IL ROMANZO DELLA MORTE,19,Dove è avvenuta la tragedia della vita di Argìa?,Sotto la rovere,Vicino a una quercia
IL ROMANZO DELLA MORTE,19,Cosa non ricorda Argìa al suo risveglio?,Non ricorda niente,Ha perso la memoria degli eventi
,,,,
IL ROMANZO DELLA MORTE,20,A chi si rivolge Fausto?,Ad Argìa,Alla fanciulla Argìa
IL ROMANZO DELLA MORTE,20,Dove si trova Ruggeri?,A Pietroburgo,Nella città di Pietroburgo
IL ROMANZO DELLA MORTE,20,Qual è la professione di Ruggeri?,È un violinista,Svolge la professione di violinista
,,,,
IL ROMANZO DELLA MORTE,21,A chi scrive Fausto le lettere?,Ad Argìa,Alla fanciulla Argìa
IL ROMANZO DELLA MORTE,21,Dove intende morire Fausto?,Nella campagna,In mezzo alla neve in campagna
IL ROMANZO DELLA MORTE,21,Da quale città esce Fausto?,Da Pavia,Dalla città di Pavia
,,,,
IL ROMANZO DELLA MORTE,22,Cosa si rifiuta di fare Fausto alla fine?,Morire da solo,Non morire in solitudine
IL ROMANZO DELLA MORTE,22,Con chi dovrebbe vivere Argìa secondo la voce?,Con il suo bimbo e quell'altro,Con il figlio e un altro uomo
IL ROMANZO DELLA MORTE,22,Quale corso d'acqua invita Fausto a morire?,Il Gravellone,Un ramo del Gravellone
,,,,
IL ROMANZO DELLA MORTE,23,Chi vuole rivedere Fausto?,Argìa,La sua fidanzata Argìa
IL ROMANZO DELLA MORTE,23,Cosa angoscia Argìa?,Il ritardo di Fausto,L'assenza prolungata di Fausto
IL ROMANZO DELLA MORTE,23,Chi è l'unica distrazione di Amelia?,Vittorio,Il personaggio di Vittorio
,,,,
IL ROMANZO DELLA MORTE,24,Quale personaggio femminile viene nominato nel testo?,La signora Luisa,Luisa
,,,,
IL ROMANZO DELLA MORTE,25,Chi è il paziente gravemente malato?,Fausto,Il malato è Fausto
IL ROMANZO DELLA MORTE,25,Quali personaggi assistono Fausto durante la malattia?,"Il professor Pisani, Vittorio e Argìa","Pisani, Vittorio e Argìa"
IL ROMANZO DELLA MORTE,25,Quale procedura medica viene menzionata per Fausto?,L'estrazione dell'acqua dalla pleura,Un'estrazione di acqua dalla pleura
,,,,
IL ROMANZO DELLA MORTE,26,Cosa pensava Amelia della casa?,Che fosse un luogo di pazzia.,Che in quella casa ci fosse un contagio di pazzia.
IL ROMANZO DELLA MORTE,26,Qual è la condizione economica di Fausto e Argìa?,Sono ricchi.,Possiedono grandi ricchezze.
IL ROMANZO DELLA MORTE,26,Qual è la reazione dei parenti al comportamento di Fausto?,Sono irritati.,Sono arrabbiati e contrariati.
,,,,
IL ROMANZO DELLA MORTE,27,Chi è l'uomo che il padre vuole che Argìa sposi?,Fausto,Il malato Fausto
IL ROMANZO DELLA MORTE,27,Qual è la risposta di Argìa alla richiesta del padre?,Rifiuta,Dice di no
IL ROMANZO DELLA MORTE,27,Qual è il motivo principale per cui il padre vuole che Argìa sposi Fausto?,Salvare l'onore della casa,Per l'onore della famiglia
,,,,
IL ROMANZO DELLA MORTE,28,Cosa chiede Fausto al Professore Pisani?,Di sposare Argìa,Il permesso di sposare sua figlia Argìa
IL ROMANZO DELLA MORTE,28,Qual è la relazione tra il Professore Pisani e Argìa?,È suo padre,Argìa è sua figlia
IL ROMANZO DELLA MORTE,28,Cosa promette Argìa a Fausto?,Di non lasciarlo più,Che non lo abbandonerà
,,,,
IL ROMANZO DELLA MORTE,29,Qual era il sentimento iniziale della madre verso il bambino?,Odio,Rancore
IL ROMANZO DELLA MORTE,29,Quale sentimento prova la madre dopo la crisi benefica?,Tenerezza,Amore materno
IL ROMANZO DELLA MORTE,29,Cosa causa il dolore della madre e preannuncia il destino del bambino?,Una condanna,La condanna
,,,,
IL ROMANZO DELLA MORTE,30,Chi sono i due sposi che viaggiano in treno?,Fausto e Argìa,Argìa e Fausto
IL ROMANZO DELLA MORTE,30,Dove si trova la villetta che attende Fausto e Argìa?,Presso Bordighera,A Bordighera
IL ROMANZO DELLA MORTE,30,Cosa è successo a Don Paolo?,È morto,È deceduto
,,,,
