Book,ParagraphIndex,Question,AnswerA,AnswerB
IL RE PREGA ROMANZO,1,Dove si trova la fattoria di Monsieur Rouault?,Vicino a Les Bertaux,Nei pressi del villaggio di Les Bertaux
IL RE PREGA ROMANZO,1,Chi sono gli abitanti della casa descritta nell'estratto quando Charles Bovary la visita per la prima volta?,Monsieur Rouault e sua figlia Emma,Il signor Rouault e la giovane Emma
IL RE PREGA ROMANZO,1,Qual era la funzione principale della stanza annerita dal fumo nella fattoria di Monsieur Rouault?,"Serviva come tinello, cucina e salone","Era la stanza multifunzione per pasti, cucina e soggiorno"
,,,,
IL RE PREGA ROMANZO,2,Monsignor Laudisio riesce a diventare Papa?,"No, non raggiunge il soglio pontificio.",Non ottiene la successione a Gregorio XVI.
IL RE PREGA ROMANZO,2,Qual è la causa della morte delle divote legate a Monsignor Laudisio?,Sono morte per cause naturali.,Decedono a causa di una malattia.
IL RE PREGA ROMANZO,2,In quale provincia Monsignor Laudisio esercita la sua influenza?,Nella provincia di Salerno.,Opera nella provincia salernitana.
,,,,
IL RE PREGA ROMANZO,3,Dove decide di trasferirsi Don Diego?,A Napoli,Nella città di Napoli
IL RE PREGA ROMANZO,3,Come reagisce Bambina alla conversazione di Don Diego con il vescovo?,Prorompe in pianto,Si mette a piangere
IL RE PREGA ROMANZO,3,Perché Don Diego decide di lasciare la provincia?,Perché in provincia non è possibile lottare,Perché la provincia non offre opportunità di lotta
,,,,
IL RE PREGA ROMANZO,4,Chi è Don Diego per la legge?,Un ricercato,Un fuggitivo
IL RE PREGA ROMANZO,4,Qual è il legame familiare tra Don Diego e Bambina?,È sua figlia,È la figlia di Don Diego
IL RE PREGA ROMANZO,4,Per quale motivo Don Diego è ricercato?,Ha commesso un crimine,È accusato di un reato
,,,,
IL RE PREGA ROMANZO,5,Qual è la professione di Don Diego?,Prete,Sacerdote
IL RE PREGA ROMANZO,5,Chi è Bambina per Don Diego?,Sua sorella,La sorella di Don Diego
IL RE PREGA ROMANZO,5,In quale città si svolgono gli eventi narrati?,A Palermo,Nella città di Palermo
,,,,
IL RE PREGA ROMANZO,6,Qual è l'esito del processo di Don Diego?,Viene assolto dalle accuse,La sua innocenza è riconosciuta
IL RE PREGA ROMANZO,6,"Chi è il ""Giuda"" che denuncia Don Diego?",È il suo amico Conte Valerio,Il Conte Valerio lo tradisce
IL RE PREGA ROMANZO,6,Come si chiama il ministro che ordina l'arresto di Don Diego?,Il Ministro della Giustizia Barone De Rossi,Si chiama Barone De Rossi
,,,,
IL RE PREGA ROMANZO,7,Qual è la posizione ecclesiastica del personaggio che traffica elemosine e messe?,Un abate,Un sacerdote
IL RE PREGA ROMANZO,7,"Qual è la città principale in cui si svolgono le vicende del libro, ambientate nel Regno delle Due Sicilie?",Napoli,La città di Napoli
IL RE PREGA ROMANZO,7,Qual è il ruolo di Don Diego all'interno dell'organizzazione che si occupa della 'pesca delle anime'?,Un nuovo collaboratore,Un assistente dell'organizzazione
,,,,
IL RE PREGA ROMANZO,8,Come si chiama la narratrice?,Il suo nome è Isabella,Si chiama Isabella
IL RE PREGA ROMANZO,8,Quale posizione ecclesiastica raggiunge Padre Piombini?,Diventa Vescovo,La sua carica finale è quella di Vescovo
IL RE PREGA ROMANZO,8,In quale città si svolge la vicenda principale?,A Napoli,Nella città di Napoli
,,,,
IL RE PREGA ROMANZO,9,Come si chiama il re che si confessa continuamente?,Re Carlo,Il sovrano Carlo
IL RE PREGA ROMANZO,9,Qual è il nome del confessore del re?,Padre Anselmo,Il frate Anselmo
IL RE PREGA ROMANZO,9,Qual è la relazione tra Lusetta e il confessore?,È la sua amante,La donna con cui ha una relazione segreta
,,,,
IL RE PREGA ROMANZO,10,Domenico Taffa raggiunge la posizione di Consigliere di Stato?,"Sì, diventa Consigliere di Stato",Conquista la carica di Consigliere di Stato
IL RE PREGA ROMANZO,10,Bambina sposa Domenico Taffa?,"Sì, lo sposa",Diventa la moglie di Domenico Taffa
IL RE PREGA ROMANZO,10,Don Diego impedisce il matrimonio tra Bambina e Domenico Taffa?,"No, non lo impedisce",Non riesce a bloccare le nozze
,,,,
IL RE PREGA ROMANZO,11,Qual è la ragione principale per cui Diego e Bambina sono considerati uno scandalo nella città?,La loro relazione amorosa proibita,Il loro legame sentimentale non accettato dalla società
IL RE PREGA ROMANZO,11,Quale nuova strada intraprende Diego dopo la sua disillusione sull'onore e la virtù?,Abbraccia l'infamia e la trasgressione,Decide di agire al di fuori delle convenzioni morali
IL RE PREGA ROMANZO,11,Qual è la natura del legame tra Diego e Bambina?,Sono amanti,Condividono una relazione sentimentale
,,,,
IL RE PREGA ROMANZO,12,Come si chiama la protagonista del romanzo?,Eleonora,Il suo nome è Eleonora
IL RE PREGA ROMANZO,12,Qual è la causa principale della disperazione di Eleonora?,L'abbandono del marito,La solitudine dopo la partenza del consorte
IL RE PREGA ROMANZO,12,In quale città si svolge la maggior parte della vicenda di Eleonora?,A Vallemare,Nella città di Vallemare
,,,,
IL RE PREGA ROMANZO,13,Qual è il motivo della fuga di Bambina?,Per sfuggire a un matrimonio combinato,Per evitare un'unione imposta
