Book,ParagraphIndex,Question,AnswerA,AnswerB
GLI UOMINI ROSSI ROMANZO,1,Di chi è innamorata Europa?,Di Manso Liturgico,Di Didino
GLI UOMINI ROSSI ROMANZO,1,Chi aiuta Europa e Manso Liturgico a fuggire?,Divina,La camerista Divina
GLI UOMINI ROSSI ROMANZO,1,Perché Europa e Manso Liturgico decidono di fuggire?,Per l'opposizione delle loro famiglie,A causa del disaccordo familiare
,,,,
GLI UOMINI ROSSI ROMANZO,2,Chi è la madre di Didino?,La contessa Gilarda,Gilarda
GLI UOMINI ROSSI ROMANZO,2,Come si chiama il cugino di Didino?,Fedele Barbigi,Barbigi
GLI UOMINI ROSSI ROMANZO,2,Quanti anni ha Didino?,Ventuno anni,Ha ventun anni
,,,,
GLI UOMINI ROSSI ROMANZO,3,Chi è Gian Battifiore?,Il sindaco del paese,Il primo cittadino
GLI UOMINI ROSSI ROMANZO,3,Quale evento importante si verifica nella città?,La scomparsa di Europa,La sparizione di Europa
GLI UOMINI ROSSI ROMANZO,3,Chi è la figlia di Gian Battifiore?,Europa,La giovane Europa
,,,,
GLI UOMINI ROSSI ROMANZO,4,Chi sono le quattro figlie di Gian Battifiore?,"Africa, Asia, America e Oceania","Le sorelle Africa, Asia, America e Oceania"
GLI UOMINI ROSSI ROMANZO,4,Cosa attende Africa con speranza?,Un favorevole responso per il suo amore,Il responso alla sua speranza amorosa
GLI UOMINI ROSSI ROMANZO,4,Perché America è calma e tranquilla?,Perché sa di essere desiderata,Sapendo di essere desiderata
,,,,
GLI UOMINI ROSSI ROMANZO,5,Chi fu arrestato?,Gargiuvîn,Il personaggio di nome Gargiuvîn
GLI UOMINI ROSSI ROMANZO,5,Chi è Europa per Gian Battifiore?,La sua bella creatura scomparsa,La persona cara rapita di Gian Battifiore
GLI UOMINI ROSSI ROMANZO,5,Chi ha rapito Europa?,Gli anarchici,I dinamitardi
,,,,
GLI UOMINI ROSSI ROMANZO,6,Qual è il ruolo di Maraveja per il giornale?,È la portinaia del giornale vulcanico,Svolge la funzione di portinaia per il giornale
GLI UOMINI ROSSI ROMANZO,6,Qual è la professione del Cavalier Mostardo?,È un cronista per l'Aristogitone,Lavora come cronista per il giornale l'Aristogitone
GLI UOMINI ROSSI ROMANZO,6,Chi scrive i pensieri del Cavalier Mostardo?,Popolini scrive i suoi pensieri,Ardito Popolini mette per iscritto le sue idee
,,,,
GLI UOMINI ROSSI ROMANZO,7,Qual è la professione di Don Papera?,È un prete,Svolge la professione di prete
GLI UOMINI ROSSI ROMANZO,7,Come reagisce Susanna quando Don Papera legge?,Ride,Sorride e ride
GLI UOMINI ROSSI ROMANZO,7,Quale sentimento prova Don Papera durante la sua prigionia?,Paura,Timore
,,,,
GLI UOMINI ROSSI ROMANZO,8,Chi impartisce gli ordini ai sacerdoti?,Monsignor Rutilante,Il gran vescovo dagli occhi volpini
GLI UOMINI ROSSI ROMANZO,8,Quale sacerdote commenta l'affaruccio che coinvolge Didino ed Europa?,Don Barchetta,Il sacerdote Don Barchetta
GLI UOMINI ROSSI ROMANZO,8,Quale sacerdote si sente particolarmente osservato da Monsignor Rutilante?,Don Papera,Il prete Don Papera
,,,,
GLI UOMINI ROSSI ROMANZO,9,Dove si trova Gargiuvîn?,Nella sua casa,A casa sua
GLI UOMINI ROSSI ROMANZO,9,Chi è il capo della schiera in assenza di Gargiuvîn?,Apulinèr,Apulinèr è il capo
GLI UOMINI ROSSI ROMANZO,9,Chi è il nemico di Miarù?,Plè,Plè è il suo nemico
,,,,
GLI UOMINI ROSSI ROMANZO,10,Chi ebbe l'idea del centenario di Gerolamo Parvenza?,Il conte Agesilao De' Lavilla,Agesilao De' Lavilla
GLI UOMINI ROSSI ROMANZO,10,Dove si riunirono i rappresentanti del partito estremo?,Nella città degli uomini rossi,Nella città dei vini e delle idee avanzate
GLI UOMINI ROSSI ROMANZO,10,Chi è il padre della figlia fuggita?,Gian Battifiore,Battifiore
,,,,
GLI UOMINI ROSSI ROMANZO,11,Qual è la carica di Gian Battifiore?,Il sindaco,La massima autorità cittadina
GLI UOMINI ROSSI ROMANZO,11,Di che colore era la bandiera inalberata da Gian Battifiore?,Rossa,Di colore rosso
GLI UOMINI ROSSI ROMANZO,11,Chi seguiva Gian Battifiore?,Ardito Popolini e Bartolomeo Campana,Popolini e Campana
,,,,
GLI UOMINI ROSSI ROMANZO,12,Chi si uccise per Marinella Albisi?,Vallata,Il povero Vallata
GLI UOMINI ROSSI ROMANZO,12,Chi è la tragica sorella dei tramonti novembrini?,Asia,La sorella Asia
GLI UOMINI ROSSI ROMANZO,12,Chi stava aspettando Gian Battifiore?,Il conte Agesilao De' Lavilla e i professori tedeschi,Agesilao De' Lavilla e i tre professori
,,,,
GLI UOMINI ROSSI ROMANZO,13,Chi è l'ospite del banchetto?,Bortolo Sangiovese,Il signor Bortolo
GLI UOMINI ROSSI ROMANZO,13,Chi ha scritto i cartellini con i nomi degli invitati?,Smeraldina,Una donna di nome Smeraldina
GLI UOMINI ROSSI ROMANZO,13,Come si chiamano le figlie di Gian Battifiore?,"Asia, America, Africa e Oceania","Le quattro figlie: Asia, America, Africa e Oceania"
,,,,
GLI UOMINI ROSSI ROMANZO,14,Chi è Bortolo Sangiovese?,L'impareggiabile simposiarca,L'idolo delle liete brigate
GLI UOMINI ROSSI ROMANZO,14,Quali temi politici discutono i convitati?,La legge di selezione e le rivoluzioni,Il dottrinarismo democratico e l'idealismo mazziniano
GLI UOMINI ROSSI ROMANZO,14,Come viene definita la città di cui i convitati sono 'arbitri'?,La città rossa,La rossa città
,,,,
GLI UOMINI ROSSI ROMANZO,15,Dove si trova Europa?,Al Castello dei Lecci,Nel Castello dei Lecci
GLI UOMINI ROSSI ROMANZO,15,Dove sono diretti Cavalier Mostardo e Marcôn?,Al Castello dei Lecci,Verso il Castello dei Lecci
GLI UOMINI ROSSI ROMANZO,15,Qual è la distanza del Castello dei Lecci?,Sessanta miglia vecchie,Sessanta antiche miglia
,,,,
GLI UOMINI ROSSI ROMANZO,16,Chi sono i coniugi a cui si rivolge Giasmîn?,Europa e Didino,Didino ed Europa
GLI UOMINI ROSSI ROMANZO,16,Quali animali hanno il nido nella torre maestra?,Barbagianni e civette,Gufi e civette
GLI UOMINI ROSSI ROMANZO,16,Cosa portano le spose di San Benedetto per i primi sonni?,Un sacco di lana,La propria lana
,,,,
GLI UOMINI ROSSI ROMANZO,17,Chi sono i due personaggi rimasti soli nel castello?,Europa e Didino,Didino ed Europa
