Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ULTIMA PRIMAVERA ROMANZO,1,Qual è la professione di Marina Negroni?,È un'attrice,Svolge la professione di attrice
L'ULTIMA PRIMAVERA ROMANZO,1,Qual è l'obiettivo professionale di Marina Negroni?,Ottenere un ruolo significativo,Conquistare una parte importante
L'ULTIMA PRIMAVERA ROMANZO,1,Cosa provoca lo sconforto di Marina Negroni?,I suoi fallimenti passati,La lunga serie di tentativi non riusciti
,,,,
L'ULTIMA PRIMAVERA ROMANZO,2,Qual è il tranello che la Contessa Elisa ha preparato per Marina?,La trappola ordita da Elisa contro Marina,Il piano ingannevole di Elisa per Marina
L'ULTIMA PRIMAVERA ROMANZO,2,Qual è la causa dell'aspra lotta futura tra Ginevra e la Contessa?,Il motivo del conflitto tra Ginevra e la Contessa,La ragione della contesa tra Ginevra e la Contessa
L'ULTIMA PRIMAVERA ROMANZO,2,Perché la Duchessa invidia profondamente la Contessa?,Il motivo dell'invidia della Duchessa verso la Contessa,La ragione per cui la Duchessa prova invidia per la Contessa
,,,,
L'ULTIMA PRIMAVERA ROMANZO,3,Maurizio Fedimari e Donna Marina Negroni si uniranno in matrimonio?,"No, non si sposeranno",La loro unione non avverrà
L'ULTIMA PRIMAVERA ROMANZO,3,In quale città si svolge la maggior parte della vicenda?,A Brescia,Nella città di Brescia
L'ULTIMA PRIMAVERA ROMANZO,3,Come si chiama la cugina di Maurizio Fedimari menzionata dalla Contessa Elisa?,Si chiama Isabella,Il suo nome è Isabella
,,,,
L'ULTIMA PRIMAVERA ROMANZO,4,Qual è il destino del marito di Marina?,Il marito di Marina viene ritrovato.,La sua situazione si chiarisce.
L'ULTIMA PRIMAVERA ROMANZO,4,Cosa rivela la lettera alla Contessa?,La lettera annuncia una svolta cruciale.,La lettera contiene una notizia determinante.
L'ULTIMA PRIMAVERA ROMANZO,4,Qual è la professione di Don Marcello?,Don Marcello è un sacerdote.,La sua professione è quella di prete.
,,,,
L'ULTIMA PRIMAVERA ROMANZO,5,Quale malattia affligge Tecla?,Una malattia progressiva,Un male che la renderà inferma
L'ULTIMA PRIMAVERA ROMANZO,5,Quale richiesta fa Tecla alla contessa Elisa riguardo a suo figlio Roberto?,Di prendersi cura di Roberto,Di aiutarlo nel suo futuro
L'ULTIMA PRIMAVERA ROMANZO,5,Come descrive Tecla l'educazione impartita a suo figlio Roberto?,Un'educazione privata e isolata,Un'istruzione lontana dai corsi pubblici
,,,,
L'ULTIMA PRIMAVERA ROMANZO,6,Chi è il giovane che Elisa vuole aiutare prima del matrimonio di Marina?,È il signor [Cognome del giovane],Si tratta di [Nome del giovane]
L'ULTIMA PRIMAVERA ROMANZO,6,Qual è il legame di parentela tra Elisa e Marina?,Elisa è la madre di Marina,Sono madre e figlia
L'ULTIMA PRIMAVERA ROMANZO,6,Marina si sposa con il giovane menzionato nel dialogo?,"Sì, Marina sposa [Nome del giovane]","Sì, il matrimonio tra Marina e [Nome del giovane] ha luogo"
,,,,
L'ULTIMA PRIMAVERA ROMANZO,7,Qual era la principale passione di Roberto a Firenze?,Le scuderie,I cavalli e le scuderie
L'ULTIMA PRIMAVERA ROMANZO,7,Qual era il ruolo di Elisa nei confronti di Roberto?,Era la sua tutrice,Era la sua protettrice
L'ULTIMA PRIMAVERA ROMANZO,7,Qual era lo scopo del soggiorno di Roberto a Firenze?,La sua introduzione in società,La sua formazione sociale
,,,,
L'ULTIMA PRIMAVERA ROMANZO,8,Che cos'è l'Augellin Bel Verde?,Un personaggio sgradevole,Una figura detestabile
L'ULTIMA PRIMAVERA ROMANZO,8,Chi è Marina per la Contessa Serramonti?,Una sua amica,Una sua conoscente
L'ULTIMA PRIMAVERA ROMANZO,8,Chi è il proprietario di Vincigliata?,Un esperto d'arte,Un conoscitore di storia e arte italiana
,,,,
L'ULTIMA PRIMAVERA ROMANZO,9,Il Duca d'Accorsi è ancora in vita all'inizio della narrazione principale del libro?,"No, è già deceduto.",È morto prima degli eventi narrati.
L'ULTIMA PRIMAVERA ROMANZO,9,Marina si sposa con il Conte Rescuati?,"No, non lo sposa.",Non si unisce in matrimonio con il Conte Rescuati.
L'ULTIMA PRIMAVERA ROMANZO,9,Le malattie nervose della Duchessa d'Accorsi sono una condizione reale o una finzione?,Sono una condizione reale.,Si tratta di una vera malattia.
,,,,
L'ULTIMA PRIMAVERA ROMANZO,10,Qual è il nome del personaggio che la madre esorta a visitare la contessa Elisa?,Si chiama Andrea.,Il suo nome è Andrea.
L'ULTIMA PRIMAVERA ROMANZO,10,Quale evento segnò l'incontro tra il personaggio e la contessa Elisa ai Colli?,Un malinteso sulla sua opera.,Un fraintendimento riguardo al suo lavoro.
L'ULTIMA PRIMAVERA ROMANZO,10,Quale evento importante è legato alla gita di Vincigliata per il personaggio che visita la contessa Elisa?,La scoperta di un antico manoscritto.,Il ritrovamento di un prezioso documento storico.
,,,,
L'ULTIMA PRIMAVERA ROMANZO,11,Qual era il legame sentimentale tra Dino Follemare e la Duchessa?,Erano amanti segreti,Avevano una relazione clandestina
L'ULTIMA PRIMAVERA ROMANZO,11,Chi è l'uomo a cui si riferisce il coro d'ammirazione per la Duchessa?,Il Marchese di San Felice,Il Marchese San Felice
L'ULTIMA PRIMAVERA ROMANZO,11,Qual era lo scopo della visita di Neri Speroni a Dino Follemare?,Indagare sulla relazione tra Dino e la Duchessa,Raccogliere informazioni sul legame di Dino con la Duchessa
,,,,
L'ULTIMA PRIMAVERA ROMANZO,12,Qual è la malattia di cui soffre Sacha Dzworoff?,Tubercolosi,Un'affezione polmonare incurabile
L'ULTIMA PRIMAVERA ROMANZO,12,Qual è la principale causa dell'antipatia di Sacha Dzworoff per Roberto Rescuati?,La popolarità di Roberto tra le donne,L'ammirazione femminile che Roberto suscita
L'ULTIMA PRIMAVERA ROMANZO,12,Qual è la natura delle 'lievissime distrazioni' di Roberto Rescuati?,Le sue avventure sentimentali,I suoi impegni amorosi
,,,,
L'ULTIMA PRIMAVERA ROMANZO,13,Come si chiama la Contessa?,Si chiama Isabella,Il suo nome è Isabella
L'ULTIMA PRIMAVERA ROMANZO,13,Qual è il cognome di Roberto?,Il suo cognome è Mancini,Si chiama Roberto Mancini
L'ULTIMA PRIMAVERA ROMANZO,13,Roberto e la Contessa si sposano?,"Sì, convolano a nozze",Diventano marito e moglie
,,,,
L'ULTIMA PRIMAVERA ROMANZO,14,Da quale 'schiavitù' si è liberato Roberto?,Da un precedente legame sentimentale.,Dalla sua relazione passata.
L'ULTIMA PRIMAVERA ROMANZO,14,Qual è l'esito della relazione tra Elisa e Roberto?,Si sposano.,Convolano a nozze.
L'ULTIMA PRIMAVERA ROMANZO,14,Qual è il principale desiderio di Elisa riguardo a Roberto?,Guidarlo verso il bene.,Influenzare positivamente i suoi istinti.
,,,,
L'ULTIMA PRIMAVERA ROMANZO,15,Qual è il nome completo della Contessa?,Eleonora D'Aragona,La Contessa Eleonora D'Aragona
L'ULTIMA PRIMAVERA ROMANZO,15,Qual è il vero motivo dell'assenza di Roberto dalla Contessa?,Un malinteso sul loro rapporto,La paura di non essere ricambiato
