Book,ParagraphIndex,Question,AnswerA,AnswerB
PICCOLO ROMANZO,1,Qual è il nome del principe?,Fabrizio,Il suo nome è Fabrizio
PICCOLO ROMANZO,1,Di che nazionalità è Miss Daisy?,Inglese,È di nazionalità inglese
PICCOLO ROMANZO,1,Qual è il legame tra donna Clara e Haiduck?,Sono sposati,Sono marito e moglie
,,,,
PICCOLO ROMANZO,2,Di che nazionalità è Miss Daisy?,Inglese,È di nazionalità inglese
PICCOLO ROMANZO,2,In quale città si svolge il ballo a cui partecipano Donna Clara e Miss Daisy?,A Roma,Nella città di Roma
PICCOLO ROMANZO,2,Qual è la nazionalità dell'ufficiale che accompagna il principe?,Ungherese,È di nazionalità ungherese
,,,,
PICCOLO ROMANZO,3,Qual è stato l'esito finale della relazione tra Miss Daisy e Guido Arezzo?,Non si sono mai sposati,La loro relazione non è progredita
PICCOLO ROMANZO,3,Qual è il legame di parentela tra Donna Clara e Miss Daisy?,Sono sorelle,Condividono un legame familiare stretto
PICCOLO ROMANZO,3,Qual è il motivo profondo dell'amore di Miss Daisy per l'Italia?,È legata a un ricordo d'infanzia,Trova ispirazione nella sua cultura
,,,,
PICCOLO ROMANZO,4,Qual è il titolo nobiliare di Don Francesco?,Principe,Un principe
PICCOLO ROMANZO,4,Qual è il titolo nobiliare di donna Maria di Lanciano?,Duchessa,Una duchessa
PICCOLO ROMANZO,4,Don Francesco e donna Maria di Lanciano si sposeranno?,"Sì, si sposeranno","Sì, diventeranno marito e moglie"
,,,,
PICCOLO ROMANZO,5,Come si chiama la fanciulla che sposa il principe di Schillingfurst?,Si chiama Elena Montecatini.,Il suo nome è Elena Montecatini.
PICCOLO ROMANZO,5,Qual è il nome della donna che Francesco sposa?,Francesco sposa Livia.,Il nome della sposa di Francesco è Livia.
PICCOLO ROMANZO,5,Come si chiama la terza donna che ha scritto una lettera a Francesco?,Si chiama Isabella.,Il suo nome è Isabella.
,,,,
PICCOLO ROMANZO,6,Come si chiama la protagonista che si confida con Francesco?,Si chiama Elena,Il suo nome è Elena
PICCOLO ROMANZO,6,La protagonista sposa il vecchio principe tedesco?,"No, non lo sposa",Non si unisce in matrimonio con il principe
PICCOLO ROMANZO,6,Qual è il nome del principe tedesco che la protagonista dovrebbe sposare?,Il principe si chiama Karl von Hohenstein,Il suo nome è Karl von Hohenstein
,,,,
PICCOLO ROMANZO,7,Come si chiama la narratrice?,Elena Muti,Elena
PICCOLO ROMANZO,7,Come si chiama l'uomo amato da Elena Muti?,Andrea Sperelli,Andrea
PICCOLO ROMANZO,7,Qual è il titolo del padre di Elena Muti?,Principe di Candia,Il Principe di Candia
,,,,
PICCOLO ROMANZO,8,Come si chiama la donna che scrive la lettera a Francesco?,Elena Muti,Il suo nome è Elena Muti
PICCOLO ROMANZO,8,La protagonista Elena Muti sposa l'uomo anziano menzionato nella lettera?,"Sì, sposa Lord Heathfield",Elena Muti si unisce in matrimonio con Lord Heathfield
PICCOLO ROMANZO,8,"Andrea Sperelli, a cui è indirizzata la lettera, e Elena Muti si incontrano di nuovo dopo la lettera?","Sì, si incontrano nuovamente",I due personaggi si rivedono
,,,,
PICCOLO ROMANZO,9,Come si chiama la protagonista che intende suicidarsi?,Maria,La protagonista Maria
PICCOLO ROMANZO,9,Chi è la persona amata a cui la protagonista si rivolge nel suo monologo?,Giorgio,Il suo amato Giorgio
PICCOLO ROMANZO,9,Qual è il nome della montagna dove la protagonista progetta il suicidio?,Il Monte Cervino,La montagna del Cervino
,,,,
PICCOLO ROMANZO,10,Come si chiama la protagonista che pronuncia queste parole?,Maria,Il nome della protagonista è Maria
PICCOLO ROMANZO,10,Qual è la ragione principale della morte della protagonista?,L'amore non corrisposto per Francesco,Il rifiuto sentimentale di Francesco
PICCOLO ROMANZO,10,Qual è l'atteggiamento di Francesco nei confronti della protagonista?,È indifferente al suo amore,Non ricambia i suoi sentimenti
,,,,
PICCOLO ROMANZO,11,Come si chiama la donna che pronuncia queste parole?,Anna,La protagonista Anna
PICCOLO ROMANZO,11,Chi è l'uomo a cui Anna si rivolge nel suo monologo?,Roberto,Suo marito Roberto
PICCOLO ROMANZO,11,Qual è il destino finale di Anna nel dramma?,Si suicida,Muore suicida
,,,,
PICCOLO ROMANZO,12,Qual è la natura del legame tra Don Francesco e Donna Maria di Lanciano?,Sono amanti,Hanno una relazione sentimentale
PICCOLO ROMANZO,12,Qual è la ragione per cui Donna Lucrezia Savella è definita 'la pazza'?,Soffre di una malattia mentale,È affetta da un disturbo psichico
PICCOLO ROMANZO,12,Perché Don Francesco raccoglie le rose da Donna Lucrezia Savella?,Per donarle a Donna Maria di Lanciano,Per esprimere il suo amore a Donna Maria
,,,,
PICCOLO ROMANZO,13,Come si conclude la vicenda di Francesco?,Con la sua morte,Francesco trova la morte
PICCOLO ROMANZO,13,Qual è il cognome di Maria?,Il suo cognome è Salviati,Maria si chiama Salviati
PICCOLO ROMANZO,13,Qual è il ruolo di Donna Lucrezia Savella nella trama?,È una figura di contorno che influenza gli eventi,Svolge un ruolo secondario ma significativo
,,,,
PICCOLO ROMANZO,14,Maria ricambia mai l'amore di Francesco?,"No, non lo ricambia mai.","No, il suo amore rimane non corrisposto."
PICCOLO ROMANZO,14,Maria e Francesco rimangono insieme?,"No, si separano.","No, le loro strade si dividono."
PICCOLO ROMANZO,14,Qual è il destino finale di Francesco?,Muore.,Perde la vita.
,,,,
PICCOLO ROMANZO,15,Qual è l'argomento centrale della commedia 'La figlia di Ninotta' di R. Carafa?,Le vicende familiari della protagonista,I conflitti interni alla famiglia di Ninotta
