Book,ParagraphIndex,Question,AnswerA,AnswerB
L'AMORE CHE TORNA ROMANZO,1,Come si chiama la donna che si confida con Marco?,Si chiama Eleonora,Il suo nome è Eleonora
L'AMORE CHE TORNA ROMANZO,1,Qual è la professione di Marco?,È uno scrittore,Svolge la professione di scrittore
L'AMORE CHE TORNA ROMANZO,1,Qual è il legame sentimentale tra Marco ed Eleonora?,Sono amanti,Hanno una relazione amorosa
,,,,
L'AMORE CHE TORNA ROMANZO,2,Come si chiama il protagonista maschile che parla con Edoarda?,Andrea Sperelli,Il conte Andrea Sperelli
L'AMORE CHE TORNA ROMANZO,2,Qual è la professione del protagonista maschile?,È un esteta e letterato,Un raffinato artista e scrittore
L'AMORE CHE TORNA ROMANZO,2,Dove si svolge la maggior parte della vicenda narrata nel libro?,A Roma,"Nella capitale italiana, Roma"
,,,,
L'AMORE CHE TORNA ROMANZO,3,Qual è il ruolo di Elena nella vita di Guelfo?,È la sua confidente,Elena è la persona a cui Guelfo si confida
L'AMORE CHE TORNA ROMANZO,3,Come si conclude il matrimonio di Guelfo?,Il matrimonio di Guelfo termina,La sua unione matrimoniale si scioglie
L'AMORE CHE TORNA ROMANZO,3,Qual era l'opinione iniziale di Guelfo riguardo al matrimonio?,Guelfo preferiva la sua libertà,"Non desiderava sposarsi, preferendo la libertà"
,,,,
L'AMORE CHE TORNA ROMANZO,4,Come si chiama la donna per cui si sono battuti l'Albanese e il narratore?,Si chiama Elena,Il suo nome è Elena
L'AMORE CHE TORNA ROMANZO,4,Qual è stata la conseguenza del duello tra l'Albanese e il narratore?,Il narratore è rimasto ferito al braccio,Il protagonista ha riportato una ferita al braccio
L'AMORE CHE TORNA ROMANZO,4,Qual era la vera relazione tra il narratore e la donna contesa?,Erano solo amici d'infanzia,Avevano un rapporto di semplice amicizia fin dall'infanzia
,,,,
L'AMORE CHE TORNA ROMANZO,5,Come si chiama la donna a cui il narratore chiede a Fabio di parlare?,Si chiama Elena,Il suo nome è Elena
L'AMORE CHE TORNA ROMANZO,5,Qual è la causa principale dell'inferno emotivo del narratore?,È un amore non corrisposto,La sua infelicità sentimentale
L'AMORE CHE TORNA ROMANZO,5,Fabio accetta di intercedere per il narratore presso la donna amata?,"Sì, Fabio accetta di aiutarlo","Sì, decide di parlare con lei"
,,,,
L'AMORE CHE TORNA ROMANZO,6,Qual è il cognome di Elena?,Greco,Elena Greco
L'AMORE CHE TORNA ROMANZO,6,Chi è la persona che Elena è andata a cercare?,Nino Sarratore,Il signor Nino Sarratore
L'AMORE CHE TORNA ROMANZO,6,Qual è il legame tra Elena e il narratore?,Sono sposati,Sono marito e moglie
,,,,
L'AMORE CHE TORNA ROMANZO,7,Elena riesce a realizzare il suo sogno di diventare attrice?,"Sì, diventa un'attrice di successo","Sì, la sua carriera teatrale decolla"
L'AMORE CHE TORNA ROMANZO,7,Qual è la vera intenzione di Hohenfels nei confronti di Elena?,Vuole sedurla,Cerca di conquistarla
L'AMORE CHE TORNA ROMANZO,7,Come si chiama il personaggio che crea arte e il cui tacito sogno muore?,Si chiama Pietro,Il suo nome è Pietro
,,,,
L'AMORE CHE TORNA ROMANZO,8,Quale ruolo ha Duvally nella carriera di attrice di Elena?,È il suo mentore e protettore,La aiuta a iniziare la sua carriera teatrale
L'AMORE CHE TORNA ROMANZO,8,Chi è il narratore che riceve le lettere di Edoarda?,Andrea Sperelli,Il protagonista Andrea Sperelli
L'AMORE CHE TORNA ROMANZO,8,Qual è il destino della baronessa dopo aver lasciato Elena?,Muore a causa della sua malattia,Non sopravvive alla sua infermità
,,,,
L'AMORE CHE TORNA ROMANZO,9,Il narratore sposa Elena?,"No, non la sposa.",Non si unisce in matrimonio con Elena.
L'AMORE CHE TORNA ROMANZO,9,Fabio è innamorato di Elena?,"Sì, prova sentimenti per lei.","Sì, è innamorato di Elena."
L'AMORE CHE TORNA ROMANZO,9,La 'signora vostra' menzionata è Elena?,"No, è un'altra persona.","No, la 'signora vostra' non è Elena."
,,,,
L'AMORE CHE TORNA ROMANZO,10,Come si chiama la donna che accompagna il narratore alla festa floreale?,Elena,La donna di nome Elena
L'AMORE CHE TORNA ROMANZO,10,In quale luogo si tiene il convegno della festa floreale?,Al Tempio di Santa Maria,Presso il Tempio di Santa Maria
L'AMORE CHE TORNA ROMANZO,10,Come si chiama il proprietario della cavalla menzionata all'inizio dell'estratto?,Lazzaro,Il personaggio di nome Lazzaro
,,,,
L'AMORE CHE TORNA ROMANZO,11,Come si chiama la signora ungherese che il conte ha condotto da Roma?,Contessa Olga,Olga
L'AMORE CHE TORNA ROMANZO,11,Chi è la donna che il conte sta per sposare?,Laura,La signorina Laura
L'AMORE CHE TORNA ROMANZO,11,Qual è il nome completo del conte?,Alessandro di San Felice,Il Conte Alessandro di San Felice
,,,,
