Book,ParagraphIndex,Question,AnswerA,AnswerB
IL BUSTO D'ORO  ROMANZO,1,Quale fu l'esito del progetto della nuova linea ferroviaria?,Il progetto non fu mai realizzato,La costruzione della linea ferroviaria fu abbandonata
IL BUSTO D'ORO  ROMANZO,1,Qual è il legame di parentela tra Francis Webb ed Evaristo Grinfieri?,Sono zio e nipote,Francis Webb è lo zio di Evaristo Grinfieri
IL BUSTO D'ORO  ROMANZO,1,Quale fu il destino finale della ricchezza di Francis Webb?,La sua fortuna fu ereditata da Evaristo Grinfieri,Francis Webb perse gran parte dei suoi beni
,,,,
IL BUSTO D'ORO  ROMANZO,2,Come si chiama il personaggio che rifiuta l'investimento ferroviario proposto?,Si chiama [Nome del personaggio],Il suo nome è [Nome del personaggio]
IL BUSTO D'ORO  ROMANZO,2,Il progetto del nuovo tronco ferroviario dell'Est viene infine realizzato?,"Sì, il progetto è completato.","No, la costruzione non avviene."
IL BUSTO D'ORO  ROMANZO,2,Chi è la persona definita 'diavolo suggeritore' nel dialogo tra i personaggi?,È [Nome del suggeritore].,La persona è [Nome del suggeritore].
,,,,
IL BUSTO D'ORO  ROMANZO,3,Qual è la natura del segreto che Hulda nasconde a Evaristo Grinfieri?,Hulda ha un amante,Hulda ha una relazione clandestina
IL BUSTO D'ORO  ROMANZO,3,Qual è il destino finale di Hulda nel romanzo?,Si suicida,Si toglie la vita
IL BUSTO D'ORO  ROMANZO,3,In quale città si svolge la vicenda di Hulda?,A Torino,Nella città di Torino
,,,,
IL BUSTO D'ORO  ROMANZO,4,Come si chiama il cocchiere del N.?,Il suo nome è [Nome del cocchiere],Si chiama [Nome del cocchiere]
IL BUSTO D'ORO  ROMANZO,4,Cosa rappresenta la 'quaglia di ritorno' menzionata da Evaristo?,È [Persona o evento specifico],Rappresenta [Persona o evento specifico]
IL BUSTO D'ORO  ROMANZO,4,A quale colloquio si riferisce Evaristo parlando con il cocchiere?,Si riferisce al colloquio con [Nome del personaggio],È il colloquio riguardante [Scopo del colloquio]
,,,,
IL BUSTO D'ORO  ROMANZO,5,Come si chiama la dama di cui Evaristo fornisce informazioni?,Si chiama Elena,Il suo nome è Elena
IL BUSTO D'ORO  ROMANZO,5,Qual è la professione di Evaristo?,È un cocchiere,Svolge il mestiere di cocchiere
IL BUSTO D'ORO  ROMANZO,5,La dama di cui parla Evaristo ha un amante nel corso del libro?,"Sì, ha un amante","Sì, intrattiene una relazione extraconiugale"
,,,,
IL BUSTO D'ORO  ROMANZO,6,Qual è il nome del protagonista che sospetta Hulda?,Il suo nome è Giovanni.,Si chiama Giovanni.
IL BUSTO D'ORO  ROMANZO,6,Hulda tradisce il protagonista Giovanni?,"Sì, Hulda tradisce Giovanni.",Giovanni viene tradito da Hulda.
IL BUSTO D'ORO  ROMANZO,6,Qual è la natura del tradimento di Hulda?,Il tradimento di Hulda è di natura sentimentale.,Hulda tradisce Giovanni con un altro uomo.
,,,,
IL BUSTO D'ORO  ROMANZO,7,Chi è raffigurato nella fotografia che Evaristo decide di non portare?,Sua madre,La madre di Evaristo
IL BUSTO D'ORO  ROMANZO,7,Qual è il rapporto tra Evaristo e Hulda?,È il tutore di Hulda,Evaristo è il suo tutore legale
IL BUSTO D'ORO  ROMANZO,7,Quale evento cruciale Bess definisce un errore di Hulda?,Il suo matrimonio segreto,Le sue nozze clandestine
,,,,
IL BUSTO D'ORO  ROMANZO,8,Chi è il mittente del biglietto che offre di saldare i debiti di Hulda?,Il signor Giovanni,"Giovanni, il benefattore"
IL BUSTO D'ORO  ROMANZO,8,Che tipo di relazione lega Hulda al signore che le invia il biglietto?,È il suo spasimante,È un pretendente di Hulda
IL BUSTO D'ORO  ROMANZO,8,Qual è la principale preoccupazione finanziaria di Hulda?,I debiti verso i suoi fornitori,Il saldo dei conti con i fornitori
,,,,
IL BUSTO D'ORO  ROMANZO,9,Come si chiama la protagonista che racconta la storia?,Maria,La giovane Maria
IL BUSTO D'ORO  ROMANZO,9,Qual è il destino finale di Maria?,Diventa monaca,Si fa suora
IL BUSTO D'ORO  ROMANZO,9,Qual è il vizio del padre di Maria?,L'alcolismo,Il bere eccessivo
,,,,
IL BUSTO D'ORO  ROMANZO,10,Qual è la professione di Riccardo Carassale?,L'antiquario,Un antiquario
IL BUSTO D'ORO  ROMANZO,10,Chi ha allevato Riccardo Carassale?,Don Antonio Percucco,Il vecchio Don Antonio Percucco
IL BUSTO D'ORO  ROMANZO,10,Qual era il nome originale di Hulda?,Concetta,Il suo nome era Concetta
,,,,
IL BUSTO D'ORO  ROMANZO,11,Qual è il destino finale di Concetta nel romanzo?,Si sposa con [Nome del personaggio],Convolge a nozze con [Nome del personaggio]
IL BUSTO D'ORO  ROMANZO,11,Chi è il personaggio che nutre un profondo affetto per Concetta?,È [Nome del personaggio],Il personaggio è [Nome del personaggio]
IL BUSTO D'ORO  ROMANZO,11,Qual è il nome dell'evento in cui Concetta assume i liquori?,La festa di [Nome dell'evento],Il ricevimento di [Nome dell'evento]
,,,,
IL BUSTO D'ORO  ROMANZO,12,Qual è la natura dell'organizzazione guidata da Guy Stein?,Un'organizzazione criminale,Una banda dedita al furto e ad attività illecite
IL BUSTO D'ORO  ROMANZO,12,Che ruolo ha Guy Stein nella vita di Hulda?,È il suo protettore e benefattore,È colui che ha fatto la sua fortuna e la protegge
IL BUSTO D'ORO  ROMANZO,12,Qual è il ruolo del padre di Guy Stein all'interno dell'organizzazione?,È il mentore e istruttore dei giovani,È il patriarca che forma i nuovi membri
,,,,
IL BUSTO D'ORO  ROMANZO,13,Qual è l'obiettivo principale di Evaristo?,Raggiungere un milione,Ottenere un milione di denaro
IL BUSTO D'ORO  ROMANZO,13,Qual è la professione di Gasparal?,È un avvocato,Svolge la professione di avvocato
IL BUSTO D'ORO  ROMANZO,13,Cosa propone Evaristo a Gasparal di fare?,Di fondare un giornale,Di creare un giornale
,,,,
IL BUSTO D'ORO  ROMANZO,14,Qual è il destino del milione nella cassaforte di Francis Webb?,Viene sottratto da Evaristo,Evaristo riesce a rubarlo
IL BUSTO D'ORO  ROMANZO,14,"Qual è il ruolo di Ben, il cocchiere, nel piano di Evaristo?",È un complice di Evaristo,Assiste Evaristo nel suo colpo
IL BUSTO D'ORO  ROMANZO,14,Evaristo viene catturato dalla polizia per il suo colpo?,"No, riesce a fuggire",Evaristo sfugge alla cattura
,,,,
IL BUSTO D'ORO  ROMANZO,15,Chi è il padre del protagonista?,L'uomo raffigurato nel ritratto,Il personaggio del quadro
IL BUSTO D'ORO  ROMANZO,15,Qual è il destino di Concetta?,Abbandona il protagonista,Si allontana dal protagonista
IL BUSTO D'ORO  ROMANZO,15,Che mestiere svolge il protagonista?,L'antiquario,È un antiquario
,,,,
IL BUSTO D'ORO  ROMANZO,16,Chi è raffigurato nel quadro?,Il conte Melisardo,Melisardo
IL BUSTO D'ORO  ROMANZO,16,Dove si trova il conte Melisardo?,In America,A New York
IL BUSTO D'ORO  ROMANZO,16,Perché il conte Melisardo è andato in America?,Per i guai combinati in Italia,Per le sue malefatte in Italia
,,,,
IL BUSTO D'ORO  ROMANZO,17,Qual è l'obiettivo finale del piano di Evaristo che coinvolge Hulda e Guy Stein?,Ottenere un milione di lire,Impossessarsi di un milione di lire
IL BUSTO D'ORO  ROMANZO,17,Qual era il contenuto della lettera che Evaristo consegnò a Hulda?,Le istruzioni per incastrare Guy Stein,Il piano dettagliato contro Guy Stein
IL BUSTO D'ORO  ROMANZO,17,Chi erano i protagonisti del 'doppio segreto amore' di Hulda menzionato da Bess?,Le due persone coinvolte nelle relazioni segrete di Hulda,I due individui con cui Hulda aveva un amore segreto
,,,,
IL BUSTO D'ORO  ROMANZO,18,Qual è la principale abilità di Guy Stein che lo rende un ladro così efficace?,La sua capacità di trasformarsi fisicamente,La sua maestria nel travestimento
IL BUSTO D'ORO  ROMANZO,18,Qual è l'obiettivo principale di Guy Stein all'inizio della storia?,Ottenere i misteriosi milioni,Impossessarsi di una grande somma di denaro
IL BUSTO D'ORO  ROMANZO,18,Qual è il legame tra Hulda e Guy Stein?,È la sua complice,È la sua compagna nelle sue imprese
,,,,
IL BUSTO D'ORO  ROMANZO,19,Qual è la ragione che spinge Ben a considerare l'uccisione di Gar?,Una grave necessità economica,La povertà lo costringe
IL BUSTO D'ORO  ROMANZO,19,Qual è il destino finale del cavallo Gar?,Viene ucciso da Ben,Perisce per mano di Ben
IL BUSTO D'ORO  ROMANZO,19,Qual è la professione di Ben?,È un carrettiere,Svolge il mestiere di cocchiere
,,,,
IL BUSTO D'ORO  ROMANZO,20,Qual è il ruolo di Gar nella vicenda principale?,È il protagonista,È il personaggio centrale della storia
IL BUSTO D'ORO  ROMANZO,20,Cosa custodiva la cassa-forte di Grinfieri e Francis Webb?,Beni di grande valore,Ricchezze importanti
IL BUSTO D'ORO  ROMANZO,20,Cos'era la 'bestia' menzionata all'inizio del racconto?,Un animale selvatico,Una creatura feroce
,,,,
IL BUSTO D'ORO  ROMANZO,21,Con chi si sposa Evaristo alla fine del libro?,Con Mary,Sposa Mary
IL BUSTO D'ORO  ROMANZO,21,Francis Webb approva la relazione tra Mary ed Evaristo?,"No, non la approva",Si oppone alla loro unione
IL BUSTO D'ORO  ROMANZO,21,Evaristo riesce a troncare la relazione con Hulda?,"Sì, ci riesce",Pone fine al rapporto con Hulda
,,,,
IL BUSTO D'ORO  ROMANZO,22,Francis Webb acconsente al matrimonio di Mary con Evaristo?,"Sì, acconsente al matrimonio.","Sì, dà il suo consenso alle nozze."
IL BUSTO D'ORO  ROMANZO,22,Qual era il ruolo di Evaristo nella fortuna di Francis Webb?,Ha contribuito alla sua ricchezza.,Era un collaboratore negli affari di Francis Webb.
IL BUSTO D'ORO  ROMANZO,22,Qual è il nome completo di Mary?,Mary Webb.,Il suo nome completo è Mary Webb.
,,,,
IL BUSTO D'ORO  ROMANZO,23,Evaristo rimane fedele a Hulda nel corso del libro?,"No, la tradisce.","No, non le resta fedele."
IL BUSTO D'ORO  ROMANZO,23,Qual è il ruolo di Guy Stein nella vita di Hulda?,È un suo avversario.,È un nemico di Hulda.
IL BUSTO D'ORO  ROMANZO,23,Hulda riesce a mantenere Evaristo legato a sé?,"No, Evaristo la lascia.","No, Evaristo si allontana da lei."
,,,,
IL BUSTO D'ORO  ROMANZO,24,Chi è Mary?,La figlia di Webb,La futura sposa di Evaristo
IL BUSTO D'ORO  ROMANZO,24,Perché Evaristo ha rubato a Webb?,Per vendicarsi di Webb,Per la vendetta contro Webb
IL BUSTO D'ORO  ROMANZO,24,Cosa intendeva fare Evaristo con ciò che aveva rubato?,Restituirlo,Rendere il maltolto
,,,,
IL BUSTO D'ORO  ROMANZO,25,Chi ha commesso il delitto contro Hulda?,È stato il Barone Rossi,Il colpevole è il Barone Rossi
