Batch,Testo,Risposta1,Risposta2
1,Qual è l'obiettivo principale di Elara all'inizio del romanzo?,Elara cerca di recuperare la Pietra del Sole.,Il suo scopo iniziale è ritrovare l'artefatto chiamato Pietra del Sole.
1,Chi è il mentore che guida Kael nel suo viaggio?,"Il saggio anziano, Maestro Lyra, lo istruisce.","Kael è guidato dal Maestro Lyra, un vecchio e sapiente consigliere."
1,Come si conclude il conflitto tra il Regno di Eldoria e le Terre Oscure?,Il conflitto si risolve con un trattato di pace.,"Le due fazioni firmano un accordo di pace, ponendo fine alla guerra."
1,Che fine fa la spada leggendaria di Re Theron?,La spada viene nascosta in un luogo segreto.,Viene celata in un nascondiglio sconosciuto a tutti.
2,Qual è la professione di Aldo?,Aldo è un editore,Lavora nel campo dell'editoria
2,Chi è il padre del bambino accudito dalla nurse?,Il padre del bambino è Marco,Marco è il genitore del bambino
2,In quale città Nancy e Aldo si incontrano per la prima volta?,Si incontrano per la prima volta a Roma,Il loro primo incontro avviene nella città di Roma
2,Qual è il nome della rivista letteraria a cui Nancy collabora regolarmente?,Nancy collabora con la rivista 'Il Parnaso',La rivista con cui Nancy lavora è 'Il Parnaso'
3,Qual è la professione di Marco all'inizio del romanzo?,Marco è un falegname.,Marco lavora come artigiano del legno.
3,Chi è il principale avversario di Elena nella sua ricerca?,Il Dottor Rossi è il suo maggiore ostacolo.,Il Dottor Rossi si oppone ai piani di Elena.
3,In quale città si trasferisce la famiglia Bianchi dopo l'incendio?,La famiglia Bianchi si sposta a Firenze.,"Dopo l'incendio, i Bianchi vanno a vivere a Firenze."
3,Quale decisione prende Sofia riguardo al suo futuro accademico?,Sofia decide di abbandonare gli studi universitari.,Sofia sceglie di non proseguire l'università.
4,Qual è il ruolo di George nella vita di Nancy?,È un amico che la aiuta economicamente,È un benefattore che le offre supporto finanziario
4,Chi è lo Sconosciuto che incontra Nancy?,È un vecchio amico di Aldo,È un conoscente di lunga data di Aldo
4,Come risolvono Nancy e Aldo le loro difficoltà economiche?,Vendono la loro proprietà di famiglia,Alienano i beni di famiglia
4,Qual è la ragione della rottura tra Nunziata e Nino?,Nino si trasferisce in un'altra città per lavoro,Nino si sposta altrove per un impiego
5,Qual è il legame tra Nancy e Aldo?,Sono marito e moglie.,Sono sposati.
5,Come si chiama la bambina di Nancy?,Si chiama Lisa.,Il suo nome è Lisa.
5,Che ruolo ha Fräulein nella vita di Nancy e Nino?,È la loro governante d'infanzia.,È stata la loro istitutrice.
5,Chi è il proprietario di Villa Solitudine?,La villa appartiene alla famiglia di Nancy.,È di proprietà della famiglia di Nancy.
6,Perché Nancy si trasferisce a Berlino?,Si trasferisce per iniziare una nuova vita lontano dal suo passato.,Il suo trasferimento a Berlino è motivato dal desiderio di un nuovo inizio.
6,Chi è il signor Schmidt per Nancy?,È il suo datore di lavoro e mentore.,Il signor Schmidt è il capo di Nancy e la guida nel suo percorso professionale.
6,Qual è l'oggetto misterioso che Nancy deve recuperare?,Deve recuperare un antico orologio da tasca appartenuto a sua nonna.,L'oggetto che Nancy cerca è un orologio da tasca di famiglia con un grande valore sentimentale.
6,Qual è la decisione finale di Nancy riguardo al suo matrimonio con Paul?,Decide di annullare il matrimonio per seguire i suoi sogni.,Nancy sceglie di non sposare Paul per perseguire la sua indipendenza.
7,A cosa serve il libretto che Aldo ottiene?,È la chiave per svelare un segreto importante.,Contiene informazioni cruciali per il suo futuro.
7,Qual è il destino finale di Nancy?,Si trasferisce all'estero per la sua carriera artistica.,Trova successo e si stabilisce in un altro paese.
7,Chi aiuta Aldo a superare una difficoltà importante nel corso del romanzo?,Anne-Marie gli offre un supporto inaspettato.,Riceve aiuto da Anne-Marie in un momento critico.
7,Qual è la ragione principale per cui la narratrice decide di scrivere la storia di Aldo?,Vuole rendere giustizia alla sua memoria.,Sente il bisogno di raccontare la sua verità.
8,Qual era il legame tra Nunziata Villari e Nino?,Erano amanti e colleghi nel teatro.,Condividevano una relazione sentimentale e professionale.
8,Qual è il rapporto di parentela tra Nancy e l'Orco?,L'Orco è il padre di Nancy.,Sono padre e figlia.
8,Qual è il legame di parentela tra la bambina che viaggia con Nancy e l'Orco?,La bambina è la nipote dell'Orco.,L'Orco è il nonno della bambina.
8,Qual è il legame di parentela tra Valeria e Nunziata Villari?,Valeria è la figlia di Nunziata Villari.,Nunziata Villari è la madre di Valeria.
9,Qual è il ruolo di Fräulein Müller nella casa di Clarissa e Carlo?,È la loro governante.,Svolge le mansioni di domestica per la coppia.
