Book,ParagraphIndex,Question,AnswerA,AnswerB
L'INCANTESIMO,1,Qual era l'obiettivo ultimo dell'opera di restaurazione sociale di Aurelio?,Assicurare il progresso futuro della Specie,Garantire l'avvenire della Specie
L'INCANTESIMO,1,Quale evento storico causò la perdita di gran parte delle ricchezze della famiglia di Aurelio?,Le rivoluzioni,Le rivoluzioni che colpirono l'avo Gian Franco
L'INCANTESIMO,1,Quale pubblicazione fondò Aurelio all'inizio della sua carriera pubblica?,La Rivista di sociologia,Una rivista intitolata 'La Rivista di sociologia'
,,,,
L'INCANTESIMO,2,Qual è il titolo del romanzo da cui è tratto l'estratto?,Il Romanzo di Aurelio Imberido,Il romanzo di Aurelio Imberido
L'INCANTESIMO,2,Chi è l'autore del romanzo di Aurelio Imberido?,Alfredo Panzini,Panzini
L'INCANTESIMO,2,In quale regione italiana è ambientato il romanzo?,In Emilia-Romagna,Nella campagna emiliana
,,,,
L'INCANTESIMO,3,Qual è l'Ideale che Aurelio persegue?,La sua realizzazione intellettuale,Il suo ideale di perfezione spirituale
L'INCANTESIMO,3,Qual è il ruolo di Zaldini nella vita di Aurelio?,È il suo amico e collaboratore,Rappresenta il suo legame con il mondo intellettuale
L'INCANTESIMO,3,Come si chiama la Rivista di Aurelio e Zaldini?,La Nuova Idea,Il Pensiero Moderno
,,,,
L'INCANTESIMO,4,Qual è la professione che Aurelio decide di intraprendere?,Lo scrittore,La carriera letteraria
L'INCANTESIMO,4,Qual è il principale desiderio di Donna Marta per il futuro di Aurelio?,Che abbia una professione redditizia,Che intraprenda una carriera lucrosa
L'INCANTESIMO,4,Qual è la natura del legame tra Aurelio e Luciano?,Sono amici intimi,Sono grandi amici
,,,,
L'INCANTESIMO,5,Aurelio si innamora nel corso del libro?,"Sì, si innamora","Sì, prova il sentimento dell'amore"
L'INCANTESIMO,5,"Qual è la causa principale delle ""memorie tristi"" di Flavia?",Un amore passato infelice,Una delusione amorosa
L'INCANTESIMO,5,Come si chiama il palazzo menzionato nell'estratto?,Villa del Lago,Il Palazzo Sereno
,,,,
L'INCANTESIMO,6,Qual è il principale obiettivo di Aurelio Imberido?,Promuovere un'evoluzione della specie umana,Creare un'umanità superiore
L'INCANTESIMO,6,Qual è il nome del villaggio in cui Aurelio Imberido rientra?,Cerro,Il villaggio di Cerro
L'INCANTESIMO,6,Qual è il rapporto di Camilla con Aurelio Imberido?,È la sorella di Aurelio,Sono fratelli
,,,,
L'INCANTESIMO,7,Qual è il nome della donna che tormenta Aurelio?,Matilde,Si chiama Matilde
L'INCANTESIMO,7,Quale accusa infondata rivolge la donna ad Aurelio?,Un'accusa di furto,L'accusa di aver rubato
L'INCANTESIMO,7,Qual è la professione di Aurelio?,È uno scrittore,Svolge la professione di scrittore
,,,,
L'INCANTESIMO,8,Come si chiama il protagonista maschile del libro?,Andrea Sperelli,Il conte Andrea Sperelli
L'INCANTESIMO,8,Qual è il nome della donna che accompagna Andrea Sperelli in questa scena?,Elena Muti,La marchesa Elena Muti
L'INCANTESIMO,8,In quale villa si svolge l'incontro tra Andrea Sperelli e la fanciulla?,A Schifanoja,Nella villa Schifanoja
,,,,
L'INCANTESIMO,9,Chi è Donna Marta per Aurelio?,È la governante di Aurelio,Svolge il ruolo di domestica per Aurelio
L'INCANTESIMO,9,Qual è l'esito della relazione tra Aurelio e la signorina Boris?,Si sposano,Convolano a nozze
L'INCANTESIMO,9,Qual è la reazione della madre di Aurelio alla relazione con la signorina Boris?,È favorevole al matrimonio,Appoggia la loro unione
,,,,
L'INCANTESIMO,10,Chi è il personaggio chiamato l'Imberido?,Aurelio,Il personaggio di Aurelio
L'INCANTESIMO,10,Qual è il legame di parentela tra Flavia e Luisa?,Sono cugine,Luisa è la cugina di Flavia
L'INCANTESIMO,10,In quale località il sentiero si biforca?,A Ceresolo,Nel villaggio di Ceresolo
,,,,
L'INCANTESIMO,11,Qual è la natura del rapporto tra Aurelio e Flavia?,Sono innamorati,Sono una coppia
L'INCANTESIMO,11,Qual è il ruolo del vecchio erculeo incontrato da Aurelio e Flavia sul Verbano?,È un pescatore del lago,Svolge la professione di pescatore sul Verbano
L'INCANTESIMO,11,Qual è il cognome di Flavia?,Moretti,Il suo cognome è Moretti
,,,,
L'INCANTESIMO,12,Quale legame unisce Aurelio e Flavia nel corso del romanzo?,Si sposano,Diventano marito e moglie
L'INCANTESIMO,12,Aurelio riesce a realizzare le sue ambizioni?,"No, fallisce",Non riesce a concretizzare i suoi sogni
L'INCANTESIMO,12,Quale evento significativo è preannunciato dai lumi osservati da Flavia?,L'inizio del loro esilio,La partenza forzata di Aurelio
,,,,
L'INCANTESIMO,13,Flavia e Aurelio si sposano?,"Sì, si uniscono in matrimonio.",Diventano marito e moglie.
L'INCANTESIMO,13,Donna Marta muore nel corso del romanzo?,"Sì, la nonna di Aurelio muore.",Donna Marta non sopravvive.
L'INCANTESIMO,13,Aurelio trova una casa e un appoggio alla fine del libro?,"Sì, Aurelio trova una dimora e un sostegno.",Non rimane solo e senza un luogo fisso.
,,,,
L'INCANTESIMO,14,Aurelio e Flavia si sposano?,"Sì, si uniscono in matrimonio",Diventano marito e moglie
L'INCANTESIMO,14,Chi era l'uomo che Flavia aveva amato prima di Aurelio?,Era un suo precedente fidanzato,Un uomo che aveva amato in passato
L'INCANTESIMO,14,Qual è la professione di Aurelio?,È uno scrittore,Svolge l'attività di letterato
,,,,
L'INCANTESIMO,15,"La passeggiata sul Motterone, discussa durante il convito, viene effettivamente realizzata?","Sì, l'escursione sul Motterone si tiene",La passeggiata al Motterone viene effettuata
L'INCANTESIMO,15,Qual è il nome dell'ingegnere che stabilisce le condizioni per la passeggiata sul Motterone?,L'ingegnere è Aurelio,Si tratta di Aurelio
L'INCANTESIMO,15,"Il signor Zaldini, che Luisa chiede ad Aurelio di invitare, prende parte all'escursione sul Motterone?","Sì, il signor Zaldini partecipa all'escursione",Il signor Zaldini è presente alla passeggiata
,,,,
L'INCANTESIMO,16,Aurelio riesce a conquistare Flavia?,"Sì, Aurelio la conquista","Sì, Flavia cede al suo corteggiamento"
L'INCANTESIMO,16,Il pretendente di Flavia ritorna a Cerro?,"Sì, il rivale ritorna a Cerro","Sì, riappare nella località di Cerro"
L'INCANTESIMO,16,Qual è il nome del rivale di Flavia?,Si chiama Giorgio,Il suo nome è Giorgio
,,,,
L'INCANTESIMO,17,Qual è l'esito finale della relazione tra Aurelio e Flavia?,La loro relazione non si concretizza in un legame duraturo.,Non riescono a costruire un rapporto stabile.
L'INCANTESIMO,17,Aurelio rinuncia definitivamente al suo amore per Flavia?,"Sì, Aurelio alla fine abbandona ogni speranza.",Aurelio accetta la fine del suo sogno d'amore per Flavia.
L'INCANTESIMO,17,Flavia cambia idea sui suoi sentimenti per Aurelio nel corso del libro?,"No, Flavia mantiene la sua posizione di rifiuto.",I sentimenti di Flavia verso Aurelio non mutano.
,,,,
L'INCANTESIMO,18,Chi sposa la signorina Boris?,Il signor Siena,L'avvocato Siena
L'INCANTESIMO,18,Qual è il rapporto tra Aurelio e la signorina Boris?,Hanno convissuto,Sono stati conviventi
L'INCANTESIMO,18,Qual è il rapporto tra Zaldini e Aurelio?,Sono amici fraterni,Sono come fratelli
,,,,
L'INCANTESIMO,19,Come si chiama il signor Aurelio?,Si chiama Andrea Sperelli,Il suo nome è Andrea Sperelli
L'INCANTESIMO,19,Come si chiama la donna che parla con Andrea Sperelli nell'estratto?,Si chiama Elena Muti,Il suo nome è Elena Muti
L'INCANTESIMO,19,Quale evento ha causato il tristissimo passato di Elena Muti?,La sua delusione è stata causata dal tradimento del suo primo amore,Il tradimento del suo primo amore ha distrutto la sua ingenuità
,,,,
L'INCANTESIMO,20,Qual è il destino finale di Donna Marta?,Muore a causa della sua malattia,Soccombe alla sua infermità
L'INCANTESIMO,20,Qual è la causa della malattia di Donna Marta?,È affetta da una grave polmonite,La sua condizione è dovuta a una severa infezione polmonare
L'INCANTESIMO,20,Cosa fa Aurelio dopo la morte di Donna Marta?,Eredita i suoi beni e si trasferisce,Si occupa dell'eredità e lascia il paese
,,,,
L'INCANTESIMO,21,Qual è l'esito finale della malattia di donna Marta?,Donna Marta non sopravvive,La contessa muore a causa della sua infermità
L'INCANTESIMO,21,Qual è il legame di parentela tra Aurelio e donna Marta?,Aurelio è il figlio di donna Marta,È il figlio della contessa
L'INCANTESIMO,21,Qual è la causa profonda delle frequenti indisposizioni di cuore e di bronchi di donna Marta?,Sono dovute a una debolezza congenita,La sua salute precaria è di natura ereditaria
,,,,
L'INCANTESIMO,22,Che legame unisce Aurelio a Donna Marta?,È suo figlio,Aurelio è il figlio di Donna Marta
L'INCANTESIMO,22,Qual è l'esito della malattia di Donna Marta?,Donna Marta muore,La malattia le è fatale
L'INCANTESIMO,22,Qual è il ruolo del Dottor Redi nella vicenda?,È un medico consultato,Viene chiamato per un consulto
,,,,
L'INCANTESIMO,23,Qual è il nome del protagonista che scopre la nonna immobile?,Il suo nome è Marco,Si chiama Marco
L'INCANTESIMO,23,Qual è il nome della nonna di Marco?,Il suo nome è Elisa,Si chiama Elisa
L'INCANTESIMO,23,Qual è il ruolo di Flavia nella casa di Marco?,È la badante della nonna Elisa,Svolge la funzione di badante
,,,,
L'INCANTESIMO,24,Come si chiama la donna che accompagna Aurelio?,Il suo nome è Ada,Si chiama Ada
L'INCANTESIMO,24,Qual è la professione di Aurelio Imberido?,È uno scrittore,Svolge la professione di scrittore
L'INCANTESIMO,24,Qual è il destino della donna che accompagna Aurelio nella stanza funesta?,Muore,Incontra la morte
,,,,
L'INCANTESIMO,25,Quale evento ha causato il lungo periodo di dolore e rinuncia di Aurelio?,La morte di una persona cara,La perdita di un affetto importante
L'INCANTESIMO,25,Qual è il nome della Rivista diretta da Aurelio?,Il Pensiero,La rivista 'Il Pensiero'
L'INCANTESIMO,25,In quale città si svolge la vicenda di Aurelio?,Milano,Nella città di Milano
,,,,
L'INCANTESIMO,26,Qual è la posizione di Aurelio riguardo al movimento socialista descritto nell'estratto?,È un osservatore distaccato.,Non partecipa attivamente al movimento.
L'INCANTESIMO,26,Qual è il rapporto tra Aurelio e Giorgio Ugenti?,Sono amici.,Sono conoscenti.
L'INCANTESIMO,26,"Quale ruolo hanno gli studenti, definiti 'Giovinezza illusa', nella ribellione?",Sono partecipanti entusiasti ma ingenui.,Rappresentano la parte idealista e inconsapevole del movimento.
,,,,
L'INCANTESIMO,27,Qual è il nome della donna che incontra Aurelio nella selva?,Isabella,La donna si chiama Isabella
L'INCANTESIMO,27,Qual è il motivo principale della paura della donna riguardo al loro incontro?,Il loro amore è proibito,La loro relazione è clandestina
L'INCANTESIMO,27,Come si chiama la selva dove Aurelio e la donna si incontrano?,Il Bosco delle Querce,La foresta delle Querce
,,,,
L'INCANTESIMO,28,Flavia sposa l'avvocato Siena?,"Sì, Flavia contrae matrimonio con l'avvocato Siena.",Flavia si unisce in matrimonio con l'avvocato Siena.
L'INCANTESIMO,28,Qual è la reazione di Aurelio alla notizia del matrimonio di Flavia?,Aurelio reagisce con profonda rabbia e disperazione.,La notizia provoca in Aurelio un forte dolore e sdegno.
L'INCANTESIMO,28,Qual è la ragione principale per cui Flavia si sente obbligata a sposare l'avvocato Siena?,Per adempiere a obblighi e volontà familiari.,Per seguire le aspettative e i desideri della sua famiglia.
,,,,
L'INCANTESIMO,29,Flavia e Aurelio rimangono insieme alla fine del libro?,"Sì, la loro unione dura","Sì, restano uniti"
L'INCANTESIMO,29,Qual è il nome dell'ex amante di Flavia?,Marco,Si chiamava Marco
L'INCANTESIMO,29,In quale regione o città si svolge la storia di Flavia e Aurelio?,In Toscana,Nella regione toscana
,,,,
L'INCANTESIMO,30,Qual è la relazione tra Aurelio e Ippolita Sanzio?,Sono amanti,Sono legati da una relazione amorosa
L'INCANTESIMO,30,Dove si trovano Aurelio e Ippolita Sanzio al momento del risveglio?,In una villa in campagna,Nella loro residenza di campagna
L'INCANTESIMO,30,Qual è la condizione psicologica predominante di Ippolita Sanzio nel romanzo?,È afflitta da una profonda malinconia,Soffre di un'angoscia esistenziale
,,,,
