Book,ParagraphIndex,Question,AnswerA,AnswerB
SOLA CONTRO TUTTI!,1,Qual è il nome completo della Regina?,Maria Carolina d'Austria,Maria Carolina d'Asburgo-Lorena
SOLA CONTRO TUTTI!,1,Qual è il rapporto tra Carolina d'Austria e Alma?,Sono madre e figlia,Alma è la figlia di Carolina d'Austria
SOLA CONTRO TUTTI!,1,Chi è il Re menzionato nell'estratto?,Ferdinando IV di Borbone,Ferdinando I delle Due Sicilie
,,,,
SOLA CONTRO TUTTI!,2,Come si chiama la moglie di Ferdinando IV?,Maria Carolina d'Austria,La regina Maria Carolina
SOLA CONTRO TUTTI!,2,Chi è l'osceno palafreniere assiso sul trono di Napoli menzionato dalla regina?,Giuseppe Bonaparte,"Il fratello di Napoleone, Giuseppe Bonaparte"
SOLA CONTRO TUTTI!,2,Chi è il 'fantoccio' sul trono di Sicilia che la regina accusa di essere sottomesso agli Inglesi?,Ferdinando IV,Il Re Ferdinando IV
,,,,
SOLA CONTRO TUTTI!,3,Come si chiama il capo degli uomini mascherati?,Marco,Il signor Marco
SOLA CONTRO TUTTI!,3,Qual è l'obiettivo del gruppo di uomini mascherati?,Organizzare la rivolta,Pianificare la ribellione
SOLA CONTRO TUTTI!,3,Qual è il nome dell'isolotto dove si riuniscono gli uomini mascherati?,L'Isola del Faro,Lo Scoglio del Gabbiano
,,,,
SOLA CONTRO TUTTI!,4,Qual è il vero motivo dell'assenza della Regina dalla sua dimora?,La Regina è fuggita per incontrare un amante segreto.,Si è allontanata in segreto per un appuntamento amoroso.
SOLA CONTRO TUTTI!,4,Qual è l'argomento delle 'cose assai gravi' che il duca intende discutere con la Regina?,Riguardano una grave crisi politica nel regno.,Si riferiscono a un'importante questione di stato.
SOLA CONTRO TUTTI!,4,Quali sono le offese che hanno spinto Alma a cercare vendetta in passato?,Un tradimento subito da una persona a lei cara.,Un'ingiustizia profonda che ha colpito la sua famiglia.
,,,,
SOLA CONTRO TUTTI!,5,Chi è il sovrano a cui il padre chiede alla figlia di baciare la mano?,Il Re di Sicilia,Il monarca regnante in Sicilia
SOLA CONTRO TUTTI!,5,Qual è la decisione finale della figlia riguardo alla proposta di matrimonio del padre?,Accetta la proposta,Rifiuta la proposta
SOLA CONTRO TUTTI!,5,Qual è il ruolo di Lord Bentink nella vicenda?,È un diplomatico britannico,È l'inviato inglese in Sicilia
,,,,
SOLA CONTRO TUTTI!,6,Come si chiama la Sovrana difesa da Alma?,Isabella,Regina Isabella
SOLA CONTRO TUTTI!,6,Qual è il nome del prigioniero calabrese?,Marco,Marco il Calabrese
SOLA CONTRO TUTTI!,6,In quale luogo si trova la dimora regale della Sovrana?,Nel Castello di Roccanera,A Roccanera
,,,,
SOLA CONTRO TUTTI!,7,Chi è il giovane di cui la Regina attende notizie dalla Calabria?,Il principe ereditario,Il figlio della Regina
SOLA CONTRO TUTTI!,7,Qual è il nome completo della Regina?,Regina Isabella di Valois,"Isabella, sovrana del regno"
SOLA CONTRO TUTTI!,7,Chi è l'uomo che Alma rifocilla nella torre?,Il cavaliere prigioniero,Un nobile imprigionato
,,,,
SOLA CONTRO TUTTI!,8,Come si chiama il giovane che ha raggiunto la Regina?,Corrado,Il giovane Corrado
SOLA CONTRO TUTTI!,8,Qual è il nome della Regina a cui il giovane si è dedicato?,Maria Carolina,La Regina Maria Carolina
SOLA CONTRO TUTTI!,8,Contro quale popolo la Sicilia intende insorgere per la sua indipendenza?,Gli Inglesi,Il popolo inglese
,,,,
SOLA CONTRO TUTTI!,9,Qual è il vero titolo nobiliare di Riccardo?,È il duca di Fagnano,È il vero duca di Fagnano
SOLA CONTRO TUTTI!,9,Come si chiama la Regina menzionata nell'estratto?,Si chiama Carolina,Il suo nome è Carolina
SOLA CONTRO TUTTI!,9,Dove vorrebbe andare Alma se lasciasse la Regina?,A Palermo da suo padre,Dal padre a Palermo
,,,,
SOLA CONTRO TUTTI!,10,Da quale regione provengono i ribelli guidati da Riccardo?,Dalla Calabria,Sono calabresi
SOLA CONTRO TUTTI!,10,Come si chiama la Regina che ha promesso aiuto al gruppo di Riccardo?,Maria Carolina,La Regina Maria Carolina
