Book,ParagraphIndex,Question,AnswerA,AnswerB
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Cosa studia Aquilino?,Il liceo,Frequenta il liceo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Qual è la professione del signore che incontra Aquilino?,È un dolciere,Fa il dolciere
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Con chi vive Aquilino?,Con sua madre,Con la mamma
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Cosa afferma di essere l'uomo che Aquilino incontra?,Una spia segreta dello czar,Una spia dello zar
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Dove si trova Aquilino quando vive un'esperienza emotiva intensa?,Al mare,Sulla spiaggia al mare
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Cosa offre l'uomo triste ad Aquilino?,Dei peeck-frean,Dei biscotti peeck-frean
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Chi ha cercato Aquilino di nascosto da mamà?,Don Malfattini,Il pretino Don Malfattini
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Come ha accumulato ricchezza Don Malfattini?,Con una combinazione finanziaria per i morti nel purgatorio,Tramite una combinazione finanziaria per le anime del purgatorio
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Cosa ha chiesto Aquilino a Don Malfattini?,Un prestito,Un prestito di denaro
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Cosa offre il conte ad Aquilino dopo che Aquilino rifiuta l'oro?,Un orologio di metallo comune,Un orologio di metallo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Quale leggenda conoscono sia il conte che Aquilino?,La leggenda di Gesù e dell'oro,La storia dell'oro che porta alla morte
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Dove è stato educato il conte?,In un collegio di padri Gesuiti,In un collegio Gesuita
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Cosa riceve Aquilino dalla marchesa?,Mantenimento e settanta franchi al mese,Sostegno economico e settanta franchi mensili
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Chi aiuta Aquilino a contattare la marchesa?,Il conte Cosimo,Il Conte Cosimo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Quale mezzo di trasporto usa la marchesa?,Un'automobile,Un'automobile da far paura
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,6,Con chi sta parlando Aquilino?,Con la marchesa,La marchesa
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,6,Cosa chiede la marchesa ad Aquilino di fare?,Di iscriversi a filologia,Di iscriversi alla facoltà filologica
