Book,ParagraphIndex,Question,AnswerA,AnswerB
CAPITAN RICCARDO,1,Qual è il mestiere di Pietro il Toro e Ghiro?,Sono mercenari,Fanno parte di una compagnia di ventura
CAPITAN RICCARDO,1,Vittoria e i suoi venticinque Senesi si uniranno al gruppo di Capitan Riccardo?,"Sì, si uniranno al gruppo",Vittoria e i suoi Senesi entreranno a far parte della compagnia
CAPITAN RICCARDO,1,Come si chiama il Cardinale a cui fa riferimento Pietro il Toro?,Il suo nome è [Nome del Cardinale],Si tratta del Cardinale [Nome del Cardinale]
,,,,
CAPITAN RICCARDO,2,Qual è il nome del giovane che riceve la lettera dal duca di Fagnano?,Il suo nome è Marco,Si chiama Marco
CAPITAN RICCARDO,2,Qual è la natura del rapporto tra il giovane e il duca di Fagnano?,Sono acerrimi nemici,Il duca è il suo principale avversario
CAPITAN RICCARDO,2,Qual è lo scopo della banda guidata dal giovane?,Combattere l'oppressione del duca,Liberare la regione dal suo dominio
,,,,
CAPITAN RICCARDO,3,Come si chiama il personaggio a cui viene ceduto il comando della banda?,Riccardo,Il cavaliere Riccardo
CAPITAN RICCARDO,3,Contro quale popolo combattono i personaggi?,Contro i Francesi,Contro l'esercito francese
CAPITAN RICCARDO,3,Chi è Alma per Riccardo?,La sua amata,La donna che Riccardo ama
,,,,
CAPITAN RICCARDO,4,Come si chiama il giovane che la Regina incontra?,Corrado,Il giovane Corrado
CAPITAN RICCARDO,4,Qual è il nome della Regina che parla con il giovane?,Maria Carolina,La regina Maria Carolina
CAPITAN RICCARDO,4,Chi è l'amica della Regina che il giovane ha salvato a Napoli?,Maria Antonietta,La regina Maria Antonietta
,,,,
CAPITAN RICCARDO,5,Come si chiama il castello che Riccardo e i suoi compagni devono difendere?,Castelnuovo,Il castello di Castelnuovo
CAPITAN RICCARDO,5,Qual è il nome del duca che promette una piastra al giorno ai compagni di Riccardo?,Duca Filippo,"Filippo, il duca"
CAPITAN RICCARDO,5,Qual è il nome del Re che Riccardo e i suoi compagni sperano torni sul trono?,Re Carlo,"Carlo, il sovrano"
,,,,
CAPITAN RICCARDO,6,Chi è la donna che chiede a Riccardo di essere suo fratello d'armi?,Eleonora,La nobildonna Eleonora
CAPITAN RICCARDO,6,Qual è l'identità della persona che deve essere messa in salvo?,Il figlio del Duca,Il giovane erede del Duca
CAPITAN RICCARDO,6,Qual è il nome del comandante che si è rifiutato di guidare gli uomini?,Conte Anselmo,Il Conte Anselmo
,,,,
CAPITAN RICCARDO,7,La Regina riesce a fuggire?,"Sì, la Regina riesce a mettersi in salvo.",La Regina porta a termine la sua fuga.
CAPITAN RICCARDO,7,Chi è il commissario civile menzionato dal Duca?,È il generale nemico.,Si tratta del capo delle forze avversarie.
CAPITAN RICCARDO,7,Riccardo sopravvive alla guerra?,"Sì, Riccardo sopravvive al conflitto.",Riccardo non perde la vita durante la guerra.
,,,,
CAPITAN RICCARDO,8,Chi è la Regina che ossessiona Riccardo?,È la Regina Eleonora,Si tratta di Eleonora
CAPITAN RICCARDO,8,Qual è lo scopo dei Francesi che Riccardo e la banda attendono?,Vogliono conquistare il castello,Il loro intento è prendere la fortezza
CAPITAN RICCARDO,8,A cosa serve la chiavetta che la Regina ha dato a Riccardo?,Serve per aprire un passaggio segreto nel castello,È la chiave di una via nascosta per l'incontro
,,,,
CAPITAN RICCARDO,9,Qual è il nome della Regina?,Maria Stuarda,La regina Maria Stuarda
CAPITAN RICCARDO,9,Qual è il nome del giovane che aiuta la Regina?,Roberto,Il giovane Roberto
CAPITAN RICCARDO,9,Qual è il piano del duca?,Catturare la Regina,Imprigionare la sovrana
,,,,
CAPITAN RICCARDO,10,Come si chiama il castello attaccato dai Francesi?,Il Castello di Roccanera,La fortezza di Roccanera
CAPITAN RICCARDO,10,Qual è il ruolo di Pietro il Toro tra i difensori del castello?,È un combattente di grande forza,È un difensore robusto e coraggioso
CAPITAN RICCARDO,10,Qual è il destino finale di Riccardo?,Muore durante la battaglia,Perde la vita nello scontro
,,,,
CAPITAN RICCARDO,11,Per quale motivo il Duca di Fagnano fu arrestato trent'anni prima?,Per ragioni politiche,A causa di un'accusa di cospirazione
CAPITAN RICCARDO,11,Quale fu il tragico destino di Rachele?,Morì prematuramente,Fu vittima del conflitto familiare
CAPITAN RICCARDO,11,Quale fu l'origine dell'odio secolare tra i Duchi di Fagnano e i Baroni di Pietrasanta?,Una contesa per il controllo del territorio,Un'antica disputa per il potere e le terre
,,,,
CAPITAN RICCARDO,12,Carmine riesce a consegnare la lettera della sposa al duca?,"Sì, la consegna",Consegna la lettera al duca
CAPITAN RICCARDO,12,Qual è il destino finale di Riccardo?,Viene condannato a morte,Muore per la sua ribellione
CAPITAN RICCARDO,12,Pietro il Toro viene catturato?,"No, riesce a fuggire",Non viene catturato
,,,,
CAPITAN RICCARDO,13,Margherita si unisce alla resistenza contro i soldati francesi?,"Sì, si unisce alla resistenza.","Sì, diventa parte del movimento di resistenza."
CAPITAN RICCARDO,13,Il brigadiere La Harpe sopravvive alla guerra?,"No, il brigadiere La Harpe non sopravvive.","No, La Harpe muore durante il conflitto."
CAPITAN RICCARDO,13,In quale regione italiana è ambientata la storia?,La storia è ambientata in Piemonte.,Si svolge nella regione del Piemonte.
,,,,
CAPITAN RICCARDO,14,Qual è il nome completo del Capitano che ha mandato il sergente De Chantal?,Il Capitano si chiama [Nome Completo del Capitano],[Nome Completo del Capitano]
CAPITAN RICCARDO,14,Chi sono le 'bande' di cui parla il sergente De Chantal?,Sono [Identità specifica delle bande],Si tratta di [Identità specifica delle bande]
CAPITAN RICCARDO,14,Margherita e il sergente De Chantal si sposano?,"Sì, si sposano",Convolano a nozze
,,,,
CAPITAN RICCARDO,15,Qual è il principio guida della vita di Andrea Sperelli?,Il culto del bello,La ricerca del piacere
CAPITAN RICCARDO,15,Qual è il nome della donna che Andrea Sperelli confonde con Elena Muti?,Maria Ferres,La marchesa Maria Ferres
