Book,ParagraphIndex,Question,AnswerA,AnswerB
FEDERICO LENNOIS,1,Isalina sposa Giustino?,"Sì, il matrimonio ha luogo",Isalina e Giustino si uniscono in matrimonio
FEDERICO LENNOIS,1,Qual è il legame di Giustino con la famiglia d'Orbeil?,È un lontano parente della famiglia,Giustino è un cugino degli d'Orbeil
FEDERICO LENNOIS,1,Qual è il destino di Augusto dopo il matrimonio di Isalina?,Augusto si allontana dalla casa paterna,Lascia la famiglia d'Orbeil per un lungo viaggio
,,,,
FEDERICO LENNOIS,2,Quale evento attende con grande emozione Isalina?,Il ritorno di Giustino,L'arrivo del suo fidanzato Giustino
FEDERICO LENNOIS,2,Qual è il luogo in cui Giustino era solito trascorrere i mesi di villeggiatura?,Il castello della famiglia,La residenza dei fratelli Augusto e Isalina
FEDERICO LENNOIS,2,Qual è il legame di parentela tra Augusto e Isalina?,Sono fratelli,Sono fratello e sorella
,,,,
FEDERICO LENNOIS,3,Qual è lo scopo della venuta di Ferdinando Ducastel al castello di Auteuil?,Per svelare un segreto familiare,Per compiere una missione segreta
FEDERICO LENNOIS,3,Per quale motivo Augusto non riconosce il nome Ducastel?,Perché Ferdinando Ducastel usa un nome falso,Perché non è il suo vero cognome
FEDERICO LENNOIS,3,Qual è il ruolo di Giustino nella campagna militare in Grecia?,È un ufficiale di alto grado,È un valoroso comandante delle truppe
,,,,
FEDERICO LENNOIS,4,Qual è il titolo del quadro di Ferdinando Ducastel destinato all'Esposizione?,La Preghiera,Il dipinto intitolato La Preghiera
FEDERICO LENNOIS,4,Dove si reca Ferdinando Ducastel per i suoi importanti affari?,A Parigi,Nella città di Parigi
FEDERICO LENNOIS,4,Per quale reato Federico fu arrestato a Parigi?,Per furto,Con l'accusa di furto
,,,,
FEDERICO LENNOIS,5,Di chi è il capolavoro che Federico mostra a Eduardo?,Di Carlo Rossi,Dell'artista Carlo Rossi
FEDERICO LENNOIS,5,Qual è il titolo ufficiale del quadro che Federico mostra a Eduardo?,La Preghiera,Il dipinto La Preghiera
FEDERICO LENNOIS,5,Eduardo Horms acquista il quadro di Federico?,"Sì, lo acquista","Sì, Eduardo compra il quadro"
,,,,
FEDERICO LENNOIS,6,Quali gravi sventure ha subito Lucia?,La rovina della sua famiglia.,Le disgrazie che hanno colpito la sua famiglia.
FEDERICO LENNOIS,6,"Cosa è successo a Uccello, il fratello di Lucia?",Ha perso la ragione.,È impazzito.
FEDERICO LENNOIS,6,Qual è il legame tra Lucia ed Eduardo?,Sono sposati.,Sono marito e moglie.
,,,,
FEDERICO LENNOIS,7,Qual è la ragione principale per cui Federico Lennois ha cambiato il suo nome in Ferdinando Ducastel?,Per nascondere un segreto del suo passato,A causa di un evento misterioso che lo ha costretto a cambiare identità
FEDERICO LENNOIS,7,Quale legame univa Federico Lennois e Lucia prima del suo matrimonio con Sir Eduardo?,Erano stati innamorati,Avevano avuto una relazione sentimentale
FEDERICO LENNOIS,7,"Qual è la nazionalità di Sir Eduardo, marito di Lucia?",È inglese,Ha origini britanniche
,,,,
FEDERICO LENNOIS,8,"Quale famiglia, oltre a quella di Giustino Victor, è tra le tre colpite dalla vendetta di Federico Lennois?",La famiglia d'Orbeil,La famiglia di Isalina
FEDERICO LENNOIS,8,Dove si celebrerà il matrimonio di Giustino Victor e Isalina?,A Parigi,Negli appartamenti della Marchesa di Beauchamps
FEDERICO LENNOIS,8,Per quale spedizione militare Giustino Victor ha ricevuto elogi?,La spedizione di Morea,Durante la spedizione di Morea
,,,,
FEDERICO LENNOIS,9,Eduardo e Lucia rimangono sposati alla fine del libro?,"Sì, il loro matrimonio continua.",Restano uniti come marito e moglie.
FEDERICO LENNOIS,9,Qual è il legame di parentela tra Lucia ed Emma Barkley?,Emma è la nipote di Lucia.,Lucia è la zia di Emma.
FEDERICO LENNOIS,9,Giustino Victor e Augusto continuano a frequentare Lucia dopo l'alterco con Eduardo?,"No, Eduardo impedisce loro di vederla.",Non frequentano più Lucia in seguito all'intervento di Eduardo.
,,,,
FEDERICO LENNOIS,10,Qual è la relazione tra Giustino Victor e Lucia Horms?,Sono amanti,Hanno una relazione segreta
FEDERICO LENNOIS,10,Quale esito ha il quadro di Federico Lennois all'Esposizione?,Ottiene un riconoscimento,Riceve un premio
FEDERICO LENNOIS,10,Qual è l'esito del fidanzamento tra Giustino Victor e Isalina d'Orbeil?,Il fidanzamento viene annullato,Non si sposano
,,,,
FEDERICO LENNOIS,11,Quale fu la causa della distruzione originale della Casa di Satana?,Un incendio doloso,Un rogo appiccato intenzionalmente
FEDERICO LENNOIS,11,Di quale malattia soffriva la madre di Ugo Ferraretti?,Di tisi,Di tubercolosi
FEDERICO LENNOIS,11,La permanenza di Ugo Ferraretti e sua madre nella Casa di Satana riuscì a spezzare la maledizione del luogo?,"No, la maledizione persistette","No, la casa rimase maledetta"
,,,,
FEDERICO LENNOIS,12,Dove esercita la sua attività il signor Paillard?,A Pisa,Nella città di Pisa
