Book,ParagraphIndex,Question,AnswerA,AnswerB
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Quale sarà l'esito finale del legame tra Attilio e Clelia?,Si uniranno in matrimonio,Il loro amore trionferà con le nozze
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Quale ruolo ricopre il Cardinale Procopio nella trama principale?,È un antagonista,Rappresenta l'opposizione clericale
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Quale importante contesto storico influenza le vicende dei personaggi?,Il Risorgimento italiano,L'unificazione d'Italia
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,Chi è Attilio per i congiurati riuniti nel Colosseo?,È il loro leader,È il capo dei Trecento
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,Qual è l'obiettivo principale dei congiurati riuniti nel Colosseo?,La liberazione dei popoli,Conquistare la libertà per Roma
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,Come si chiama il gruppo di congiurati che si riunisce nel Colosseo?,I Trecento,Il gruppo dei Trecento
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Manlio viene imprigionato per aver ospitato Cencio?,"Sì, viene incarcerato",Viene condotto in prigione
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Per chi lavora Cencio?,Per il Governo di Sua Santità,Per le autorità pontificie
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Qual è il legame tra Clelia e sua madre con Manlio?,Sono la sua famiglia,Sono i suoi cari
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,"Quale impresa stanno compiendo Attilio, Muzio e Scipio?",Un'azione di ribellione.,Un'operazione contro il governo.
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,Che tipo di relazione lega Silvio e Camilla?,Sono amanti.,Sono una coppia innamorata.
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,Come viene descritta la situazione politica di Roma nel libro?,Il governo è debole e disprezzato.,È un governo impopolare e sotto influenza straniera.
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Qual è il compito che il cardinale affida a Gianni?,Deve condurre Clelia al cardinale,Gli viene ordinato di portare Clelia al suo padrone
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Qual è il legame tra Clelia e il cardinale?,È la donna che il cardinale vuole per sé,È l'oggetto del desiderio del porporato
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Da dove proviene Giulia?,Dall'Albione,È originaria dell'Albione
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Manlio viene catturato dopo la sua fuga dalle carceri pontificie?,"Sì, Manlio viene catturato.","Sì, la sua fuga non ha successo."
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Clelia cede alle lussuriose intenzioni del Cardinale?,"No, Clelia non cede.","No, Clelia riesce a resistere al Cardinale."
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Qual è la natura del rapporto tra Clelia e Manlio?,Sono innamorati.,Sono amanti.
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,"Qual è l'obiettivo principale di Attilio, Muzio e Silvio?",Fare giustizia contro i tiranni,Liberare Roma dagli oppressori
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,Chi anela alla liberazione di Clelia?,"Attilio, Muzio, Silvio e i loro compagni",I patrioti romani
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,"Qual è il luogo principale dove si trovano i ""depredatori"" e i ""depravatori"" della nazione?",Il Palazzo Corsini,Nel Palazzo Corsini
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,Chi è il traditore che ha informato la Polizia della riunione alle Terme di Caracalla?,Anselmo,Il farmacista Anselmo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,Qual è l'obiettivo principale della congiura guidata da Attilio e Muzio?,Rovesciare il governo pontificio,Instaurare una repubblica liberale a Roma
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,"Qual è la natura del ""governo dei preti"" contro cui lottano i congiurati a Roma?",È lo Stato Pontificio,Il governo dello Stato della Chiesa
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Qual è il legame di Orazio con Silvia?,È il suo protetto,È stato cresciuto da Silvia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Per quale motivo Orazio è chiamato 'brigante'?,Per le sue azioni da fuorilegge,A causa della sua vita da bandito
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Qual è il ruolo di Manlio nella vicenda di Orazio?,È un vecchio conoscente di Orazio,È un alleato di Orazio
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Come si chiama il capitano della Clelia?,Il suo nome è Marco,Si chiama Marco
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Qual è il legame tra Giulia e Thompson?,Sono marito e moglie,Sono sposati
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Qual è la destinazione finale della Clelia?,La nave è diretta a Malta,Il suo viaggio ha come meta Malta
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,Chi fece costruire il castello dove Orazio e i suoi compagni trovano rifugio?,Marco Lucullo,Un discendente di Lucullo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,"Qual è la professione di Manlio, padre di Clelia?",È uno scultore,È un celebre scultore
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,Per quale motivo Orazio e i suoi compagni si nascondono nel castello?,Sono proscritti,Perché sono stati proscritti
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,12,Come si chiama la regina della foresta che vive con Orazio?,Bianca,La donna di nome Bianca
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,12,Di quale cardinale è parente il capo-brigante Gasparo?,Del Cardinale Antonelli,Il Cardinale Antonelli
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,12,Qual è la città natale di Gasparo e del Cardinale Antonelli?,Sonnino,La città di Sonnino
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Chi è lo sposo legittimo di Irene?,Orazio,Il duce della foresta Orazio
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Chi è Attilio per Clelia?,Il suo amato,L'uomo che Clelia ama
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Qual è la funzione di Silvio tra i liberali?,È il veicolo di comunicazione,Collega i liberali di dentro e della campagna
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,A quale gruppo si unisce Gasparo?,Alla giovine brigata,Al gruppo dei liberali
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,Come si chiama il generale straniero che dirige l'esercito papale?,Il generale Lamoricière,Christophe Léon Louis Juchault de Lamoricière
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,Dove si trova il Castello di Lucullo?,Nei pressi di Roma,Vicino alla città di Roma
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Come si chiama la sposa di Attilio?,Livia,La giovane Livia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Qual è il legame di parentela tra Silvia e Manlio?,Manlio è il marito di Silvia,Sono marito e moglie
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Qual è la funzione di Orazio per i proscritti?,È l'autorità principale,È il loro salvatore e guida
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Di che nazionalità è Giulia?,Inglese,È di nazionalità inglese
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Chi è il personaggio politico che influenza la decisione di non rendere Roma capitale d'Italia?,Bonaparte,Napoleone Bonaparte
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Su quale isola vive il Solitario?,La Solitaria,Sull'isola de La Solitaria
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,Chi sono i tre amici che sfidano gli ufficiali stranieri?,"Attilio, Muzio e Orazio","Orazio, Attilio e Muzio"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,Qual è l'obiettivo principale dei tre proscritti?,La liberazione di Roma,Liberare Roma dalla dominazione straniera
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,In quale periodo storico si svolge la vicenda dei tre proscritti?,Durante il Risorgimento italiano,Nel periodo del Risorgimento
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Qual è la natura del legame tra Silvio e Camilla?,Sono innamorati,Sono amanti
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Quale evento ha causato le sventure di Camilla?,Un delitto altrui,Un crimine commesso da altri
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Dove si dirige la banda dopo aver lasciato la campagna Romana?,A tramontana della Metropoli,Verso nord rispetto alla Metropoli
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,Come si chiama il personaggio che aggredisce Alba e uccide il proprio genitore?,Corrado,Si chiama Corrado
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,Qual è il nome del narratore che salva Alba?,Marco,È Marco
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,Qual è la sorte finale del personaggio che uccide il proprio genitore?,Viene arrestato e condannato,Subisce l'arresto e la condanna
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,Chi è il personaggio chiamato 'il solitario'?,Orazio,Il capo Orazio
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,Qual era lo scopo del corpo dei trecento?,Liberare la loro terra,Combattere per la libertà della patria
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,"Dove si recano Orazio, Gasparo e John dopo Livorno?",A Roma,Nella città di Roma
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,Per chi lavora Cencio?,Per il cardinale A...,"Per il primo ministro del papa, il cardinale A..."
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,Qual è il rapporto tra il solitario e Attilio?,Sono amici,Attilio è l'amico del solitario
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,"Da dove provengono Irene, Giulia e Clelia?",Da Roma,Sono romane
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Come si chiama il principe romano?,Tiberio,Il principe si chiama Tiberio
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Qual è il nome della donna che il principe insegue?,Elena,La donna si chiama Elena
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Per quale ragione il principe è lontano dai suoi beni?,A causa della rabbia pretina,È stato esiliato per motivi legati al clero
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,23,Chi uccide il fratello di Irene nel duello?,Il soldato di Calatafimi,Il soldato che ha combattuto a Calatafimi
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,23,Chi è il 'despota della Senna' menzionato nel Capitolo LX?,Napoleone III,L'Imperatore Napoleone III
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,23,Dove si svolge il duello tra il principe e Morosini?,Presso i Murazzi,"Sulle rive dell'Adriatico, vicino ai Murazzi"
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,24,Quale dinastia regnante è criticata dall'autore nel libro?,La dinastia Savoia,I monarchi di Casa Savoia
