Book,ParagraphIndex,Question,AnswerA,AnswerB
Cristina,1,Chi fa cenno a Cristina dalla finestra?,Peppino Fiorillo,Il giovane Peppino Fiorillo
Cristina,1,Come si chiama il fratello di Cristina?,Carluccio,Il fratello Carluccio
Cristina,1,Dove deve andare Carluccio a ottobre?,Al collegio militare della Nunziatella,Alla Nunziatella di Napoli
,,,,
Cristina,2,Chi ha regalato la sigaretta a Carluccio?,Peppino Fiorillo,Il giovanotto Peppino Fiorillo
Cristina,2,Quanti anni ha Carluccio?,Dodici anni,Ha dodici anni
Cristina,2,Dove si è sposato il fratello maggiore di Cristina?,A Pietramelara,Nel paese di Pietramelara
,,,,
Cristina,3,Chi ha promesso un gelato a Cristina?,Peppino Fiorillo,Fiorillo
Cristina,3,Dove andrà Carluccio al collegio?,A Napoli,Nella città di Napoli
Cristina,3,Chi è il corteggiatore di Irene?,Totonno,Il signor Totonno
,,,,
Cristina,4,Qual è la carica di Peppino Fiorillo nel circolo democratico?,Segretario,È il segretario del circolo
Cristina,4,Come si chiama la matrina di Cristina?,Signora Cannavale,Si chiama Signora Cannavale
Cristina,4,Dove abita la signora Cannavale?,In Piazza Mercato,Nella Piazza Mercato
,,,,
Cristina,5,Chi è innamorato di Cristina?,Peppino Fiorillo,Peppino
Cristina,5,Qual è il cognome di Cristina?,Demartino,Il suo cognome è Demartino
Cristina,5,Dove si riuniscono le ragazze la sera?,In Piazza Mercato,Nella piazza del Mercato
,,,,
Cristina,6,Chi ama Peppino Fiorillo?,Cristina Demartino,Cristina
Cristina,6,Quanti ducati ha di dote Cristina Demartino?,Quattromila,Quattromila ducati
Cristina,6,In quale città circola la leggenda della passione di Peppino?,A Santa Maria,Nella città di Santa Maria
,,,,
Cristina,7,Chi consegna le lettere d'amore di Peppino Fiorillo a Cristina?,Carmela,"La figlia della portinaia, Carmela"
Cristina,7,Cosa fa Cristina con le lettere di Peppino Fiorillo dopo la confessione?,Le brucia,Le dà alle fiamme
Cristina,7,Dove si reca Peppino Fiorillo per studiare legge?,A Napoli,Nella città di Napoli
,,,,
Cristina,8,Chi scrive lettere e poesie a Cristina Demartino?,Peppino Fiorillo,Giuseppe Aldo Fiorello
Cristina,8,Per quale motivo Peppino Fiorello viene arrestato?,Per i tumulti universitari,Per aver gridato 'abbasso Senofonte'
Cristina,8,Chi propone Don Cosimo Demartino come possibile sposo per sua figlia Cristina?,Giovannino Sticco,"Il figlio di Donna Marianna, Giovannino Sticco"
,,,,
