Batch,Testo,Risposta1,Risposta2
1,Come si chiama la protagonista del romanzo?,La protagonista si chiama Ada.,Il nome della protagonista è Ada.
1,Qual è la città principale in cui si svolgono le vicende della protagonista Ada?,Le vicende di Ada si svolgono principalmente a Milano.,Milano è la città centrale per la storia di Ada.
1,Chi è il leader delle forze che si oppongono al movimento futurista nel romanzo?,Il leader è il Generale Rossi.,Le forze avversarie sono guidate dal Generale Rossi.
1,Qual è la decisione finale del dottore Bosellini riguardo alla sua professione?,Il dottore Bosellini decide di ritirarsi dalla professione medica.,"Alla fine, Bosellini abbandona la sua carriera di medico."
2,Qual è l'obiettivo principale di Sofia all'inizio del romanzo?,Sofia cerca di ritrovare la sua famiglia perduta.,Il suo scopo iniziale è ricongiungersi con i suoi cari scomparsi.
2,In quale città si rifugia il Figlio dopo la fuga?,Il Figlio trova rifugio nella città di Alessandria.,"Dopo essere fuggito, il Figlio si nasconde ad Alessandria."
2,Chi è il mentore del giovane nudo?,Il mentore del giovane nudo è il vecchio saggio Omar.,"Omar, un anziano e sapiente uomo, guida il giovane nudo."
2,Quale ostacolo deve superare la 7ª Anima per completare la sua missione?,La 7ª Anima deve affrontare il tradimento del suo alleato più fidato.,"Per portare a termine il suo compito, la 7ª Anima deve superare l'inganno di un alleato."
3,Qual è il ruolo del narratore nel movimento futurista?,Il narratore è un seguace entusiasta del Futurismo.,Il protagonista aderisce con fervore agli ideali futuristi.
3,Qual è la vera natura della 'tremenda voce' che il narratore percepisce?,La voce è una manifestazione della sua coscienza interiore.,Si tratta di un'espressione dei pensieri più profondi del narratore.
3,Dove si reca Giulia dopo l'incontro iniziale con i personaggi?,Giulia parte per Milano per un impegno lavorativo.,Si dirige a Milano per adempiere a un incarico professionale.
3,In quale città si svolge la maggior parte degli eventi principali del romanzo?,La narrazione si concentra prevalentemente a Roma.,Gran parte della storia si sviluppa nella città di Roma.
5,Qual è il mestiere di Giovanni all'inizio del romanzo?,È un orologiaio.,La sua professione iniziale è quella di orologiaio.
5,In quale città si svolge la maggior parte della storia di Sofia?,La maggior parte della storia si svolge a Venezia.,Venezia è l'ambientazione principale delle vicende di Sofia.
5,Qual è il nome del manoscritto antico che Marco cerca?,Il manoscritto è chiamato 'Il Codice di Alarico'.,Marco è alla ricerca de 'Il Codice di Alarico'.
5,Per quale motivo Elena decide di lasciare il suo paese natale?,Fugge per evitare un matrimonio combinato.,La sua partenza è motivata dal rifiuto di un matrimonio forzato.
6,In quale nazione si svolge la maggior parte degli eventi del romanzo?,La storia è ambientata in Italia.,Gli avvenimenti principali si verificano sul suolo italiano.
6,Qual è il grado militare del superiore diretto del narratore?,Il suo superiore ha il grado di Capitano.,Il narratore risponde a un Capitano.
6,Quale tipo di veicolo aereo viene utilizzato per i bombardamenti nel romanzo?,Vengono impiegati dei bombardieri aerei.,I bombardamenti sono eseguiti da velivoli da guerra.
6,Qual è il nome del movimento artistico e culturale che influenza i personaggi del romanzo?,Il movimento che li influenza è il Futurismo.,Sono influenzati dal movimento Futurista.
7,Qual è il legame di Umberto Boccioni con il movimento futurista?,Era uno dei principali esponenti e teorici del Futurismo.,Fu una figura chiave e un teorico influente del movimento futurista.
7,Qual è il ruolo principale di Emma nella compagnia di soldati?,È la figura femminile che interagisce con i soldati.,Svolge un ruolo di contatto e relazione con i militari.
7,Qual è la caratteristica distintiva della Madre nel romanzo?,Rappresenta la figura materna e il suo dolore.,Incarna il simbolo della maternità sofferente.
7,Quale evento storico maggiore influenza la vita dei personaggi?,La Prima Guerra Mondiale ha un impatto significativo.,Il conflitto della Grande Guerra modella le vicende dei protagonisti.
8,Qual è l'obiettivo principale di Elara all'inizio del romanzo 'Le Cronache di Aethel'?,Elara cerca di ritrovare l'antica reliquia perduta.,Il suo scopo iniziale è recuperare il manufatto leggendario.
8,In quale regno si svolge la maggior parte della storia de 'Il Cuore di Pietra'?,La narrazione è ambientata principalmente nel Regno di Eldoria.,Gran parte degli eventi del libro si verificano nel reame di Eldoria.
8,Chi è il principale antagonista che il Capitano Kael deve affrontare in 'L'Ombra del Drago'?,Il suo nemico giurato è il Signore Oscuro Malakor.,"Il Capitano Kael si scontra principalmente con Malakor, il Signore Oscuro."
8,Qual è il destino finale della principessa Lyra alla fine del romanzo 'Il Canto della Sirena'?,Lyra decide di rinunciare al trono per vivere una vita semplice.,"Alla conclusione del libro, la principessa Lyra abdica per scegliere una vita comune."
9,Quante sezioni principali ha il libro 'Miscela delle 8 Anime esplosive'?,Otto sezioni,Otto parti
9,Chi è il personaggio che narra gli eventi del romanzo?,Il soldato protagonista,Il narratore in prima persona
9,Qual è il principale teatro di guerra in cui si svolge la storia?,Il fronte italiano,Le trincee della Grande Guerra
9,Qual è l'obiettivo principale della missione affidata all'unità del narratore?,Conquistare una posizione strategica,Prendere il controllo di un avamposto nemico
10,Qual è la professione di Emilia?,È una sarta.,Lavora come sarta.
10,Per quale motivo Marinetti e l'artista futurista vengono arrestati?,Vengono arrestati per aver disturbato l'ordine pubblico.,La loro detenzione è dovuta a disordini pubblici.
10,Qual è il nome del movimento artistico fondato da Marinetti?,Il movimento si chiama Futurismo.,È il Futurismo.
10,In quale periodo storico è ambientato il romanzo?,È ambientato all'inizio del XX secolo.,Si svolge nei primi anni del Novecento.
