Book,ParagraphIndex,Question,AnswerA,AnswerB
S. M. LA REGINA,1,Come si chiama la Regina menzionata nell'estratto?,Maria Carolina d'Asburgo-Lorena,La Regina Maria Carolina
S. M. LA REGINA,1,In quale città si svolgono gli eventi descritti nell'estratto?,A Napoli,Nella città di Napoli
S. M. LA REGINA,1,Qual è il nome del Cardinale che ha capitanato le orde menzionate nell'estratto?,Fabrizio Ruffo,Il Cardinale Fabrizio Ruffo
,,,,
S. M. LA REGINA,2,Chi è l'uomo mascherato che osserva il palco reale?,È Fra Diavolo,È il brigante Michele Pezza
S. M. LA REGINA,2,Qual è il ruolo del Cardinale Ruffo nella vicenda?,È il capo dei Sanfedisti,Comanda le forze realiste borboniche
S. M. LA REGINA,2,In quale città si svolge la festa descritta?,A Napoli,Nella capitale del Regno di Napoli
,,,,
S. M. LA REGINA,3,Dove si rifugiarono il marito e i figli di Carolina d'Austria?,In Sicilia,Nell'isola di Sicilia
S. M. LA REGINA,3,Chi è la giovane donna bionda che appare nel palco reale con Carolina d'Austria?,La principessa Maria Clementina,"Maria Clementina, nipote della Regina"
S. M. LA REGINA,3,Quale importante evento storico volle soffocare nel sangue Carolina d'Austria?,La Repubblica Partenopea,La rivolta della Repubblica Partenopea
,,,,
S. M. LA REGINA,4,Come si chiama il giovane che scalò il forte di Vigliena?,Si chiama Corrado,Il suo nome è Corrado
S. M. LA REGINA,4,Qual è il nome completo del Cardinale a capo delle bande di cui fa parte il giovane?,Cardinale Fabrizio Ruffo,Fabrizio Ruffo
S. M. LA REGINA,4,Chi è la donna in domino che incontra il giovane?,È la marchesa Isabella,Si tratta della marchesa Isabella
,,,,
S. M. LA REGINA,5,Chi è la donna che indossa il domino scarlatto?,Isabella,La signora Isabella
S. M. LA REGINA,5,Qual è il motivo per cui la donna con il domino scarlatto è accusata di tradimento?,Per aver tradito la sua famiglia,A causa del suo tradimento familiare
S. M. LA REGINA,5,Dove trovano rifugio Capitan Riccardo e la donna con il domino scarlatto dopo la fuga?,Nel convento di Santa Chiara,Presso il convento di Santa Chiara
,,,,
S. M. LA REGINA,6,Chi è la donna che Ercole intendeva uccidere?,È la Marchesa di Valdina,Si tratta della Marchesa di Valdina
S. M. LA REGINA,6,Qual è il motivo della vendetta di Ercole in nome dell'ammiraglio Caracciolo?,La donna aveva tradito l'ammiraglio Caracciolo,La vendetta è per il tradimento subito dall'ammiraglio Caracciolo
S. M. LA REGINA,6,Capitan Riccardo sopravvive alle gravi ferite riportate?,"Sì, si riprende completamente","Sì, riesce a guarire dalle ferite"
,,,,
S. M. LA REGINA,7,Quale regno fu riconquistato il 13 Giugno?,Il Regno di Napoli,Il regno borbonico
S. M. LA REGINA,7,Come si chiama il personaggio che descrive la carneficina del 13 Giugno?,Fra Diavolo,Michele Pezza
S. M. LA REGINA,7,Per quale scopo il personaggio fu chiamato a Napoli?,Per guidare la resistenza,Per organizzare la rivolta
,,,,
S. M. LA REGINA,8,Qual era il nome del Cardinale che si servì di quegli uomini per schiacciare la Repubblica Partenopea?,Fabrizio Ruffo,Il Cardinale Fabrizio Ruffo
S. M. LA REGINA,8,Qual era lo scopo della convocazione a Napoli degli uomini che avevano combattuto per il Cardinale?,Combattere contro l'esercito francese,Difendere la monarchia borbonica
S. M. LA REGINA,8,Quale monarchia si intendeva deporre con l'avanzata dell'esercito francese?,La monarchia borbonica,Il regno dei Borboni
,,,,
S. M. LA REGINA,9,Come si chiama la Regina che incita la folla?,Si chiama Isabella,Il suo nome è Isabella
S. M. LA REGINA,9,Qual è il legame tra Alma e la Regina?,Alma è la figlia della Regina,È la figlia della sovrana
S. M. LA REGINA,9,Chi sono gli stranieri che la Regina vuole scacciare dal regno?,Sono i Francesi,Gli invasori francesi
,,,,
S. M. LA REGINA,10,Come si chiama la Regina menzionata nell'estratto?,Carolina d'Austria,La Regina Carolina d'Austria
S. M. LA REGINA,10,Qual è il regno difeso da Carolina d'Austria?,Il Regno di Napoli,Il Regno delle Due Sicilie
S. M. LA REGINA,10,Chi è il nemico che minaccia il regno di Carolina d'Austria?,L'esercito francese,Le truppe francesi
,,,,
S. M. LA REGINA,11,Come si chiama la ragazza custodita nel castello?,Si chiama Isabella.,Il suo nome è Isabella.
S. M. LA REGINA,11,Come si chiama il giovane dalla vita raminga?,Si chiama Corrado.,Il suo nome è Corrado.
S. M. LA REGINA,11,Come si chiama la sovrana che ha riacquistato il regno?,Si chiama Eleonora.,Il suo nome è Eleonora.
,,,,
S. M. LA REGINA,12,Come si chiama il giovane ferito nel duello?,Il Conte Armand,Armand
S. M. LA REGINA,12,Qual è il nome del medico che assiste il giovane?,Il Dottor Fouché,Fouché
S. M. LA REGINA,12,In quale secolo è ambientata la vicenda del duello?,Nel Settecento,Nel diciottesimo secolo
,,,,
S. M. LA REGINA,13,Come si chiama il giovane ferito?,Il suo nome è Giovanni,Si chiama Giovanni
S. M. LA REGINA,13,Qual è il nome della signora che ospita il giovane?,Si chiama Contessa Isabella,Il suo nome è Isabella
S. M. LA REGINA,13,Come si chiama il medico che cura il giovane?,Il suo nome è Dottor Bianchi,Si chiama Dottor Bianchi
,,,,
S. M. LA REGINA,14,Chi è la donna che Riccardo ha difeso dagli aggressori?,È la Marchesa di Valdina,La sua identità è quella della Marchesa di Valdina
S. M. LA REGINA,14,Qual è il rapporto tra Alma e la donna che ha difeso Riccardo?,Sono la stessa persona,Alma e la donna mascherata sono la medesima persona
S. M. LA REGINA,14,Per quale motivo Riccardo è stato ferito?,Per difendere la donna che lo ha ospitato,È stato ferito mentre proteggeva la sua ospite
,,,,
S. M. LA REGINA,15,Qual è la vera identità della donna incontrata da Capitan Riccardo?,È la Marchesa di Valois,Si tratta della Marchesa di Valois
S. M. LA REGINA,15,Qual è il ruolo o la professione di Capitan Riccardo?,È un ufficiale dell'esercito,Riccardo è un ufficiale militare
S. M. LA REGINA,15,Per quale motivo l'incognita chiese aiuto a Capitan Riccardo?,Chiese aiuto per una congiura politica,Il suo aiuto era richiesto per una cospirazione
,,,,
S. M. LA REGINA,16,Come si chiama la donna che interagisce con Riccardo?,Si chiama Isabella,Il suo nome è Isabella
