Book,ParagraphIndex,Question,AnswerA,AnswerB
MARTIN EDEN,1,Quale romanzo di Jack London racconta la sua vita di scrittore?,Martin Eden,Il romanzo Martin Eden
MARTIN EDEN,1,Quale romanzo di Jack London è un urlo per i dolori degli altri e la rivoluzione?,Il Tallone di Ferro,Il romanzo Il Tallone di Ferro
MARTIN EDEN,1,Quali romanzi di Jack London sono definiti il poema della vita selvaggia?,Il Richiamo della foresta e Zanna Bianca,I romanzi Il Richiamo della foresta e Zanna Bianca
,,,,
MARTIN EDEN,2,Qual è la filosofia di vita di Andrea Sperelli?,L'estetismo,Il culto della bellezza
MARTIN EDEN,2,Che tipo di relazione lega Andrea Sperelli a Maria Ferres?,Un amore spirituale,Un legame intellettuale e platonico
MARTIN EDEN,2,Qual è la condizione sociale di Andrea Sperelli?,È un nobile romano,È un aristocratico dedito all'arte
,,,,
MARTIN EDEN,3,Come si chiama la donna che Martin Eden incontra e che lo colpisce profondamente?,Ruth Morse,Ruth
MARTIN EDEN,3,Qual era la professione di Martin Eden all'inizio del romanzo?,Marinaio,Un marinaio
MARTIN EDEN,3,Quale aspirazione principale Martin Eden sviluppa dopo aver incontrato Ruth Morse?,Diventare uno scrittore,Raggiungere la cultura e la fama letteraria
,,,,
MARTIN EDEN,4,Come viene descritto Bernardo Higgingbotham nel libro?,Come un bruto,Come un uomo brutale
MARTIN EDEN,4,Qual è la principale difficoltà nella vita della sorella di Martin?,Il lavoro estenuante,La fatica del suo lavoro
MARTIN EDEN,4,Qual è la caratteristica principale dello stile di vita di Martin?,È nomade,È itinerante
,,,,
MARTIN EDEN,5,Come si chiama la donna bruna?,Ruth,Ruth Morse
MARTIN EDEN,5,Qual è la professione di Martin all'inizio del romanzo?,Marinaio,Un marinaio
MARTIN EDEN,5,Perché Martin inizialmente si presenta con il nome Bill?,Per scherzo,Per celare la sua vera identità
,,,,
MARTIN EDEN,6,Dove è morto il fratello maggiore del personaggio maschile?,In India,Nel paese dell'India
MARTIN EDEN,6,Quanti anni aveva il personaggio maschile quando sua madre morì?,Undici anni,Aveva undici anni
MARTIN EDEN,6,"Secondo la donna, qual era il problema principale del modo di parlare del personaggio maschile?",Era molto scorretto,Il suo modo di parlare era scorretto
,,,,
MARTIN EDEN,7,Come si chiama il protagonista che scrive l'articolo sui cercatori di tesori?,Martin Eden,Il suo nome è Martin Eden
MARTIN EDEN,7,Qual è il rapporto tra Martin Eden e Ruth Morse?,Sono fidanzati,Sono promessi sposi
MARTIN EDEN,7,Cosa succede all'articolo di Martin Eden sui cercatori di tesori dopo essere stato spedito?,Viene rifiutato,Non viene accettato
,,,,
MARTIN EDEN,8,Qual è l'obiettivo principale di Martin Eden come scrittore?,Diventare uno scrittore di successo,Affermarsi nel mondo della letteratura
MARTIN EDEN,8,Chi è Ruth per Martin Eden?,La donna che ama,La sua fidanzata
MARTIN EDEN,8,Qual è l'origine sociale di Martin Eden?,Proviene dalla classe operaia,È di umili origini
,,,,
MARTIN EDEN,9,Martin riesce a realizzare il suo sogno di diventare scrittore?,"Sì, diventa uno scrittore di successo.","Sì, raggiunge la fama come autore."
MARTIN EDEN,9,Martin e Ruth si sposano?,"No, non si sposano.",La loro relazione non culmina nel matrimonio.
MARTIN EDEN,9,Come si conclude la vita di Martin Eden?,Si toglie la vita.,Muore suicida.
,,,,
MARTIN EDEN,10,Come si chiama la donna con cui Martin Eden va in bicicletta?,Ruth Morse,La signorina Ruth Morse
MARTIN EDEN,10,Qual è la principale aspirazione di Martin Eden?,Diventare uno scrittore,Riuscire come autore
MARTIN EDEN,10,Qual è il titolo della raccolta di poesie di Martin Eden?,Poemi del Mare,La sua opera poetica intitolata 'Poemi del Mare'
,,,,
MARTIN EDEN,11,Qual è la principale aspirazione di Martin Eden?,Diventare uno scrittore,Avere successo come autore
MARTIN EDEN,11,Chi ispira Martin Eden a migliorare la sua educazione?,Ruth Morse,La giovane Ruth
MARTIN EDEN,11,Come si conclude la vita di Martin Eden?,Si suicida,Muore annegato
,,,,
MARTIN EDEN,12,Qual è l'ambizione principale di Martin?,Diventare uno scrittore,Raggiungere il successo letterario
MARTIN EDEN,12,Che lavoro svolgeva Martin all'inizio del romanzo?,Era un marinaio,Lavorava come uomo di mare
MARTIN EDEN,12,Come si chiama la donna di cui Martin si innamora?,Ruth Morse,La signorina Ruth Morse
,,,,
MARTIN EDEN,13,Qual è la professione di Joe e Martin all'inizio del libro?,Sono lavandai,Lavorano come lavandai
MARTIN EDEN,13,Cosa rappresenta il 'paese della fiamma eterna' per Joe?,La libertà,L'indipendenza
MARTIN EDEN,13,Perché Joe odia il padrone dell'hôtel?,Per la sua tirannia,Per il suo sfruttamento
,,,,
MARTIN EDEN,14,Qual è la principale ambizione di Martin Eden?,Diventare uno scrittore,Riuscire come autore
MARTIN EDEN,14,Come finisce la vita di Martin Eden?,Si suicida annegandosi,Muore annegato in mare
MARTIN EDEN,14,Qual è il cognome di Ruth?,Morse,Il suo cognome è Morse
,,,,
MARTIN EDEN,15,Qual è la principale ambizione di Martin Eden?,Diventare uno scrittore,Affermarsi come autore
MARTIN EDEN,15,Come si chiama la famiglia di Ruth?,La famiglia Morse,I Morse
MARTIN EDEN,15,Qual è la fine di Martin Eden?,Si toglie la vita annegandosi,Muore suicida in mare
,,,,
MARTIN EDEN,16,Qual è l'obiettivo principale di Martin con la sua attività di scrittore?,Ottenere successo letterario e finanziario,Affermarsi come scrittore e migliorare la sua condizione economica
MARTIN EDEN,16,Qual è la natura del rapporto tra Martin e Ruth?,Un amore tormentato e complesso,Una relazione sentimentale difficile e profonda
MARTIN EDEN,16,Qual è il destino finale della carriera letteraria di Martin?,"Raggiunge il successo, ma troppo tardi per la sua felicità","Ottiene fama e ricchezza, ma ne è disilluso"
,,,,
MARTIN EDEN,17,Come si chiama il protagonista che riceve la lettera dall'editore?,Mattia Pascal,Il protagonista è Mattia Pascal
MARTIN EDEN,17,Qual è il nome dell'editore che propone il compenso per 'L'appello delle campane'?,Pomarici,L'editore si chiama Pomarici
MARTIN EDEN,17,Qual è il titolo del racconto che il protagonista ha scritto?,L'appello delle campane,Il racconto si intitola L'appello delle campane
,,,,
MARTIN EDEN,18,Dove Martin incontrò la colonia di lebbrosi?,Su una delle isole Hawai,In una delle isole dell'arcipelago hawaiano
MARTIN EDEN,18,Perché Martin si trovava sulle isole Hawai?,Aveva disertato da uno schooner,Era fuggito da una goletta
MARTIN EDEN,18,Cosa cercava Martin dopo aver disertato dallo schooner?,Un luogo sicuro,Un rifugio protetto
,,,,
MARTIN EDEN,19,Qual è la principale ricerca filosofica di Stephen More?,La ricerca di Dio,La scoperta della verità divina
MARTIN EDEN,19,Qual è il legame tra Ruth e Stephen More?,Sono fidanzati,Sono promessi sposi
MARTIN EDEN,19,Qual è la professione del Professor Caldwell?,È un teologo,È un professore di teologia
,,,,
MARTIN EDEN,20,Qual è la professione di Martin?,È uno scrittore,Svolge l'attività di scrittore
MARTIN EDEN,20,Il poema 'La Chiromante' viene pubblicato?,"Sì, viene pubblicato",Vede la pubblicazione
MARTIN EDEN,20,Qual è il rapporto tra Martin e Marianna?,Sono amici,Sono legati da un'amicizia
,,,,
MARTIN EDEN,21,Qual è l'ostacolo principale all'amore tra Ruth e Martin?,L'opposizione dei genitori di Ruth,L'antipatia della famiglia di Ruth
MARTIN EDEN,21,Qual è il ruolo di Lipka nelle difficoltà economiche di Martin?,Un altro usuraio,Un prestatore di denaro concorrente
MARTIN EDEN,21,Qual è l'importanza di Geltrude per Martin?,È una figura di supporto per lui,Rappresenta un aiuto per Martin
,,,,
MARTIN EDEN,22,"A chi è dedicato il ""Ciclo d'Amore"" di Martin Eden?",A Ruth Morse,Alla sua amata Ruth
MARTIN EDEN,22,Qual è il destino di Brissenden nel romanzo?,Si suicida,Muore suicida
MARTIN EDEN,22,Qual è la classe sociale di origine di Martin Eden?,Proviene dalla classe operaia,È di umili origini operaie
,,,,
MARTIN EDEN,23,Chi ha scritto la lettera anonima contro Martin Eden?,Bernardo Higgingbotham,"Il cognato di Martin Eden, Bernardo Higgingbotham"
MARTIN EDEN,23,Chi è la donna che Martin Eden abbraccia e che Arturo aspetta?,Ruth Morse,La sua fidanzata Ruth Morse
MARTIN EDEN,23,Qual è la principale ambizione di Martin Eden?,Diventare uno scrittore,Affermarsi come scrittore
,,,,
MARTIN EDEN,24,Qual è la principale aspirazione di Martin Eden?,Diventare uno scrittore,Riuscire come autore
MARTIN EDEN,24,Qual è l'esito finale della relazione tra Martin Eden e Ruth Morse?,Si lasciano,La loro storia d'amore termina
MARTIN EDEN,24,Qual è il destino finale di Martin Eden?,Si suicida,Muore annegato
,,,,
MARTIN EDEN,25,Qual è la principale ambizione di Martin Eden?,Diventare uno scrittore di successo,Affermarsi come autore e intellettuale
MARTIN EDEN,25,Chi è la donna che ispira Martin Eden a dedicarsi allo studio e alla scrittura?,Ruth Morse,La giovane Ruth Morse
MARTIN EDEN,25,Come si conclude la vita di Martin Eden?,Si suicida annegandosi in mare,Muore gettandosi nell'oceano
,,,,
MARTIN EDEN,26,Qual è il nome completo del protagonista?,Martin Eden,Il suo nome è Martin Eden
MARTIN EDEN,26,Qual è il rapporto tra Martin e Ruth?,Ruth è la donna amata da Martin,È la fidanzata di Martin
MARTIN EDEN,26,Qual è l'ambizione principale di Martin?,Diventare uno scrittore famoso,Raggiungere il successo letterario
,,,,
MARTIN EDEN,27,Quale attività intellettuale ha intrapreso Martin?,La scrittura,Diventare uno scrittore
MARTIN EDEN,27,Qual è il ruolo di Jimmy nella sua banda?,È il capo,È il leader
MARTIN EDEN,27,In quale città si svolge la maggior parte degli eventi?,A Oakland,Nella città di Oakland
,,,,
MARTIN EDEN,28,Qual è il legame di parentela tra Martin e Higgingbotham?,Sono cognati,Higgingbotham è il cognato di Martin
MARTIN EDEN,28,Chi è Geltrude in relazione a Martin?,È la moglie di Martin,La consorte di Martin
MARTIN EDEN,28,Qual è la professione di Martin?,È un banchiere,Svolge l'attività di banchiere
,,,,
MARTIN EDEN,29,Qual è la principale attività artistica di Martin Eden?,È uno scrittore,È un autore di opere letterarie
MARTIN EDEN,29,Per quale motivo Ruth inizialmente rifiuta Martin Eden?,Per la sua condizione sociale e la mancanza di prospettive economiche,A causa della sua povertà e della sua posizione sociale
MARTIN EDEN,29,Qual è il destino finale di Martin Eden?,Si suicida annegandosi,Muore annegato per sua volontà
,,,,
MARTIN EDEN,30,Qual è il titolo del romanzo che Martin Eden ha scritto e che gli ha portato fama?,Il pudore del sole,Il sole del pudore
MARTIN EDEN,30,Dove intende Martin Eden recarsi per costruire la sua casa?,Nei mari del sud,Nelle isole del Pacifico meridionale
MARTIN EDEN,30,Qual è la tragica fine di Martin Eden?,Si suicida annegandosi,Muore annegato in mare
,,,,
