Book,ParagraphIndex,Question,AnswerA,AnswerB
Fiori_di_passione,1,Cosa minaccia Fulvio di fare al marito di Paola?,Di ucciderlo,Di togliergli la vita
Fiori_di_passione,1,Quale canzone canta la signorina Sofia?,_Les adieux de l'hôtesse arabe_,La romanza francese _Les adieux de l'hôtesse arabe_
Fiori_di_passione,1,Da dove è arrivato il maestro di musica?,Da Londra,Dalla città di Londra
,,,,
Fiori_di_passione,2,Cosa tiene in mano Fulvio che appartiene a Paola?,Il ventaglio di Paola,Il suo ventaglio
Fiori_di_passione,2,Chi canta il waltzer dell'_Ombra_ nella _Dinorah_?,Sofia,La fanciulla Sofia
Fiori_di_passione,2,Dove si trova Fulvio quando cerca di parlare con Paola?,Sul terrazzo,Nel terrazzo
,,,,
Fiori_di_passione,3,Paola ha un marito?,"Sì, è sposata","Sì, ha un coniuge"
Fiori_di_passione,3,Qual è il desiderio principale dell'uomo nei confronti di Paola?,Vuole che Paola lo ami e fugga con lui,Desidera che Paola lasci tutto per seguirlo
Fiori_di_passione,3,Come descrive l'uomo la sua felicità passata?,Come una serena indifferenza,Come un egoismo tranquillo e una grande felicità umana
,,,,
Fiori_di_passione,4,Qual era la qualità più alta di Paolo Spada?,L'osservazione,La sua capacità di osservare
Fiori_di_passione,4,Come apparivano i personaggi a Paolo Spada durante i suoi sogni?,Come persone vive,"Non come fantasmi, ma come persone reali"
,,,,
,,,,
Fiori_di_passione,6,La moglie del pittore è fedele al marito?,"No, lo tradisce","No, ha un amante"
Fiori_di_passione,6,Il pittore è a conoscenza del tradimento della moglie?,"No, non ha sospetti","No, non sa del tradimento"
Fiori_di_passione,6,L'amante della moglie del pittore frequenta la casa di famiglia?,"Sì, viene in casa","Sì, siede al desco di famiglia"
,,,,
Fiori_di_passione,7,Dove viene seppellito il tesoro della Madonna?,Nell'orto,In un angolo dell'orto
Fiori_di_passione,7,Cosa indossa la bambina che provoca i soldati?,Un cappellino tricolore,Un cappellino alla Garibaldi
Fiori_di_passione,7,Chi aiuta Don Ottaviano a seppellire il tesoro della Madonna?,"Donna Cariclea, Zia Rachele e Ottavia","La cognata, la zia e la serva"
,,,,
Fiori_di_passione,8,Dove si trova il villaggio di Ventaroli?,Sulla collina,Su una collina
Fiori_di_passione,8,Chi osserva la valle dalla torricella durante il cannoneggiamento?,Donna Cariclea,La signora Cariclea
Fiori_di_passione,8,Per chi accende le candele Rosina?,Per i Garibaldini,Per i quaranta Garibaldini
,,,,
Fiori_di_passione,9,Cosa sta facendo Cecilia?,Ripone la biancheria,Sistemava la biancheria
Fiori_di_passione,9,Qual è il legame tra zia Angiolina e Cecilia?,Zia e nipote,Sono zia e nipote
Fiori_di_passione,9,Che tipo di matrimonio ha avuto zia Angiolina?,Un matrimonio d'amore,Un'unione basata sull'amore
,,,,
Fiori_di_passione,10,Quali fiori raccoglie Cecilia?,Rose e gelsomini,Fiori di rosa e gelsomino
Fiori_di_passione,10,Cosa intende fare Cecilia con i fiori raccolti?,Li sfoglierà nel cassone,Li essiccherà per il loro profumo
Fiori_di_passione,10,Cosa pensa Zia Angiolina dei nomi Cesare e Cecilia insieme?,Crede che vi sia una fatalità nei nomi,Pensa che i nomi possano influenzare il destino
,,,,
Fiori_di_passione,11,Da quale città proviene Alfonsina?,Da Salerno,Dalla città di Salerno
Fiori_di_passione,11,Dove trascorre Alfonsina le vacanze estive?,In un villaggio vicino a Salerno,In una casa baronale presso Salerno
Fiori_di_passione,11,Come viene soprannominata Alfonsina?,La sentimentale,Con il nomignolo 'la sentimentale'
,,,,
Fiori_di_passione,12,Chi fu rapito dai briganti?,Giovanni,Il personaggio di Giovanni
Fiori_di_passione,12,Come morì Giovanni?,Fu ucciso dai bersaglieri,I bersaglieri lo pugnalarono
,,,,
,,,,
Fiori_di_passione,14,Dove verrà portato il bambino di Sofia per migliorare la sua salute?,A Tivoli,Nella località di Tivoli
