Book,ParagraphIndex,Question,AnswerA,AnswerB
...SORELLA_DI_MESSALINA_ROMANZO,1,Chi invia le lettere ad Alberto?,Un personaggio misterioso,Il suo ignoto corrispondente
...SORELLA_DI_MESSALINA_ROMANZO,1,Quale delle due signore incontrate agli Ambasciatori diventa la figura centrale per Alberto?,La signora vestita di nero,La donna con il cappello piccolo
...SORELLA_DI_MESSALINA_ROMANZO,1,"Come si risolve il conflitto interiore di Alberto tra il ""coniglio"" e la ""pantera""?",Alberto trova un equilibrio tra le due nature,Le sue due personalità si fondono in armonia
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,2,Come si chiama la signora che incontra Alberto?,Elena Muti,La signora Elena Muti
...SORELLA_DI_MESSALINA_ROMANZO,2,Qual era il vero motivo dell'annuncio pubblicato dalla signora?,Cercava un compagno di vita,Desiderava trovare un nuovo amore
...SORELLA_DI_MESSALINA_ROMANZO,2,Qual è la professione di Alberto?,È un pittore,Svolge l'attività di artista
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,3,Qual è il nome con cui Raimonda si rivolge ad Alberto?,Giorgio,Il nome Giorgio
...SORELLA_DI_MESSALINA_ROMANZO,3,Qual è la professione di Alberto?,Pittore,Un artista
...SORELLA_DI_MESSALINA_ROMANZO,3,"Secondo Raimonda, cosa può separare due amanti?",Solo la morte,La morte è l'unica cosa
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,4,"Qual era il ""saggio proponimento"" di Alberto?",Non rivedere più Raimonda,Evitare ogni contatto con Raimonda
...SORELLA_DI_MESSALINA_ROMANZO,4,Qual è il ruolo di Raimonda nella morte dei suoi amanti?,È responsabile delle loro morti,Ha causato la fine dei suoi amanti
...SORELLA_DI_MESSALINA_ROMANZO,4,Qual è lo stato finale della relazione tra Alberto e Raimonda?,Sono una coppia,Il loro rapporto è sentimentale
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,5,Come si chiama il paese sul Veronese dove vive la famiglia di Alberto?,Si chiama Illasi,Il paese è Illasi
...SORELLA_DI_MESSALINA_ROMANZO,5,Alberto e Raimonda si separano definitivamente nel corso del libro?,"Sì, la loro relazione termina",La loro relazione si conclude con una separazione
...SORELLA_DI_MESSALINA_ROMANZO,5,Qual è la professione di Alberto?,È un avvocato,Svolge la professione di avvocato
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,6,Come si chiama la figlia di zio Mario?,Si chiama Giulia,Il suo nome è Giulia
...SORELLA_DI_MESSALINA_ROMANZO,6,Per quale motivo la famiglia di Alberto e di zio Mario si reca nella città di Alberto?,Per una riunione di famiglia,Per un incontro familiare
...SORELLA_DI_MESSALINA_ROMANZO,6,Qual è la professione di Alberto?,È un avvocato,Svolge la professione di avvocato
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,7,Qual è la ragione delle frequenti assenze di Raimonda?,Ha un altro amante,Incontra un altro uomo
...SORELLA_DI_MESSALINA_ROMANZO,7,Qual è l'esito finale della relazione tra Alberto e Raimonda?,Si lasciano definitivamente,La loro relazione termina
...SORELLA_DI_MESSALINA_ROMANZO,7,Alberto scopre un tradimento di Raimonda?,"Sì, viene a conoscenza del suo tradimento","Sì, scopre che Raimonda lo ha tradito"
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,8,Qual è il legame tra Raimonda e il figlio cieco del marchese Scotti?,Sono fidanzati,Sono promessi sposi
...SORELLA_DI_MESSALINA_ROMANZO,8,Per quale motivo il figlio del marchese Scotti desidera parlare con Alberto?,Vuole indagare sul rapporto tra Alberto e Raimonda,Intende scoprire la verità su Alberto e Raimonda
...SORELLA_DI_MESSALINA_ROMANZO,8,Qual è il sentimento di Alberto nei confronti di Raimonda?,È innamorato di lei,Prova un profondo affetto per Raimonda
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,9,Chi è la signora che Alberto cerca?,La contessa Elena,"Elena, la contessa"
...SORELLA_DI_MESSALINA_ROMANZO,9,Chi è il giovane cieco che parla con Alberto?,Pietro,Il giovane Pietro
...SORELLA_DI_MESSALINA_ROMANZO,9,In quale città Alberto deve riaccompagnare la signora?,A Firenze,Nella città di Firenze
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,10,Come si chiama il compagno di Alberto?,Si chiama Giovanni,Il suo nome è Giovanni
...SORELLA_DI_MESSALINA_ROMANZO,10,Chi è la persona che il compagno di Alberto aspetta invano?,La sua amata Maria,"Maria, la donna che amava"
...SORELLA_DI_MESSALINA_ROMANZO,10,In quale luogo si trovano Alberto e il suo compagno durante la notte?,Nella loro casa,All'interno della loro abitazione
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,11,L'invenzione di Weill si rivela un successo?,"No, si dimostra un fallimento.",Non ottiene i risultati sperati.
...SORELLA_DI_MESSALINA_ROMANZO,11,Qual è il rapporto tra il narratore e Rosalia?,Sono legati sentimentalmente.,Intrecciano una relazione amorosa.
...SORELLA_DI_MESSALINA_ROMANZO,11,Che fine fa Weill nel corso della storia?,Weill subisce un tracollo economico.,La sua impresa lo porta alla rovina.
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,12,"Qual è lo scopo del ""gigantesco ciclame incandescente"" nel laboratorio?",È un rimedio per il male degli occhi,Serve a curare la vista dalle cose sgradevoli
...SORELLA_DI_MESSALINA_ROMANZO,12,"Qual è il ruolo di Weill nella creazione del ""ciclame incandescente""?",È l'inventore del ciclame,Ha contribuito alla sua realizzazione
...SORELLA_DI_MESSALINA_ROMANZO,12,Qual è la condizione di Alessi che il narratore cerca di curare?,Alessi soffre del male degli occhi,Il narratore vuole guarire la vista di Alessi
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,13,Qual è la condizione di Adriano che lo porta a urlare nel buio?,Soffre di nictofobia,È affetto da paura del buio
...SORELLA_DI_MESSALINA_ROMANZO,13,In quale tipo di struttura si trova Adriano?,In una casa di cura,In un sanatorio
...SORELLA_DI_MESSALINA_ROMANZO,13,Che professione svolge Weill in relazione ad Adriano?,È il suo medico,È il dottore che lo segue
,,,,
...SORELLA_DI_MESSALINA_ROMANZO,14,Quale grave sciagura colpisce il narratore?,La cecità,La perdita della vista
...SORELLA_DI_MESSALINA_ROMANZO,14,Quale sentimento del narratore provoca la sua furia contro Rosàlia?,Il terrore di far pietà,La paura della compassione
...SORELLA_DI_MESSALINA_ROMANZO,14,Chi è la fanciulla che porta i fiori al narratore?,Una giovane vicina,La figlia di un conoscente
,,,,
