Book,ParagraphIndex,Question,AnswerA,AnswerB
I DIVORATORI ROMANZO,1,Chi è Valeria?,È la cognata di Edith,È la sorella acquisita di Edith
I DIVORATORI ROMANZO,1,Perché la nurse picchiettava il béby?,Per la flatulenza del bambino,Per le ventosità del neonato
I DIVORATORI ROMANZO,1,Di che colore sono i capelli di Valeria?,Neri,Neri come quelli del béby
,,,,
I DIVORATORI ROMANZO,2,Di chi era il cappello caduto nel torrente?,Di Edith,Apparteneva a Edith
I DIVORATORI ROMANZO,2,Chi aiutò Valeria a recuperare il cappello dal torrente?,Un giovane pescatore,Il pescatore biondo
I DIVORATORI ROMANZO,2,Cosa stava facendo il giovane quando Valeria lo vide per la prima volta?,Stava pescando,Era intento a pescare
,,,,
I DIVORATORI ROMANZO,3,Chi è il padre di Antonio?,Lo zio Giacomo,Giacomo
I DIVORATORI ROMANZO,3,Chi è Valeria per Antonio?,Sua cugina,La cugina di Antonio
I DIVORATORI ROMANZO,3,Che professione svolge Nunziata Villari?,È un'attrice,Fa l'attrice
,,,,
I DIVORATORI ROMANZO,4,Cosa scrive Nancy?,Poesie,Versi
I DIVORATORI ROMANZO,4,Chi chiude porte e finestre per non disturbare Nancy?,Edith,La giovane Edith
I DIVORATORI ROMANZO,4,Cosa propone la signora Avory per le lezioni di poesia di Nancy?,Di far venire un poeta da Londra,Un poeta che le dia lezioni da Londra
,,,,
I DIVORATORI ROMANZO,5,Con chi discorre il nonno sulla collina?,Con lo spaventapasseri,Con la figura nel campo
I DIVORATORI ROMANZO,5,Chi cercava il nonno all'inizio?,Nancy,La giovane Nancy
I DIVORATORI ROMANZO,5,Chi raggiunge il nonno sulla collina?,"Suo figlio Tom, il nipote e i figli morti di Tom","Tom, suo figlio e i suoi figli defunti"
,,,,
I DIVORATORI ROMANZO,6,Qual è la prima località in cui vanno Nino e Nunziata?,A Engelberg,Engelberg
I DIVORATORI ROMANZO,6,Chi invia una lettera a Nunziata mentre si trova a Engelberg?,Il conte,Un conte
I DIVORATORI ROMANZO,6,Dove si recano Nino e Nunziata dopo Engelberg?,A Interlaken,Nella città di Interlaken
,,,,
I DIVORATORI ROMANZO,7,Chi è il personaggio la cui morte viene annunciata a Valeria?,Edith,Una persona di nome Edith
I DIVORATORI ROMANZO,7,Cosa ha pubblicato Nancy?,La sua prima poesia,Una poesia
I DIVORATORI ROMANZO,7,Cosa desiderava Valeria per sua figlia Nancy?,Che fosse un genio,Che diventasse un genio riconosciuto
,,,,
I DIVORATORI ROMANZO,8,Chi strappa la rivoltella all'uomo?,Della Rocca,Aldo Della Rocca
I DIVORATORI ROMANZO,8,Chi accompagna Nancy nel tilbury?,Clarissa e Aldo,Clarissa e Della Rocca
I DIVORATORI ROMANZO,8,Qual è l'opinione di Clarissa sul gesto di Della Rocca?,Lo considera un poseur,Lo definisce un poseur
,,,,
I DIVORATORI ROMANZO,9,Chi è Nancy?,Una poetessa,La scrittrice di poesie
I DIVORATORI ROMANZO,9,Dove intende Nancy scrivere il suo libro?,Alla villa Solitudine,Nella villa di Clarissa
I DIVORATORI ROMANZO,9,Chi incontra Clarissa e Nancy al loro arrivo alla villa Solitudine?,Aldo,Il cognato di Clarissa
,,,,
I DIVORATORI ROMANZO,10,Chi manda via Nunziata?,Nino,Il giovane Nino
I DIVORATORI ROMANZO,10,Quale indumento indossa Nunziata dopo aver cambiato aspetto?,Una veste nera,Un vestito nero e liscio
I DIVORATORI ROMANZO,10,Quale nome usa Nunziata per convincere Nino a partire?,Nancy,Il nome di Nancy
,,,,
I DIVORATORI ROMANZO,11,Quale personaggio sta scrivendo un capitolo?,Nancy,Il personaggio di Nancy
