Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_cantico,1,Che tipo di anima aveva la madre di Duccio?,Aveva l'anima di una capinera,Era serena e luminosa
Il_cantico,1,Dove andavano Duccio e sua madre nei giorni di libertà?,Andavano in una selva remota,Si recavano in una selva sui colli
Il_cantico,1,Cosa diceva la madre a Duccio sull'aria del mattino?,Gli diceva che l'aria del mattino è vita,Affermava che l'aria del mattino è vita
,,,,
Il_cantico,2,Cosa dice Omero riguardo all'avere un padrone?,Afferma che tutti ne hanno uno.,Sostiene che ognuno ha un padrone.
,,,,
Il_cantico,3,Chi ha ucciso il padre?,Simonetto,Un uomo di nome Simonetto
Il_cantico,3,Chi era presente quando il padre confessò l'omicidio?,La madre e la figlia,La vecchia e la giovanetta
Il_cantico,3,Per quanti anni i genitori non avevano litigato?,Venticinque anni,Per venticinque anni
,,,,
,,,,
Il_cantico,5,Verso quale città si stanno dirigendo Omero e Duccio della Bella?,Verso Comacchio,A Comacchio
Il_cantico,5,Quanto del loro guadagno iniziale è rimasto a Omero e Duccio della Bella?,Quasi tutto,La maggior parte
Il_cantico,5,"Secondo Omero, cosa succede se non si possiede nulla?",Gli uomini non accoglieranno chi non possiede nulla,Si è considerati bestie inutili
,,,,
Il_cantico,6,Come chiamavano Serenella il padre e i fratelli?,Serena,Con il nome di Serena
Il_cantico,6,In quale regione si trova la città di Serenella?,Nella bassa Romagna,Nella Bassa Romagna
,,,,
,,,,
Il_cantico,8,Chi sta cucendo la veste d'Arlecchino?,Omero,L'uomo chiamato Omero
Il_cantico,8,Chi si presenta sulla soglia della casa?,Giovanni della Nave,Il personaggio Giovanni della Nave
Il_cantico,8,Chi è Simone?,Il lebbroso,Un uomo lebbroso
,,,,
Il_cantico,9,Come si chiamano i tre fratelli?,"Leone, Francesco e Matteo","I loro nomi sono Leone, Francesco e Matteo"
Il_cantico,9,Di che colore è la veste di Serenella?,Cinerea,È di colore cinereo
Il_cantico,9,Cosa fanno Sita e Zalèbi alla fine dell'estratto?,Entrano in ballo,Si mettono a ballare
,,,,
Il_cantico,10,Chi è la donna che parla con Duccio?,Serenella,La sua amata Serenella
Il_cantico,10,Chi è l'uomo che attende Serenella?,Giovanni,Si chiama Giovanni
,,,,
Il_cantico,11,Dove si rifugiano Omero e Duccio?,In casa di Giovanna della Nave,Nella dimora di Giovanna della Nave
,,,,
,,,,
Il_cantico,13,Cosa affermò Matteo Adeva di sé durante il viaggio?,Di appartenere a un circo equestre,Che faceva parte di un circo equestre
Il_cantico,13,Qual era la principale attività di Matteo Adeva?,Il piccolo furto,Praticava il piccolo furto
Il_cantico,13,Da quale città Matteo Adeva seguì i protagonisti fino a Roma?,Da Ancona,Dalla città di Ancona
,,,,
,,,,
Il_cantico,15,Chi è Sciupô?,Marco,Il giovinastro Marco
Il_cantico,15,Che mestiere fa Ghetano?,Il ciabattino,Fa il ciabattino
,,,,
Il_cantico,16,Chi è Dora?,La figlia maggiore della vicina,La bimba più grande della vicina
,,,,
,,,,
,,,,
Il_cantico,19,Chi aiuta Omero a portare la legna?,Donetta,Una bambina di nome Donetta
Il_cantico,19,Qual è il destino di Donetta?,Muore,Non ritorna più
Il_cantico,19,Cosa fa Omero dopo la morte di Donetta?,Diventa un viandante,Si mette in viaggio senza sosta
,,,,
Il_cantico,20,Chi sono i due personaggi principali menzionati nell'estratto?,Paolo e Omero,Omero e Paolo
Il_cantico,20,Dove alloggia Omero?,Nella casa dell'ortolano,Presso la casa del giardiniere
Il_cantico,20,Qual è una delle ragioni per cui le monache non vanno nell'orto?,Perché ci sono Paolo e Omero,A causa della presenza di Paolo e Omero
,,,,
Il_cantico,21,Chi erano Duccio e Leonello?,Compagni di scuola,Vecchi amici dai tempi della scuola
Il_cantico,21,Dove si incontrano Duccio e Leonello dopo anni?,A Roma,Nella città di Roma
Il_cantico,21,Qual era la professione di Duccio al momento dell'incontro?,Scrivano e galoppino di un avvocato,Lavorava come scrivano e galoppino
,,,,
Il_cantico,22,"Con chi hanno un appuntamento Oddo Spiro, Giusto Sorani e Sulpicio Alanna?",Con Leonello Robbia,Leonello Robbia
