Batch,Testo,Risposta1,Risposta2
1,Che ruolo ha il protagonista nella scoperta del colpevole del delitto di Hulda?,Il protagonista è fondamentale per svelare l'identità dell'assassino di Hulda.,Il protagonista gioca un ruolo chiave nell'identificazione di chi ha ucciso Hulda.
1,Qual è il motivo principale per cui Evaristo tradisce la fiducia di Hulda?,Evaristo tradisce Hulda per ottenere un vantaggio economico personale.,La ragione del tradimento di Evaristo verso Hulda è il suo interesse per il guadagno materiale.
1,Dove si trova la 'quaglia di ritorno' quando Evaristo la menziona?,La 'quaglia di ritorno' è un oggetto che Evaristo tiene nascosto nella sua casa.,Evaristo custodisce la 'quaglia di ritorno' in un luogo segreto all'interno della sua abitazione.
1,Qual è il destino finale di Grinfieri nel romanzo?,Grinfieri viene smascherato e subisce le conseguenze delle sue azioni.,"Alla fine del libro, Grinfieri è scoperto e affronta la giustizia per i suoi misfatti."
2,Qual è il nome del villaggio dove si svolge la maggior parte della storia?,Il villaggio si chiama Bellavista.,La storia è ambientata principalmente a Bellavista.
2,Chi è l'autore delle lettere anonime inviate a Don Pietro?,"Le lettere sono scritte da Sofia, la sarta.","Sofia, la sarta del paese, è la mittente delle lettere."
2,Qual è l'oggetto che il vecchio marinaio Anselmo cerca per tutta la vita?,Anselmo cerca una bussola d'oro.,L'oggetto della sua ricerca è una bussola d'oro.
2,Per quale motivo la famiglia Bianchi si trasferisce in città?,Si trasferiscono per la malattia della figlia minore.,Il motivo del trasferimento è la malattia della figlia più piccola.
3,Quale decisione importante prende Hulda riguardo al suo futuro?,Hulda decide di lasciare la sua vita precedente per cercare una nuova esistenza.,Hulda sceglie di abbandonare il suo passato per intraprendere un nuovo percorso.
3,Qual è il destino di Webb dopo il furto di Evaristo?,Webb subisce gravi conseguenze a causa del furto subito da Evaristo.,La vita di Webb viene profondamente influenzata negativamente dall'azione di Evaristo.
3,Da dove proviene la 'bestia' che minaccia il villaggio?,La 'bestia' ha origine dalle profondità della foresta circostante il villaggio.,La creatura minacciosa emerge dalle zone selvagge che circondano l'insediamento.
3,Qual è l'obiettivo principale di Guy Stein nel suo rapporto con Hulda?,Guy Stein mira a manipolare Hulda per i suoi scopi personali.,L'intento di Guy Stein è quello di controllare Hulda per trarne un vantaggio.
4,Qual è l'obiettivo principale di Evaristo all'inizio del romanzo?,Evaristo desidera sposare Mary.,Il suo scopo è ottenere la mano di Mary.
4,Dove si incontrano per la prima volta Evaristo e Mary?,Si incontrano al ballo organizzato dal conte Melisardo.,Il loro primo incontro avviene durante la festa del conte Melisardo.
4,Chi si oppone al matrimonio tra Evaristo e Mary?,Francis Webb è contrario all'unione.,L'opposizione principale viene da Francis Webb.
4,Qual è il segreto che Hulda rivela a Evaristo?,Hulda confessa di essere la vera madre di Mary.,Il segreto svelato da Hulda è la sua maternità nei confronti di Mary.
5,Qual è l'obiettivo principale di Marco all'inizio del romanzo?,Marco vuole vendicare la morte di sua sorella.,Il desiderio di Marco è vendicare la sorella defunta.
5,Chi è il principale antagonista di Sofia?,Il Dottor Volkov è l'avversario principale di Sofia.,Sofia si scontra principalmente con il Dottor Volkov.
5,Qual è il significato del medaglione che Elena porta sempre con sé?,Il medaglione contiene una foto della madre perduta di Elena.,"Per Elena, il medaglione è un ricordo della madre scomparsa."
5,Dove decide di stabilirsi Luca alla fine della storia?,Luca sceglie di vivere in un piccolo villaggio di pescatori.,"Alla fine, Luca si trasferisce in un borgo marittimo."
6,Evaristo riesce a fuggire dopo il colpo?,"Sì, Evaristo riesce a scappare.",Evaristo non viene catturato e si allontana.
6,Qual è l'ostacolo principale alla relazione tra Mary ed Evaristo?,Il disaccordo di Francis Webb sulla loro unione.,La disapprovazione di Webb impedisce la loro relazione.
6,Il segreto che Evaristo chiede a Webb di non rivelare riguarda la sua vera identità?,"Sì, il segreto rivela chi è veramente Evaristo.",Riguarda la sua identità nascosta.
6,Qual è il ruolo del Conte Melisardo nella vicenda del milione?,È la vittima del furto del milione.,Il Conte Melisardo è colui a cui è stato sottratto il denaro.
7,Qual è la professione di Evaristo?,Evaristo lavora come informatore.,La professione di Evaristo è quella di fornitore di informazioni.
7,Cosa fa Hulda per affrontare le sue preoccupazioni finanziarie?,Hulda cerca di manipolare Evaristo per i suoi scopi economici.,"Per risolvere i suoi problemi finanziari, Hulda tenta di controllare Evaristo."
7,Chi è la dama per cui Evaristo raccoglie informazioni?,La dama su cui Evaristo indaga è Eleonora.,Evaristo fornisce dettagli riguardanti la signora Eleonora.
7,Evaristo riesce a raggiungere il suo obiettivo principale?,"No, Evaristo fallisce nel suo intento primario.",L'obiettivo principale di Evaristo non viene realizzato.
8,Come muore Francis Webb?,Viene assassinato da Guy Stein.,La sua morte è causata da Guy Stein.
8,Qual è il destino finale di Guy Stein?,Viene arrestato e condannato per i suoi crimini.,Finisce in prigione per le sue azioni.
8,Perché Hulda collabora con Guy Stein?,È costretta dalle minacce di Guy Stein.,Agisce sotto la pressione e il ricatto di Guy Stein.
