Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_professore_romauldo,1,A chi è indirizzata la lettera del capitano Rodomiti?,Al professor Grolli,Al professore Grolli
Il_professore_romauldo,1,Dove decide di recarsi il professor Grolli?,A Genova,Nella città di Genova
Il_professore_romauldo,1,Come si chiama la nave menzionata nella lettera?,La Lisa,Lisa
,,,,
Il_professore_romauldo,2,Chi riceve il dispaccio?,La signora Dorotea,La signora Salsiccini
Il_professore_romauldo,2,Cosa riceve la signora Dorotea?,Un dispaccio,Un telegramma
Il_professore_romauldo,2,Chi è la portinaia?,La signora Gertrude,Gertrude
,,,,
Il_professore_romauldo,3,Come si chiama il professore che vive in Casa Negrelli?,Grolli,Il Grolli
Il_professore_romauldo,3,Dove abita il professore Grolli?,In Casa Negrelli,Nella casa Negrelli
Il_professore_romauldo,3,Cosa ha allestito il professore Grolli nel suo stanzino?,Un laboratorio chimico,Un laboratorio di chimica
,,,,
Il_professore_romauldo,4,Chi consegnò le carte sigillate a Rodomiti?,La signora Elena,Elena
Il_professore_romauldo,4,Chi è l'ospite che riceve il piego misterioso?,Il dottore Romualdo,Romualdo
Il_professore_romauldo,4,Chi è l'autrice della lunga lettera indirizzata a Romualdo?,Sua sorella,La sorella di Romualdo
,,,,
Il_professore_romauldo,5,Chi è il padrino di Gilda?,Il capitano Antonio Rodomiti,Antonio Rodomiti
Il_professore_romauldo,5,Dove viene mandata Gilda?,In Europa,Nel continente europeo
Il_professore_romauldo,5,Chi viene nominato tutore di Gilda?,Romualdo,Suo zio Romualdo
,,,,
Il_professore_romauldo,6,Chi è Gilda per il capitano?,La sua figlioccia,La figlioccia del capitano
Il_professore_romauldo,6,Come si chiama il professore?,Grolli,Il dottor Grolli
Il_professore_romauldo,6,Quale incarico ha affidato la signora Natali al professore?,Di prendersi cura di Gilda,Di occuparsi della piccina
,,,,
Il_professore_romauldo,7,Chi accompagna Romualdo?,Gilda,La sua pupilla Gilda
Il_professore_romauldo,7,Qual è il rapporto tra Gilda e Romualdo?,È la sua pupilla,È la sua allieva/protetta
Il_professore_romauldo,7,Su quale mezzo di trasporto viaggiano Romualdo e Gilda?,Su un treno,Sul convoglio ferroviario
,,,,
Il_professore_romauldo,8,Chi è Gilda?,La pupilla di Romualdo,La fanciulla accudita da Romualdo
Il_professore_romauldo,8,Chi è Romualdo per Gilda?,È il suo tutore,È la persona che si prende cura di lei
Il_professore_romauldo,8,Chi è la padrona di casa di Romualdo?,La signora Dorotea,Dorotea
,,,,
Il_professore_romauldo,9,Chi ha preparato il corredo per Gilda?,La signora Natali,"Sua madre, la signora Natali"
Il_professore_romauldo,9,Qual è la professione del dottore Romualdo?,Professore,Un professore universitario
Il_professore_romauldo,9,Chi ha condotto via la bimba Gilda?,Il capitano Rodomiti,Rodomiti
,,,,
Il_professore_romauldo,10,Chi è Gilda per il professore Romualdo?,È la nipote del professore,La nipote di Romualdo
Il_professore_romauldo,10,Qual è il ruolo della signora Dorotea nella vita del professore?,È la sua padrona di casa,La padrona di casa del professore
Il_professore_romauldo,10,Per quanto tempo è durata la situazione che il professore e la signora Dorotea ritenevano insostenibile?,Per alcuni anni,Diversi anni
,,,,
Il_professore_romauldo,11,Come si chiama il professore?,Romualdo,Dottor Romualdo
Il_professore_romauldo,11,Qual è il soprannome con cui viene chiamata Gilda?,La nipote dell'orangutan,Il soprannome 'la nipote dell'orangutan'
Il_professore_romauldo,11,Qual è il ruolo di don Spiridione?,È il catechista,Il catechista
,,,,
Il_professore_romauldo,12,Per quale motivo Gilda lasciò il collegio?,A causa di un'epidemia difterica,Per via di un'epidemia di difterite
Il_professore_romauldo,12,Chi riprese Gilda dal collegio durante l'epidemia?,Il professor Romualdo,"Il suo tutore, il professor Romualdo"
Il_professore_romauldo,12,Perché Gilda decise di non tornare in collegio dopo l'epidemia?,Perché la sua migliore amica era morta,A causa della morte della sua amica più cara
,,,,
Il_professore_romauldo,13,Chi è Gilda per il professor Romualdo?,È la sua pupilla,È la sua protetta
Il_professore_romauldo,13,Come vede le donne il professor Romualdo?,Le considera esseri inferiori,Le ritiene malate e insidiose
Il_professore_romauldo,13,Quale cambiamento in Gilda preoccupa il professor Romualdo?,La sua trasformazione in donna,Il suo diventare donna
,,,,
Il_professore_romauldo,14,Di chi è nipote Gilda?,Del professor Romualdo,Di Grolli
Il_professore_romauldo,14,Qual è lo scopo della signora Olimpia nell'organizzare i convegni serali?,Trovare marito alle figlie,Procurare un marito per le sue figliuole
Il_professore_romauldo,14,Chi è il personaggio a cui la signora Olimpia dedica attenzioni particolari?,Il professor Romualdo,Il dottor Grolli
,,,,
Il_professore_romauldo,15,Chi è il tutore di Gilda?,È suo zio,L'uomo che le fa da zio
Il_professore_romauldo,15,Qual è l'atteggiamento dello zio di Gilda verso le donne?,Non le sopporta,Non può soffrire le donne
Il_professore_romauldo,15,Cosa accettò l'uomo descritto dalla sorella?,Un legato,L'eredità lasciatagli dalla sorella
,,,,
Il_professore_romauldo,16,Chi è lo zio di Gilda?,Capitano Antonio,Il Capitano Antonio
Il_professore_romauldo,16,Di cosa discute il Professore con il Capitano Antonio riguardo a Gilda?,Del suo futuro matrimonio,Del matrimonio di Gilda
Il_professore_romauldo,16,Cosa scopre Gilda di sé stessa quella sera?,Di essere veramente bella,La sua vera bellezza
,,,,
Il_professore_romauldo,17,Quanti anni ha Gilda quando si parla del suo matrimonio?,Sedici anni e qualche mese,Ha sedici anni e alcuni mesi
Il_professore_romauldo,17,Cosa chiede il dottor Grolli al Capitano per il periodo successivo al matrimonio di Gilda?,Di prenderlo a bordo della sua nave,Di imbarcarlo sul suo legno
Il_professore_romauldo,17,Chi si offre di fare da padrino al matrimonio di Gilda?,Il Capitano,L'amico del dottor Grolli
,,,,
Il_professore_romauldo,18,Qual è il legame di parentela tra Gilda e il dottore Romualdo?,Gilda è la nipote del dottore Romualdo,Il dottore Romualdo è lo zio di Gilda
Il_professore_romauldo,18,Cosa intende fare l'Albani in montagna?,Vuole scalare una cima poco conosciuta,Ha in programma di ascendere una vetta
Il_professore_romauldo,18,Che fine hanno fatto i gatti Mao e Meo?,Sono morti,Non sono più vivi
,,,,
Il_professore_romauldo,19,Chi è lo zio della giovinetta?,Il professore,Aldo
Il_professore_romauldo,19,Dove si svolge la gita del professore?,Sulle Alpi,Tra le montagne alpine
Il_professore_romauldo,19,Chi aiuta il professore a raccogliere le piante?,L'Albani,Albani
,,,,
Il_professore_romauldo,20,Chi sono i tre viaggiatori che arrivano all'albergo?,"Mario, Gilda e zio Aldo","Mario, Gilda e il professore"
