Book,ParagraphIndex,Question,AnswerA,AnswerB
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Quale tipo di scuola frequenta Aquilino?,Il liceo,Frequenta il liceo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Come si chiama il signore che incontra Aquilino?,Il signor Bianchi,Si chiama Bianchi
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,1,Come si chiama la madre di Aquilino?,Si chiama Anna,Anna
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Qual è la nazionalità dello czar menzionato dalla spia?,Russa,Dell'Impero Russo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Che tipo di creatura è Aquilino?,Un cagnolino,Un piccolo cane
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,2,Qual è la funzione principale del casino descritto nell'estratto?,Un luogo di ritrovo per l'alta società,Un club esclusivo per l'élite
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Quale professione intraprende Aquilino dopo gli studi?,Diventa un avvocato di successo,Intraprende la carriera legale con successo
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Quale destino finale attende Don Malfattini?,Viene rimosso dal suo incarico,Perde la sua posizione di potere
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,3,Qual è la condizione economica finale di Mamà?,La sua situazione finanziaria migliora,Gode di una maggiore agiatezza economica
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Qual è il legame tra Aquilino e il conte?,Il conte è il suo tutore.,Il conte si prende cura di lui.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Qual è la vera condizione economica del conte?,È un nobile decaduto.,È un uomo di modeste fortune.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,4,Quale insegnamento morale il conte trasmette ad Aquilino riguardo all'oro?,La pericolosità dell'avidità.,Il disprezzo per la ricchezza materiale.
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Qual è il rapporto tra Aquilino e la signora che spende denaro per lui?,La signora è la sua benefattrice.,La signora è la sua protettrice.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Cosa porta Aquilino a casa di sua madre che è 'meglio che i confetti'?,Un'opportunità di lavoro.,La promessa di un impiego.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,5,Qual è il ruolo del conte nella vita di Aquilino?,Il conte è il suo mentore.,Il conte è il suo consigliere.
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,6,Qual è la principale intenzione della Marchesa riguardo all'istruzione di Bobby?,Vuole che Bobby studi in casa per il ginnasio,La Marchesa desidera che Bobby segua il ginnasio a casa
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,6,Quali materie insegna Aquilino a Bobby?,Greco e Latino,"Le lingue classiche, greco e latino"
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,6,Dove sostiene Bobby gli esami del ginnasio?,Alle scuole pubbliche,Nelle scuole statali
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,7,Qual è il ruolo di Franco Maironi nella vita di Pierino?,È il suo precettore.,È il tutore di Pierino.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,7,Come si chiama la madre di Pierino?,Si chiama Luisa.,Il suo nome è Luisa.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,7,Qual è il destino di Pierino?,Muore annegato nel lago.,Perde la vita per annegamento.
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,8,Qual è il ruolo di Miss Edith nella casa di Bobby?,È la governante di Bobby,Ricopre l'incarico di governante per Bobby
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,8,Qual è il cognome della famiglia presso cui Aquilino è precettore?,Il cognome è [Cognome Famiglia],La famiglia si chiama [Cognome Famiglia]
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,8,Qual è la città natale di Aquilino?,La sua città è [Nome Città],Proviene da [Nome Città]
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,9,Qual è la funzione di Miss Edith per Aquilino?,È la sua governante,Svolge il ruolo di governante per Aquilino
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,9,Qual è il legame di parentela tra Bobby e Aquilino?,Bobby è il fratello minore di Aquilino,Aquilino è il fratello maggiore di Bobby
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,9,Qual è il ruolo di Donna Bàrbera nella casa di Aquilino?,È la cuoca della famiglia,Svolge la funzione di cuoca
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,10,Qual è il ruolo di Aquilino nella famiglia di Bobby?,È il precettore di Bobby,Aquilino è il tutore di Bobby
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,10,Qual è il titolo nobiliare della madre di Bobby?,È la marchesa,La madre di Bobby ha il titolo di marchesa
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,10,Qual è la professione del senatore X...?,È un professore universitario,Il senatore X... insegna all'università
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,11,Qual è il nome completo di Aquilino?,Il suo nome è Aquilino Salmi,Aquilino Salmi
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,11,Come si chiama la marchesa che ha assunto Aquilino?,La Marchesa di Forlì,Si chiama Marchesa di Forlì
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,11,Dove si trova la villa della marchesa dove Aquilino lavora?,A Fiesole,Nella villa di Fiesole
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,12,Qual è la posizione di Aquilino riguardo all'esistenza degli enigmi?,Crede che esistano enigmi,Sostiene l'esistenza di enigmi
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,12,Qual è il motto del senatore riguardo all'accontentarsi della conoscenza?,Chi si accontenta gode,Afferma che chi si accontenta gode
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,12,"A quale filosofo si riferisce Aquilino per descrivere la materia come ""tamquam foemina""?",Al filosofo peripatetico,A un filosofo peripatetico
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,13,Qual è la professione di Aquilino?,È uno studioso,Un intellettuale
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,13,Che cos'è Bobby?,È un cane,Il cane della marchesa
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,13,Perché Bobby deve mangiare midolla di leone?,Per acquisire forza,Per diventare più vigoroso
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,14,Qual è la natura del rapporto tra il Marchese Ippolito e il Conte Cosimo?,Erano amici di gioventù.,Erano vecchi amici.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,14,Chi è Aquilino in relazione alla Marchesa?,È un ospite della Marchesa.,È un invitato a cena dalla Marchesa.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,14,Qual è il rapporto tra Donna Barberina e il Marchese Ippolito?,Sono sposati.,Sono marito e moglie.
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,15,Qual è il nome completo di Bobby?,Roberto,Roberto de' Tassis
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,15,Qual è il cognome del padre di Bobby?,De' Tassis,Il cognome della famiglia è De' Tassis
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,15,Qual è il ruolo di Aquilino nella famiglia di Bobby?,È il precettore di Bobby,È il tutore di Bobby
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,16,Qual è il ruolo di Miss Edith nella casa del marchese?,È la governante,Svolge la funzione di educatrice
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,16,Qual è la principale preoccupazione del marchese riguardo a Miss Edith?,La sua moralità,La sua condotta e le sue idee
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,16,Qual è la professione di Aquilino?,È un precettore,Svolge il ruolo di insegnante
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,17,Per il funerale di chi Aquilino riceve il conto?,Per il funerale di sua moglie,Per la morte della consorte di Aquilino
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,17,Come si chiama la parrocchia di Don Malfattini?,Santa Maria Addolorata,La Parrocchia di Santa Maria Addolorata
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,17,Qual è il ruolo di Don Malfattini nella Parrocchia di Santa Maria Addolorata?,È il parroco,È l'arciprete della parrocchia
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,18,Dove si stabilirà Aquilino alla fine della storia?,A Roma,Nella città di Roma
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,18,Aquilino e Miss Edith si sposeranno?,"Sì, si uniranno in matrimonio","Sì, diventeranno marito e moglie"
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,18,Bobby supererà gli esami di quell'anno?,"Sì, Bobby sarà promosso","Sì, supererà le prove"
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,19,Chi è il protagonista principale del libro?,Il marchese,Il personaggio del marchese
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,19,In quale città si svolgono principalmente gli eventi del libro?,A Roma,Nella città di Roma
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,19,Qual è il destino finale del marchese?,Si ritira a vita privata,Abbandona la vita pubblica
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,20,Quale decisione prende il marchese Ippolito di Torrechiara riguardo alla partecipazione dell'Italia alla guerra?,Si arruola volontario nell'esercito italiano,Decide di sostenere attivamente l'intervento in guerra
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,20,Come si risolve la 'vita in tre' che tormenta il personaggio all'inizio dell'estratto?,La relazione si conclude con una separazione,Uno dei tre personaggi lascia la villa
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,20,Qual è il destino finale di Villa delle Magnolie nel corso del romanzo?,Viene trasformata in un ospedale militare,La villa viene requisita dalle autorità
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,21,Qual è il ruolo di Aquilino rispetto a Bobby?,È il suo professore di greco,È il tutore di greco di Bobby
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,21,Qual è il legame familiare di Donna Bàrbera con Bobby?,È la madre di Bobby,È la genitrice di Bobby
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,21,Qual è la conseguenza immediata per Aquilino dopo l'incontro con Donna Bàrbera?,Viene licenziato da tutore,Perde il suo incarico di professore di greco
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,22,Qual è il nome del signore malato che Aquilino va a trovare?,Don Fabrizio,Il signore Don Fabrizio
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,22,Qual è il legame di parentela tra Aquilino e Don Fabrizio?,È suo figlio,Il figlio di Don Fabrizio
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,22,Come si chiama la dimora di Don Fabrizio?,Palazzo Salina,La residenza di Palazzo Salina
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,23,Qual è il ruolo di Mademoiselle Joséphine nella vita di Bobby?,È la sua governante,Svolge il ruolo di istitutrice
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,23,Come si chiama la madre di Bobby?,Si chiama Signora Neri,Il suo nome è Neri
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,23,In quale regione si trova Villa delle Magnolie?,Si trova in Lombardia,È situata nella regione Lombardia
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,24,Qual era la professione di Aquilino?,Era un insegnante,Svolgeva la professione di maestro
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,24,Che tipo di lavoro ha ottenuto Miss Edith in Italia?,Un incarico in una scuola,Un posto come insegnante
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,24,Per quale motivo la Marchesa era in lutto?,Per la perdita di un familiare,A causa di un grave lutto
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,25,Qual è il nome completo del Poeta Emme?,Il suo nome è Mario Rossi,Si chiama Mario Rossi
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,25,A quale conflitto si riferiscono i personaggi parlando della morte del fratello di Edith a Charleroi?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,25,Qual è il legame tra Aquilino e la famiglia di Edith?,È un amico di famiglia,Aquilino è un conoscente della famiglia di Edith
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,26,Come si chiama il protagonista del libro?,Il suo nome è [Nome Protagonista],[Nome Protagonista]
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,26,Qual è il nome del castello dove il protagonista ha trascorso l'infanzia?,Il castello si chiama [Nome Castello],[Nome Castello]
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,26,Verso quale destinazione è diretto il protagonista?,È diretto a [Destinazione],La sua destinazione è [Destinazione]
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,27,Miss Edith e Aquilino sono sposati?,"No, non sono uniti in matrimonio.",Non sono marito e moglie.
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,27,In quale città si svolge la vicenda di Miss Edith e Aquilino?,A Roma.,"Nella capitale italiana, Roma."
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,27,Qual è la professione di Aquilino?,È un autista.,Svolge il mestiere di autista.
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,28,Qual è il nome completo di Aquilino?,Aquilino Salvi,Il suo nome è Aquilino Salvi
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,28,Qual è il motivo dell'aggressione subita da Aquilino e miss Edith?,L'aggressione è dovuta a motivi politici,Sono stati aggrediti a causa della loro attività politica
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,28,Che legame unisce Aquilino e miss Edith?,Sono innamorati,Sono una coppia di amanti
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,29,Quale evento ha spinto Aquilino a sperimentare le sue energie l'altra notte?,Una rissa,Un alterco fisico
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,29,Qual è l'esito finale della relazione tra Aquilino e Miss Edith?,Si sposano,La loro relazione culmina nel matrimonio
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,29,Perché Aquilino e Donna Barberina si sono lasciati?,Per divergenze caratteriali,A causa di visioni diverse della vita
,,,,
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,30,In quale conflitto Aquilino si arruola?,Nella guerra contro i Lanzichenecchi,Nel conflitto contro gli invasori stranieri
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,30,Come si chiama il poeta che incontra Aquilino?,Si chiama Giovanni,Il suo nome è Giovanni
LA MADONNA DI MAMÀ ROMANZO DEL TEMPO DELLA GUERRA,30,Qual è il legame tra il poeta e donna Barberina?,È la compagna del poeta,È la donna amata dal poeta
,,,,
