Book,ParagraphIndex,Question,AnswerA,AnswerB
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",1,Chi sono i genitori di Olimpia?,Alessio ed Evantìa,Evantìa e Alessio
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",1,Qual è la regione abitata dai Suliotti?,L'Epiro,La regione dell'Epiro
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",1,Quale rocca tentarono di occupare i Turchi?,La Rocca di S. Veneranda,S. Veneranda
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",2,Chi erano i genitori di Olimpia?,Evantìa e Alessio,Sua madre Evantìa e suo padre Alessio
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",2,Chi si prese cura di Olimpia dopo la morte della madre?,Sofia,La generosa Sofia
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",2,Con chi andò a vivere Olimpia dopo essere stata reclamata?,Con suo zio Atanasio,"Con Atanasio, il fratello di suo padre"
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",3,Qual è il nome del luogo dove Olimpia va a vivere?,L'eremo di Atanasio,Il romitorio di Atanasio
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",3,Chi è il parente che accoglie Olimpia?,Il fratello di suo padre,Suo zio
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",3,Qual è il nome della regione per la cui prosperità prega l'Eremita?,La Selleide,La regione della Selleide
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",4,Con quale parente vive Olimpia?,Con il suo vecchio zio,Con lo zio anziano
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",4,Qual è il ruolo principale di Demetrio a Suli?,È il difensore della patria,È un guerriero e protettore di Suli
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",4,Qual è il popolo che minaccia Suli e la sua religione?,Gli Islamiti,Gli infedeli
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",5,Perché Olimpia è chiamata l'Orfana?,Perché ha perso i suoi genitori,A causa della morte dei suoi genitori
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",5,Qual è il nome del villaggio dove Olimpia e Demetrio si sono incontrati?,Il villaggio si chiama Valchiusa,Il nome del villaggio è Valchiusa
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",5,Qual è la professione di Demetrio?,Demetrio è un soldato,Svolge la professione di soldato
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",6,Come si chiama l'amabile verginella che Demetrio incontra?,Elena,Si chiama Elena
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",6,Chi è Eutimia per Demetrio?,Sua madre,La madre di Demetrio
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",6,Qual è la regione montuosa che circonda il luogo dove Demetrio passeggia?,Suli,Le rupi di Suli
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",7,Da quale luogo proviene Olimpia?,Da Suli,Dalla regione di Suli
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",7,Dove si reca Demetrio per incontrare Olimpia?,Alla foresta dell'eremo,Nel bosco dell'eremo
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",7,Quale strumento musicale suona Demetrio per Olimpia?,Il flauto,Un flauto
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",8,Demetrio e Olimpia riescono a sposarsi?,"No, il loro matrimonio non si celebra.","No, non riescono a unirsi in matrimonio."
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",8,Qual è il legame di parentela tra Atanasio e Olimpia?,Atanasio è lo zio di Olimpia.,Olimpia è la nipote di Atanasio.
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",8,A quale scopo è dedicata la festa della Erosantìa tra i Suliotti?,È consacrata alle nozze.,È la festa dedicata ai matrimoni.
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",9,Chi era la madre di Olimpia?,Evantìa,La donna di nome Evantìa
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",9,Quale evento funesto causò la desolazione nell'eremo della rupe?,La morte dei genitori e dello zio di Olimpia,Il decesso dei familiari di Olimpia
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",9,Qual era il legame tra Demetrio e Olimpia?,Erano promessi sposi,Dovevano sposarsi
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",10,Come si chiama la madre di Olimpia?,Sofia,La donna di nome Sofia
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",10,Dove si stabiliscono Sofia e suo marito dopo aver lasciato il villaggio?,Nella vallata delle rupi di Suli,In una vallata formata dalle rupi di Suli
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",10,Chi cerca Olimpia dopo la morte dello zio?,La madre Sofia,"La sua madre biologica, Sofia"
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",11,Olimpia e Demetrio riescono a sposarsi?,"No, il loro matrimonio viene impedito.",Non riescono a celebrare le nozze.
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",11,Il Satrapa di Giannina riesce a conquistare Suli?,"No, Suli resiste all'attacco.",La città di Suli non cade sotto il suo dominio.
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",11,Demetrio sopravvive alla guerra contro i Turchi?,"Sì, Demetrio scampa alla guerra.",Egli non perisce nel conflitto.
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",12,Come si chiama la madre di Demetrio?,Eutimia,Si chiama Eutimia
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",12,Chi è Sofia per Olimpia?,Sua madre,La madre di Olimpia
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",12,Qual è il destino di Olimpia?,È stata fatta schiava,È diventata una schiava
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",13,Eugenio sposa un'altra donna dopo la morte di Irene?,"No, rimane fedele a Irene","No, non si risposa"
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",13,Demetrio riesce a liberarsi dalla schiavitù?,"Sì, ottiene la libertà","Sì, si libera dalla schiavitù"
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",13,Qual è l'identità dei Barbari che uccidono Irene?,Sono i Turchi Ottomani,Appartengono all'Impero Ottomano
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",14,Qual è il legame tra Demetrio e Olimpia?,Sono innamorati,Sono amanti
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",14,Dove invia Mouctar la giovane Olimpia?,Al castello del lago di Giannina,Nel castello presso il lago di Giannina
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",14,Chi è il padre di Mouctar?,Alì,Il padre di Mouctar è Alì
,,,,
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",15,Dove viene condotta Olimpia?,Al Castello del lago,Nella rôcca del Satrapa di Giannina
"OLIMPIA; OSSIA, L'ORFANA DELLA SELLEIDE",15,Chi è il personaggio che rivendica diritti su Olimpia?,Mouctar,Il Maomettano orgoglioso
