Book,ParagraphIndex,Question,AnswerA,AnswerB
NOZZE D'ORO ROMANZO,1,Qual è il motivo del viaggio di Cesare da Nuova York?,Per partecipare a un importante evento familiare.,Per la riunione della sua famiglia.
NOZZE D'ORO ROMANZO,1,Qual è l'occasione che riunisce la famiglia di Angela?,Una celebrazione significativa.,Un evento speciale che coinvolge tutti i parenti.
NOZZE D'ORO ROMANZO,1,Che mestiere svolge il Comandante Alvarez?,È un ufficiale di marina.,Lavora come marinaio su una nave.
,,,,
NOZZE D'ORO ROMANZO,2,Quale evento sta organizzando Angela?,Le nozze d'oro del commendatore Ercole Torralba,L'anniversario di matrimonio d'oro di Ercole Torralba
NOZZE D'ORO ROMANZO,2,In quale luogo si svolgono i preparativi per l'evento?,A Villarosa,Nella casa di campagna di Villarosa
NOZZE D'ORO ROMANZO,2,Chi finanzia principalmente le spese per l'organizzazione dell'evento?,Angela,"Angela, utilizzando i fondi della sua eredità"
,,,,
NOZZE D'ORO ROMANZO,3,Qual è la causa della morte del signor Manlio?,Un improvviso malore,Un attacco cardiaco
NOZZE D'ORO ROMANZO,3,Qual è il ruolo di Angela nella gestione della casa?,È la padroncina della dimora,Gestisce la casa come proprietaria
NOZZE D'ORO ROMANZO,3,Qual è la mansione di Giacomo all'interno della casa?,È il maggiordomo della famiglia,Svolge il ruolo di domestico anziano
,,,,
NOZZE D'ORO ROMANZO,4,Quale sarà il destino dei figli Alvarez dopo aver lasciato l'Accademia navale?,Si uniranno alla Resistenza,Entreranno a far parte della lotta clandestina
NOZZE D'ORO ROMANZO,4,Quale sarà la sorte di Pasquale dopo le sue dimissioni dalla Marina?,Verrà arrestato,Sarà imprigionato
NOZZE D'ORO ROMANZO,4,Il Commendatore Prefetto rimarrà fedele al regime?,"No, si dimetterà","No, abbandonerà il suo incarico"
,,,,
NOZZE D'ORO ROMANZO,5,Qual è il legame di parentela tra Letizia e Angela?,Sono sorelle,Sono le figlie dell'ex Prefetto e della signora Laura
NOZZE D'ORO ROMANZO,5,In quale luogo risiedono l'ex Prefetto e la signora Laura?,A Villarosa,Nella loro villa di Villarosa
