Book,ParagraphIndex,Question,AnswerA,AnswerB
COLEI CHE NON SI DEVE AMARE ROMANZO,1,"Chi sono Arrigo, Luisa, Paolo e Anna Laura?",I figli di Stefano,Sono i figli di Stefano
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Qual è il nome del figlio di Ferrante per cui ha dei debiti?,Stefano,Si chiama Stefano
COLEI CHE NON SI DEVE AMARE ROMANZO,3,A chi deve Mercedes cento cinquanta lire e il mese?,Mamma Gilda,La tenutaria di Mercedes
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Chi era la persona a cui Arrigo rispose in modo maleducato?,Il suo capo,Il suo capo ufficio
COLEI CHE NON SI DEVE AMARE ROMANZO,5,"Con quale frequenza ""Egli"" manda i fiori a ""Ella""?",Ogni giorno,Ogni settimana
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Quando Arrigo conduceva la Ruskaia in un noto ristorante cittadino?,Dopo il teatro,Al termine dello spettacolo teatrale
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Qual era una caratteristica delle dame che hanno incaricato il barone Silvestro?,Erano nobili,Erano altolocate
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Qual è il titolo di Silvestro?,Barone,Il barone
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Cosa ha dichiarato Arrigo?,Il suo fidanzamento.,La sua dichiarazione di fidanzamento.
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Di chi è sorella Lora?,Di Arrigo,Del suo fratello
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Che legame di parentela intende l'uomo far credere che ci sia tra lui e la fanciulla?,Che lei sia sua sorella,Che lei sia la sua sorella
COLEI CHE NON SI DEVE AMARE ROMANZO,12,"Secondo la sorella, cosa manca nel conservarsi oneste per sé stesse?",Merito,Tornaconto
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Di chi è cuginetta Isabella Ventamura?,Di donna Claudia del Borgo,Donna Claudia del Borgo
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Quali sensazioni ha provato Loretta dopo aver bevuto?,Stanchezza e un turbinio in testa,Un turbinio in testa e stanchezza
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Chi è la persona che Arrigo si reca a prendere?,Loretta,Il personaggio di Loretta
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Come viene descritto il luogo dove Arrigo e Loretta pranzano?,Come un ristorante con giardino,Come un locale con pergolato fiorito
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Chi prova un senso di colpa alla fine del capitolo?,Rigo,La sua amante
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Con chi parla l'uomo?,Con Clara,Parla con Clara
COLEI CHE NON SI DEVE AMARE ROMANZO,19,Quali personaggi sono menzionati nel contesto delle domande?,"Arrigo, Loretta e Rafa",Arrigo e Loretta
COLEI CHE NON SI DEVE AMARE ROMANZO,20,Chi è Arrigo in relazione a Loretta?,Suo fratello,Il fratello di Loretta
COLEI CHE NON SI DEVE AMARE ROMANZO,21,Con chi Arrigo ha un legame di parentela?,La ragazza,Sua sorella
COLEI CHE NON SI DEVE AMARE ROMANZO,22,Dove si stanno baciando l'uomo e la donna?,Sull'acqua,In una barca
COLEI CHE NON SI DEVE AMARE ROMANZO,23,Cosa non ha fatto Lora quando l'uomo la trova sul terrazzo?,Non si è spogliata,Non si è ancora coricata
COLEI CHE NON SI DEVE AMARE ROMANZO,24,Cosa chiedeva Rafa alla protagonista?,Di tornare,Che lei tornasse
COLEI CHE NON SI DEVE AMARE ROMANZO,25,Qual è il titolo di Raffaele Giuliani?,Conte,Il Conte
COLEI CHE NON SI DEVE AMARE ROMANZO,26,Cosa sta facendo Rafa?,Sta conducendo Loretta alla villa.,Sta guidando l'automobile.
COLEI CHE NON SI DEVE AMARE ROMANZO,27,Come si può descrivere la situazione attuale del protagonista?,"Si trova senza dimora e senza la sua amata, consapevole dei propri errori.","La sua esistenza è caratterizzata dall'esilio dalla casa e dalla perdita della compagna, unita alla comprensione delle sue colpe."
COLEI CHE NON SI DEVE AMARE ROMANZO,28,Qual è la causa dello stato di vertigine e smarrimento dell'uomo?,La perdita di ogni cosa,Aver perso tutto
COLEI CHE NON SI DEVE AMARE ROMANZO,29,Come si raggiunge la città?,In barca,Con il battelliere
COLEI CHE NON SI DEVE AMARE ROMANZO,30,Cosa hanno causato Rigo ed Ella?,L'infamia.,L'onta portata alla casa del padre.
