Book,ParagraphIndex,Question,AnswerA,AnswerB
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,1,Quali fiumi sono menzionati nell'Attica?,L'Illisso e il Cefiso,Il Cefiso e l'Illisso
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,1,Quale monte era la dimora delle Muse?,Il Parnaso,Il monte Parnaso
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,1,Quale monte forniva la pietra per le statue greche?,Il Pentelico,Il monte Pentelico
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,2,Qual è l'obiettivo principale del narratore riguardo a Santippe?,Riscoprire la vera natura di Santippe,Analizzare la figura di Santippe in modo nuovo
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,2,Come viene generalmente descritta Santippe in relazione a Socrate?,Come una moglie bisbetica e fastidiosa,Come la moglie riottosa di Socrate
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,2,Quale strategia usava Socrate per affrontare il carattere di Santippe?,L'ironia,L'uso dell'ironia
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,3,Chi è il personaggio che dialoga con Santippe?,Socrate,Il filosofo Socrate
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,3,Qual è la condizione delle donne che Santippe denuncia?,La loro servitù,La condizione di servitù
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,3,Quale poeta antico viene menzionato da Santippe?,Archiloco,Il poeta Archiloco
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,4,Chi è l'autrice dell'opera da cui è tratto l'estratto?,Ada Negri,La scrittrice Ada Negri
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,4,Qual è il tema centrale del discorso di Santippe?,La condizione femminile,Il rapporto tra uomo e donna
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,4,Quale caratteristica legata alla giustizia il narratore attribuisce a sé stesso?,Un delicatissimo sentimento della giustizia,Un senso di giustizia molto acuto
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,5,Chi è il narratore che discute con Santippe?,È il filosofo Aristippo,È Aristippo di Cirene
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,5,Dove si trova Santippe durante il dialogo?,Si trova all'inferno,Risiede nell'oltretomba
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,5,Su quale figura storica si concentra il disaccordo tra Santippe e il narratore?,Su Socrate,Sul filosofo Socrate
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,6,Come era considerato Socrate dagli Ateniesi?,Sapientissimo ma non bellissimo,"Un uomo molto saggio, sebbene non attraente"
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,6,Qual era l'atteggiamento di Socrate nei confronti della bellezza?,Era un entusiasta della bellezza,"Non la disprezzava, anzi la amava profondamente"
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,6,Da chi si dice che Socrate avesse tratto una scintilla di gaiezza?,Dal deforme Esopo,"Da Esopo, il celebre favolista"
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,7,Qual è il destino finale di Socrate?,Viene condannato a morte,Muore bevendo la cicuta
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,7,Quale evento storico precedette l'instaurazione dei Trenta Tiranni ad Atene?,La sconfitta di Atene nella Guerra del Peloponneso,La fine della Guerra del Peloponneso con la vittoria di Sparta
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,7,Quale tipo di libertà Socrate considera la più vera?,La libertà dell'animo,La libertà interiore
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,8,Iscomake sposa la sua fidanzata?,"Sì, la sposa","Sì, Iscomake si unisce in matrimonio con lei"
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,8,Quale consiglio finale dà Socrate a Iscomake riguardo al matrimonio?,Gli consiglia di sposarsi,Lo esorta a prendere moglie
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,8,"Secondo Socrate, qual è il vero scopo del matrimonio?",È la soddisfazione della saviezza,Serve a raggiungere la saggezza
,,,,
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,9,"Secondo Socrate, come dovrebbe essere il matrimonio?",Una società mutua tra uomo e donna,Un giogo a due con condizioni eguali
SANTIPPE PICCOLO ROMANZO FRA L'ANTICO E IL MODERNO,9,Quale usanza ateniese sul matrimonio Socrate critica?,La disuguaglianza tra uomo e donna,La concezione non paritaria del matrimonio
