Book,ParagraphIndex,Question,AnswerA,AnswerB
Ahi_giacometta_la_tua_ghirlandella,1,In quale situazione si trova Giacometta?,È al centro delle attenzioni per il matrimonio.,Le vengono fatte proposte di matrimonio.
Ahi_giacometta_la_tua_ghirlandella,2,Come può essere descritta la città associata a Giacometta?,Grugnita,Dai tre campanili
Ahi_giacometta_la_tua_ghirlandella,3,Chi è il fratello di Antonio?,Zio Pertica,Pertica
Ahi_giacometta_la_tua_ghirlandella,4,Di chi è figlia Principina?,Del giardiniere,Del giardiniere della casa
Ahi_giacometta_la_tua_ghirlandella,5,Chi si è fatta fare una veste nuova?,La signora Adalgisa,Adalgisa
Ahi_giacometta_la_tua_ghirlandella,6,Quali dettagli descrivono la posizione di Giacometta?,Sull'erba in giardino,Sotto una grande ombra
Ahi_giacometta_la_tua_ghirlandella,7,Che tipo di storia sapeva Lorenzo della famiglia Maldi?,La storia della famiglia,La storia centenaria
Ahi_giacometta_la_tua_ghirlandella,8,Qual è una caratteristica della ghirlandella che compone Giacometta?,È bianca,È di gelsomino
Ahi_giacometta_la_tua_ghirlandella,9,Di chi viene chiesta la mano per Francesco?,Giacomettina,Di Giacomettina
Ahi_giacometta_la_tua_ghirlandella,11,"Secondo le informazioni fornite, quali oggetti potevano essere contenuti nella lettera di Giacometta?",Un ciottolo,Una piccola pietra
Ahi_giacometta_la_tua_ghirlandella,12,Come viene descritto il sorriso della signora Zeffira?,Come placido e ampio,Come largo e sereno
Ahi_giacometta_la_tua_ghirlandella,13,Da dove proviene Giacometta?,Da Forlì,Dalla città di Forlì
Ahi_giacometta_la_tua_ghirlandella,14,Cosa guarda Arlecchina?,L'aspetto esteriore della Basilica,La parte esterna della Basilica
Ahi_giacometta_la_tua_ghirlandella,15,Qual è stata la causa dell'irriverenza dei personaggi?,Lo champagne,Il vino champagne
Ahi_giacometta_la_tua_ghirlandella,16,Che cosa è sacro a un poeta nomade?,L'albergo,L'albergo menzionato
Ahi_giacometta_la_tua_ghirlandella,17,Chi descrive la donna bella?,Il signor Franzi,Franzi
Ahi_giacometta_la_tua_ghirlandella,18,Cosa si guasta al Piratello?,L'automobile,Una automobile
Ahi_giacometta_la_tua_ghirlandella,19,Dove viene trasportato in automobile il ferito?,Alla villa,Nella villa
Ahi_giacometta_la_tua_ghirlandella,20,Di chi è la villa La Stellata?,Del marchese Otomaro Alberti,Di Otomaro Alberti
Ahi_giacometta_la_tua_ghirlandella,21,Cosa fa Rorò?,Canta nel giardino di notte.,Canta.
Ahi_giacometta_la_tua_ghirlandella,23,Cosa fa Checco?,Ritorna e cerca Giacometta.,Viene accolto e cerca una persona.
Ahi_giacometta_la_tua_ghirlandella,24,Chi spera di essere guarita da Signor Franzi?,Principina,La Principina
Ahi_giacometta_la_tua_ghirlandella,25,Cosa stava facendo Checco?,Chiamava,Chiamava la donna che urlava
Ahi_giacometta_la_tua_ghirlandella,26,"Quando si sarebbe concluso il ""Ciclo della ghirlandella""?",Quella notte.,La stessa notte.
Ahi_giacometta_la_tua_ghirlandella,29,Di chi era la ghirlanda?,Della donna.,Di colei che volle dare gioia a Franzi.
Ahi_giacometta_la_tua_ghirlandella,30,Che cosa è successo alla bambina?,È morta.,Non è sopravvissuta.
