Batch,Testo,Risposta1,Risposta2
1,Quale decisione cruciale prende Ugo Ferraretti riguardo al suo futuro?,Decide di lasciare la sua città natale per un nuovo inizio.,Sceglie di abbandonare il suo passato e trasferirsi altrove.
1,Come si conclude il rapporto tra Federico Lennois e la famiglia Ferraretti?,Il suo piano fallisce e viene allontanato dalla famiglia.,Viene scoperto e perde ogni legame con i Ferraretti.
1,Qual è il significato del vecchio mulino per la famiglia di Lucia?,È il luogo dove la sua famiglia ha subito una grave perdita.,Rappresenta il ricordo di un tragico evento per i suoi cari.
1,Quale segreto nasconde Isalina d'Orbeil riguardo alla sua infanzia?,Ha vissuto un periodo di povertà prima di essere adottata.,La sua infanzia è stata segnata da difficoltà economiche e un'adozione.
2,Chi aiuta Marco a portare a termine la sua vendetta?,Elena lo assiste nel suo piano.,È Elena che supporta Marco nella sua vendetta.
2,Dove viene ritrovato il diario segreto di Sofia?,Il diario viene trovato nascosto nella vecchia soffitta.,È nella soffitta della casa che si scopre il diario di Sofia.
2,Qual è la ragione principale per cui Giovanni lascia la città?,Fugge per evitare le conseguenze delle sue azioni passate.,La sua partenza è dovuta al desiderio di sfuggire al suo passato.
2,Chi rivela il segreto di famiglia ai fratelli Rossi?,"La nonna, Maria, svela loro la verità.","È Maria, la nonna, a raccontare il segreto ai fratelli."
3,Qual è il motivo principale per cui Elena decide di lasciare il suo paese?,Elena parte per cercare nuove opportunità e una vita migliore.,La sua decisione è spinta dal desiderio di un futuro più promettente e di nuove esperienze.
3,Cosa contiene il medaglione che il Capitano Rossi porta sempre con sé?,"Il medaglione contiene una foto della sua amata moglie, scomparsa anni prima.",Al suo interno c'è l'immagine della consorte defunta del Capitano.
3,Chi rivela a Marco il segreto sulla vera identità di sua madre?,"È la vecchia governante, Signora Ada, a svelargli la verità.","La rivelazione arriva dalla Signora Ada, la storica domestica di famiglia."
3,"Dove si incontrano per la prima volta i protagonisti, Luca e Sofia?",Si incontrano durante una festa di paese nella piazza principale di Borgo Antico.,"Il loro primo incontro avviene alla celebrazione del villaggio, nella piazza centrale di Borgo Antico."
4,Qual è la fonte dell'ispirazione artistica di Ugo Ferraretti?,La sua ispirazione proviene da entità maligne presenti nella Casa di Satana.,È ispirato da presenze demoniache legate alla dimora.
4,Qual è il ruolo principale di Federico Lennois nella storia?,È un investigatore che cerca di comprendere gli eventi misteriosi.,Il suo compito è indagare sui fatti inspiegabili.
4,Qual è la reputazione della Casa di Satana?,È conosciuta come un luogo maledetto e infestato.,Ha la fama di essere una dimora diabolica e spettrale.
4,Qual era il legame iniziale tra Luigia e Ugo Ferraretti?,Era la sua amante e musa ispiratrice.,Luigia era la compagna di Ugo e fonte della sua arte.
