Book,ParagraphIndex,Question,AnswerA,AnswerB
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Qual è il destino finale della Ditta Monghisoni?,La Ditta Monghisoni fallisce,L'azienda Monghisoni chiude i battenti
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Signora Maddalena cambia mai il suo atteggiamento verso il denaro?,"No, il suo atteggiamento non cambia",La Signora Maddalena mantiene la sua ossessione per il denaro
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Signor Daniele si ribella mai all'autorità di Signora Maddalena?,"No, Signor Daniele non si ribella",Il marito di Maddalena non si oppone mai a lei
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Quale principio guida la signora Maddalena nella gestione dei pagamenti?,La puntualità nei pagamenti,Il rispetto delle scadenze
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Qual è la professione del sarto che veste i Trebeschi?,È un portinaio,Svolge la professione di portinaio
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Chi prende le decisioni principali nella famiglia Trebeschi?,La signora Maddalena,"Maddalena, la moglie di Daniele"
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Chi è la donna raffigurata nel ritratto di Giacomino?,È [Nome della donna],"Si tratta di [Nome della donna], la sua amata"
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Qual è la professione di Giacomino?,È un [Professione di Giacomino],Svolge la professione di [Professione di Giacomino]
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Qual è il destino finale di Maddalena?,Maddalena [Destino di Maddalena],Il suo destino è [Destino di Maddalena]
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Dove andrà Giacomino dopo aver ricevuto la risposta del signor Rosasco?,A Genova per iniziare un nuovo lavoro.,Nella città di Genova per un impiego marittimo.
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Qual è il ruolo della signora Maddalena all'interno della ditta Monghisoni?,È la proprietaria e gestisce l'attività.,Ricopre la posizione di titolare dell'azienda.
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Qual è lo scopo della lettera che la signora Maddalena invia al signor Antonio Rosasco?,Chiedere un imbarco per Giacomino su una delle sue navi.,Organizzare la partenza di Giacomino per mare tramite l'armatore.
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Chi è il personaggio che rievoca l'incontro con la signorina Fanny?,Il protagonista [Nome del personaggio],Il personaggio principale [Nome del personaggio]
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Quale grande disgrazia presagisce il signor Daniele?,La rovina economica della famiglia,Il tracollo finanziario dei suoi affari
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Qual è il ruolo della signora Maddalena nella trama principale?,È la padrona di casa la cui assenza innesca la vicenda,La figura di autorità assente che permette lo svolgersi degli eventi
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,Dove possiedono una scuderia Madamigella Fanny e Monsieur Richard?,In Inghilterra,Nel paese dell'Inghilterra
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,Quale teatro ospiterà il debutto di Madamigella Fanny e Monsieur Richard?,Il Teatro Dal Verme,Al Dal Verme
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,In quale materia scolastica Giacomino eccelleva?,Nel francese,Nella lingua francese
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Qual è il nome completo di Madamigella Fanny?,Fanny Miller,Il suo nome è Fanny Miller
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Qual è la professione del Signor Daniele?,È un critico teatrale,Svolge la professione di critico teatrale
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Qual è il destino finale di Madamigella Fanny?,Lascia il mondo del circo,Abbandona la sua carriera di artista circense
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,Qual è il rapporto tra Daniele e la signora Maddalena?,Sono marito e moglie,Sono sposati
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,A chi viene mandato Giacomino?,Al signor Rosasco,A Rosasco
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,Per quale motivo la signora Maddalena decide di mandare via Giacomino?,Lo considera viziato e insopportabile,Lo ritiene guastato e pericoloso
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,9,Come si chiama la nave su cui Giacomino si imbarca?,Arcobaleno,La nave Arcobaleno
IL_TENENTE_DEI_LANCIERI_ROMANZO,9,Qual è la destinazione finale della nave Arcobaleno con Giacomino a bordo?,Buenos Aires,La città di Buenos Aires
IL_TENENTE_DEI_LANCIERI_ROMANZO,9,Quale spiacevole sorpresa Giacomino lascia alla signora Maddalena prima di partire?,Un mucchio di debiti,Numerosi debiti da pagare
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,10,Qual è la vera professione di Giacomino?,Non ha un lavoro,È un borghese senza professione
IL_TENENTE_DEI_LANCIERI_ROMANZO,10,Qual è il legame tra Fanny e il generale Piccolomini?,Sono fidanzati,Hanno un fidanzamento
IL_TENENTE_DEI_LANCIERI_ROMANZO,10,Qual è il rapporto tra Monsieur Richard e Giacomino?,È il padre di Giacomino,È suo padre
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,11,Qual è il rapporto tra Giacomo Trebeschi e Fanny?,Sono amanti,Hanno una relazione amorosa
IL_TENENTE_DEI_LANCIERI_ROMANZO,11,Chi è il Piccolomini di Coccorito?,Un generale dell'esercito,Un ufficiale militare con il grado di generale
IL_TENENTE_DEI_LANCIERI_ROMANZO,11,Qual era il ruolo del generale Piccolomini nei confronti di Fanny?,Era il suo protettore,Era il suo finanziatore
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,12,Dove si recherà Giacomino dopo la decisione della signora Maddalena?,A Firenze,Nella città di Firenze
IL_TENENTE_DEI_LANCIERI_ROMANZO,12,Qual è la natura dell'accordo che Giacomino stringe con Richard?,Un contratto di lavoro,Un accordo per un nuovo impiego
IL_TENENTE_DEI_LANCIERI_ROMANZO,12,Chi è il 'miserabile troupier' che Fanny detesta?,Il suo ex fidanzato,Un precedente corteggiatore di Fanny
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,13,Qual è il vero nome di Richard?,Il suo vero nome è Carlo Bianchi,Si chiama Carlo Bianchi
IL_TENENTE_DEI_LANCIERI_ROMANZO,13,Giacomo viene arrestato per la cambiale?,"Sì, Giacomo viene imprigionato",Viene incarcerato a causa del debito
IL_TENENTE_DEI_LANCIERI_ROMANZO,13,Chi paga la cambiale di tremila lire di Giacomo?,La famiglia di Giacomo salda il debito,I genitori di Giacomo pagano la cambiale
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,14,Quale destino decide il signor Daniele per Giacomino dopo lo scandalo della cambiale?,Di imbarcarlo a Genova,Di mandarlo su una nave da Genova
IL_TENENTE_DEI_LANCIERI_ROMANZO,14,Giacomino e Fanny si ricongiungono nel corso del libro?,"No, non si ricongiungono",La loro relazione non riprende
IL_TENENTE_DEI_LANCIERI_ROMANZO,14,Chi salda il debito della cambiale di Giacomino?,Il signor Daniele,"Suo padre, il signor Daniele"
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,15,Come si conclude la vicenda dei debiti del signor Daniele Trebeschi?,Il signor Trebeschi riesce a saldare i suoi debiti,Daniele Trebeschi estingue le sue obbligazioni finanziarie
IL_TENENTE_DEI_LANCIERI_ROMANZO,15,Quale ruolo assume Facchinetti nella vita del signor Daniele Trebeschi nel corso del libro?,Facchinetti rimane il suo principale creditore,L'usuraio Facchinetti continua a influenzare le decisioni di Daniele
IL_TENENTE_DEI_LANCIERI_ROMANZO,15,Giacomino Trebeschi riesce a supportare il padre nella gestione dei debiti?,"No, Giacomino non riesce ad aiutare il padre",Il figlio Giacomino non risolve la situazione debitoria familiare
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,16,Qual è la ragione principale della collera di Maddalena verso il signor Daniele?,La scoperta di un segreto di Daniele,Un'azione nascosta compiuta da Daniele
IL_TENENTE_DEI_LANCIERI_ROMANZO,16,Qual è la professione del signor Daniele?,È un commerciante,Gestisce un fondaco
IL_TENENTE_DEI_LANCIERI_ROMANZO,16,Che relazione di parentela lega Cammilla al signor Daniele?,Cammilla è sua nipote,Daniele è lo zio di Cammilla
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,17,Chi è Daniele Trebeschi per la signora Maddalena?,È suo marito,È il marito della signora Maddalena
IL_TENENTE_DEI_LANCIERI_ROMANZO,17,Quale sarà la sorte finale della ditta Monghisoni?,La ditta fallirà,La ditta sarà costretta a chiudere
IL_TENENTE_DEI_LANCIERI_ROMANZO,17,Quale ruolo avrà Mauro Piazza nella vita della signora Maddalena?,Sarà il suo consigliere fidato,La supporterà nelle sue scelte
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,18,"Quale ""sproposito"" aveva commesso Giacomo?",Aveva contratto debiti di gioco.,Si era indebitato a causa del gioco d'azzardo.
IL_TENENTE_DEI_LANCIERI_ROMANZO,18,Qual è il legame tra il signor Mauro e la famiglia di Daniele?,È un socio d'affari di Daniele.,È il partner commerciale di Daniele.
IL_TENENTE_DEI_LANCIERI_ROMANZO,18,Che tipo di attività gestiscono Daniele e Maddalena?,Gestiscono una mescita di vino.,Sono proprietari di un'osteria con cantina.
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,19,Chi è il responsabile della disgrazia della signora Maddalena?,Il conte Adelino di San Marsilio,"Il tenente dei lancieri, conte Adelino di San Marsilio"
IL_TENENTE_DEI_LANCIERI_ROMANZO,19,Come si chiama la ditta della famiglia di Daniele?,Monghisoni,La ditta Monghisoni
IL_TENENTE_DEI_LANCIERI_ROMANZO,19,Quali sono i nomi dei figli di Maddalena e Daniele?,Temistocle e Gian Maria,Gian Maria e Temistocle
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,20,Qual è la natura dell'affare che Fioccola propone a Maddalena?,Un prestito al conte di San Marsilio,Un accordo finanziario per il conte
IL_TENENTE_DEI_LANCIERI_ROMANZO,20,Chi è il signor conte di San Marsilio?,Un nobile indebitato,Un aristocratico con problemi economici
IL_TENENTE_DEI_LANCIERI_ROMANZO,20,Qual è il ruolo del signor tenente nella vicenda?,È la parte lesa nell'affare,È la vittima del piano di Fioccola
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,21,Chi salda la cambiale di diecimila lire di Maddalena?,Il signor Fioccola,Fioccola
IL_TENENTE_DEI_LANCIERI_ROMANZO,21,Il tenente San Marsilio e Maddalena si sposano?,"Sì, si sposano",Diventano marito e moglie
IL_TENENTE_DEI_LANCIERI_ROMANZO,21,Qual è il nome del marito di Maddalena Trebeschi?,Si chiama Carlo,Il suo nome è Carlo
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,22,Per quale motivo il conte San Marsilio ha contratto il mutuo di cinquantamila lire?,Per coprire i suoi debiti di gioco.,Per sostenere il suo stile di vita dispendioso.
IL_TENENTE_DEI_LANCIERI_ROMANZO,22,Qual è la professione del marito della signora Maddalena?,È un alto funzionario statale.,Svolge la professione di magistrato.
IL_TENENTE_DEI_LANCIERI_ROMANZO,22,Cosa contiene il medaglione del conte San Marsilio?,Capelli e ritratti di sue amanti.,Ricordi di donne con cui ha avuto relazioni.
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,23,Daniele lavora nel fondaco del signor Trebeschi?,"No, non vi lavora",Non è un dipendente del fondaco
IL_TENENTE_DEI_LANCIERI_ROMANZO,23,Qual è il motivo principale del disaccordo tra il signor Trebeschi e i suoi figli Gian Maria e Temistocle?,Le diverse visioni sul lavoro e il divertimento,Il contrasto tra dovere e svago
IL_TENENTE_DEI_LANCIERI_ROMANZO,23,Qual è la condizione della zia Maddalena all'inizio del libro?,È indisposta,Non sta bene
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,24,Qual è la natura della storia che la moglie del protagonista è sospettata di aver inventato?,Riguarda un presunto tradimento coniugale.,Concerne un'infedeltà della moglie.
IL_TENENTE_DEI_LANCIERI_ROMANZO,24,Che cos'è il Fondaco Monghisoni?,È il negozio del protagonista.,È l'attività commerciale principale del personaggio.
IL_TENENTE_DEI_LANCIERI_ROMANZO,24,Chi è la signora Maddalena?,È la moglie del protagonista.,È la consorte del personaggio principale.
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,25,Cammilla e Giacomo si sposano?,"Sì, si uniscono in matrimonio.",Diventano marito e moglie.
IL_TENENTE_DEI_LANCIERI_ROMANZO,25,Qual è la professione di Giacomo?,È un medico.,Svolge la professione medica.
