Book,ParagraphIndex,Question,AnswerA,AnswerB
LE AQUILE DELLA STEPPA ROMANZO,1,Chi è l'uomo di statura gigantesca che cattura il fuggiasco?,Tabriz,Il gigante Tabriz
LE AQUILE DELLA STEPPA ROMANZO,1,Chi è la persona che le Aquile della steppa hanno portato via?,Talmà,La persona di nome Talmà
LE AQUILE DELLA STEPPA ROMANZO,1,Chi è il padrone a cui Tabriz consegna il prigioniero?,Giah Agha beg,Il vecchio Giah Agha beg
,,,,
LE AQUILE DELLA STEPPA ROMANZO,2,Di cosa è accusato il mestvire?,Di aver organizzato il rapimento di Talmà,Di aver rapito la fanciulla Talmà
LE AQUILE DELLA STEPPA ROMANZO,2,Chi comanda l'esecuzione del mestvire?,Il vecchio beg,Il beg
LE AQUILE DELLA STEPPA ROMANZO,2,Come si chiama la fanciulla rapita?,Talmà,La ragazza Talmà
,,,,
LE AQUILE DELLA STEPPA ROMANZO,3,Chi è Talmà?,La figlia del Khan dei Tadjicki,La più bella fanciulla dei Sarti
LE AQUILE DELLA STEPPA ROMANZO,3,Qual è il legame tra Hossein beg e il vecchio beg?,Il vecchio beg è il padre adottivo di Hossein beg,Hossein beg è il figlio adottivo del vecchio beg
LE AQUILE DELLA STEPPA ROMANZO,3,A chi aveva destinato Talmà il vecchio beg?,Al cugino di Hossein beg,Al cugino di Hossein
,,,,
LE AQUILE DELLA STEPPA ROMANZO,4,Chi sono i due personaggi che marciano insieme?,Hadgi e il mestvire,Il mestvire e Hadgi
LE AQUILE DELLA STEPPA ROMANZO,4,In quale luogo stanno marciando Hadgi e il mestvire?,Nelle steppe turchestane,Attraverso le steppe turchestane
LE AQUILE DELLA STEPPA ROMANZO,4,Chi sospettano Hadgi e il mestvire sia il cavaliere in avvicinamento?,Un servo di Talmà,Un servitore di Talmà
,,,,
LE AQUILE DELLA STEPPA ROMANZO,5,Chi è il padrone di Tabriz?,Hossein,Il gigante Hossein
LE AQUILE DELLA STEPPA ROMANZO,5,Dove si stanno dirigendo Hossein e Tabriz dopo aver udito gli spari?,Alla casa di Talmà,Verso l'abitazione di Talmà
LE AQUILE DELLA STEPPA ROMANZO,5,Che tipo di cavalli stanno cavalcando Hossein e Tabriz?,Stalloni persiani,Cavalli persiani
,,,,
LE AQUILE DELLA STEPPA ROMANZO,6,Chi sta cercando di salvare Hossein?,Talmà,La bella Talmà
LE AQUILE DELLA STEPPA ROMANZO,6,Chi sta attaccando la casa di Talmà?,Le Aquile,I banditi chiamati Aquile
LE AQUILE DELLA STEPPA ROMANZO,6,Di che materiale costruiscono le loro case i sarto?,Terra argillosa,Mattoni di terra essiccati al sole
,,,,
LE AQUILE DELLA STEPPA ROMANZO,7,Chi è Agha beg?,Lo zio di Hossein,Il parente di Hossein
LE AQUILE DELLA STEPPA ROMANZO,7,Qual è la relazione tra Hossein e Talmà?,Sono fidanzati,Stanno per sposarsi
LE AQUILE DELLA STEPPA ROMANZO,7,Chi comanda i banditi?,Hadgi,Il luogotenente Hadgi
,,,,
LE AQUILE DELLA STEPPA ROMANZO,8,A chi sono destinati i gioielli trasportati dal drappello di Tabriz?,A Talmà,Alla persona di nome Talmà
LE AQUILE DELLA STEPPA ROMANZO,8,Chi sono le Aquile menzionate nel testo?,I Kirghisi,Il popolo dei Kirghisi
LE AQUILE DELLA STEPPA ROMANZO,8,Qual è la razza più incivilita della steppa turchestana?,La Bukara,"La razza Bukara, anche detta Tadjika"
,,,,
LE AQUILE DELLA STEPPA ROMANZO,9,Chi sono i fidanzati menzionati nel testo?,Talmà e Hossein,Hossein e Talmà
LE AQUILE DELLA STEPPA ROMANZO,9,Dove si tiene il banchetto?,Alla casa di Talmà,Presso l'abitazione di Talmà
LE AQUILE DELLA STEPPA ROMANZO,9,Chi guida la banda di suonatori al banchetto?,Il mestvires,Il musicista mestvires
,,,,
LE AQUILE DELLA STEPPA ROMANZO,10,Chi sono i nemici che il beg e la sua banda stanno cercando?,Le Aquile,I banditi chiamati Aquile
LE AQUILE DELLA STEPPA ROMANZO,10,Quale villaggio è stato raggiunto dai cavalieri del beg dopo aver lasciato la casa di Talmà?,Il villaggio dei Sarti,Il villaggio chiamato dei Sarti
LE AQUILE DELLA STEPPA ROMANZO,10,Chi aiuta il beg a scendere da cavallo al villaggio dei Sarti?,Tabriz,Il personaggio di nome Tabriz
,,,,
LE AQUILE DELLA STEPPA ROMANZO,11,Cosa è successo a Talmà?,È stata rapita,È stata portata via con la forza
LE AQUILE DELLA STEPPA ROMANZO,11,Qual è la destinazione di Hossein e della sua truppa?,Kitab,La città di Kitab
LE AQUILE DELLA STEPPA ROMANZO,11,Chi è il compagno di Hossein che cerca di confortarlo?,Tabriz,Il fedele Tabriz
,,,,
LE AQUILE DELLA STEPPA ROMANZO,12,Chi ha mandato il gigante e gli altri cavalieri dal raccoglitore di rose?,Il capo del raccoglitore di rose,Il capo che diede loro ospitalità
LE AQUILE DELLA STEPPA ROMANZO,12,Quali prodotti ottengono i distillatori dalle rose?,L'acqua di rose e l'essenza,L'essenza e l'acqua di rose
