Book,ParagraphIndex,Question,AnswerA,AnswerB
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Come si chiama la ditta della signora Maddalena?,Monghisoni,La ditta Monghisoni
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Dove si reca il signor Daniele il giorno di Natale?,A Melegnano,Nella città di Melegnano
IL_TENENTE_DEI_LANCIERI_ROMANZO,1,Qual era una regola della ditta Monghisoni sui pagamenti?,Non ammetteva rinnovazioni,Non accettava pagamenti parziali
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Chi è il primo a farsi prendere la misura tra i Trebeschi?,Daniele,Il signor Daniele
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Cosa chiede il sarto alla signora Maddalena?,La rinnovazione di una cambiale,Di rinnovare una cambiale
IL_TENENTE_DEI_LANCIERI_ROMANZO,2,Qual è il cognome della signora Maddalena e del signor Daniele?,Trebeschi,Il cognome Trebeschi
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Come si chiama il ragazzo?,Giacomino,Il suo nome è Giacomino
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Quali oggetti trova Maddalena nella tasca di Giacomino?,Un porta-sigarette e un ritratto,Un porta-sigarette d'argento e un ritratto di donna
IL_TENENTE_DEI_LANCIERI_ROMANZO,3,Dove conduce Maddalena Giacomino alla fine del litigio?,Al solito bugigattolo,Nel bugigattolo abituale
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Dove giocano a biliardo Giacomino e suo padre?,Al Biffi,Al caffè Biffi
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Come si chiama la ragazza il cui ritratto è nella tasca di Giacomino?,Madamigella Fanny,Fanny
IL_TENENTE_DEI_LANCIERI_ROMANZO,4,Che tipo di amore prova il signor Daniele per Giacomino?,Un amore paterno eccessivo,Un cieco e orgoglioso amor paterno
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Chi è il padre di Giacomino?,Il signor Daniele,Daniele
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Dove vanno a passeggiare Giacomino e il signor Daniele?,In Galleria,Nella Galleria
IL_TENENTE_DEI_LANCIERI_ROMANZO,5,Chi offre il posto a sedere alla signora nel caffè?,Il giovane Trebeschi,Trebeschi
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,Chi vuole andare al teatro Dal Verme?,Giacomino,Il figlio Giacomino
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,Qual è il rapporto di parentela tra Daniele e Giacomino?,Sono padre e figlio,Sono padre e figliuolo
IL_TENENTE_DEI_LANCIERI_ROMANZO,6,In quale luogo si dirigono Daniele e Giacomino?,Al teatro Dal Verme,Verso il teatro Dal Verme
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Qual è la professione di madamigella Fanny?,È un'amazzone del Circo Stanislao,Lavora come amazzone al Circo Stanislao
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Che relazione c'è tra il generale Piccolomini e madamigella Fanny?,È il suo nonno,Il generale è il nonno di Fanny
IL_TENENTE_DEI_LANCIERI_ROMANZO,7,Chi è il padre di Giacomino?,Il signor Daniele,Daniele
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,Chi vuole imbarcare Giacomino?,Maddalena,La signora Maddalena
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,Cosa vuole fare Maddalena con Giacomino?,Vuole imbarcarlo,Vuole farlo diventare un marinaio
IL_TENENTE_DEI_LANCIERI_ROMANZO,8,Perché Maddalena vuole allontanare Giacomino?,"Perché fa debiti, ha amanti e gioca","Per i suoi debiti, le amanti e il gioco d'azzardo"
,,,,
IL_TENENTE_DEI_LANCIERI_ROMANZO,9,Su quale nave si imbarcherà Giacomino?,Sull'Arcobaleno,Sulla nave Arcobaleno
IL_TENENTE_DEI_LANCIERI_ROMANZO,9,Di chi è innamorato Giacomo?,Di Fanny,Della ragazza Fanny
