Book,ParagraphIndex,Question,AnswerA,AnswerB
I_moncalvo,1,Dove ottiene Giacomo Moncalvo la cattedra universitaria?,A Roma,All'Università di Roma
I_moncalvo,1,Dove viene sepolta la moglie di Giacomo Moncalvo?,Nel cimitero,In cimitero
I_moncalvo,1,Da quale città proviene la zia Clara?,Dal Cairo,Dalla città del Cairo
,,,,
I_moncalvo,2,Cosa decidono di fare Frida e Giorgio Moncalvo dopo il loro addio?,Si scriveranno in italiano,Manterranno i contatti scrivendosi in italiano
I_moncalvo,2,Dove si trova Giorgio Moncalvo quando incontra Mariannina?,Nella Villa,Sta passeggiando nella Villa
I_moncalvo,2,Qual è il rapporto di parentela tra Mariannina e Giorgio Moncalvo?,Sono cugini,Mariannina è la cugina di Giorgio
,,,,
I_moncalvo,3,Qual è la relazione tra Giorgio e Mariannina?,Sono cugini,Sono cugini tra loro
I_moncalvo,3,Quali luoghi ricordano Giorgio e Mariannina di aver visitato insieme?,Il Foro Romano e il Palatino,Il Palatino e il Foro Romano
I_moncalvo,3,Qual è la professione di Giorgio?,È uno scienziato,È un giovane scienziato
,,,,
I_moncalvo,4,Con quale istituzione Gabrio desidera fare operazioni finanziarie?,Con il Vaticano,Con la Santa Sede
I_moncalvo,4,Dove la moglie di Gabrio desidera assistere alle funzioni religiose?,A San Pietro,Nelle tribune riservate di San Pietro
I_moncalvo,4,Con chi è stato visto il Cavaliere a Villa Borghese?,Con Mariannina e le sue amiche americane,Con Mariannina e le amiche americane
,,,,
I_moncalvo,5,Chi sta aiutando Mariannina ad entrare in casa Oroboni?,Monsignor de Luchi,Il pretino de Luchi
I_moncalvo,5,Quale famiglia esercita una speciale attrattiva su Mariannina Moncalvo?,La famiglia Oroboni,Gli Oroboni
I_moncalvo,5,Chi spera di incontrare Mariannina Moncalvo in casa Oroboni?,Donna Olimpia e Don Cesarino,Don Cesarino e Donna Olimpia
,,,,
I_moncalvo,6,Qual è l'obiettivo immediato dell'apostolo?,Soccorrere i fratelli perseguitati,Aiutare i correligionari perseguitati
I_moncalvo,6,Cosa cerca l'apostolo per i fratelli perseguitati?,Un lembo di terra,Un territorio dove vivere in pace
I_moncalvo,6,Dove potrebbe trovarsi il lembo di terra per i fratelli perseguitati?,In Palestina o altrove,In Palestina o in un'altra località
,,,,
I_moncalvo,7,Chi è l'anima della Banca internazionale?,Gabrio Moncalvo,Il commendator Gabrio Moncalvo
I_moncalvo,7,Come si chiama il monsignore che visita Gabrio Moncalvo?,De Luchi,Monsignore de Luchi
I_moncalvo,7,In quale istituzione il commendator Gabrio Moncalvo fa la pioggia e il bel tempo?,Nella Banca internazionale,Alla Banca internazionale
,,,,
I_moncalvo,8,Chi viaggia in automobile con Mariannina Moncalvo?,"La zia Clara, Brulati e Giovanni","Zia Clara, il pittore Brulati e lo chauffeur Giovanni"
I_moncalvo,8,Dove sono diretti Mariannina Moncalvo e Brulati?,A Mentana,Verso Mentana
I_moncalvo,8,Chi è Giorgio per Mariannina Moncalvo?,È suo cugino,Il cugino di Mariannina
,,,,
I_moncalvo,9,Che professione svolge Brulati?,È un pittore,Fa il pittore
I_moncalvo,9,Chi sosteneva Zia Clara in gioventù?,Garibaldi,I giovani che rispondevano a Garibaldi
I_moncalvo,9,Dove si dirigono Zia Clara e Giorgio dopo aver lasciato l'automobile?,Al monumento ai caduti,Verso il monumento
,,,,
I_moncalvo,10,Dove decide il gruppo di andare a fare colazione?,A Sant'Agnese,Nel luogo chiamato Sant'Agnese
I_moncalvo,10,Qual è il motivo per cui il gruppo decide di andare a Sant'Agnese?,A Mentana non c'era una trattoria adatta,Non trovavano una trattoria disponibile a Mentana
I_moncalvo,10,Che tempo fa quando il gruppo riparte da Mentana?,Piove,C'è pioggia
,,,,
I_moncalvo,11,Chi è il potenziale sposo di Mariannina?,Don Cesarino,Il principe Don Cesarino
I_moncalvo,11,Cosa desidera Mariannina per il suo futuro?,Un blasone e un titolo,Diventare principessa
I_moncalvo,11,Dove si terrà la visita concordata con Don Cesarino e sua madre?,Al giardino degli Oroboni,Nel giardino della famiglia Oroboni
,,,,
I_moncalvo,12,Chi ha chiamato monsignor de Luchi?,La principessa Olimpia Oroboni,Olimpia Oroboni
I_moncalvo,12,Dove arriva monsignor de Luchi?,Al palazzo Oroboni,Davanti al palazzo Oroboni
I_moncalvo,12,Come si chiama la donna che apre la porta a monsignor de Luchi?,Pulcheria,Si chiama Pulcheria
,,,,
