Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_nemico_e_in_noi,1,Chi è l'autore del libro che Diana sta leggendo?,Borgagli,"Il marito di Diana, Borgagli"
Il_nemico_e_in_noi,1,Qual è il titolo del libro scritto da Borgagli?,_Gran sogno_,Il _Gran sogno_
Il_nemico_e_in_noi,1,Come si chiama il personaggio maschile principale nel libro _Gran sogno_?,Gherardo,Il personaggio Gherardo
,,,,
Il_nemico_e_in_noi,2,Chi è la moglie di Pietro Borgagli?,Diana,Sua moglie Diana
Il_nemico_e_in_noi,2,Qual è la professione di Pietro Borgagli?,È uno scrittore,Scrive romanzi e novelle
Il_nemico_e_in_noi,2,Che forma aveva la novella letta da Diana?,Una lettera,La forma di una lettera
,,,,
Il_nemico_e_in_noi,3,Come si chiama la moglie di Pietro Borgagli?,Diana,Si chiama Diana
Il_nemico_e_in_noi,3,Dove si recano Pietro e Diana su desiderio di lei?,Alla Roccetta,Nella villetta La Roccetta
Il_nemico_e_in_noi,3,Quale tragico evento si verifica alla Roccetta?,Diana tenta il suicidio,Diana cerca di gettarsi dalla terrazza
,,,,
Il_nemico_e_in_noi,4,Quale senso recupera Diana?,La vista,Il senso della vista
Il_nemico_e_in_noi,4,Quanti anni ha Pietro?,Trentadue anni,Ha 32 anni
Il_nemico_e_in_noi,4,Cosa aveva tentato di fare Diana poche ore prima?,Di morire,Il suicidio
,,,,
Il_nemico_e_in_noi,5,Qual è il sentimento di Pietro Borgagli verso la sua arte?,Indifferenza,Un profondo torpore
Il_nemico_e_in_noi,5,Come reagisce Leoni allo stato d'animo di Pietro Borgagli?,È profondamente afflitto,Si sente strabiliare
Il_nemico_e_in_noi,5,Cosa scopre Diana nella sua tranquillità?,Qualcosa di torpido,Un senso di insignificanza
,,,,
Il_nemico_e_in_noi,6,Quanti anni aveva il barone Russo-Scaro quando ha sposato Cecilia?,Quarantanove anni,49 anni
Il_nemico_e_in_noi,6,Quanti anni ha Giorgio?,Quindici anni,15 anni
Il_nemico_e_in_noi,6,Chi ha sconsigliato al barone di sposare Cecilia?,Suo zio l'abate di San Benedetto,L'abate di San Benedetto
,,,,
Il_nemico_e_in_noi,7,Cosa offrì Giorgio alla baronessa?,Un'arancia,Un frutto d'arancio
Il_nemico_e_in_noi,7,Cosa faceva Cecilia mentre Giorgio leggeva?,Lavorava all'uncinetto,Sferruzzava con l'uncinetto
Il_nemico_e_in_noi,7,Cosa provava Giorgio per la baronessa quando erano in collegio?,La odiava,Provava odio per lei
,,,,
Il_nemico_e_in_noi,8,Come si chiama la baronessa?,Cecilia,La baronessa Cecilia
Il_nemico_e_in_noi,8,Come si chiama il ragazzo con cui la baronessa ha una relazione?,Giorgio,Il giovane Giorgio
Il_nemico_e_in_noi,8,Dove si svolge la vicenda descritta?,In una villa in Sicilia,In una villa siciliana
,,,,
Il_nemico_e_in_noi,9,Quale palazzo è rimasto chiuso per lutto eterno?,Il palazzo Russo-Scaro,Il palazzo della famiglia Russo-Scaro
Il_nemico_e_in_noi,9,Chi è lo zio del barone?,L'abate di San Benedetto,Il vecchio abate
Il_nemico_e_in_noi,9,Come si chiama la donna convalescente che visita Eugenio?,La signora Viotti,Viotti
,,,,
Il_nemico_e_in_noi,10,Chi è la persona che confessa a Eugenio?,L'ammalata,La donna malata
Il_nemico_e_in_noi,10,Qual è il sentimento di Eugenio verso l'ammalata?,Non la ama più,Non prova più amore per lei
Il_nemico_e_in_noi,10,Per cosa chiede perdono l'ammalata a Eugenio?,Per averlo calunniato,Per averlo ingiustamente accusato
,,,,
Il_nemico_e_in_noi,11,Su cosa scommettono il barone e la marchesa?,Scommettono che il barone bacerà la marchesa sulla bocca senza il suo consenso.,"La scommessa riguarda un bacio del barone alla marchesa, senza la sua resistenza."
Il_nemico_e_in_noi,11,Cosa vuole fare il barone per essere contento?,Vuole baciare la marchesa sulla bocca senza il suo consenso.,Desidera dare un bacio alla marchesa sulla bocca senza che lei resista.
Il_nemico_e_in_noi,11,Chi fa le proposte al barone?,La marchesa.,È la marchesa che gli fa le proposte.
,,,,
Il_nemico_e_in_noi,12,Chi sono i due sposi che partono per il viaggio di nozze?,Il barone Paolo Foli e la marchesa Bellati,Paolo Foli e la baronessa Foli
Il_nemico_e_in_noi,12,Qual è il nome del barone che si sposa?,Paolo Foli,Il barone Paolo Foli
Il_nemico_e_in_noi,12,Cosa sta aspettando Alberto con impazienza?,Le tre di sera,L'arrivo delle tre di sera
,,,,
