Book,ParagraphIndex,Question,AnswerA,AnswerB
Larte_di_prender_marito,1,Quando Emma è divenuta una donna?,Dopo il suo primo sogno d'amore,La notte del suo primo sogno
Larte_di_prender_marito,1,Chi baciava Emma nel suo sogno?,Un giovane bello e innamorato,Un giovane innamorato
Larte_di_prender_marito,1,Cosa nascose Emma a sua madre dopo il sogno?,Il contenuto del suo sogno,Il suo primo sogno d'amore
,,,,
Larte_di_prender_marito,2,Cosa cerca Emma nelle pagine dei libri che legge?,Un bacio o una carezza,Un innamorato o uno sposo
Larte_di_prender_marito,2,Chi è responsabile dell'ignoranza di Emma sul mistero dell'amore?,I suoi genitori,La mamma di Emma
Larte_di_prender_marito,2,Quale evento spinse Emma a correre dalla madre per raccontarle un caso strano?,La ferita misteriosa e crudele inflittale dalla natura,L'insorgere della ferita misteriosa e crudele nel suo corpo
,,,,
Larte_di_prender_marito,3,Quali volumi cerca Emma nelle librerie per via di Enrico?,Volumi di medicina,Libri di medicina
Larte_di_prender_marito,3,"Qual è il sentimento di Emma verso Enrico, nonostante non gli abbia mai parlato?",Lo ama,Prova amore per lui
Larte_di_prender_marito,3,Quali caratteristiche di Enrico sono la ragione principale dell'amore di Emma?,È giovane e un uomo,La sua giovinezza e il suo essere uomo
,,,,
Larte_di_prender_marito,4,Cosa desidera Emma fare per Enrico?,Soffrire per lui,Sacrificarsi per lui
Larte_di_prender_marito,4,Cosa riceve Emma attraverso la finestra?,Un involtino,Un pacchetto contenente una lettera
Larte_di_prender_marito,4,Chi crede Emma abbia lanciato l'involtino?,Enrico,Il suo amato Enrico
,,,,
Larte_di_prender_marito,5,Qual è il primo peccato di Emma?,Ricevere e leggere le lettere di un giovane senza dirlo alla mamma.,Leggere le lettere di un giovane senza informare sua madre.
Larte_di_prender_marito,5,Chi sono i due uomini innamorati di Emma?,L'ingegnere Rinaldini e il marchese di Acquafredda.,Il marchese di Acquafredda e l'ingegnere Rinaldini.
