Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DAMO VIENNESE ROMANZO,1,Quali erano le due grandi passioni di Pierino Balla?,Sua madre e il valzer,Il valzer e la sua mamma
IL DAMO VIENNESE ROMANZO,1,Dove viveva la madre di Pierino Balla?,A Sorrento,Nella sua casettina di Sorrento
IL DAMO VIENNESE ROMANZO,1,Come chiamavano gli amici Pierino Balla?,Pierino Balla e canta,Con il soprannome 'Pierino Balla e canta'
,,,,
IL DAMO VIENNESE ROMANZO,2,Dove si recò Pierino Balla dopo la laurea?,A Roma,Nella città di Roma
IL DAMO VIENNESE ROMANZO,2,Qual era la principale passione musicale di Pierino Balla?,L'operetta viennese,L'operetta di Vienna
IL DAMO VIENNESE ROMANZO,2,Per quale carriera Pierino Balla non provava inclinazione?,Quella di avvocato,La carriera di avvocato
,,,,
IL DAMO VIENNESE ROMANZO,3,Chi desidera conoscere Pierino Balla?,Franz Lehar,Il musicista Franz Lehar
IL DAMO VIENNESE ROMANZO,3,In quale città si trova Franz Lehar?,A Roma,Nella città di Roma
IL DAMO VIENNESE ROMANZO,3,Quale strumento musicale chiede Pierino Balla nella sua stanza?,Un pianoforte,Il pianoforte
,,,,
IL DAMO VIENNESE ROMANZO,4,Come si chiama il protagonista che arriva a Vienna?,Pierino Balla,Si chiama Pierino Balla
IL DAMO VIENNESE ROMANZO,4,In quale città si trova Pierino Balla?,A Vienna,Nella città di Vienna
IL DAMO VIENNESE ROMANZO,4,"Cosa scopre Pierino Balla sulle ""dame viennesi""?",Parlano italiano napoletano,"Non sono vere viennesi, parlano napoletano"
,,,,
IL DAMO VIENNESE ROMANZO,5,Chi ha dato a Pierino Balla la lettera di presentazione per il maestro Kramer?,Franz Lehar,Il maestro Franz Lehar
IL DAMO VIENNESE ROMANZO,5,Come si chiama la figlia del maestro Kramer?,Eva,Eva Kramer
IL DAMO VIENNESE ROMANZO,5,In quale teatro Pierino Balla assiste alla première del maestro Kramer?,All'Ander Wien,Al teatro Ander Wien
,,,,
IL DAMO VIENNESE ROMANZO,6,Con chi cena Pierino al Prater?,Con Kramer ed Eva,Con il maestro Kramer e la signorina Eva
IL DAMO VIENNESE ROMANZO,6,Da dove proviene la guardarobiera che serve Pierino?,Da Trento,È originaria di Trento
IL DAMO VIENNESE ROMANZO,6,Qual è la reazione di Kramer quando viene nominato l'herr major Hampfel?,Si oscura in volto,Il suo viso si incupisce
,,,,
IL DAMO VIENNESE ROMANZO,7,Come si chiama la signorina con cui Pierino interagisce?,Eva,Eva Kramer
IL DAMO VIENNESE ROMANZO,7,Dove si trova la villa della signorina Kramer?,In Carinzia,Nella regione della Carinzia
IL DAMO VIENNESE ROMANZO,7,Qual è il titolo del valzer che Eva canticchia?,"Sei tu, felicità",Il valzer di Lehar
,,,,
IL DAMO VIENNESE ROMANZO,8,Dove Pierino Balla incontrò Eva Kramer?,A Vienna,Nel Prater a Vienna
IL DAMO VIENNESE ROMANZO,8,Dove si diressero Pierino Balla ed Eva Kramer dopo il matrimonio?,In Italia,Verso l'Italia
IL DAMO VIENNESE ROMANZO,8,Quale incarico avrebbe ricoperto l'herr major Hampfel a Roma?,Attaché militare,Addetto militare all'Ambasciata d'Italia
,,,,
IL DAMO VIENNESE ROMANZO,9,Per quale motivo Pierino è stato riformato dal servizio militare?,Per deficienza toracica,A causa di una deficienza al torace
IL DAMO VIENNESE ROMANZO,9,Come considera Eva l'eventuale ingresso dell'Italia in guerra contro gli austro-tedeschi?,Lo considera un atto di tradimento,Lo vede come un'azione da fedifraghi e briganti
IL DAMO VIENNESE ROMANZO,9,Di che nazionalità è il cameriere che serve Pierino?,È tedesco,Ha nazionalità tedesca
,,,,
IL DAMO VIENNESE ROMANZO,10,Qual è la posizione dell'Italia riguardo alla guerra?,L'Italia è neutrale.,L'Italia mantiene la neutralità.
IL DAMO VIENNESE ROMANZO,10,Di che nazionalità è Eva?,Eva è austriaca.,Eva proviene dall'Austria.
IL DAMO VIENNESE ROMANZO,10,Qual è una delle principali motivazioni della neutralità italiana?,L'Italia non ha cannoni e i soldati sono impreparati.,L'Italia è priva di armamenti e i suoi soldati sono impreparati.
,,,,
IL DAMO VIENNESE ROMANZO,11,Chi ha scelto i nuovi colori dell'automobile?,Il principe in persona,Il principe a Villa Malta
IL DAMO VIENNESE ROMANZO,11,Quale notizia inaspettata viene annunciata a Pierino?,Le dimissioni del Gabinetto Salandra,Che il Gabinetto Salandra era dimissionario
IL DAMO VIENNESE ROMANZO,11,Chi voleva la guerra a qualunque costo?,Sonnino,Il ministro Sonnino
,,,,
IL DAMO VIENNESE ROMANZO,12,Di che nazionalità è Eva Kramer?,Austriaca,È di nazionalità austriaca
IL DAMO VIENNESE ROMANZO,12,Chi ha denunciato i traditori della patria al teatro Costanzi?,Gabriele d'Annunzio,D'Annunzio
IL DAMO VIENNESE ROMANZO,12,Cosa ha rifiutato di fare il capitano di cavalleria in Via Nazionale?,Caricare i dimostranti,Di caricare i fratelli
,,,,
IL DAMO VIENNESE ROMANZO,13,Chi pronuncia le parole sul 'valzer della morte' attribuite a Bulow?,Eva,La protagonista Eva
IL DAMO VIENNESE ROMANZO,13,Qual è il rapporto tra Eva e Pierino?,Si vogliono bene,Sono innamorati
IL DAMO VIENNESE ROMANZO,13,Quale figura storica viene citata spesso nel discorso sull'Italia?,Bulow,Il diplomatico Bulow
,,,,
IL DAMO VIENNESE ROMANZO,14,Qual è l'irresistibile bisogno di Pierino Balla?,Aprire e suonare un pianoforte,Suonare il pianoforte
IL DAMO VIENNESE ROMANZO,14,Dove alloggiano monsieur et madame Kramer-Balla?,Al Grand Hôtel,Nel Grand Hôtel
IL DAMO VIENNESE ROMANZO,14,Chi sostituisce Pierino al pianoforte?,Una vecchia signora americana,La signora americana
,,,,
IL DAMO VIENNESE ROMANZO,15,Quale notizia viene comunicata a Pierino dalle amiche di sua moglie?,L'inizio della guerra,Lo scoppio della guerra
IL DAMO VIENNESE ROMANZO,15,Cosa fa l'Americana al pianoforte quando sente il corteo?,Interrompe il valzer e accompagna il canto,Smette di suonare il valzer e suona l'inno
IL DAMO VIENNESE ROMANZO,15,Quale inno canta il corteo che passa per la via?,L'inno di Mameli,Fratelli d'Italia
,,,,
IL DAMO VIENNESE ROMANZO,16,Chi ha confessato di aver lanciato le grida dal balcone?,La cameriera di Eva,La domestica di Eva
IL DAMO VIENNESE ROMANZO,16,Dove è stata condotta la cameriera di Eva dopo l'arresto?,Al commissariato,Agli uffici di un commissariato
IL DAMO VIENNESE ROMANZO,16,Chi ha persuaso Pierino ad andare al commissariato?,Eva,Sua moglie Eva
,,,,
IL DAMO VIENNESE ROMANZO,17,Dove si dirigono Eva e Pierino?,In Svizzera,Verso la Svizzera
IL DAMO VIENNESE ROMANZO,17,Perché Eva e Pierino decidono di partire?,Perché la vita è diventata impossibile,A causa del pericolo che corrono
IL DAMO VIENNESE ROMANZO,17,Chi è il coniuge dominante nella coppia Eva e Pierino?,Eva,La moglie Eva
,,,,
IL DAMO VIENNESE ROMANZO,18,Dove si trovano Pierino e sua moglie?,In Svizzera,In un albergo svizzero
IL DAMO VIENNESE ROMANZO,18,Perché Pierino e sua moglie hanno lasciato Roma?,A causa della guerra,Per lo scoppio del conflitto
IL DAMO VIENNESE ROMANZO,18,Qual è la condizione militare di Pierino?,È riformato per deficienza toracica,È stato esonerato dal servizio militare per problemi al torace
,,,,
