Book,ParagraphIndex,Question,AnswerA,AnswerB
LE AQUILE DELLA STEPPA ROMANZO,1,Come si chiama il fuggiasco inseguito dai Sarti?,Omar,Omar Ben Yussuf
LE AQUILE DELLA STEPPA ROMANZO,1,Per quale crimine il fuggiasco è ricercato dai Sarti?,Per aver saccheggiato il villaggio,Per il saccheggio del villaggio
LE AQUILE DELLA STEPPA ROMANZO,1,Chi è il vecchio che ha promesso i cento tomani per la cattura del fuggiasco?,Il Khan del villaggio,Il capo del villaggio
,,,,
LE AQUILE DELLA STEPPA ROMANZO,2,Qual è il legame di parentela tra Talmà e Hossein?,Sono padre e figlia,Sono legati da un rapporto di paternità
LE AQUILE DELLA STEPPA ROMANZO,2,Il mestvire viene giustiziato?,"No, viene salvato","No, riesce a scampare alla condanna"
LE AQUILE DELLA STEPPA ROMANZO,2,Qual è il destino finale delle Aquile?,Vengono sconfitte e disperse,Sono annientate e i loro membri catturati
,,,,
LE AQUILE DELLA STEPPA ROMANZO,3,Con chi si sposa Hossein beg?,Con Talmà,Con la fanciulla Talmà
LE AQUILE DELLA STEPPA ROMANZO,3,Come si chiama il cugino di Hossein beg?,Murad beg,Il cugino Murad
LE AQUILE DELLA STEPPA ROMANZO,3,Qual è il titolo completo del vecchio beg?,Il Khan del Caspio,Il Khan delle rive del Caspio
,,,,
LE AQUILE DELLA STEPPA ROMANZO,4,"Come si chiama il capo dei banditi, il mestvire?",Yanez de Gomera,Il portoghese Yanez
LE AQUILE DELLA STEPPA ROMANZO,4,Qual è il ruolo di Talmà nella vicenda?,È un nemico dei banditi,È un avversario di Yanez e Hadgi
LE AQUILE DELLA STEPPA ROMANZO,4,Qual è l'obiettivo finale di Yanez e Hadgi in questa avventura?,Sconfiggere il beg,Rovesciare il potere del beg
,,,,
LE AQUILE DELLA STEPPA ROMANZO,5,Chi è Tabriz per Hossein?,Il suo fedele compagno,Il suo leale seguace
LE AQUILE DELLA STEPPA ROMANZO,5,Qual è il legame tra Hossein e Talmà?,Sono alleati,Sono amici
LE AQUILE DELLA STEPPA ROMANZO,5,Qual è la missione principale di Hossein?,Combattere i nemici della steppa,Difendere la sua gente
,,,,
LE AQUILE DELLA STEPPA ROMANZO,6,Chi è il capo delle Aquile?,Yusuf,Il loro leader è Yusuf
LE AQUILE DELLA STEPPA ROMANZO,6,Qual è l'obiettivo di Hossein e Tabriz alla casa di Talmà?,Salvare Talmà dai banditi,Proteggere Talmà dalle Aquile
LE AQUILE DELLA STEPPA ROMANZO,6,Cosa succede a Talmà alla fine del libro?,Viene salvata da Hossein e Tabriz,Talmà è al sicuro grazie a Hossein e Tabriz
,,,,
LE AQUILE DELLA STEPPA ROMANZO,7,Qual è il destino di Abei Dullah dopo la sua partenza per l'occidente?,Viene rapito dai banditi,È catturato dalle Aquile della steppa
LE AQUILE DELLA STEPPA ROMANZO,7,Il matrimonio tra Hossein e Talmà si celebra?,"Sì, si sposano",Convolano a nozze
LE AQUILE DELLA STEPPA ROMANZO,7,Qual è il legame di parentela tra Giah Agha e Hossein?,Giah Agha è il padre di Hossein,Sono padre e figlio
,,,,
LE AQUILE DELLA STEPPA ROMANZO,8,Chi ha catturato Abei Dullah?,I banditi del deserto,Un gruppo di predoni
LE AQUILE DELLA STEPPA ROMANZO,8,Chi è il capo delle Aquile?,Il turcomanno [Nome del capo],Il leader delle Aquile
LE AQUILE DELLA STEPPA ROMANZO,8,Da quale regione provengono le Aquile?,Dalle rive del Caspio,Dalla zona del Mar Caspio
,,,,
LE AQUILE DELLA STEPPA ROMANZO,9,Chi sono i mestvires?,Un gruppo di predoni,L'organizzazione di cui Hadgi è luogotenente
