Book,ParagraphIndex,Question,AnswerA,AnswerB
L'UNDECIMO COMANDAMENTO ROMANZO,1,Qual è l'esito finale della ricerca di promozione del Cavaliere Tiraquelli?,Viene nominato prefetto,Riceve la nomina a prefetto
L'UNDECIMO COMANDAMENTO ROMANZO,1,Qual è il segreto che il Cavaliere Tiraquelli serba in corpo?,Il suo segreto è la sua collaborazione con l'opposizione,Egli nasconde un accordo con i partiti avversari
L'UNDECIMO COMANDAMENTO ROMANZO,1,Quale beneficio ottiene il Cavaliere Tiraquelli continuando i suoi mercoledì di ricevimento?,Gli viene assegnato il secondo piano del palazzo demaniale,Ottiene l'uso del secondo piano del palazzo demaniale
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,2,Come si chiama il giovane che il sottoprefetto e Prospero vogliono far sposare ad Adele?,Il Conte Fabrizio,Fabrizio
L'UNDECIMO COMANDAMENTO ROMANZO,2,Adele sposa il giovane che il sottoprefetto e Prospero le hanno destinato?,"Sì, lo sposa","Sì, si unisce in matrimonio con lui"
L'UNDECIMO COMANDAMENTO ROMANZO,2,Qual è il destino finale della famiglia Gamberini?,Vanno in rovina,Perdono la loro contea
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,3,Quali lingue classiche desiderava imparare Adele Ruzzani?,Il greco e il latino,Il latino e il greco
L'UNDECIMO COMANDAMENTO ROMANZO,3,Quale tratto distintivo ereditava Berta Gamberini dalla sua famiglia?,L'alterigia,Un'alterigia nobiliare
L'UNDECIMO COMANDAMENTO ROMANZO,3,In quale località si svolge l'incontro sociale descritto?,A Castelnuovo,Nella città di Castelnuovo
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,4,Come definisce il priore la comunità del convento di San Bruno?,Una rinuncia al mondo senza uscirne,Un piccolo mondo a sé stante
L'UNDECIMO COMANDAMENTO ROMANZO,4,In cosa è stata trasformata la chiesa del convento di San Bruno?,In una biblioteca,Nella biblioteca del convento
L'UNDECIMO COMANDAMENTO ROMANZO,4,Quali strutture scientifiche possiede il convento di San Bruno?,Un osservatorio e un laboratorio di chimica,Un laboratorio di chimica e un osservatorio
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,5,Qual è la motivazione principale che spinge i membri del 'convento di matti' ad appartarsi?,Il loro intento è ritirarsi dalla vita sociale.,Desiderano isolarsi completamente dal mondo.
L'UNDECIMO COMANDAMENTO ROMANZO,5,Come si chiama il sottoprefetto di Castelnuovo Bedonia?,Il suo nome è Dottor Bianchi.,Si chiama Dottor Bianchi.
L'UNDECIMO COMANDAMENTO ROMANZO,5,Qual è il ruolo del Cavalier Tiraquelli nella storia?,È un personaggio che rappresenta la retorica ufficiale.,Svolge la funzione di portavoce di un certo tipo di eloquenza.
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,6,Come si chiama il personaggio chiamato 'il cherubino'?,Il suo nome è Fra Cristoforo,Si chiama Fra Cristoforo
