Book,ParagraphIndex,Question,AnswerA,AnswerB
RASSEGNAZIONE ROMANZO,1,Come si chiama il protagonista del libro?,Il suo nome è Piero,Piero
RASSEGNAZIONE ROMANZO,1,Quale percorso di vita intraprende il protagonista?,Decide di dedicarsi alla scrittura,Il suo percorso è la scrittura
RASSEGNAZIONE ROMANZO,1,Qual era la professione del padre del protagonista?,Era un commerciante,La sua professione era il commercio
,,,,
RASSEGNAZIONE ROMANZO,2,Come si chiama il narratore del libro?,Zeno Cosini,Zeno
RASSEGNAZIONE ROMANZO,2,Qual è la principale dipendenza di Zeno Cosini?,Il fumo,La sigaretta
RASSEGNAZIONE ROMANZO,2,Quale professione intraprende Zeno Cosini?,Uomo d'affari,Commerciante
,,,,
RASSEGNAZIONE ROMANZO,3,Come si chiama il protagonista del romanzo?,Alfonso Nitti,Il signor Alfonso Nitti
RASSEGNAZIONE ROMANZO,3,Quale decisione prende Alfonso Nitti riguardo alla sua vita?,Si suicida,Si toglie la vita
RASSEGNAZIONE ROMANZO,3,Qual è la professione di Lenzi?,È un artista,Svolge la professione di artista
,,,,
RASSEGNAZIONE ROMANZO,4,Quale carriera intraprende Dario?,Diventa uno scrittore,Sceglie la professione di letterato
RASSEGNAZIONE ROMANZO,4,Quale professione il padre di Dario desiderava per lui?,Voleva che diventasse avvocato,Sperava che Dario intraprendesse la carriera legale
RASSEGNAZIONE ROMANZO,4,Dario riesce a realizzare le sue ambizioni letterarie?,"Sì, ottiene il successo sperato",Realizza le sue aspirazioni nel campo della scrittura
,,,,
RASSEGNAZIONE ROMANZO,5,Come si chiama il narratore del libro?,Il suo nome è [Nome del narratore],Si chiama [Nome del protagonista]
RASSEGNAZIONE ROMANZO,5,Quale rivelazione importante ha fatto la madre al narratore?,La madre ha rivelato [Dettaglio della rivelazione],Ha svelato [Contenuto della verità]
RASSEGNAZIONE ROMANZO,5,Il narratore ha mantenuto la sua decisione di rinunciare a vivere e pensare?,"No, ha ritrovato la volontà di vivere",Non ha rinunciato alle sue aspirazioni
