Batch,Testo,Risposta1,Risposta2
3,Quale grande sacrificio compie la narratrice per la sua libertà?,Lascia il figlio per inseguire la propria indipendenza.,Abbandona il suo bambino per poter vivere una vita autentica.
3,Chi è il marito della narratrice?,È un uomo che la maltratta e la imprigiona in un matrimonio infelice.,"È il suo sposo, che la opprime e le impedisce di realizzarsi."
3,Che tipo di lavoro svolge la narratrice per mantenersi?,"Lavora in una fabbrica, occupandosi della contabilità.","È impiegata in una manifattura, dove gestisce i conti."
3,Qual è il messaggio principale che la narratrice vuole trasmettere con la sua storia?,L'importanza della libertà e dell'autonomia femminile.,La necessità per le donne di affermare la propria individualità.
4,"Chi è la protagonista del romanzo ""Una Donna""?",La protagonista è Sibilla Aleramo.,Il personaggio principale del libro è Sibilla Aleramo.
4,"Quale difficile scelta compie la protagonista di ""Una Donna"" riguardo al figlio?",Decide di lasciare il figlio per la propria libertà.,Sceglie di abbandonare il figlio per la sua emancipazione personale.
4,"In quale ambiente la narratrice di ""Una Donna"" incontra persone malate e sofferenti?",Nelle sale d'ospedale.,All'interno delle strutture ospedaliere.
4,"Qual è il tema centrale esplorato nel romanzo ""Il Passaggio"" di Sibilla Aleramo?",La ricerca dell'identità e l'emancipazione femminile.,Il percorso di auto-scoperta e liberazione della donna.
5,Quale decisione prende la narratrice riguardo al suo futuro professionale alla fine del romanzo?,Decide di abbandonare la sua carriera precedente per dedicarsi alla scrittura.,"Sceglie di intraprendere una nuova strada come autrice, lasciando il suo vecchio lavoro."
5,Qual è il risultato finale del conflitto tra la famiglia della narratrice e quella di Felice?,Le due famiglie riescono a trovare un accordo e a riconciliarsi.,Il disaccordo tra le famiglie della narratrice e di Felice si conclude con una pacificazione.
5,Chi è il personaggio che aiuta la narratrice a superare il suo momento di crisi?,È un vecchio amico d'infanzia che le offre supporto.,Un amico di lunga data le fornisce il sostegno necessario.
5,In quale città la narratrice decide di stabilirsi definitivamente dopo i suoi viaggi?,Si trasferisce in modo permanente a Roma.,La sua residenza finale è la città di Roma.
6,Come viene identificata la protagonista nel romanzo 'Una donna'?,La protagonista non ha un nome proprio esplicito.,Il suo nome non viene mai rivelato direttamente nel testo.
6,Chi è l'uomo che la protagonista di 'Una donna' sposa?,È il direttore della fabbrica dove lavora suo padre.,È il capo dell'azienda in cui il padre della protagonista è impiegato.
6,Quale difficile scelta compie la protagonista di 'Una donna' riguardo a suo figlio Walter?,Decide di lasciare il figlio con il padre per la sua libertà.,Sceglie di abbandonare Walter al marito per perseguire la propria indipendenza.
6,Qual è il principale conflitto interiore che affronta la protagonista di 'Una donna'?,Il conflitto tra il suo ruolo di madre e il desiderio di autoaffermazione.,La lotta tra i doveri familiari e la ricerca della propria identità e libertà.
7,Chi è il marito di Rina?,Il marito di Rina si chiama Marco.,Marco è il coniuge di Rina.
7,Perché la famiglia Rossi si trasferì a Milano?,La famiglia Rossi si trasferì a Milano per il nuovo lavoro del padre.,Il trasferimento dei Rossi a Milano fu dovuto all'opportunità lavorativa del capofamiglia.
7,Qual è l'evento che ha cambiato la vita di Anna?,L'incidente stradale ha profondamente modificato la vita di Anna.,La vita di Anna è stata stravolta dall'incidente automobilistico.
7,Quale decisione importante prese Luca riguardo al suo futuro?,Luca decise di lasciare l'università per dedicarsi alla pittura.,La scelta di Luca fu di abbandonare gli studi universitari per perseguire la carriera artistica come pittore.
8,Quale importante decisione prende la narratrice riguardo al suo matrimonio?,La narratrice decide di separarsi dal marito.,La protagonista sceglie di lasciare il suo sposo.
