Batch,Testo,Risposta1,Risposta2
1,Qual è la professione di Filippo Ruffo?,È un critico teatrale.,Svolge l'attività di recensore di opere teatrali.
1,Dove si reca Giuliano dopo la morte di Claudina Rosiers?,Si trasferisce a Parigi.,Decide di andare a vivere nella capitale francese.
1,Qual è il legame di Beatrice con la famiglia Rosiers?,È la cugina di Claudina Rosiers.,"Beatrice è imparentata con Claudina, essendo sua cugina."
1,Qual è l'obiettivo principale di Farnese con la sua commedia?,Vuole ottenere il riconoscimento del pubblico e della critica.,Il suo scopo è raggiungere fama e apprezzamento per la sua opera teatrale.
2,Quale segreto importante scopre Giuliano?,Giuliano scopre la verità sulla sua nascita.,Viene a conoscenza delle sue vere origini familiari.
2,Qual è il motivo principale delle azioni di Loredano?,Loredano agisce per vendicarsi dei Farnese.,Il suo scopo è ottenere giustizia contro la famiglia Farnese.
2,Cosa succede al rapporto tra Giuliano e Claudina alla fine del romanzo?,Giuliano e Claudina decidono di separarsi.,Il loro legame si scioglie definitivamente.
2,Chi aiuta Giuliano a superare la sua 'grave colpa'?,Beatrice offre il suo aiuto a Giuliano.,È Beatrice che supporta Giuliano nel suo percorso di redenzione.
3,Quale evento spinge Giuliano Farnese a lasciare la sua casa?,Un disaccordo familiare lo porta ad allontanarsi.,Una lite con i suoi cari lo induce a partire.
3,Qual è la professione di Claudina Rosiers?,Claudina Rosiers è un'attrice teatrale.,Svolge la professione di interprete di opere teatrali.
3,Di quale malattia soffre Anna Maria?,Anna Maria è affetta da una grave malattia polmonare.,La sua salute è compromessa da una patologia respiratoria.
3,Qual è il destino finale delle opere di Giuliano Farnese?,Le sue opere ottengono un grande successo e riconoscimento.,I suoi lavori vengono acclamati dal pubblico e dalla critica.
4,Chi è il mentore di Giuliano?,È il vecchio professore che lo guida.,È la figura anziana che gli offre consigli e supporto.
4,Dove si incontrano per la prima volta Beatrice e Giuliano?,Si conoscono al caffè letterario del centro.,Il loro primo incontro avviene in un noto locale di ritrovo per scrittori.
4,Qual è l'obiettivo principale di Loredano?,Vuole vendicarsi della famiglia Rosiers.,Il suo scopo è attuare una ritorsione contro i Rosiers.
4,Che fine fa Farnese alla fine del romanzo?,Viene arrestato per i suoi crimini.,Le autorità lo catturano e lo imprigionano.
5,Dove si ritira Claudina Rosiers dopo la sua carriera teatrale?,Claudina si ritira in campagna,Claudina va a vivere in una villa fuori città
5,Qual è la città d'origine di Giuliano?,Giuliano è nato a Venezia,La città natale di Giuliano è Venezia
5,Chi assiste Anna Maria durante la sua malattia?,Beatrice si prende cura di Anna Maria,Anna Maria è assistita da Beatrice
5,Qual è il ruolo di Farnese nella commedia di Claudina Rosiers?,Farnese è l'autore della commedia,Farnese ha scritto la commedia
6,Qual era l'obiettivo principale di Giuliano nel romanzo?,Cercava di ritrovare la sua identità perduta.,Il suo scopo era riscoprire chi fosse veramente.
6,Che ruolo aveva Farnese nella vita di Giuliano?,Era un mentore e amico per Giuliano.,Farnese fungeva da guida e compagno per Giuliano.
6,Qual è stato il destino finale di Claudina?,Claudina ha trovato la pace e la felicità.,"Alla fine, Claudina ha raggiunto uno stato di serenità."
6,Quale evento ha segnato una svolta cruciale per Giuliano?,L'incontro con Claudina ha cambiato profondamente la sua vita.,La sua esistenza ha preso una nuova direzione dopo aver conosciuto Claudina.
7,"Qual è il nome dell'altro figlio di Giuliano, oltre a Luca?",L'altro figlio di Giuliano si chiama Marco.,"Oltre a Luca, Giuliano ha un figlio di nome Marco."
7,Qual è l'obiettivo principale di Loredano nei confronti di Giuliano Farnese?,Loredano intende vendicarsi di Giuliano Farnese.,Il proposito di Loredano è la vendetta contro Giuliano Farnese.
7,Qual è la prima destinazione del lungo viaggio di Giuliano?,Giuliano si reca inizialmente a Venezia.,Il viaggio di Giuliano inizia con la sua partenza per Venezia.
7,Quale importante eredità lascia Farnese ai suoi figli?,Farnese lascia ai figli un manoscritto segreto.,Un manoscritto misterioso è l'eredità di Farnese per Luca e Marco.
8,Qual era il motivo principale del trasferimento di Giuliano a Milano?,Cercava di sfuggire ai suoi creditori,Si era indebitato e doveva lasciare la sua città precedente
8,Chi ha presentato Farnese al Marchese Filangieri?,La Contessa Adele,"Un'amica comune, la Contessa Adele"
8,Qual era il nome del teatro dove Claudina Rosiers ottenne il suo primo grande successo?,Il Teatro dell'Opera di Parigi,Il celebre Teatro dell'Opera di Parigi
8,Quale conseguenza ha avuto il tradimento di Giuliano sulla reputazione di Beatrice?,Ha perso la sua reputazione in società,È stata disonorata pubblicamente
9,Qual è lo scopo principale della commedia di Farnese?,La commedia di Farnese mira a rivelare la verità su un personaggio specifico.,Farnese usa la sua commedia per smascherare le azioni di qualcuno.
9,Qual è il destino finale di Claudina?,Claudina si ritira in convento dopo gli eventi del romanzo.,"Alla fine del libro, Claudina decide di prendere i voti e vivere in clausura."
9,Chi aiuta Anna Maria a superare la sua malattia?,Un medico di nome Dottor Rossi assiste Anna Maria nella sua guarigione.,È il Dottor Rossi che fornisce le cure necessarie ad Anna Maria per migliorare.
9,In quale luogo avviene il confronto decisivo tra Giuliano e Farnese?,Il confronto finale tra Giuliano e Farnese si svolge nel salone del palazzo ducale.,Giuliano e Farnese si affrontano per l'ultima volta nel grande salone del palazzo del Duca.
11,Qual è la professione di Giuliano Farnese?,Giuliano Farnese è un pittore.,Egli si dedica all'arte della pittura.
11,Qual è il legame di Beatrice con Giuliano Farnese?,Beatrice è la moglie di Giuliano.,Il loro rapporto è quello di marito e moglie.
11,Qual è il principale ostacolo alla relazione tra Giuliano e Claudina?,La loro differenza di classe sociale.,Le barriere imposte dalla società per la loro unione.
11,Qual è il nome del teatro dove Claudina Rosiers recita?,Claudina si esibisce al Teatro Reale.,Il suo palcoscenico è il Teatro Reale.
12,Qual era la professione di Farnese?,Farnese era un compositore e direttore d'orchestra.,"Farnese lavorava come musicista, creando e dirigendo opere."
12,Cosa accadde a Beatrice nel giardino della villetta?,Beatrice subì un'aggressione nel giardino della villetta.,"Nel giardino della villetta, Beatrice fu vittima di un'aggressione."
