Book,ParagraphIndex,Question,AnswerA,AnswerB
IL RICHIAMO DELLA FORESTA,1,Chi era il proprietario di Buck?,Il giudice,Il suo padrone era il giudice
IL RICHIAMO DELLA FORESTA,1,Chi ha venduto Buck?,Manuele,L'aiuto-giardiniere Manuele
IL RICHIAMO DELLA FORESTA,1,Quale scoperta attirava uomini nel Nord alla fine del 1897?,La scoperta dell'oro a Klondike,Un giacimento aurifero a Klondike
,,,,
IL RICHIAMO DELLA FORESTA,2,Chi era il padrone di Buck prima di essere rapito?,Il giudice,"Il suo padrone, il giudice"
IL RICHIAMO DELLA FORESTA,2,Qual è la destinazione di Buck sul treno?,San Francisco,La città di San Francisco
IL RICHIAMO DELLA FORESTA,2,Quanto denaro riceve l'uomo che ha rapito Buck per il suo trasporto?,Cinquanta,Cinquanta in contanti
,,,,
IL RICHIAMO DELLA FORESTA,3,Chi affronta Buck con la mazza?,L'uomo,Un uomo
IL RICHIAMO DELLA FORESTA,3,Quale arma usa l'uomo per sottomettere Buck?,Una mazza,La mazza
IL RICHIAMO DELLA FORESTA,3,Come termina lo scontro per Buck?,Cade privo di sensi,Viene reso incosciente
,,,,
IL RICHIAMO DELLA FORESTA,4,Quale sentimento prova Buck per Spitz?,Odio amaro e mortale,Un odio profondo e mortale
IL RICHIAMO DELLA FORESTA,4,Chi sono i due nuovi cani introdotti da Perrault?,Billee e Joe,I fratelli Billee e Joe
IL RICHIAMO DELLA FORESTA,4,Qual è il primo lavoro di Buck dopo essere stato imbracato?,Trascinare una slitta con legna,Portare legna da ardere su una slitta
,,,,
IL RICHIAMO DELLA FORESTA,5,Cosa impara Buck osservando Billee?,A scavare una buca nella neve per dormire,Come trovare riparo dal freddo nella neve
IL RICHIAMO DELLA FORESTA,5,Dove si ripara Buck per dormire?,In una buca scavata nella neve,"Sotto la neve, in un riparo auto-costruito"
IL RICHIAMO DELLA FORESTA,5,Quale paura ancestrale prova Buck al risveglio?,La paura della trappola,Il timore istintivo di essere intrappolato
,,,,
IL RICHIAMO DELLA FORESTA,6,Chi precede la slitta battendo la neve?,Perrault,L'uomo Perrault
IL RICHIAMO DELLA FORESTA,6,Dove si trova l'accampamento dei cercatori d'oro?,Al capo del lago Bennet,Presso il lago Bennet
IL RICHIAMO DELLA FORESTA,6,Quanta razione di salmone seccato riceve Buck ogni giorno?,Una libbra e mezza,Una libbra e mezza di salmone
,,,,
IL RICHIAMO DELLA FORESTA,7,Dove scaricarono la tenda Perrault e François?,A Dyea,Nel villaggio di Dyea
