Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ULTIMA PRIMAVERA ROMANZO,1,Dove vive Marina Negroni?,Nel palazzo d'Accorsi,Al palazzo d'Accorsi
L'ULTIMA PRIMAVERA ROMANZO,1,Chi è il Duca d'Accorsi per Marina Negroni?,Il suo patrigno,Il marito di sua madre
L'ULTIMA PRIMAVERA ROMANZO,1,Come si chiamava il padre di Marina Negroni?,Conte Negroni,Il Conte Negroni
,,,,
L'ULTIMA PRIMAVERA ROMANZO,2,Quanti anni aveva la Duchessa?,Meno di quarant'anni,Non aveva ancora quarant'anni
L'ULTIMA PRIMAVERA ROMANZO,2,Chi accompagnava a passeggio la Contessa Elisa di Serramonte?,La figlia di Ginevra d'Accorsi,La figlia di Ginevra
L'ULTIMA PRIMAVERA ROMANZO,2,Cosa si riprometteva di visitare Marina?,Una bella cappelletta,Una cappelletta
,,,,
L'ULTIMA PRIMAVERA ROMANZO,3,Chi presenta il Marchese Fedimari alla Contessa Nardi e a Donna Marina Negroni?,Marcello Plana,Plana
L'ULTIMA PRIMAVERA ROMANZO,3,Dove si incontrano i personaggi principali?,In chiesa,Nella cappelletta
L'ULTIMA PRIMAVERA ROMANZO,3,Quali personaggi si riconoscono a vicenda?,Donna Marina Negroni e il Marchese Fedimari,Il Marchese Fedimari e Donna Marina Negroni
,,,,
L'ULTIMA PRIMAVERA ROMANZO,4,Quale notizia importante contiene la lettera ricevuta dalla Contessa Elisa?,Riguarda il marito di Marina.,Parla del marito di Marina.
L'ULTIMA PRIMAVERA ROMANZO,4,Chi era il fidanzato di Tecla d'Oppado?,Il Conte Aynardo Rescuati Melli.,Aynardo Rescuati Melli.
L'ULTIMA PRIMAVERA ROMANZO,4,Chi sostituiva i genitori perduti per Tecla d'Oppado?,I suoi vecchi nonni.,I nonni di Tecla.
,,,,
L'ULTIMA PRIMAVERA ROMANZO,5,A chi scrive Tecla la sua lettera?,Alla contessa Elisa,A Elisa
L'ULTIMA PRIMAVERA ROMANZO,5,Qual è la principale preoccupazione di Tecla nella lettera?,Il futuro di suo figlio Roberto,Il destino di Roberto
L'ULTIMA PRIMAVERA ROMANZO,5,Qual è la condizione di salute di Tecla?,È gravemente malata,È una povera inferma
,,,,
L'ULTIMA PRIMAVERA ROMANZO,6,Come si chiama la donna che parla con don Marcello?,Isabella,La signora Isabella
L'ULTIMA PRIMAVERA ROMANZO,6,Qual è la professione di don Marcello?,Sacerdote,Un prete
L'ULTIMA PRIMAVERA ROMANZO,6,Come si chiama il figlio della donna che parla con don Marcello?,Marco,Il giovane Marco
,,,,
L'ULTIMA PRIMAVERA ROMANZO,7,A chi vuole Elisa presentare Roberto?,Alla Duchessa,Alla signora Duchessa
L'ULTIMA PRIMAVERA ROMANZO,7,Da quanto tempo Roberto è a Firenze?,Da un mese,Un mese
L'ULTIMA PRIMAVERA ROMANZO,7,Cosa vuole Elisa scrivere a Tecla riguardo a Roberto?,Che Roberto sia il beniamino delle signore,Che Roberto sia popolare tra le signore
,,,,
L'ULTIMA PRIMAVERA ROMANZO,8,Chi è il protetto di Elisa?,Il figlio della sua migliore amica,Il giovane di cui Elisa ha a cuore l'avvenire
L'ULTIMA PRIMAVERA ROMANZO,8,Cosa sta organizzando il protetto di Elisa in questi giorni?,La sua nuova dimora,La sua nuova casa
L'ULTIMA PRIMAVERA ROMANZO,8,Quale consiglio dà la Duchessa a Elisa riguardo al giovane?,Di esortarlo a frequentare la buona società,Di incoraggiarlo a frequentare persone per bene
,,,,
L'ULTIMA PRIMAVERA ROMANZO,9,Chi si reca a trovare Marina nella sua camera?,La duchessa Ginevra d'Accorsi,"Sua madre, la duchessa"
L'ULTIMA PRIMAVERA ROMANZO,9,Qual era la trovata di Elisa per Marina?,Farla incontrare con Rescuati,Un tentativo di farla trovare con Rescuati
L'ULTIMA PRIMAVERA ROMANZO,9,A quale piano si trova la camera di Marina?,Al terzo piano,Sul terzo piano del palazzo
,,,,
L'ULTIMA PRIMAVERA ROMANZO,10,Qual era il soprannome iniziale di Roberto nella società fiorentina?,Provincialuzzo,Il provincialuzzo
L'ULTIMA PRIMAVERA ROMANZO,10,Quanti franchi ha vinto Roberto giocando a carte?,Sei mila franchi,6000 franchi
L'ULTIMA PRIMAVERA ROMANZO,10,Quale storia era nota riguardo a Roberto e all'interesse delle signore?,La storia dell'Augellin Bel Verde,Quella dell'Augellin Bel Verde
,,,,
L'ULTIMA PRIMAVERA ROMANZO,11,Da quanto tempo la Duchessa aveva preso con sé il marchese Follemare?,Da otto anni,Da otto anni addietro
L'ULTIMA PRIMAVERA ROMANZO,11,Quale carriera aveva abbandonato il marchese Follemare per la Duchessa?,La carriera militare,La sua carriera nell'esercito
L'ULTIMA PRIMAVERA ROMANZO,11,Chi andò a trovare Dino Follemare nel Lung'Arno Acciaioli?,Neri Speroni,Il signor Neri Speroni
,,,,
L'ULTIMA PRIMAVERA ROMANZO,12,Cosa causava la distrazione della Contessa Elisa durante le letture di Monsieur Cholet?,Un mazzo di fiori,Dei giacinti
L'ULTIMA PRIMAVERA ROMANZO,12,Qual è il titolo dell'opera di Monsieur Cholet?,Fasti Medicei,L'opera Fasti Medicei
L'ULTIMA PRIMAVERA ROMANZO,12,Chi aveva inviato i fiori alla Contessa Elisa?,Il suo figliuolo,Il figlio della Contessa
,,,,
L'ULTIMA PRIMAVERA ROMANZO,13,Cosa rallegra la Contessa Elisa?,Lo spettacolo della folla festante,L'atmosfera gioiosa e il popolo festante
L'ULTIMA PRIMAVERA ROMANZO,13,Cosa propone Roberto alla Contessa Elisa?,Di accompagnarla a casa,Di scortarla fino alla sua abitazione
L'ULTIMA PRIMAVERA ROMANZO,13,La Contessa Elisa desidera rientrare subito a casa?,"No, non vuole rientrare subito","No, preferisce non tornare immediatamente"
,,,,
L'ULTIMA PRIMAVERA ROMANZO,14,Chi accompagna Elisa nel viale?,Roberto,L'uomo di nome Roberto
L'ULTIMA PRIMAVERA ROMANZO,14,Qual è il titolo nobiliare di Elisa?,Contessa,La Contessa
L'ULTIMA PRIMAVERA ROMANZO,14,Quale oggetto Roberto prende a Elisa e mette in tasca?,Il libro da messa,Un piccolo libro da messa
,,,,
L'ULTIMA PRIMAVERA ROMANZO,15,Qual è il legame di parentela tra Roberto e la Contessa?,È suo figlio,Roberto è il figlio della Contessa
L'ULTIMA PRIMAVERA ROMANZO,15,Quale luogo ricordano Roberto e la Contessa?,Boboli,I giardini di Boboli
L'ULTIMA PRIMAVERA ROMANZO,15,Per quale motivo Roberto aveva smesso di far visita alla Contessa?,Temeva di seccarla,Perché aveva paura di annoiarla
,,,,
L'ULTIMA PRIMAVERA ROMANZO,16,Chi propone Geri Serristano dopo aver parlato con Roberto?,Guido San Firmino,Il nome di Guido San Firmino
L'ULTIMA PRIMAVERA ROMANZO,16,Qual è la reazione della Duchessa alle parole di Sacha?,Si mostra contrariata e dice 'Non voglio',Aggrotta le ciglia e rifiuta con veemenza
L'ULTIMA PRIMAVERA ROMANZO,16,Cosa manderà Carisi il giorno seguente?,Manderà i secondi,Invierà i secondi
,,,,
L'ULTIMA PRIMAVERA ROMANZO,17,Chi invia il biglietto alla Contessa Elisa?,Roberto,Il signor Roberto
L'ULTIMA PRIMAVERA ROMANZO,17,Qual è il nome della Contessa menzionata nell'estratto?,Elisa,Contessa Elisa
L'ULTIMA PRIMAVERA ROMANZO,17,Chi sono le due donne che attendono insieme?,Marina ed Elisa,Elisa e Marina
,,,,
L'ULTIMA PRIMAVERA ROMANZO,18,Chi è in pericolo di morte?,Roberto,Il giovane Roberto
L'ULTIMA PRIMAVERA ROMANZO,18,Chi è la madre di Roberto?,Tecla,La signora Tecla
L'ULTIMA PRIMAVERA ROMANZO,18,Chi discute il modo di far ammazzare Roberto?,Serristano,Serristano e i suoi complici
,,,,
L'ULTIMA PRIMAVERA ROMANZO,19,Chi è il protagonista del battesimo d'armi?,Roberto,Bertino
L'ULTIMA PRIMAVERA ROMANZO,19,Dove si tiene il punch d'onore per Roberto?,Nell'appartamento di Roberto,In via dei Serragli
L'ULTIMA PRIMAVERA ROMANZO,19,Chi vieta le visite a Roberto il giorno dopo la festa?,Il medico,Il dottore
,,,,
L'ULTIMA PRIMAVERA ROMANZO,20,Qual era il ruolo di Elisa Serramonti per Rescuati?,Era la sua istitutrice e infermiera,"Prima istitutrice, poi infermiera di Rescuati"
L'ULTIMA PRIMAVERA ROMANZO,20,Chi difende Elisa Serramonti dalle insinuazioni di Speroni?,La madre di Marina Negroni e Ginevra,Ginevra e la madre di Marina Negroni
L'ULTIMA PRIMAVERA ROMANZO,20,Qual è il titolo di Ginevra?,Duchessa d'Accorsi,La Duchessa d'Accorsi
,,,,
L'ULTIMA PRIMAVERA ROMANZO,21,Come si chiama la Contessa?,Elisa,Si chiama Elisa
L'ULTIMA PRIMAVERA ROMANZO,21,Chi è Andrea per la Contessa Elisa?,Il suo domestico,Il vecchio domestico di Elisa
L'ULTIMA PRIMAVERA ROMANZO,21,Che tipo di appetito ha Roberto?,Tremendo,Un appetito tremendo
,,,,
L'ULTIMA PRIMAVERA ROMANZO,22,Chi sposerà Marina?,Enrico,Il suo sposo Enrico
L'ULTIMA PRIMAVERA ROMANZO,22,Chi era il marito di Elisa?,Il conte Serramonti,Al conte Serramonti
L'ULTIMA PRIMAVERA ROMANZO,22,Dove desidera tornare Enrico dopo il matrimonio?,In Germania,"Nel suo paese, la Germania"
,,,,
L'ULTIMA PRIMAVERA ROMANZO,23,Cosa chiese la Duchessa a Roberto?,Se si assentava,Se aveva intenzione di andarsene
L'ULTIMA PRIMAVERA ROMANZO,23,Cosa rispose Roberto alla Duchessa riguardo alla sua partenza?,Che sarebbe rimasto,Che non si sarebbe assentato
L'ULTIMA PRIMAVERA ROMANZO,23,Chi chiese la Duchessa di persuadere Elisa a rimanere?,Rescuati,Il personaggio di nome Rescuati
,,,,
L'ULTIMA PRIMAVERA ROMANZO,24,Elisa cercava di tenere Roberto lontano da sé in pubblico?,"Sì, lo faceva","Sì, cercava di allontanarlo"
L'ULTIMA PRIMAVERA ROMANZO,24,Dove si svolge la festa descritta nell'estratto?,In casa d'Accorsi,Nella dimora degli Accorsi
L'ULTIMA PRIMAVERA ROMANZO,24,Cosa fa Sacha Dzworoff dopo essere stato rimproverato da Elisa?,Chiede perdono,Si scusa con lei
,,,,
L'ULTIMA PRIMAVERA ROMANZO,25,Chi è la zia di Elisa?,Zia Balbina,Balbina
L'ULTIMA PRIMAVERA ROMANZO,25,Quanti anni ha Elisa?,Trentanove anni,39 anni
L'ULTIMA PRIMAVERA ROMANZO,25,Cosa suggerisce Zia Balbina a Elisa di fare?,Di rimaritarsi,Di sposarsi di nuovo
,,,,
L'ULTIMA PRIMAVERA ROMANZO,26,Perché Elisa è andata alle Celle?,In cerca di pace,Per trovare un rifugio
L'ULTIMA PRIMAVERA ROMANZO,26,Qual è il nome del luogo dove Elisa si è rifugiata?,Le Celle,Il convento delle Celle
L'ULTIMA PRIMAVERA ROMANZO,26,Cosa pensava zia Balbina dei sentimenti di Elisa per il 'bellimbusto'?,Non credeva che Elisa potesse avere sentimenti seri,Non ammetteva che la nipote potesse provare qualcosa di serio per lui
,,,,
L'ULTIMA PRIMAVERA ROMANZO,27,Dove si trova Elisa durante la sua malattia?,Alle Celle,Nel luogo chiamato Le Celle
L'ULTIMA PRIMAVERA ROMANZO,27,Come reagisce Roberto alla lettera che legge?,Prova dolore al cuore e all'amor proprio,Si sente ferito nel cuore e nell'orgoglio
L'ULTIMA PRIMAVERA ROMANZO,27,Quali sono le principali distrazioni di Elisa durante la sua malattia?,La vista dalla finestra e la posta,"L'orizzonte, i gelsomini e l'arrivo della posta"
,,,,
L'ULTIMA PRIMAVERA ROMANZO,28,A chi confessa Elisa il suo amore?,A Tecla,Alla madre di Roberto
L'ULTIMA PRIMAVERA ROMANZO,28,Quale sentimento confessa Elisa a Tecla?,Il suo amore per Roberto,Di amare Roberto
L'ULTIMA PRIMAVERA ROMANZO,28,Dove si trova Tecla durante la confessione di Elisa?,Nel suo stanzone da letto,Nel palazzo dove vive
,,,,
L'ULTIMA PRIMAVERA ROMANZO,29,Come si chiama il cocchiere della Contessa Serramonti?,Giacomo,Il cocchiere Giacomo
L'ULTIMA PRIMAVERA ROMANZO,29,Per quale evento la Contessa Serramonti si sta recando al Prato?,Per le Corse,Per le corse dei cavalli
L'ULTIMA PRIMAVERA ROMANZO,29,Qual è il nome di battesimo della Contessa Serramonti?,Elisa,La Contessa Elisa
,,,,
L'ULTIMA PRIMAVERA ROMANZO,30,Chi prese Roberto da Elisa?,Ginevra,Fu Ginevra
L'ULTIMA PRIMAVERA ROMANZO,30,Quale ruolo assunse Roberto dopo aver lasciato Elisa?,Divenne l'amico intimo di casa d'Accorsi,Fu l'amico intimo di casa d'Accorsi
L'ULTIMA PRIMAVERA ROMANZO,30,Chi salutò Elisa mentre era alla portiera?,La Duchessa,Fu la Duchessa
,,,,
