Book,ParagraphIndex,Question,AnswerA,AnswerB
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Che mestiere svolge Stefano?,L'occhialaio,Fa l'occhialaio
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Quali sono i nomi dei figli di Stefano?,"Arrigo, Luisa, Paolo e Anna Laura","I suoi figli si chiamano Arrigo, Luisa, Paolo e Anna Laura"
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Qual è il cognome di Stefano?,Del Ferrante,Il suo cognome è Del Ferrante
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Che mestiere fa Riotti?,Il farmacista,È un farmacista
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Qual è la professione di Ferrante?,L'occhialaio,È un occhialaio
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Perché Ferrante si reca da Riotti?,Per i debiti del figlio Stefano,Per chiedere denaro per i debiti del figlio
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Qual è la situazione di Arrigo?,Ha un guaio,Naviga in pessime acque
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Chi è Mamma Gilda?,Una vecchia prostituta,La tenutaria di Mercedes
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Quanto deve Mercedes a Mamma Gilda?,Cento cinquanta lire e il mese,150 lire e l'affitto del mese
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Chi è Riotti?,Il farmacista,Il proprietario della farmacia
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Qual è il rapporto tra Arrigo ed Eugenia?,Sono fidanzati,Arrigo è il fidanzato di Eugenia
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Perché Arrigo fu licenziato dalla banca?,Per la sua condotta e una rispostaccia al capo,Per aver risposto male al suo capo ufficio
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,5,"Cosa manda ""Egli"" a ""Ella"" ogni giorno?",Fiori,I fiori più belli e rari
COLEI CHE NON SI DEVE AMARE ROMANZO,5,"Perché ""Egli"" rinuncia a scrivere una lettera a ""Ella""?",Per la sua scarsa familiarità con il francese,Non si sentiva sicuro con lo stile e l'ortografia francese
COLEI CHE NON SI DEVE AMARE ROMANZO,5,"Dove si incontrano ""Ella"" ed ""Egli"" una sera in cui lei non canta?",Al teatro,Nello stesso teatro
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Chi fu uno dei primi a sostenere Arrigo nella sua ascesa sociale?,Totò Rígoli,"Totò Rígoli, che lo trattò familiarmente"
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Dove conduceva Arrigo la Ruskaia dopo il teatro?,In un ristorante famoso,In un noto ristorante cittadino
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Da dove proveniva Arrigo prima di entrare nel cuore della città?,Da una bottega umile e suburbana,Da una modesta bottega in periferia
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Chi ha incaricato il barone Silvestro di parlare con la Ruskaia?,Le nobili dame della beneficenza,Le dame della beneficenza
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Qual è la professione della Ruskaia?,È una cantante,Una cantante dalla voce d'oro
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Chi è la patronessa della festa di beneficenza?,Donna Claudia del Borgo,La signora Claudia del Borgo
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Chi è l'amante perduta di Arrigo?,Tatiana,La sua ex amante Tatiana
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Chi vigila su Arrigo e Tatiana?,Il barone Silvestro,Silvestro
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Cosa regala Arrigo a Tatiana?,Un mazzo di violette,Delle violette di Parma
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Perché Arrigo visita la sua famiglia?,Per curiosità di rivedere i parenti e sapere l'effetto della sua dichiarazione di fidanzamento.,Per rivedere i parenti e conoscere la reazione alla sua dichiarazione di fidanzamento.
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Qual è l'atteggiamento di Loretta verso il matrimonio?,Non vuole sposarsi.,Rifiuta ogni proposta di matrimonio.
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Dove pranza abitualmente la famiglia?,Nella piccola retrobottega.,Nella retrobottega della casa.
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Chi è Lora per Arrigo?,Sua sorella,La sorella di Arrigo
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Quante stanze ha l'appartamento di Arrigo?,Sei stanze,Sei camere
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Il domestico di Arrigo dorme nel suo appartamento?,No,Non dorme nell'appartamento
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Qual è il piano proposto dall'uomo alla fanciulla?,Farla sposare,Tentare di farla sposare
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Come intende l'uomo far sposare la fanciulla al terzo personaggio?,Facendogli credere che lei sia sua sorella,Lasciandogli intendere che è sua sorella
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Cosa chiede la fanciulla all'uomo?,Di aiutarla e consigliarla,Il suo aiuto e i suoi consigli
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Qual è l'opinione della sorella riguardo al conservarsi oneste per sé stesse?,Lo trova noioso,Lo considera senza merito né tornaconto
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Qual era il sentimento della sorella verso Rafa?,Non le piaceva come uomo,Non provava attrazione per lui
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Come reagisce il fratello alla franchezza della sorella?,Si mette a ridere,La apprezza per la sua schiettezza
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Chi accompagna Lora a teatro?,Suo fratello,Il fratello di Lora
COLEI CHE NON SI DEVE AMARE ROMANZO,13,A quale opera assistono Lora e suo fratello?,La Carmen,L'opera Carmen
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Chi è la cuginetta di donna Claudia del Borgo?,Isabella Ventamura,La piccola Isabella Ventamura
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Chi sono i due personaggi principali presenti nella scena?,Loretta e il suo compagno,Loretta e l'uomo con lei
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Come viene descritto il sentimento che lega Loretta e l'uomo?,Un amore colpevole,Un amore illecito
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Cosa ha bevuto Loretta che le ha causato stanchezza e un turbinio in testa?,Champagne,Dello Sciampagna
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Chi si reca a prendere Loretta?,Arrigo,Il personaggio di Arrigo
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Per cosa la madre di Loretta rimprovera Arrigo?,Per i troppi vizi che dà a Loretta,Per viziare Loretta con teatri e cene
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Che relazione ha Paolo con Loretta?,È suo fratello,Il fratello di Loretta
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Chi sono i due personaggi principali che viaggiano insieme?,Loretta e Arrigo,Arrigo e sua sorella Loretta
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Dove si fermano Arrigo e Loretta per pranzare?,In un ristorante con giardino,In un locale con pergolato fiorito
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Che legame di parentela c'è tra Arrigo e Loretta?,Sono fratello e sorella,Arrigo è il fratello di Loretta
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Qual è la relazione tra Rigo e la donna che è con lui?,Sono amanti,Sono legati da amore
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Verso quale luogo si stanno dirigendo Rigo e la sua amante?,Verso la città,Verso il dazio monumentale
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Quale sentimento pervade Rigo e la sua amante alla fine del capitolo?,La colpa,Un senso di colpa
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Come si chiama la donna che parla con l'uomo?,Clara,Si chiama Clara
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Qual è il rapporto tra Clara e l'uomo?,Sono in una relazione sentimentale,Hanno un profondo legame affettivo
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Qual era la condizione economica di Clara in passato?,Era ricca,Possedeva molta ricchezza
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,19,"Quale evento stanno per vedere Arrigo, Loretta e Rafa?",Una corsa di cavalli,Le corse ippiche
COLEI CHE NON SI DEVE AMARE ROMANZO,19,Qual è il legame di parentela tra Arrigo e Loretta?,Sono fratello e sorella,Arrigo è il fratello di Loretta
COLEI CHE NON SI DEVE AMARE ROMANZO,19,Qual era la professione del padre di Arrigo?,Era un occhialaio,Faceva l'occhialaio
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,20,Chi è il personaggio che chiede a Loretta di seguirlo in automobile?,Rafa,Il personaggio di nome Rafa
COLEI CHE NON SI DEVE AMARE ROMANZO,20,Chi ha visitato Loretta il giorno prima?,Arrigo,Il fratello Arrigo
COLEI CHE NON SI DEVE AMARE ROMANZO,20,Qual è la reazione di Arrigo quando Loretta menziona Rafa?,Non vuole sentirne parlare,Le dice di farne ciò che vuole
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,21,Chi è il personaggio che sta per partire?,Arrigo,Il signor Arrigo
COLEI CHE NON SI DEVE AMARE ROMANZO,21,Qual è il legame di parentela tra Arrigo e la ragazza?,Sono fratello e sorella,Sono fratelli
COLEI CHE NON SI DEVE AMARE ROMANZO,21,Quando Arrigo ha intenzione di partire?,Domani,Il giorno seguente
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,22,Dove si trovano l'uomo e la donna?,Sull'acqua,In una barca
COLEI CHE NON SI DEVE AMARE ROMANZO,22,Cosa fanno l'uomo e la donna nella barca?,Si baciano,Si scambiano baci
COLEI CHE NON SI DEVE AMARE ROMANZO,22,Qual è il sentimento tra l'uomo e la donna?,Amore,Passione
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,23,Cosa immagina l'uomo che Lora stia facendo?,Si sta spogliando,Si sta preparando per coricarsi
COLEI CHE NON SI DEVE AMARE ROMANZO,23,Dove si trova Lora quando l'uomo la raggiunge?,Sul terrazzo,Sul terrazzo del primo piano
COLEI CHE NON SI DEVE AMARE ROMANZO,23,Cosa chiede l'uomo a Lora quando la trova sul terrazzo?,Perché non si è spogliata,Perché non si è ancora coricata
,,,,
