Book,ParagraphIndex,Question,AnswerA,AnswerB
Le_avventure_di_pinocchio,1,Chi trova il pezzo di legno parlante?,Maestro Ciliegia,Il falegname Maestro Ciliegia
Le_avventure_di_pinocchio,1,A chi regala Maestro Ciliegia il pezzo di legno?,A Geppetto,Al suo amico Geppetto
Le_avventure_di_pinocchio,1,Qual è il soprannome di Geppetto?,Polendina,Il soprannome Polendina
,,,,
Le_avventure_di_pinocchio,2,Perché Geppetto vuole costruire un burattino?,Per girare il mondo e guadagnarsi da vivere,Per procurarsi cibo e bevande viaggiando
Le_avventure_di_pinocchio,2,Chi è la 'solita vocina' che chiama Geppetto 'Polendina'?,È Pinocchio,È il burattino Pinocchio
Le_avventure_di_pinocchio,2,Qual è la professione di Mastr'Antonio?,È un falegname,Fa il falegname
,,,,
Le_avventure_di_pinocchio,3,Chi acciuffa Pinocchio?,Il carabiniere,Un carabiniere
Le_avventure_di_pinocchio,3,Perché Geppetto vuole correggere Pinocchio?,Per il suo comportamento ribelle,Per la sua disobbedienza
Le_avventure_di_pinocchio,3,Dove viene condotto Geppetto dal carabiniere?,In prigione,Nel carcere
,,,,
Le_avventure_di_pinocchio,4,Cosa dà Geppetto a Pinocchio da mangiare quando ha fame?,Tre pere,Le sue tre pere
Le_avventure_di_pinocchio,4,Cosa si rifiuta di mangiare Pinocchio all'inizio delle pere?,Le bucce e i torsoli,Le bucce e i torsoli delle pere
Le_avventure_di_pinocchio,4,"Cosa mangia Pinocchio dopo aver finito le pere, essendo ancora affamato?",Una buccia di pera,Una delle bucce che aveva scartato
,,,,
Le_avventure_di_pinocchio,5,Cosa fa Pinocchio con l'Abbecedario?,Lo vende,Lo vende per andare al teatro dei burattini
Le_avventure_di_pinocchio,5,Per cosa Geppetto ha fatto sacrifici per Pinocchio?,Per comprargli i libri,Per fargli comprare i libri e istruirsi
Le_avventure_di_pinocchio,5,Dove decide di andare Pinocchio invece che a scuola?,A sentire i pifferi,Al teatro dei burattini
,,,,
Le_avventure_di_pinocchio,6,Come si chiama il burattinaio che vuole bruciare Pinocchio?,Mangiafuoco,Il burattinaio Mangiafuoco
Le_avventure_di_pinocchio,6,Cosa vuole fare Mangiafuoco a Pinocchio?,Vuole bruciarlo,Vuole usarlo come legna da ardere
Le_avventure_di_pinocchio,6,Chi porta Pinocchio in cucina da Mangiafuoco?,Arlecchino e Pulcinella,I burattini Arlecchino e Pulcinella
,,,,
Le_avventure_di_pinocchio,7,Chi incontra Pinocchio per la strada?,La Volpe e il Gatto,Una Volpe zoppa e un Gatto cieco
Le_avventure_di_pinocchio,7,Cosa vuole comprare Pinocchio per Geppetto?,Una casacca nuova,Una nuova casacca d'oro e d'argento
Le_avventure_di_pinocchio,7,Cosa vuole comprare Pinocchio per sé stesso?,Un Abbecedario,Un libro per andare a scuola
,,,,
Le_avventure_di_pinocchio,8,Dove devono incontrare Pinocchio la Volpe e il Gatto?,Al Campo dei miracoli,Nel Campo dei miracoli
Le_avventure_di_pinocchio,8,Chi dice a Pinocchio che la Volpe e il Gatto sono partiti?,L'oste,Il padrone dell'osteria
Le_avventure_di_pinocchio,8,"Chi paga la cena di Pinocchio, della Volpe e del Gatto?",Pinocchio,Il burattino Pinocchio
,,,,
Le_avventure_di_pinocchio,9,Chi salva Pinocchio dall'impiccagione?,La Fata dai capelli turchini,La bella Bambina dai capelli turchini
Le_avventure_di_pinocchio,9,Come si chiama il Can-barbone della Fata?,Medoro,Il Can-barbone Medoro
Le_avventure_di_pinocchio,9,Su quale albero viene impiccato Pinocchio?,Sulla Quercia grande,A un ramo della Quercia grande
,,,,
Le_avventure_di_pinocchio,10,Di cosa è malato Pinocchio?,Di un febbrone,Di una febbre molto alta
Le_avventure_di_pinocchio,10,Chi sono due dei medici che visitano Pinocchio?,Il Corvo e la Civetta,La Civetta e il Corvo
Le_avventure_di_pinocchio,10,Cosa chiede Pinocchio alla Fata prima di bere la medicina?,Una pallina di zucchero,Dello zucchero
,,,,
Le_avventure_di_pinocchio,11,Che cosa manca al Gatto?,Uno zampetto anteriore,La sua zampa destra davanti
Le_avventure_di_pinocchio,11,Dove ha speso Pinocchio una delle sue monete d'oro?,All'osteria del Gambero rosso,Presso l'osteria del Gambero rosso
Le_avventure_di_pinocchio,11,Dove suggerisce la Volpe a Pinocchio di seminare le monete d'oro?,Nel Campo dei miracoli,Al Campo dei miracoli
,,,,
Le_avventure_di_pinocchio,12,Perché Pinocchio fu liberato dalla prigione?,Perché si dichiarò un malandrino,Perché affermò di essere un malandrino
