Book,ParagraphIndex,Question,AnswerA,AnswerB
RAGGIO DI DIO ROMANZO,1,Chi è il gastaldo del signore di Gioiosa Guardia?,Don Garcìa,Lo spagnolo Don Garcìa
RAGGIO DI DIO ROMANZO,1,Come si chiama la donna salvata e diventata contessa?,Giovanna del Fiesco,La contessa Giovanna del Fiesco
RAGGIO DI DIO ROMANZO,1,Qual è il nome del frate spagnolo compagno di Don Garcìa?,Frate Alessandro,Alessandro
,,,,
RAGGIO DI DIO ROMANZO,2,Qual è il nome della regina di Xaragua?,Honorata,Honorata di Wan Guld
RAGGIO DI DIO ROMANZO,2,Come si chiama il gentiluomo marinaio che adora la regina di Xaragua?,Emilio di Roccabruna,Il Corsaro Nero
RAGGIO DI DIO ROMANZO,2,Qual è il nome del castello dove vive il Corsaro Nero?,Gioiosa Guardia,La rocca di Gioiosa Guardia
,,,,
RAGGIO DI DIO ROMANZO,3,Di cosa trattano i 'commentarii di Cesare' menzionati nell'estratto?,Delle vicende accadute alle Indie,Degli eventi svoltisi nelle Indie
RAGGIO DI DIO ROMANZO,3,Dove sono situati i giardini di Gioiosa Guardia?,Sui bastioni della rocca,"In cima alla rocca, sui bastioni"
RAGGIO DI DIO ROMANZO,3,Chi è il personaggio che legge i capitoli della storia ai presenti?,Il capitano,Il narratore dei capitoli
,,,,
RAGGIO DI DIO ROMANZO,4,Di cosa scrive Bartolomeo Fiesco?,Dei suoi viaggi,Delle sue esperienze di viaggio
RAGGIO DI DIO ROMANZO,4,Qual è il nome completo di Passano?,Giovanni Passano,Il suo nome è Giovanni Passano
RAGGIO DI DIO ROMANZO,4,Chi era il regio governatore di cui era luogotenente messer Giacomo Fouchesolts?,Monsignor Filippo di Cleves,Filippo di Cleves
,,,,
RAGGIO DI DIO ROMANZO,5,Come si chiama il Signor Almirante?,Cristoforo Colombo,L'Ammiraglio Cristoforo Colombo
RAGGIO DI DIO ROMANZO,5,Chi sono i Porras che guidano la ribellione contro l'Almirante?,I fratelli Porras,Francisco e Diego Porras
RAGGIO DI DIO ROMANZO,5,Qual era il ruolo di Francesco Roldano prima della sua ribellione contro l'Almirante?,Era l'alcalde maggiore,Era il capo della giustizia
,,,,
RAGGIO DI DIO ROMANZO,6,Qual è il titolo nobiliare di Fiesco?,Conte di Lavagna,Il Conte di Lavagna
RAGGIO DI DIO ROMANZO,6,Qual è il legame tra Filippino e Fiesco?,Filippino è un protetto di Fiesco,Fiesco protegge Filippino
RAGGIO DI DIO ROMANZO,6,In quale regione si trovano le terre di Fiesco?,In Liguria,Nella regione della Liguria
,,,,
RAGGIO DI DIO ROMANZO,7,Quale pretesto usò Gian Aloise Fiesco per opporsi al soccorso di Pisa nel Senato genovese?,Affermò che era necessario il beneplacito del re Luigi.,Sostenne che non si poteva agire senza l'approvazione del re Cristianissimo.
RAGGIO DI DIO ROMANZO,7,Quali erano le due principali fazioni nobiliari che si contendevano il potere a Genova?,"Le famiglie dei Fieschi e dei Grimaldi da un lato, e dei Doria e degli Spinola dall'altro.","I Fieschi e i Grimaldi, contrapposti ai Doria e agli Spinola."
RAGGIO DI DIO ROMANZO,7,Quale strategia adottò Gian Aloise Fiesco per manipolare la decisione del re Luigi e l'opinione dei Pisani?,Inviò lettere al re tramite un fidato e propose ai Pisani il suo aiuto personale.,Cercò di influenzare il re Luigi con missive e di guadagnare i Pisani offrendo il proprio sostegno.
,,,,
RAGGIO DI DIO ROMANZO,8,Dove intende Bartolomeo Fiesco rientrare?,A Gioiosa Guardia,Nella sua dimora di Gioiosa Guardia
RAGGIO DI DIO ROMANZO,8,Come si chiama la moglie di Bartolomeo Fiesco?,Caterina del Carretto,Caterina del Carretto nei Fieschi
RAGGIO DI DIO ROMANZO,8,Come si chiama il cavallo di Bartolomeo Fiesco?,Talavera,Il ronzino Talavera
,,,,
RAGGIO DI DIO ROMANZO,9,Qual è il legame di parentela tra Madonna Bianchinetta e Fior d'oro?,Fior d'oro è la nuora di Madonna Bianchinetta.,Madonna Bianchinetta è la suocera di Fior d'oro.
RAGGIO DI DIO ROMANZO,9,Con quale altro nome o titolo è conosciuta Fior d'oro nell'estratto?,Fior d'oro è anche chiamata Contessa Juana.,Il titolo di Contessa Juana si riferisce a Fior d'oro.
RAGGIO DI DIO ROMANZO,9,"Cosa ha spinto il capitano, figlio di Madonna Bianchinetta, a mettere il cervello a partito?",Il capitano si è stabilizzato grazie all'amore per Fior d'oro.,I belli occhi di Fior d'oro hanno convinto il capitano a mettere il cervello a partito.
,,,,
RAGGIO DI DIO ROMANZO,10,Qual è il legame di parentela tra il capitano Fiesco e Fior d'oro?,Sono marito e moglie,Fior d'oro è la sposa del capitano Fiesco
RAGGIO DI DIO ROMANZO,10,"Chi è il ""grand'uomo"" la cui sorte preoccupa messer Nicolò e messer Bartolomeo?",È Andrea Doria,Si tratta di Andrea Doria
RAGGIO DI DIO ROMANZO,10,Chi è il messaggero incaricato di consegnare la lettera al destinatario?,Battistino di Certénoli,È Battistino di Certénoli
,,,,
RAGGIO DI DIO ROMANZO,11,Chi è l'Adelantado menzionato nell'estratto?,Cristoforo Colombo,Colombo
RAGGIO DI DIO ROMANZO,11,Dove approdò l'Adelantado dopo il suo viaggio attraverso l'Atlantico?,A San Lucar di Barrameda,Nel porto di San Lucar di Barrameda
RAGGIO DI DIO ROMANZO,11,Chi prese possesso dei beni dell'Adelantado a San Domingo?,Bovadilla,Il governatore Bovadilla
,,,,
RAGGIO DI DIO ROMANZO,12,In quale città spagnola risiede Cristoforo Colombo nel 1506?,A Segovia,Nella città di Segovia
