Book,ParagraphIndex,Question,AnswerA,AnswerB
LODOVICO IL MORO,1,Qual era il titolo di Lodovico Sforza?,Duca di Milano,Il Duca di Milano
LODOVICO IL MORO,1,Cosa fondò Lodovico a Milano per le arti e le lettere?,Un'Accademia,L'Accademia di Milano
LODOVICO IL MORO,1,Quale albero scelse Lodovico come simbolo del suo stemma?,L'albero moro,Il gelso
,,,,
LODOVICO IL MORO,2,Quale fu il destino di Isabella d'Aragona dopo le nozze?,Fu costretta a lasciare Milano dopo la morte del marito,Tornò a Napoli dopo la scomparsa di Gian Galeazzo
LODOVICO IL MORO,2,Quale fu il rapporto di potere tra Gian Galeazzo Sforza e suo zio Lodovico il Moro?,Lodovico il Moro esercitò il potere effettivo come reggente,Gian Galeazzo Sforza fu un duca nominale sotto la tutela dello zio
LODOVICO IL MORO,2,Lodovico il Moro divenne mai Duca di Milano a pieno titolo?,"Sì, usurpò il titolo dopo la morte del nipote Gian Galeazzo",Assunse il ducato di Milano in seguito alla scomparsa di Gian Galeazzo Sforza
,,,,
LODOVICO IL MORO,3,Qual era il ruolo di Lodovico il Moro a Milano al tempo delle sue nozze?,Era il reggente del Ducato di Milano,Era il signore di fatto di Milano
LODOVICO IL MORO,3,Chi sposò Lodovico il Moro all'inizio del 1491?,Beatrice d'Este,La principessa Beatrice d'Este
LODOVICO IL MORO,3,In quale città si svolsero le nozze di Lodovico il Moro e Beatrice d'Este?,A Milano,Nella città di Milano
,,,,
LODOVICO IL MORO,4,Chi erano gli sposi principali celebrati dalle feste nuziali?,Isabella e il Duca di Milano,Il Duca di Milano e Isabella
LODOVICO IL MORO,4,Quale ambizione nutriva Lodovico?,Desiderava il ducato di Milano,Vagheggiava il berretto ducale di Milano
LODOVICO IL MORO,4,Tra quali donne sorse una funesta discordia?,Tra Isabella e Beatrice d'Este,Tra Beatrice d'Este e Isabella
,,,,
LODOVICO IL MORO,5,Gian-Galeazzo ha continuato a governare il Ducato di Milano?,"No, non ha mantenuto il potere",È stato esautorato dal governo
LODOVICO IL MORO,5,Lodovico il Moro è diventato Duca di Milano?,"Sì, ha assunto il titolo",È salito al potere come Duca
LODOVICO IL MORO,5,Qual è stato il destino finale della duchessa Isabella d'Aragona?,È stata allontanata da Milano,Ha lasciato la corte milanese
,,,,
LODOVICO IL MORO,6,Come si chiama il Duca di Bari?,Ludovico Sforza,Ludovico il Moro
LODOVICO IL MORO,6,Qual è il nome del figlio di Isabella e Gian-Galeazzo?,Francesco,Francesco Sforza
LODOVICO IL MORO,6,In quale castello vive Isabella?,Nel Castello Sforzesco,Nel Castello di Milano
,,,,
LODOVICO IL MORO,7,Chi è il marito di Isabella?,Gian-Galeazzo,Il Duca Gian-Galeazzo
LODOVICO IL MORO,7,A chi scrive Isabella la lettera segreta?,Al padre,A suo padre
LODOVICO IL MORO,7,Qual è il legame di parentela tra Lodovico e Gian-Galeazzo?,Lodovico è lo zio di Gian-Galeazzo,Sono zio e nipote
,,,,
LODOVICO IL MORO,8,Qual è il legame di parentela tra Lodovico e Gian-Galeazzo?,Sono zio e nipote,Lodovico è lo zio di Gian-Galeazzo
LODOVICO IL MORO,8,Qual è il nome completo della Duchessa Isabella?,Isabella d'Aragona,La Duchessa si chiama Isabella d'Aragona
LODOVICO IL MORO,8,Cosa consiglia la moglie a Lodovico di fare riguardo alla sovranità di Gian-Galeazzo?,Di togliergli la sovranità,Di usurpare la sovranità di Gian-Galeazzo
,,,,
LODOVICO IL MORO,9,Quale posizione di potere ambisce Lodovico?,L'impero,Il controllo dello stato
LODOVICO IL MORO,9,Chi è la Duchessa che spaventa Lodovico?,Isabella d'Aragona,La duchessa Isabella
LODOVICO IL MORO,9,Quale sovrano necessita spesso di denaro per le sue alleanze?,Massimiliano,Il Re dei Romani Massimiliano
,,,,
LODOVICO IL MORO,10,Chi era il Duca di Bari?,Lodovico Sforza,Il Moro
LODOVICO IL MORO,10,Qual era il rapporto di parentela tra Gian-Galeazzo e Lodovico Sforza?,Gian-Galeazzo era il nipote di Lodovico,Lodovico era lo zio di Gian-Galeazzo
LODOVICO IL MORO,10,Con quale re straniero si alleò Lodovico Sforza per contrastare gli Aragonesi?,Con Carlo VIII di Francia,Con il re di Francia Carlo VIII
,,,,
LODOVICO IL MORO,11,Quale città intendeva conquistare Carlo VIII con la sua spedizione in Italia?,Napoli,La città di Napoli
LODOVICO IL MORO,11,Con quale nome era conosciuto il Duca di Bari?,Lodovico il Moro,Il Moro
LODOVICO IL MORO,11,Chi era la rivale di Isabella menzionata nell'estratto?,Beatrice d'Este,La duchessa Beatrice d'Este
,,,,
LODOVICO IL MORO,12,Qual era l'obiettivo principale della spedizione di Carlo?,La conquista del Regno di Napoli,Assoggettare il Reame di Napoli
LODOVICO IL MORO,12,Chi convinse il Re a proseguire la sua impresa in Italia?,Lodovico il Moro,Il Moro
LODOVICO IL MORO,12,Qual era il nome del Re che intraprese la spedizione in Italia?,Carlo,Carlo VIII
,,,,
LODOVICO IL MORO,13,Qual è il nome completo dello storico francese Comines?,Philippe de Comines,Filippo de Comines
LODOVICO IL MORO,13,Qual è il ruolo di Corio nel libro?,È la guida di Comines,È l'informatore di Comines sulle usanze milanesi
LODOVICO IL MORO,13,In quale città si trovano Comines e Corio?,A Milano,Nella città di Milano
,,,,
