Book,ParagraphIndex,Question,AnswerA,AnswerB
IL PRINCIPE DELLA MARSILIANA,1,Qual è il ruolo di Fabio Rosati per il principe della Marsiliana?,È il suo segretario,Svolge la funzione di segretario per lui
IL PRINCIPE DELLA MARSILIANA,1,Come si chiama l'osteria di sor Domenico?,Si chiama Muzio Scevola,È l'osteria Muzio Scevola
IL PRINCIPE DELLA MARSILIANA,1,Qual è la condizione per ottenere i voti del Trastevere?,La principessa deve accompagnare il principe,Il principe deve presentarsi con la principessa
,,,,
IL PRINCIPE DELLA MARSILIANA,2,Chi è Don Pio Urbani?,Il principe della Marsiliana,Un candidato alle elezioni
IL PRINCIPE DELLA MARSILIANA,2,Cosa suggerisce Caruso a Don Pio per ottenere i voti?,Di promettere la stazione in Trastevere,La promessa della stazione in Trastevere
IL PRINCIPE DELLA MARSILIANA,2,Qual è la professione di sor Domenico?,È l'oste,L'oste della locanda
,,,,
IL PRINCIPE DELLA MARSILIANA,3,Qual è l'idea del principe della Marsiliana che genera entusiasmo?,La stazione in Trastevere,L'idea di costruire una stazione nel Trastevere
IL PRINCIPE DELLA MARSILIANA,3,Qual è la posizione di Caruso riguardo al giornalismo?,Ha abbandonato il giornalismo,Non fa più parte della 'grande famiglia' del giornalismo
IL PRINCIPE DELLA MARSILIANA,3,Cosa pensa Caruso del principe della Marsiliana?,Lo considera una nullità,Non gli ispira entusiasmo e lo crede una nullità
,,,,
IL PRINCIPE DELLA MARSILIANA,4,Chi è la madre di Pio?,La duchessa,Sua madre è la duchessa
IL PRINCIPE DELLA MARSILIANA,4,Dove si è svolta la cena menzionata?,A Trastevere,Nel rione di Trastevere
IL PRINCIPE DELLA MARSILIANA,4,Cosa ha promesso Pio agli abitanti di Trastevere?,Di spostare la stazione ferroviaria,Di far trasportare la stazione ferroviaria nel loro rione
,,,,
IL PRINCIPE DELLA MARSILIANA,5,Qual è il nome del giornale che Fabio suggerisce di comprare?,La Stampa,Il giornale La Stampa
IL PRINCIPE DELLA MARSILIANA,5,Cosa vuole la duchessa madre per suo figlio?,Che sia eletto,La sua elezione
IL PRINCIPE DELLA MARSILIANA,5,Quale idea suggerisce Fabio come base per l'elezione del principe?,La stazione in Trastevere,L'idea della stazione in Trastevere
,,,,
IL PRINCIPE DELLA MARSILIANA,6,Che mestiere fa il Caruso?,È un giornalista,Svolge la professione di giornalista
IL PRINCIPE DELLA MARSILIANA,6,Qual è il legame tra la duchessa Teresa e Don Pio?,È sua madre,La duchessa Teresa è la madre di Don Pio
IL PRINCIPE DELLA MARSILIANA,6,Cos'è il Fieramosca?,È un giornale,Un quotidiano che attacca il principe
,,,,
IL PRINCIPE DELLA MARSILIANA,7,Chi è il nuovo direttore del giornale La Stampa?,Ubaldo Caruso,Caruso
IL PRINCIPE DELLA MARSILIANA,7,Qual è l'obiettivo politico di don Pio?,Essere eletto ministro,Diventare ministro
IL PRINCIPE DELLA MARSILIANA,7,Chi è la 'bestia nera' di Fabio?,Ubaldo Caruso,Caruso
,,,,
IL PRINCIPE DELLA MARSILIANA,8,Dove si trasferirono Ubaldo e Maria dopo aver lasciato Venezia?,A Milano,Nella città di Milano
IL PRINCIPE DELLA MARSILIANA,8,Quale giornale divenne di proprietà di Ubaldo?,La Gazzetta di Lombardia,Il quotidiano 'Gazzetta di Lombardia'
