Book,ParagraphIndex,Question,AnswerA,AnswerB
La_sagra_del_delitto,1,Chi ha affittato la dimora Chimneys?,Sir Oswald,Sir Oswald Coote
La_sagra_del_delitto,1,Qual è il ruolo di Mac Donald a Chimneys?,È il capo giardiniere,Dirige i giardinieri della proprietà
La_sagra_del_delitto,1,Come si sente Lady Coote riguardo alla numerosa servitù?,Si sente sola,Si sente come una naufraga
,,,,
La_sagra_del_delitto,2,"Chi stanno cercando di svegliare James, Bill e Ronny?",Gerald,Gerald Wade
La_sagra_del_delitto,2,Chi suggerisce l'uso di una sveglia per svegliare Gerald?,Bateman,Il personaggio Bateman
La_sagra_del_delitto,2,Dove decidono di andare Bill e Ronny per comprare le sveglie?,A Market Basing,Nella località di Market Basing
,,,,
La_sagra_del_delitto,3,Che gioco stanno giocando Sir Oswald e Lady Coote?,Il bridge,Il gioco del bridge
La_sagra_del_delitto,3,Chi è la moglie di Sir Oswald?,Lady Coote,Mary Coote
La_sagra_del_delitto,3,Chi critica il modo di giocare a bridge di Lady Coote?,Sir Oswald,Suo marito Sir Oswald
,,,,
La_sagra_del_delitto,4,Chi è la persona di cui Ronny annuncia la morte a Loraine Wade?,Gerald,L'uomo di nome Gerald
La_sagra_del_delitto,4,"Dove si trovavano Ronny Devereux, James Thesiger e Gerald prima di questo incontro?",A Chimneys,Nel luogo chiamato Chimneys
La_sagra_del_delitto,4,Come si chiama la ragazza a cui Ronny Devereux e James Thesiger portano la cattiva notizia?,Loraine Wade,La signorina Loraine Wade
,,,,
La_sagra_del_delitto,5,Qual è il ruolo di Mac Donald?,È l'imperatore dei giardinieri,È il capo giardiniere
La_sagra_del_delitto,5,Chi è morto a causa dell'affare delle sveglie?,Wade,Il povero Wade
La_sagra_del_delitto,5,Chi è rimasta sconvolta per l'affare delle sveglie?,Lady Coote,La signora Coote
,,,,
La_sagra_del_delitto,6,Dove spera Bundle di trovare animazione?,In città,Nella città
La_sagra_del_delitto,6,Perché Lord Caterham non va in auto con Bundle?,Perché Bundle ha fretta,Perché Bundle guida con fretta
