Book,ParagraphIndex,Question,AnswerA,AnswerB
IL PASSAGGIO ROMANZO,1,Come si chiama la narratrice del brano?,Il suo nome è Eleonora,Si chiama Eleonora
IL PASSAGGIO ROMANZO,1,Quali sono i nomi dei genitori della narratrice?,Si chiamano Sofia e Marco,I nomi dei genitori sono Sofia e Marco
IL PASSAGGIO ROMANZO,1,In quale città si trova la narratrice durante la notte della sua rivelazione?,A Lione,Nella città di Lione
,,,,
IL PASSAGGIO ROMANZO,2,Come si chiama la narratrice del testo?,Rina,Il nome della narratrice è Rina
IL PASSAGGIO ROMANZO,2,Quale fu la natura dell'evento che portò Rina a essere odiata da molti?,Un grave scandalo sociale,Una profonda crisi personale e pubblica
IL PASSAGGIO ROMANZO,2,Qual era il ruolo principale del padre di Rina nella sua vita?,Era il suo principale mentore,Una figura di riferimento intellettuale
,,,,
IL PASSAGGIO ROMANZO,3,Come si chiama il figlio della narratrice?,Il figlio si chiama Marco,Marco è il nome del figlio
IL PASSAGGIO ROMANZO,3,Qual è il nome della madre che racconta la storia?,La narratrice si chiama Elena,Elena è il nome della narratrice
IL PASSAGGIO ROMANZO,3,Qual è la causa della separazione tra la narratrice e suo figlio?,Il figlio è morto a causa di una malattia,Una malattia ha causato la morte del figlio
,,,,
IL PASSAGGIO ROMANZO,4,Quale decisione cruciale prende la protagonista riguardo al suo matrimonio?,Decide di lasciare il marito,Si separa dal coniuge
IL PASSAGGIO ROMANZO,4,Quale difficile scelta compie la protagonista in relazione a suo figlio?,Lascia il figlio con il padre,Abbandona il bambino
IL PASSAGGIO ROMANZO,4,Qual è la causa principale della malinconia del poeta amato dalla protagonista?,Soffre per una donna che lo ha lasciato,È addolorato per la fine di una relazione precedente
,,,,
IL PASSAGGIO ROMANZO,5,Come si chiama la narratrice?,Si chiama Anna,Il suo nome è Anna
IL PASSAGGIO ROMANZO,5,Qual è il nome dell'uomo amato dalla narratrice?,Si chiama Marco,Il suo nome è Marco
IL PASSAGGIO ROMANZO,5,Come si chiama il figlio della narratrice?,Si chiama Pietro,Il suo nome è Pietro
,,,,
IL PASSAGGIO ROMANZO,6,Perché Felice non cercò la narratrice dopo la sua confessione crudele?,Fu profondamente scosso dalla confessione e si allontanò.,La confessione lo ferì e decise di non cercarla più.
IL PASSAGGIO ROMANZO,6,Come si chiama il figlio della narratrice?,Il suo nome è Marco.,Si chiama Marco.
IL PASSAGGIO ROMANZO,6,Qual era il motivo del viaggio della narratrice a Firenze?,Era a Firenze per un'improvvisa eredità familiare.,Il suo viaggio a Firenze era dovuto a una questione di successione inattesa.
,,,,
IL PASSAGGIO ROMANZO,7,Qual è l'obiettivo principale della protagonista riguardo alla sua vita?,Prendere da sola il timone della sua sorte,Assumere la coscienza della sua libertà
IL PASSAGGIO ROMANZO,7,Chi è il bambino che chiama la protagonista 'Mamma'?,Il figlio della protagonista,Il suo bambino
IL PASSAGGIO ROMANZO,7,Dove si trova la casa solinga descritta dalla protagonista?,Presso una pineta vicino a Roma,In una pineta sui declivi verso Roma
,,,,
IL PASSAGGIO ROMANZO,8,Qual è il destino di Felice?,Felice muore,Felice perde la vita
IL PASSAGGIO ROMANZO,8,Andrea scopre il segreto della narratrice?,"Sì, Andrea lo scopre","Sì, Andrea viene a conoscenza del segreto"
IL PASSAGGIO ROMANZO,8,La narratrice si unisce a Felice?,"Sì, la narratrice si unisce a lui","Sì, la narratrice riesce a stare con Felice"
,,,,
IL PASSAGGIO ROMANZO,9,Qual è il vero nome della narratrice?,Vittoria,Il suo nome è Vittoria
IL PASSAGGIO ROMANZO,9,Come si chiama l'uomo amato dalla narratrice?,Andrea,Si chiama Andrea
IL PASSAGGIO ROMANZO,9,In quale città si svolge la maggior parte della vicenda?,A Roma,Nella città di Roma
,,,,
IL PASSAGGIO ROMANZO,10,Che tipo di relazione lega la narratrice ad Andrea?,Una relazione di profonda cura e devozione.,Un legame di sostegno e affetto reciproco.
IL PASSAGGIO ROMANZO,10,Cosa accade l'ultima volta che la narratrice e Felice si incontrano?,Si separano definitivamente.,È il giorno del loro addio.
IL PASSAGGIO ROMANZO,10,Qual è il significato del 'secondo battesimo' per la narratrice?,Rappresenta una rinascita spirituale.,Simboleggia una profonda trasformazione interiore.
,,,,
IL PASSAGGIO ROMANZO,11,Come si chiama la protagonista del romanzo?,Anna,Il suo nome è Anna
IL PASSAGGIO ROMANZO,11,Qual è il nome del figlio della protagonista?,Pietro,Si chiama Pietro
IL PASSAGGIO ROMANZO,11,Qual è la natura del 'Peccato' centrale nel libro?,Il sacrificio di sé della protagonista,L'abnegazione per l'uomo amato
,,,,
IL PASSAGGIO ROMANZO,12,Quale malattia causò la morte di Felice?,Una polmonite fulminante,Un'infezione respiratoria acuta
IL PASSAGGIO ROMANZO,12,Come si chiama l'uomo per cui Rina ha lasciato Felice?,Si chiama Giorgio,Il suo nome è Giorgio
IL PASSAGGIO ROMANZO,12,Qual è il nome completo della narratrice Rina?,Il suo nome è Caterina,Si chiama Caterina
,,,,
IL PASSAGGIO ROMANZO,13,Quale tipo di industria gestiva il padre della narratrice?,Un'industria con forni,Una fabbrica con centinaia di operai e forni
IL PASSAGGIO ROMANZO,13,Quale tipo di persone incontrava la narratrice nelle sale d'ospedale?,Madri con i loro bambini,Donne povere con i loro piccoli
IL PASSAGGIO ROMANZO,13,Quale testo letterario fu un compenso per la narratrice?,L'Apologia di Socrate,Il libro Apologia di Socrate
,,,,
IL PASSAGGIO ROMANZO,15,Qual è la natura di Psiche nel racconto?,È una statua,È una scultura di marmo
IL PASSAGGIO ROMANZO,15,Qual è la causa principale della devastazione che la narratrice osserva durante il suo viaggio?,La guerra,Un conflitto bellico
IL PASSAGGIO ROMANZO,15,Quale destino personale la narratrice contempla dopo l'incontro con Psiche?,La morte,La sua mortalità
,,,,
IL PASSAGGIO ROMANZO,16,Come si chiama la voce narrante dell'estratto?,Ester,"Ester, la protagonista"
IL PASSAGGIO ROMANZO,16,Chi è la creatura dagli occhi d'oro?,Lilith,Il personaggio di Lilith
IL PASSAGGIO ROMANZO,16,Qual è la natura del patto che la voce narrante ha stretto con Iddio?,Un voto di fedeltà eterna,Un impegno di devozione perpetua
,,,,
IL PASSAGGIO ROMANZO,17,Come si chiama la narratrice del romanzo?,Si chiama Ada,Il nome della narratrice è Ada
IL PASSAGGIO ROMANZO,17,Chi è la 'fanciulla maschia' menzionata dalla narratrice?,È la sorella della narratrice,La 'fanciulla maschia' è la sorella della protagonista
IL PASSAGGIO ROMANZO,17,Qual è il legame tra Andrea e Felice?,Felice è la moglie di Andrea,Andrea è sposato con Felice
,,,,
IL PASSAGGIO ROMANZO,18,Come si risolsero i rapporti del narratore con le persone che amava?,Le persone amate si sottomisero alla forza del narratore.,I rapporti si conclusero con la resa degli amati al narratore.
IL PASSAGGIO ROMANZO,18,Quale caratteristica del narratore attraeva e sopraffaceva le persone amate?,La sua sostanza ingenua e la sua trasparenza.,La trasparenza e l'ingenuità della sua essenza.
IL PASSAGGIO ROMANZO,18,Qual è la convinzione finale del narratore riguardo al suo cuore e alle sue intense passioni?,Il suo cuore non si pentirà mai di essersi donato.,Non proverà rimpianto per aver amato con tanta passione.
,,,,
IL PASSAGGIO ROMANZO,19,Qual è la ragione per cui il giovine non ha mai posseduto Sibilla?,Un misterioso tremore lo ha arrestato nel desiderio,Un tremore inspiegabile gli ha impedito di possederla
