Book,ParagraphIndex,Question,AnswerA,AnswerB
Le_gaie_farandole,1,Che relazione lega Toti a Zia Emma?,È sua zia.,Zia Emma è la zia di Toti.
Le_gaie_farandole,1,Qual è il ruolo di Miss Edith nella vita di Toti?,È la sua istitutrice.,È la governante di Toti.
Le_gaie_farandole,1,Che lingua chiede Miss Edith a Toti di parlare?,L'inglese.,La lingua inglese.
,,,,
Le_gaie_farandole,2,Cosa ha regalato il babbo a Toti per il suo compleanno?,Un poney,Il poney Gaetanino
Le_gaie_farandole,2,Chi è Muci?,Il gatto della zia Emma,Il gatto soriano di zia Emma
Le_gaie_farandole,2,Cosa non permette papà a Toti di fare nel lago?,Pescare,Di pescare i pesci
,,,,
Le_gaie_farandole,3,Cosa fa Toti con la torta?,La morde in vari punti,Ne stacca dei pezzi con la bocca
Le_gaie_farandole,3,Chi sorprende Toti con la torta?,Zia Emma,Sua zia Emma
Le_gaie_farandole,3,Cosa afferma Toti di aver fatto con la torta a zia Emma?,Di averla solo baciata,Di averle dato un bacio
,,,,
Le_gaie_farandole,4,Qual è il legame di parentela tra Toti e Emma?,Emma è la zia di Toti,Toti è il nipote di Emma
Le_gaie_farandole,4,Quali azioni ammette Toti a Zia Emma?,Di aver spaventato i cavalli,Di aver detto brutte parole
Le_gaie_farandole,4,Cosa chiede Toti a Zia Emma prima di addormentarsi?,Il suo elefante,Di avere il suo elefante
,,,,
Le_gaie_farandole,5,Chi è Marinella?,È la figlia del dottore,È la vicina di casa di Orsetto
Le_gaie_farandole,5,Quanti anni ha Rando?,Ha circa tre anni,Ha al massimo tre anni
Le_gaie_farandole,5,Cosa fa Suor Lucia con i bambini?,Cerca di tenere unita la sua nidiata,Si affanna per non far sbandare i bambini
,,,,
Le_gaie_farandole,6,Chi guida la coorte dei monelli dopo la preghiera?,Suor Lucia,La suora Lucia
Le_gaie_farandole,6,Chi è incaricata di leggere la lapide dell'angiolo?,Adalgisa,La bambina Adalgisa
Le_gaie_farandole,6,Come si chiamano i genitori di Temistocle?,Vincenzo e Pellegrina,Suo padre è Vincenzo e sua madre è Pellegrina
,,,,
Le_gaie_farandole,7,Chi racconta la fiaba ai bambini?,Suor Lucia,La suora Lucia
Le_gaie_farandole,7,Come si chiama la fiaba raccontata da Suor Lucia?,Lo Stelo d'oro,La fiaba dello Stelo d'oro
Le_gaie_farandole,7,A chi chiede Toti perché si devono dire le bugie?,A Orsetto,Al suo amico Orsetto
,,,,
Le_gaie_farandole,8,Qual è la principale caratteristica di Anselmuccio?,Ha il genio del commercio,È un commerciante nato
Le_gaie_farandole,8,Come chiama Marinella Anselmuccio?,L'astuto citrullo,Lo definisce 'l'astuto citrullo'
Le_gaie_farandole,8,Dove chiede Toti a Marinella se torneranno?,Alla selva di Lucchetto,Nel bosco di Lucchetto
,,,,
Le_gaie_farandole,9,Chi ha fissato l'appuntamento nella Selva dei Gioghi?,Zulù,Il personaggio Zulù
Le_gaie_farandole,9,"Qual è il luogo dell'appuntamento per Toti, Orsetto e Marinella?",La Selva dei Gioghi,Nella Selva dei Gioghi
Le_gaie_farandole,9,"Chi ha indicato a Toti, Orsetto e Marinella la strada per la Selva dei Gioghi?",Bonaventura,Il personaggio Bonaventura
,,,,
Le_gaie_farandole,10,Chi aiuta Marinella ad attraversare la fitta macchia di rovi?,Toti,Il suo compagno Toti
Le_gaie_farandole,10,Cosa si strappa a Marinella mentre attraversa i rovi?,La sua veste,Il suo vestito
Le_gaie_farandole,10,"Dove sono diretti Toti, Orsetto e Marinella?",Verso le roveri della selva,Alle roveri della selva
,,,,
Le_gaie_farandole,11,Dove vive Nonna Simona?,A Ladino,Nel paese di Ladino
Le_gaie_farandole,11,Quale luogo desiderano raggiungere i bambini?,La Casa Lucente,Il luogo chiamato Casa Lucente
Le_gaie_farandole,11,Chi ha iniziato a insegnare a Zulù come raggiungere la Casa Lucente?,Nonna Simona,"La nonna di Zulù, Simona"
,,,,
Le_gaie_farandole,12,Quali personaggi vengono chiamati dal gigante Mamù?,"Toti, Marinella e Orsetto","Marinella, Toti e Orsetto"
Le_gaie_farandole,12,Come si chiama il gigante che spaventa i personaggi?,Mamù,Il gigante Mamù
Le_gaie_farandole,12,"Cosa fanno Toti, Marinella e Orsetto quando il gigante li chiama?",Si stringono e pregano,Si abbracciano e si dicono addio
,,,,
Le_gaie_farandole,13,Quanti anni ha Carciofo?,Dieci anni,Ha dieci anni
Le_gaie_farandole,13,Chi sono i due amici che Carciofo menziona?,Anatroccolo e Zulù,Zulù e Anatroccolo
Le_gaie_farandole,13,Dove si incontrano Carciofo e Toti?,Al laghetto delle oche,Presso il laghetto delle oche
,,,,
Le_gaie_farandole,14,Chi presenta Anatroccolo a Toti?,Carciofo,È Carciofo
Le_gaie_farandole,14,Perché Anatroccolo chiama Toti 'signor barone'?,Perché lo considera un signore,Perché pensa che Toti sia un signore
Le_gaie_farandole,14,Cosa chiede Toti ad Anatroccolo?,Se vuole unirsi a loro,Se vuole essere dei loro
,,,,
Le_gaie_farandole,15,Come si chiama la casa che i personaggi vogliono trovare?,La casa lucente,La casa splendente
Le_gaie_farandole,15,Dove si trova il podere del padre di Toti?,Vicino alla selva di Ladino,Presso la selva di Ladino
Le_gaie_farandole,15,Quando è fissata la partenza per l'impresa?,Domenica,La domenica successiva
,,,,
Le_gaie_farandole,16,Chi ha salvato Fauvette?,Carciofo,Il ragazzo Carciofo
Le_gaie_farandole,16,Chi è la persona che Carciofo ha salvato?,Fauvette,La signorina francese
Le_gaie_farandole,16,Perché il padre di Carciofo lo rimprovera?,Per essere salito sul battello,Per essere andato sul battello
,,,,
Le_gaie_farandole,17,Come si chiama la festa che Toti e zia Emma stanno organizzando?,La festa delle rose,La festa delle rose che si terrà domani
Le_gaie_farandole,17,Con chi esce Toti?,Con la zia Emma,Con sua zia Emma
Le_gaie_farandole,17,Cosa chiedono Rando e Celestina per il pranzo da Toti?,Molta minestra e pane,Minestra e pane
,,,,
Le_gaie_farandole,18,Qual è la natura del rapporto tra Toti e Miss Edith?,Sono incompatibili,La loro unione non è riuscita
Le_gaie_farandole,18,Chi teme Toti?,La zia Emma,Sua zia Emma
Le_gaie_farandole,18,Cosa fa Toti con i precetti che gli vengono impartiti?,Li dimentica subito,Li ascolta e poi li dimentica
,,,,
Le_gaie_farandole,19,Chi ha scritto la canzoncina che Dorry canta?,Mark Ambient,Un poeta inglese di nome Mark Ambient
Le_gaie_farandole,19,Chi è il cugino di Toti?,Lionello,"Lionello, un ragazzo di tredici anni"
Le_gaie_farandole,19,Quale strumento suona Dorry?,Il pianoforte,Suona il pianoforte
,,,,
Le_gaie_farandole,20,"Chi chiama Rando ""pistòla""?",Ninì,È Ninì
Le_gaie_farandole,20,Quanti anni ha Miranda?,Quattro anni,Ha quattro anni
Le_gaie_farandole,20,Cosa attacca Giacomino alle spalle di Adalgisa?,Un fazzoletto rosso,Un fazzoletto di colore rosso
,,,,
Le_gaie_farandole,21,Chi dà ad Arabella consigli sulla salute e la resistenza?,Mamma Tuda,La donna di nome Mamma Tuda
Le_gaie_farandole,21,Dove manda Mamma Tuda Arabella per chiamare gli uomini?,Alla Celletta,Al luogo chiamato la Celletta
Le_gaie_farandole,21,Cosa pensa Mamma Tuda di Giovanni?,Lo considera un imbroglione,Crede che inganni il prossimo
,,,,
Le_gaie_farandole,22,Chi offre ad Arabella di appoggiarsi sulle sue ginocchia e di cantarle una ninna nanna?,Bocca-di-fiore,Il personaggio chiamato Bocca-di-fiore
Le_gaie_farandole,22,Chi aiuterà Arabella a tornare a casa?,Zulù,Il personaggio di nome Zulù
Le_gaie_farandole,22,Qual è la condizione fisica di Arabella descritta nel testo?,È stanca e non riesce a reggersi in piedi,È molto affaticata e debole
,,,,
Le_gaie_farandole,23,Come si chiama il fratello di Arabella?,Zulù,Si chiama Zulù
Le_gaie_farandole,23,Chi è Allodola per Zulù?,È sua sorella,La sua piccola sorella
Le_gaie_farandole,23,Dove sta portando Zulù la piccola sorella?,Alla casa di mamma Tuda,Verso la casa di mamma Tuda
,,,,
Le_gaie_farandole,24,Come consideravano i bambini Suor Lucia?,Come una cosa eterna,Come una Madonna viva
Le_gaie_farandole,24,Cosa fece diventare Suor Lucia un'eroina per i bambini?,Il suo triste segreto,Il suo passato diverso
Le_gaie_farandole,24,A chi offre Ninì la sua bambola?,Al papà di Toti,Al padre di Toti
,,,,
Le_gaie_farandole,25,Quando si saprà il segreto di Suor Lucia?,Quando la stella ricomparirà,Al ritorno della stella
Le_gaie_farandole,25,Chi veglia tutte le notti per la stella?,Zulù,Il personaggio di Zulù
Le_gaie_farandole,25,Qual era la condizione di Arabella quando Mamma Tuda le affidò il gregge?,Era malata,Poteva camminare a malapena
,,,,
Le_gaie_farandole,26,Chi cedette il suo regno ad Arabella?,Bocca-di-fiore,La reginetta Bocca-di-fiore
Le_gaie_farandole,26,Cosa donò Bocca-di-fiore ad Arabella per cederle la sua signoria?,Una corona di gigli del freddo,Una corona fatta di gigli del freddo
Le_gaie_farandole,26,Chi rimase fedele ad Arabella?,Zulù e Bocca-di-fiore,Solo Zulù e Bocca-di-fiore
,,,,
Le_gaie_farandole,27,Perché i bambini sono venuti per Suor Lucia?,Per farle gli auguri.,Per celebrare la sua festa e portarle un dono.
Le_gaie_farandole,27,Dove si trova Arabella?,Nella piccola stanza dalle imposte verdi.,In una stanzetta con le imposte verdi.
Le_gaie_farandole,27,Che cosa avvertono i grandicelli?,Che un avvenimento grande e inusitato sta per compiersi.,Che un evento importante e insolito è imminente.
,,,,
