Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DESTINO ROMANZO,1,Perché Venere sostenne una guerra ostinata?,Per impedire che Amore si innamorasse di Psiche.,Affinché Amore non si invaghisse dell'anima (Psiche).
IL DESTINO ROMANZO,1,Quale infamia cessò grazie a San Telemaco?,L'infamia dei gladiatori.,La pratica infame dei gladiatori.
IL DESTINO ROMANZO,1,Cosa non poteva creare Giove riguardo ai destini?,I propri e gli altrui destini.,Né i suoi né i destini degli altri.
,,,,
IL DESTINO ROMANZO,2,Dove nacque Fulvia Piccolomini?,A Siena,Nella città di Siena
IL DESTINO ROMANZO,2,Chi sposò Fulvia Piccolomini?,Lelio Griffoli,Il gentiluomo Lelio Griffoli
IL DESTINO ROMANZO,2,A quale Papa era imparentata Fulvia Piccolomini?,Alessandro VII,Al pontefice Alessandro VII
,,,,
IL DESTINO ROMANZO,3,In che anno è nata Fulvia?,Nel 1630,Nell'anno 1630
IL DESTINO ROMANZO,3,Come si chiama il marito di Fulvia?,Lelio,Si chiama Lelio
IL DESTINO ROMANZO,3,Chi è la 'dolcissima amica' di Fulvia?,Virginia Chigi,È Virginia Chigi
,,,,
IL DESTINO ROMANZO,4,Qual è la causa del malessere di Paride?,L'amore per una donna,È innamorato di una donna
IL DESTINO ROMANZO,4,Per cosa è conosciuta Fulvia a Siena?,È la regina delle belle,È celebrata per la sua bellezza
IL DESTINO ROMANZO,4,Cosa promette Betta a Paride riguardo a Fulvia?,Che Fulvia si innamorerà di lui,Che Fulvia lo amerà
,,,,
IL DESTINO ROMANZO,5,Perché Paride ha una benda?,Ha una scottatura,Si è scottato
IL DESTINO ROMANZO,5,Come si chiama la donna di cui Paride è innamorato?,La Griffoli,La Griffoli dei Piccolomini
IL DESTINO ROMANZO,5,Quale ricordo chiede Paride a Betta di ottenere dalla Griffoli?,Un nastro,Un fiocco
,,,,
IL DESTINO ROMANZO,6,Chi erano il marito e il figlio di Betta?,Suo marito era Bastiano e suo figlio era Celso.,Bastiano era il marito e Celso il figlio di Betta.
IL DESTINO ROMANZO,6,Come si chiama la gentildonna desiderata da Paride?,Si chiama signora Fulvia.,È la signora Fulvia.
IL DESTINO ROMANZO,6,Che ruolo sta svolgendo Betta nella relazione tra Paride e la signora Fulvia?,Sta agendo come mezzana.,È una mezzana tra i due.
,,,,
IL DESTINO ROMANZO,7,Per chi cerca aiuto Betta presso la signora Fulvia?,Per Paride,Per il figliuolo Paride
IL DESTINO ROMANZO,7,Quale pretesto usa Betta per entrare in casa di Fulvia?,Offrire trine in vendita,Proporre l'acquisto di merletti
IL DESTINO ROMANZO,7,Come si chiama il marito della signora Fulvia?,Lelio,Il signor Lelio
,,,,
IL DESTINO ROMANZO,8,Chi è l'uomo che Betta propone a Fulvia?,Paride Bulgarini,Il giovane Paride Bulgarini
IL DESTINO ROMANZO,8,Come reagisce Fulvia al nome di Paride Bulgarini?,Con un urlo straziante,Con un grido di orrore
IL DESTINO ROMANZO,8,Chi attacca Betta alla fine dell'estratto?,Lelio,Messer Lelio
,,,,
IL DESTINO ROMANZO,9,Di chi è geloso Lelio?,Di Paride Bulgarini,Di Bulgarini
