Book,ParagraphIndex,Question,AnswerA,AnswerB
IO CERCO MOGLIE! ROMANZO,1,Come si chiama la governante di Ginetto?,Desdemona,Si chiama Desdemona
IO CERCO MOGLIE! ROMANZO,1,Qual è la professione di Ginetto?,È un uomo d'affari,È gerente e consigliere di amministrazione
,,,,
,,,,
IO CERCO MOGLIE! ROMANZO,3,Di che nazionalità è la signorina M***?,Inglese,È inglese
IO CERCO MOGLIE! ROMANZO,3,Qual è la nazionalità della signorina N. Y.?,Italiana,È italiana
IO CERCO MOGLIE! ROMANZO,3,Perché la signorina N. Y. è chiamata così?,Perché è di tipo americano,Per il suo tipo americano
,,,,
IO CERCO MOGLIE! ROMANZO,4,Come si chiama la donna descritta da Lionello?,Fräulein Violetta,Violetta
IO CERCO MOGLIE! ROMANZO,4,Che tipo di uomo desidera Fräulein Violetta come amante?,Un magnifico amante,Un Ulisside
IO CERCO MOGLIE! ROMANZO,4,Qual è stata la sorte di alcuni uomini innamorati di Fräulein Violetta?,Si sono suicidati o impazziti,Hanno avuto destini tragici
,,,,
IO CERCO MOGLIE! ROMANZO,5,Come si chiama la donna al centro della leggenda?,Fräulein Violetta,Nicoletta
IO CERCO MOGLIE! ROMANZO,5,Quale intenzione ha annunciato Fräulein Violetta?,Di prendere marito,Di sposarsi
IO CERCO MOGLIE! ROMANZO,5,Qual è la leggenda che circola su Fräulein Violetta?,Che è una vestale,Che conserva il suo pulcellaggio
,,,,
IO CERCO MOGLIE! ROMANZO,6,Cosa fece Giuditta prima di andare alla tenda di Oloferne?,Si preparò per sedurlo,Si abbellì per l'incontro con Oloferne
IO CERCO MOGLIE! ROMANZO,6,Perché Ester piacque di più al re Assuero?,Era la più bella,Per la sua bellezza
IO CERCO MOGLIE! ROMANZO,6,Quali strumenti creò Adamo?,Armi e strumenti di guerra,"La selce, l'ascia e la mitragliatrice"
,,,,
IO CERCO MOGLIE! ROMANZO,7,Come si chiama il dottore che esprime un'opinione sulla musica?,Pertusius,Il dottor Pertusius
IO CERCO MOGLIE! ROMANZO,7,Per quale motivo il dottor Pertusius odia la musica?,Perché la considera un'arte emolliente,Perché è un'arte emolliente
,,,,
,,,,
IO CERCO MOGLIE! ROMANZO,9,Qual è il genere artistico di Lionello?,Drammi,Opere teatrali (drammi)
,,,,
IO CERCO MOGLIE! ROMANZO,10,Cosa ordina Maioli per primo piatto?,Tortelloni di ricotta col ragù,I tortelloni al ragù
IO CERCO MOGLIE! ROMANZO,10,Chi è Donna Ghiselda?,Una donna di grande bellezza,Una bellezza resistente e organica
IO CERCO MOGLIE! ROMANZO,10,Quali personaggi storici hanno alloggiato nell'albergo?,"Giuseppe II, Carlo di Borbone e Carlo Felice","Tre sovrani: Giuseppe II, Carlo di Borbone e Carlo Felice"
,,,,
IO CERCO MOGLIE! ROMANZO,11,Cosa suggerisce la guida artistica di dipingere per esprimere le casette?,Una teoria di fanciulle ondeggianti,Fanciulle che danzano in ritmo
,,,,
IO CERCO MOGLIE! ROMANZO,12,Chi è il padrone della ragazza rossiccia?,Il signor avvocato,L'avvocato
IO CERCO MOGLIE! ROMANZO,12,Qual è la professione del padrone della ragazza rossiccia?,È un avvocato,Fa l'avvocato
,,,,
IO CERCO MOGLIE! ROMANZO,13,L'avvocato è noto per alzare la voce?,"Sì, alza la voce","Sì, grida come un'aquila"
IO CERCO MOGLIE! ROMANZO,13,Come viene descritto fisicamente lo scrivano dell'avvocato?,È un gobbetto,Ha la gobba
,,,,
IO CERCO MOGLIE! ROMANZO,14,In quale stato si trova Cioccolani?,In stato di grazia e di martirio,In uno stato di grazia e martirio
IO CERCO MOGLIE! ROMANZO,14,Qual è la natura politica del Comune di P***?,È socialista,È un Comune socialista
